,1411812122840,41.1781183,-8.5980907,0.0,73.06700134277344
0,1411812129960,41.17798284,-8.59873643,293.70001220703125,26.0
1,1411812131000,41.17802901,-8.59854454,262.29998779296875,11.0
2,1411812136000,41.1780471,-8.59848428,251.3000030517578,5.0
3,1411812142819,41.1779275,-8.5982427,0.0,40.5
4,1411812162388,41.1779233,-8.5982307,0.0,43.5
5,1411812182480,41.1779653,-8.5983444,0.0,42.0
6,1411812202457,41.1779223,-8.5982397,0.0,45.0
7,1411812222464,41.1779079,-8.5981869,0.0,45.0
8,1411812242461,41.1779295,-8.5982557,0.0,49.5
9,1411812262465,41.1779347,-8.5982545,0.0,45.0
10,1411812282479,41.1779068,-8.5982057,0.0,43.5
11,1411812302616,41.1779669,-8.5983556,0.0,42.0
12,1411812322529,41.1779249,-8.5982388,0.0,40.5
13,1411812342523,41.1779223,-8.5982397,0.0,45.0
14,1411812362502,41.177922,-8.5982373,0.0,45.0
15,1411812382530,41.1779057,-8.5981945,0.0,40.5
16,1411812402547,41.1779406,-8.5982751,0.0,40.5
17,1411812422547,41.17796,-8.5983381,0.0,42.0
18,1411812440000,41.178002,-8.59845647,247.6999969482422,6.0
19,1411812442000,41.17795238,-8.59847918,246.6999969482422,9.0
20,1411812442616,41.1778581,-8.598073,0.0,43.5
21,1411812444000,41.17790524,-8.59849257,245.10000610351565,10.0
22,1411812447000,41.17784747,-8.59847855,239.3999938964844,12.0
23,1411812449000,41.17780279,-8.59849353,237.8000030517578,13.0
24,1411812451000,41.17775579,-8.59851504,229.6999969482422,9.0
25,1411812454000,41.17769571,-8.59853626,218.3000030517578,6.0
26,1411812456000,41.17767856,-8.5985929,217.1999969482422,6.0
27,1411812458000,41.17778066,-8.59873097,212.5,5.0
28,1411812459000,41.17780919,-8.59879226,209.3999938964844,5.0
29,1411812460000,41.17783811,-8.59887114,208.1999969482422,5.0
30,1411812461000,41.17785955,-8.59893493,206.6999969482422,5.0
31,1411812462000,41.17786193,-8.59900294,205.5,6.0
32,1411812464000,41.17790131,-8.59909631,203.3999938964844,5.0
33,1411812466000,41.17788992,-8.59920111,202.10000610351565,4.0
34,1411812468000,41.17780775,-8.59926404,201.8999938964844,4.0
35,1411812469000,41.17775811,-8.59929348,201.5,5.0
36,1411812470000,41.17769454,-8.59931723,200.8999938964844,5.0
37,1411812471000,41.17763307,-8.59935873,200.1999969482422,6.0
38,1411812472000,41.17757881,-8.59940452,199.5,7.0
39,1411812473000,41.1775095,-8.59946004,198.8999938964844,7.0
40,1411812474000,41.17743264,-8.59949111,198.3999938964844,7.0
41,1411812475000,41.17733997,-8.59954636,198.0,5.0
42,1411812476000,41.17725756,-8.59959187,196.3000030517578,4.0
43,1411812477000,41.17717845,-8.59962862,196.60000610351565,5.0
44,1411812478000,41.17707639,-8.5996808,195.8999938964844,4.0
45,1411812479000,41.17699267,-8.5997173,195.1999969482422,5.0
