,1411812294219,41.1779401,-8.5984765,0.0,36.0
0,1411812299936,41.17808852,-8.59842857,196.8000030517578,14.0
1,1411812300929,41.17801052,-8.59849317,210.8000030517578,12.0
2,1411812301934,41.17805017,-8.5984529,209.6999969482422,13.0
3,1411812303934,41.17798777,-8.59844776,209.6999969482422,7.0
4,1411812305000,41.17805055,-8.59838247,202.5,4.0
5,1411812313781,41.17797,-8.5979573,0.0,48.0
6,1411812333827,41.1779685,-8.5980244,0.0,45.0
7,1411812353806,41.1779767,-8.5981709,0.0,45.0
8,1411812373870,41.1779328,-8.5981102,0.0,39.0
9,1411812393861,41.1779713,-8.5980193,0.0,42.0
10,1411812413866,41.1779786,-8.5979693,0.0,52.5
11,1411812433925,41.1779752,-8.5979763,0.0,54.0
12,1411812438000,41.17799854,-8.59841743,199.5,4.0
13,1411812441000,41.17794677,-8.59843982,198.0,4.0
14,1411812443000,41.17789948,-8.59846232,197.1999969482422,4.0
15,1411812445000,41.17784395,-8.59848751,196.5,4.0
16,1411812447000,41.17778824,-8.59850803,194.3999938964844,4.0
17,1411812449000,41.17773675,-8.59852736,192.10000610351565,4.0
18,1411812451000,41.1776885,-8.59855304,193.6999969482422,4.0
19,1411812453000,41.1776558,-8.59860524,193.10000610351565,4.0
20,1411812455000,41.17767648,-8.59869106,190.8000030517578,10.0
21,1411812456000,41.17770269,-8.59875107,189.60000610351565,9.0
22,1411812457000,41.17776522,-8.59882206,189.5,9.0
23,1411812458000,41.177783,-8.59888466,188.6999969482422,9.0
24,1411812459000,41.17780864,-8.59895184,188.1999969482422,9.0
25,1411812460000,41.17782985,-8.59901279,187.8999938964844,9.0
26,1411812461000,41.17784705,-8.59907681,188.60000610351565,9.0
27,1411812462000,41.17786557,-8.59913762,188.1999969482422,9.0
28,1411812463000,41.17787722,-8.59920177,188.3999938964844,9.0
29,1411812465000,41.1778429,-8.5993068,187.6999969482422,10.0
30,1411812466000,41.17779831,-8.59933686,188.0,10.0
31,1411812467000,41.17775248,-8.59937001,187.60000610351565,10.0
32,1411812468000,41.17769251,-8.5993922,188.10000610351565,10.0
33,1411812469000,41.17763877,-8.59941687,187.3999938964844,10.0
34,1411812470000,41.17757601,-8.59945254,186.8999938964844,10.0
35,1411812471000,41.17751373,-8.59949225,186.1999969482422,10.0
36,1411812472000,41.1774321,-8.59954039,186.3000030517578,9.0
37,1411812473000,41.177361,-8.59958483,186.1999969482422,9.0
38,1411812474000,41.17727965,-8.59962204,185.8999938964844,9.0
39,1411812475000,41.17718825,-8.59965694,185.5,9.0
40,1411812476000,41.17710083,-8.59970524,185.60000610351565,10.0
41,1411812477000,41.17701065,-8.59974906,185.8999938964844,9.0
42,1411812478000,41.17691972,-8.59979555,185.3000030517578,9.0
43,1411812479000,41.17683288,-8.59984012,184.8000030517578,10.0
44,1411812480000,41.17674082,-8.5998935,184.8999938964844,10.0
45,1411812481000,41.17665011,-8.59994386,185.10000610351565,10.0
46,1411812482000,41.17656078,-8.59999346,184.0,10.0
47,1411812483000,41.1764727,-8.60004392,184.1999969482422,10.0
48,1411812484000,41.17638227,-8.60009442,182.8999938964844,9.0
49,1411812485000,41.17628076,-8.60013031,181.60000610351565,10.0
50,1411812486000,41.17618243,-8.60016628,181.1999969482422,10.0
51,1411812487000,41.17608316,-8.6002017,181.0,10.0
52,1411812488000,41.17598325,-8.60024137,181.0,10.0
53,1411812489000,41.17588229,-8.60026642,180.1999969482422,11.0
54,1411812490000,41.17578234,-8.60024871,179.5,10.0
55,1411812491000,41.17568556,-8.60025758,179.1999969482422,10.0
56,1411812492000,41.17558682,-8.60024928,179.3000030517578,9.0
57,1411812493000,41.17549628,-8.60023091,179.0,10.0
58,1411812494000,41.17540936,-8.60020679,179.0,10.0
59,1411812495000,41.17532717,-8.60018537,179.0,10.0
60,1411812496000,41.17526056,-8.60015886,177.5,10.0
61,1411812497000,41.17519692,-8.60014393,177.10000610351565,10.0
62,1411812498000,41.17512922,-8.60012298,177.5,11.0
63,1411812499000,41.17508169,-8.60007713,177.60000610351565,10.0
64,1411812500000,41.17502743,-8.60006042,178.0,11.0
65,1411812504000,41.17498941,-8.60000517,177.10000610351565,10.0
66,1411812535000,41.1749053,-8.59995578,176.60000610351565,10.0
67,1411812536000,41.17484111,-8.59990991,175.3000030517578,10.0
68,1411812537000,41.17476583,-8.59986848,176.8000030517578,9.0
69,1411812538000,41.17468286,-8.59980745,176.3000030517578,10.0
70,1411812539000,41.17461635,-8.59974967,177.0,10.0
71,1411812540000,41.17454164,-8.59969272,177.1999969482422,10.0
72,1411812541000,41.17445958,-8.59965114,178.10000610351565,10.0
73,1411812542000,41.17436239,-8.59961524,177.60000610351565,11.0
74,1411812543000,41.17428833,-8.5995679,177.89999389648438,11.0
75,1411812544000,41.17419758,-8.59950264,177.6999969482422,12.0
76,1411812545000,41.17410344,-8.59944484,177.6999969482422,12.0
77,1411812546000,41.17398847,-8.59939109,177.39999389648438,11.0
78,1411812547000,41.17388387,-8.59932921,177.5,11.0
79,1411812548000,41.17379574,-8.59926674,177.5,12.0
80,1411812549000,41.17368182,-8.59921664,178.1999969482422,11.0
81,1411812550000,41.17358302,-8.59914736,178.10000610351565,11.0
82,1411812551000,41.1734796,-8.59908297,178.0,11.0
83,1411812552000,41.17337434,-8.59902814,178.3000030517578,11.0
84,1411812553000,41.17326524,-8.59895159,178.60000610351565,11.0
85,1411812554000,41.17316328,-8.59889381,177.89999389648438,11.0
86,1411812555000,41.17305135,-8.59883508,177.6999969482422,11.0
87,1411812556000,41.17294281,-8.59878087,179.1999969482422,12.0
88,1411812557000,41.17282917,-8.59873409,181.8000030517578,11.0
89,1411812558000,41.1727303,-8.59867189,182.0,11.0
90,1411812559000,41.17263191,-8.59861866,181.8999938964844,11.0
91,1411812560000,41.17252836,-8.59854214,182.3000030517578,11.0
92,1411812561000,41.17243065,-8.59847195,182.3000030517578,12.0
93,1411812562000,41.172335,-8.59841621,182.5,11.0
94,1411812563000,41.17223738,-8.59834399,182.60000610351565,12.0
95,1411812564000,41.17213153,-8.59827936,182.60000610351565,12.0
96,1411812565000,41.1720265,-8.59822106,182.3000030517578,12.0
97,1411812566000,41.17192501,-8.59813954,182.3999938964844,12.0
98,1411812567000,41.17181646,-8.5980804,182.3999938964844,12.0
99,1411812568000,41.17170814,-8.59799466,183.5,12.0
100,1411812569000,41.17161266,-8.59789991,185.3999938964844,12.0
101,1411812570000,41.17150947,-8.59782688,185.60000610351565,12.0
102,1411812571000,41.17138213,-8.5977911,187.0,12.0
103,1411812572000,41.17125215,-8.59774338,187.3999938964844,12.0
104,1411812573000,41.17112314,-8.59768516,187.5,11.0
105,1411812574000,41.17104418,-8.59763395,188.60000610351565,11.0
106,1411812575000,41.17094064,-8.59759841,188.3999938964844,12.0
107,1411812576000,41.17085094,-8.59757861,188.3999938964844,11.0
108,1411812577000,41.17078042,-8.59755003,187.60000610351565,10.0
109,1411812578000,41.17070509,-8.59750666,190.3000030517578,10.0
110,1411812579000,41.17062684,-8.5974839,190.8000030517578,10.0
111,1411812580000,41.17054059,-8.59746329,191.3999938964844,10.0
112,1411812581000,41.17045499,-8.597465,193.6999969482422,10.0
113,1411812582000,41.17037498,-8.59745296,194.0,10.0
114,1411812583000,41.17029428,-8.59743661,195.1999969482422,10.0
115,1411812584000,41.17022137,-8.59740158,195.60000610351565,10.0
116,1411812585000,41.17015532,-8.59737616,195.8000030517578,10.0
117,1411812586000,41.17008644,-8.59735042,196.10000610351565,10.0
118,1411812587000,41.17001951,-8.59734327,196.1999969482422,10.0
119,1411812588000,41.16997295,-8.59734302,197.10000610351565,10.0
120,1411812590000,41.16991694,-8.59734314,197.1999969482422,10.0
121,1411812593000,41.16987709,-8.59738001,197.10000610351565,11.0
122,1411812596000,41.16985522,-8.597457349999999,197.3999938964844,12.0
123,1411812601000,41.16980828,-8.5974841,199.8000030517578,12.0
124,1411812603000,41.16975657,-8.59746038,198.8000030517578,10.0
125,1411812605000,41.16967396,-8.5974306,196.60000610351565,10.0
126,1411812606000,41.16962859,-8.59737729,196.8000030517578,10.0
127,1411812607000,41.16957496,-8.597364,196.5,10.0
128,1411812609000,41.16948951,-8.59734402,196.3000030517578,10.0
129,1411812611000,41.16941758,-8.59732255,197.8000030517578,11.0
130,1411812613000,41.16937275,-8.59729055,199.0,12.0
131,1411812616000,41.16931987,-8.59727816,201.60000610351565,13.0
132,1411813040000,41.1692963,-8.59733454,201.3999938964844,10.0
133,1411813043000,41.16921836,-8.59734593,200.3999938964844,10.0
134,1411813045000,41.16913763,-8.59736553,201.3999938964844,10.0
135,1411813046000,41.16909316,-8.59737666,201.3999938964844,10.0
136,1411813047000,41.16903399,-8.59740591,200.10000610351565,10.0
137,1411813048000,41.16898912,-8.59741083,198.6999969482422,11.0
138,1411813049000,41.16893395,-8.59741658,199.5,10.0
139,1411813050000,41.16887264,-8.59742557,200.10000610351565,11.0
140,1411813051000,41.1688071,-8.59744245,201.0,11.0
141,1411813052000,41.1687443,-8.59745802,201.3000030517578,12.0
142,1411813053000,41.16868698,-8.59748474,201.5,11.0
143,1411813054000,41.16862091,-8.59748743,201.3999938964844,10.0
144,1411813055000,41.16854749,-8.59749523,201.10000610351565,11.0
145,1411813056000,41.16847484,-8.59750962,201.10000610351565,11.0
146,1411813057000,41.1684113,-8.59752957,201.10000610351565,11.0
147,1411813058000,41.16833205,-8.59756312,201.10000610351565,11.0
148,1411813059000,41.16826323,-8.59762397,201.10000610351565,11.0
149,1411813060000,41.16818985,-8.59767684,200.3999938964844,11.0
150,1411813061000,41.16812329,-8.59771763,198.8999938964844,11.0
151,1411813062000,41.16807473,-8.59775818,199.0,11.0
152,1411813063000,41.16800045,-8.59776978,200.3999938964844,10.0
153,1411813064000,41.16792238,-8.59778136,199.8000030517578,11.0
154,1411813065000,41.16785203,-8.59783148,200.3999938964844,11.0
155,1411813066000,41.16778142,-8.59787058,201.10000610351565,12.0
156,1411813067000,41.16771284,-8.59792867,203.3000030517578,13.0
157,1411813068000,41.16765124,-8.59795787,203.8000030517578,13.0
158,1411813069000,41.16759179,-8.59799425,204.0,14.0
159,1411813070000,41.16753388,-8.59805506,205.60000610351565,14.0
160,1411813071000,41.16747248,-8.59811757,206.6999969482422,14.0
161,1411813072000,41.16740213,-8.59814353,206.5,14.0
162,1411813073000,41.16734356,-8.59819395,206.6999969482422,14.0
163,1411813075000,41.16725772,-8.59820999,207.10000610351565,12.0
164,1411813076000,41.16720657,-8.59821095,207.5,11.0
165,1411813079000,41.16715761,-8.59817015,207.10000610351565,11.0
166,1411813086000,41.16711076,-8.59819236,211.0,10.0
167,1411813090000,41.16706384,-8.59821326,211.3000030517578,10.0
168,1411813094000,41.16706361,-8.59814146,211.10000610351565,11.0
169,1411813096000,41.16704748,-8.59802953,210.0,11.0
170,1411813097000,41.16703654,-8.59796256,210.1999969482422,11.0
171,1411813098000,41.16700656,-8.59784344,210.10000610351565,10.0
172,1411813099000,41.1669928,-8.59777785,209.8999938964844,10.0
173,1411813100000,41.16698913,-8.59771411,209.8999938964844,10.0
174,1411813101000,41.16697639,-8.59764482,211.1999969482422,10.0
175,1411813102000,41.16696467,-8.59757261,210.6999969482422,10.0
176,1411813103000,41.1669402,-8.59751196,210.8999938964844,11.0
177,1411813105000,41.16691011,-8.59743365,211.1999969482422,11.0
178,1411813106000,41.16687184,-8.59739326,210.0,12.0
179,1411813107000,41.16679321,-8.59737966,207.6999969482422,12.0
180,1411813108000,41.16673497,-8.59737484,206.8000030517578,12.0
181,1411813110000,41.16662805,-8.59744929,206.6999969482422,12.0
182,1411813111000,41.16657228,-8.59747087,206.3000030517578,13.0
183,1411813112000,41.16651376,-8.59749048,206.1999969482422,13.0
184,1411813113000,41.16645588,-8.59751113,205.8999938964844,14.0
185,1411813114000,41.16639823,-8.59751924,205.5,14.0
186,1411813116000,41.16629931,-8.59754317,205.60000610351565,15.0
187,1411813118000,41.16622812,-8.59755578,206.0,13.0
188,1411813120000,41.16615729,-8.59759168,206.60000610351565,13.0
