,1411812380975,41.1779392,-8.5985796,0.0,42.0
0,1411812391662,41.1779539,-8.59850033,180.3000030517578,32.0
1,1411812396000,41.177869,-8.59845923,189.5,52.0
2,1411812397000,41.17775575,-8.59842856,196.3000030517578,40.0
3,1411812398000,41.1778201,-8.59837226,197.8999938964844,10.0
4,1411812400985,41.1778956,-8.5984639,0.0,40.5
5,1411812420984,41.1779021,-8.598454,0.0,45.0
6,1411812428000,41.17774982,-8.59834653,196.8999938964844,6.0
7,1411812429000,41.17773291,-8.59840954,195.8000030517578,6.0
8,1411812432000,41.1777778,-8.59845076,195.3999938964844,5.0
9,1411812441000,41.17773771,-8.59850581,181.8999938964844,4.0
10,1411812444000,41.17769309,-8.59853123,180.3000030517578,4.0
11,1411812447000,41.17769607,-8.5985977,180.0,4.0
12,1411812449000,41.1777261,-8.59864686,179.0,4.0
13,1411812451114,41.1772327,-8.5997413,0.0,34.5
14,1411812451000,41.17776485,-8.59872775,177.8000030517578,4.0
15,1411812453000,41.17780535,-8.59882444,177.8000030517578,4.0
16,1411812455000,41.17784889,-8.59892881,178.0,4.0
17,1411812456000,41.17788236,-8.59904822,178.3000030517578,10.0
18,1411812457000,41.17789571,-8.59911322,178.60000610351565,10.0
19,1411812458000,41.17791313,-8.59916817,178.5,10.0
20,1411812459000,41.17789852,-8.59923654,178.10000610351565,11.0
21,1411812461000,41.17779597,-8.59929424,178.0,10.0
22,1411812462000,41.17772698,-8.59932593,177.8000030517578,10.0
23,1411812463000,41.17767285,-8.59936948,177.39999389648438,10.0
24,1411812464000,41.17762115,-8.59940047,177.5,10.0
25,1411812465000,41.17757098,-8.59943934,177.3000030517578,10.0
26,1411812466000,41.17748008,-8.5994793,178.0,10.0
27,1411812467000,41.17739602,-8.5995306,177.5,10.0
28,1411812468000,41.1773064,-8.59955441,177.89999389648438,10.0
29,1411812469000,41.17720771,-8.59960467,177.3000030517578,10.0
30,1411812470000,41.17711641,-8.59965016,177.60000610351565,11.0
31,1411812471000,41.17703409,-8.59967934,178.6999969482422,11.0
32,1411812472000,41.17692963,-8.599766989999999,177.6999969482422,10.0
33,1411812473000,41.17684473,-8.5998137,177.6999969482422,11.0
34,1411812474000,41.17675865,-8.599857,177.3000030517578,10.0
35,1411812475000,41.17667146,-8.59989393,176.8000030517578,10.0
36,1411812476000,41.17659085,-8.59994281,176.6999969482422,10.0
37,1411812477000,41.17651093,-8.59998281,176.6999969482422,10.0
38,1411812478000,41.17642528,-8.60000212,177.3000030517578,10.0
39,1411812479000,41.17635876,-8.60006206,177.60000610351565,10.0
40,1411812480000,41.17627574,-8.60011609,177.8000030517578,10.0
41,1411812481000,41.17618766,-8.6001542,177.1999969482422,11.0
42,1411812482000,41.17611662,-8.60018614,177.5,10.0
43,1411812483000,41.17601702,-8.60018586,177.1999969482422,10.0
44,1411812484000,41.17593199,-8.60021335,176.10000610351565,10.0
45,1411812485000,41.17583869,-8.60022329,176.3000030517578,11.0
46,1411812486000,41.1757406,-8.600258029999999,175.6999969482422,11.0
47,1411812487000,41.17567673,-8.60022524,175.60000610351565,11.0
48,1411812488000,41.17559147,-8.60020779,175.8000030517578,11.0
49,1411812489000,41.17551254,-8.60017537,176.0,11.0
50,1411812490000,41.17543048,-8.60014165,175.60000610351565,11.0
51,1411812491000,41.17533669,-8.60010342,177.10000610351565,11.0
52,1411812492000,41.17524648,-8.60008178,175.89999389648438,12.0
53,1411812493000,41.17515474,-8.60004775,176.0,12.0
54,1411812494000,41.17510301,-8.599998,175.3000030517578,11.0
55,1411812495000,41.17504809,-8.59996301,174.8000030517578,12.0
56,1411812497000,41.17500331,-8.59991569,175.10000610351565,11.0
57,1411812499000,41.17494406,-8.59990984,174.3000030517578,12.0
58,1411812509000,41.17491197,-8.59986652,175.89999389648438,12.0
59,1411812534000,41.17484766,-8.59984706,178.60000610351565,12.0
60,1411812536000,41.174786,-8.5997706,178.60000610351565,12.0
61,1411812537000,41.1747164,-8.59970975,179.10000610351565,12.0
62,1411812538000,41.1745564,-8.59962473,179.10000610351565,13.0
63,1411812539000,41.17446233,-8.59956954,178.60000610351565,13.0
64,1411812540000,41.17438018,-8.59956143,179.5,14.0
65,1411812541000,41.17431671,-8.59946303,178.6999969482422,15.0
66,1411812542000,41.17415704,-8.59937303,178.6999969482422,14.0
67,1411812543000,41.17405695,-8.59933814,178.60000610351565,14.0
68,1411812544000,41.17398886,-8.59929693,178.60000610351565,15.0
69,1411812545000,41.17388836,-8.5992687,179.1999969482422,15.0
70,1411812546000,41.17380096,-8.59912854,180.5,16.0
71,1411812547000,41.17362119,-8.59903944,181.3000030517578,15.0
72,1411812548000,41.17352866,-8.59901122,180.1999969482422,15.0
73,1411812549000,41.17337451,-8.59894824,181.0,13.0
74,1411812550000,41.17324567,-8.59886881,180.5,13.0
75,1411812551000,41.17312428,-8.59880452,180.5,13.0
76,1411812552000,41.17294479,-8.59874346,183.60000610351565,12.0
77,1411812553000,41.17284353,-8.59868475,182.60000610351565,13.0
78,1411812554000,41.17275337,-8.59862234,182.1999969482422,13.0
79,1411812555000,41.17265414,-8.59854495,182.1999969482422,13.0
80,1411812556000,41.17254823,-8.5984769,182.0,13.0
81,1411812557000,41.17243137,-8.5984067,181.1999969482422,13.0
82,1411812558000,41.17232749,-8.59835823,181.3999938964844,12.0
83,1411812559000,41.17222496,-8.59829964,181.8999938964844,11.0
84,1411812560000,41.17213061,-8.59823779,182.3000030517578,12.0
85,1411812561000,41.17202024,-8.59818103,183.10000610351565,12.0
86,1411812562000,41.17192943,-8.59811901,183.8999938964844,12.0
87,1411812563000,41.17183127,-8.59806044,183.8000030517578,12.0
88,1411812564000,41.17176265,-8.59798544,184.8999938964844,13.0
89,1411812565000,41.17165214,-8.59792701,183.8000030517578,13.0
90,1411812566000,41.17153029,-8.59784627,183.0,13.0
91,1411812567000,41.17146853,-8.5977889,182.8000030517578,13.0
92,1411812568000,41.17135708,-8.5977173,184.0,13.0
93,1411812569000,41.17123368,-8.59768071,184.60000610351565,13.0
94,1411812570000,41.17113397,-8.59767816,183.6999969482422,13.0
95,1411812571000,41.17104302,-8.59764809,183.8000030517578,14.0
96,1411812572000,41.1709174,-8.59758528,184.0,14.0
97,1411812573000,41.17082918,-8.59756957,183.6999969482422,14.0
98,1411812574000,41.17077724,-8.59755744,185.0,14.0
99,1411812575000,41.17063601,-8.5975025,185.0,12.0
100,1411812576000,41.17056882,-8.59749327,186.10000610351565,12.0
101,1411812577000,41.17042912,-8.59745325,188.1999969482422,12.0
102,1411812578000,41.17028002,-8.59742346,189.60000610351565,12.0
103,1411812579000,41.17018268,-8.59739315,189.60000610351565,12.0
104,1411812580000,41.17011262,-8.59738622,189.8999938964844,12.0
105,1411812581000,41.16999737,-8.59736721,190.5,12.0
106,1411812582000,41.16990526,-8.59735337,190.5,12.0
107,1411812585000,41.16983592,-8.59736529,191.3999938964844,11.0
108,1411812590000,41.16978933,-8.59737192,190.3999938964844,12.0
109,1411812593000,41.16972189,-8.59735866,189.5,11.0
110,1411812595000,41.1696454,-8.597367,189.6999969482422,11.0
111,1411812597000,41.16958448,-8.59737719,188.60000610351565,11.0
112,1411812599000,41.16952531,-8.59737754,189.10000610351565,11.0
113,1411812601000,41.16947078,-8.59738155,188.0,11.0
114,1411812603000,41.16941,-8.59738014,187.60000610351565,11.0
115,1411812605000,41.16935426,-8.59737463,188.0,12.0
116,1411812607000,41.16930304,-8.59739038,188.10000610351565,13.0
117,1411812617000,41.16934982,-8.59736724,191.3000030517578,10.0
118,1411813041000,41.16930858,-8.59739441,196.60000610351565,10.0
119,1411813043000,41.16921959,-8.59739136,197.8000030517578,10.0
120,1411813044000,41.1690752,-8.5973836,199.10000610351565,10.0
121,1411813045000,41.16901245,-8.5973809,198.1999969482422,10.0
122,1411813046000,41.16894936,-8.59740649,196.8999938964844,10.0
123,1411813047000,41.16887478,-8.59742164,197.10000610351565,11.0
124,1411813048000,41.16880771,-8.59743085,197.10000610351565,11.0
125,1411813049000,41.16875539,-8.59745177,196.3999938964844,11.0
126,1411813050000,41.16869637,-8.59747532,196.10000610351565,11.0
127,1411813051000,41.16863187,-8.59749947,195.8000030517578,11.0
128,1411813052000,41.16858009,-8.59751172,195.8000030517578,11.0
129,1411813053000,41.1685109,-8.59754855,195.8000030517578,11.0
130,1411813054000,41.16845325,-8.59758511,196.8000030517578,11.0
131,1411813055000,41.16838611,-8.59761973,194.10000610351565,11.0
132,1411813056000,41.16831199,-8.59765611,191.8000030517578,11.0
133,1411813057000,41.16822065,-8.59769346,192.0,11.0
134,1411813058000,41.16811866,-8.59772902,192.8000030517578,11.0
135,1411813059000,41.16803571,-8.59776605,192.8999938964844,11.0
136,1411813060000,41.1679586,-8.59781087,194.0,11.0
137,1411813061000,41.16786782,-8.59786161,193.1999969482422,11.0
138,1411813062000,41.16779268,-8.59790255,192.3999938964844,10.0
139,1411813063000,41.167711,-8.59793693,192.60000610351565,10.0
140,1411813064000,41.16761794,-8.59797882,193.1999969482422,10.0
141,1411813065000,41.16754162,-8.59799744,193.3999938964844,11.0
142,1411813066000,41.16744997,-8.59804872,194.0,11.0
143,1411813067000,41.16737233,-8.59807853,194.0,11.0
144,1411813068000,41.16731666,-8.59810497,195.0,11.0
145,1411813069000,41.16727427,-8.59813322,195.1999969482422,11.0
146,1411813070000,41.16722737,-8.5981657,197.0,11.0
147,1411813072000,41.16716975,-8.59820626,198.60000610351565,10.0
148,1411813079000,41.16711045,-8.59810996,199.1999969482422,10.0
149,1411813081000,41.16709838,-8.59803801,199.0,11.0
150,1411813083000,41.16704601,-8.59794003,200.8999938964844,11.0
151,1411813084000,41.16699919,-8.59781949,201.10000610351565,11.0
152,1411813085000,41.16699877,-8.59775254,201.1999969482422,11.0
153,1411813086000,41.16698177,-8.59768657,201.1999969482422,11.0
154,1411813087000,41.16695597,-8.59762666,201.3999938964844,11.0
155,1411813088000,41.16690768,-8.59760835,203.0,12.0
156,1411813089000,41.16683772,-8.597602,203.0,13.0
157,1411813092000,41.16677787,-8.59754451,203.1999969482422,14.0
158,1411813094000,41.16670765,-8.59755787,203.8000030517578,14.0
159,1411813096000,41.16662891,-8.5976069,204.60000610351565,15.0
160,1411813097000,41.16658426,-8.59761831,204.5,15.0
161,1411813098000,41.16653733,-8.59762523,204.0,15.0
162,1411813100000,41.16645208,-8.59762762,203.60000610351565,14.0
163,1411813102000,41.16638693,-8.59767214,203.8000030517578,14.0
164,1411813103000,41.16634499,-8.59769947,204.0,14.0
165,1411813104000,41.16629537,-8.59771949,203.60000610351565,14.0
166,1411813108000,41.16623886,-8.59771845,206.6999969482422,15.0
167,1411813111000,41.16617688,-8.59774734,206.6999969482422,18.0
168,1411813113000,41.16611841,-8.59778617,206.8999938964844,16.0
169,1411813114000,41.16612029,-8.59784613,207.1999969482422,16.0
170,1411813116000,41.16607997,-8.59797658,207.5,14.0
171,1411813117000,41.16605683,-8.5980434,207.60000610351565,13.0
172,1411813118000,41.16603608,-8.59809987,206.1999969482422,13.0
173,1411813120000,41.1659874,-8.59819544,206.0,13.0
174,1411813121000,41.16595429,-8.59823582,206.3999938964844,13.0
175,1411813122000,41.1659161,-8.59827323,206.5,14.0
176,1411813123000,41.16587734,-8.5983094,206.5,15.0
177,1411813124000,41.16584052,-8.59834719,206.60000610351565,15.0
178,1411813125000,41.16580137,-8.59839312,206.8999938964844,15.0
179,1411813126000,41.16570714,-8.59840755,207.3000030517578,14.0
180,1411813128000,41.16563617,-8.59843737,209.3999938964844,12.0
181,1411813129000,41.16554655,-8.59850689,205.10000610351565,12.0
182,1411813132000,41.16549949,-8.59855467,209.3999938964844,12.0
183,1411813133000,41.16538277,-8.59846151,212.5,11.0
184,1411813135000,41.16537619,-8.59838032,214.8999938964844,10.0
185,1411813137000,41.16537104,-8.59830433,215.5,10.0
186,1411813139000,41.16535586,-8.59821225,219.6999969482422,10.0
187,1411813141000,41.16534111,-8.59811442,219.6999969482422,10.0
188,1411813143000,41.16533408,-8.59801953,218.5,10.0
189,1411813145000,41.16532327,-8.59792923,217.5,10.0
190,1411813147000,41.16531002,-8.5978497,213.5,10.0
191,1411813149000,41.16529026,-8.59777293,213.60000610351565,10.0
192,1411813151000,41.16528214,-8.59768052,213.10000610351565,10.0
193,1411813153000,41.16528055,-8.59757695,213.8999938964844,10.0
194,1411813155000,41.16526863,-8.59745729,211.10000610351565,10.0
195,1411813156000,41.16525745,-8.59738725,210.8999938964844,10.0
196,1411813157000,41.16523227,-8.59729177,212.5,10.0
197,1411813158000,41.16522596,-8.59721641,213.10000610351565,10.0
198,1411813160000,41.16521421,-8.59710838,215.3000030517578,10.0
199,1411813161000,41.16521848,-8.597048149999999,214.6999969482422,10.0
200,1411813163000,41.16522028,-8.59693883,214.10000610351565,10.0
201,1411813165000,41.16522013,-8.59684029,214.1999969482422,10.0
202,1411813167000,41.16521293,-8.59671972,214.60000610351565,10.0
203,1411813168000,41.16520674,-8.59665735,214.5,10.0
204,1411813169000,41.16519481,-8.59659862,214.60000610351565,10.0
205,1411813170000,41.16517818,-8.59651678,214.0,10.0
206,1411813171000,41.16517002,-8.59645575,213.8000030517578,11.0
207,1411813172000,41.16515744,-8.59638009,213.8999938964844,10.0
208,1411813173000,41.16513538,-8.59631822,213.8000030517578,11.0
209,1411813174000,41.16513311,-8.59625208,213.8000030517578,11.0
210,1411813175000,41.16512693,-8.59616123,213.8999938964844,10.0
211,1411813176000,41.1651153,-8.59607977,213.8000030517578,11.0
212,1411813177000,41.1650906,-8.59599041,213.3000030517578,10.0
213,1411813178000,41.16507919,-8.59589144,213.3999938964844,10.0
214,1411813179000,41.1650601,-8.59579947,212.60000610351565,10.0
215,1411813180000,41.1650338,-8.59567908,211.3000030517578,10.0
216,1411813181000,41.16502717,-8.59558681,209.8000030517578,10.0
217,1411813182000,41.16500924,-8.59549561,209.3999938964844,10.0
218,1411813183000,41.1650027,-8.59541039,209.3000030517578,10.0
219,1411813184000,41.16496798,-8.5953337,209.3000030517578,10.0
