,gpstime,latitude,longitude,altitude,speed,heading,hpdop,vdop,pdop
0,1457869762.0,41.17889765,-8.594176983,132.1,0.000,153.00,2.3,3.6,4.3
1,1457869763.0,41.178897417,-8.594177,132.1,0.000,74.70,2.3,3.6,4.3
2,1457869764.0,41.178897267,-8.594177017,132.1,0.000,233.00,2.3,3.6,4.3
3,1457869765.0,41.1788972,-8.594177017,132.1,0.000,0.10,2.3,3.6,4.3
4,1457869766.0,41.178897083,-8.594177,132.1,0.000,63.90,2.3,3.6,4.3
5,1457869767.0,41.178896983,-8.594177033,132.2,0.000,329.20,2.3,3.6,4.3
6,1457869768.0,41.178896867,-8.594177,132.2,0.000,52.40,2.3,3.6,4.3
7,1457869769.0,41.178897,-8.5941768,132.2,0.000,168.80,2.3,3.6,4.3
8,1457869770.0,41.178897133,-8.594176767,132.2,0.051,235.30,2.3,3.6,4.3
9,1457869771.0,41.178897217,-8.594176667,132.2,0.000,309.30,2.3,3.6,4.3
10,1457869772.0,41.178897267,-8.59417665,132.2,0.000,122.40,2.3,3.6,4.3
11,1457869773.0,41.178897133,-8.594177433,132.3,0.051,215.90,2.3,3.6,4.3
12,1457869774.0,41.178896917,-8.594180117,132.3,0.051,265.40,2.3,3.6,4.3
13,1457869775.0,41.17889575,-8.594179383,132.4,0.154,185.20,2.3,3.6,4.3
14,1457869776.0,41.178896283,-8.5941797,132.4,0.154,323.30,2.3,3.6,4.3
15,1457869777.0,41.178896467,-8.594183483,132.1,0.463,260.70,2.3,3.6,4.3
16,1457869778.0,41.178895133,-8.594183967,131.9,0.257,225.10,2.3,3.6,4.3
17,1457869779.0,41.178897917,-8.594181767,132.3,0.412,128.90,1.4,?,?
18,1457869780.0,41.1789069,-8.5941803,132.5,0.206,326.50,1.3,?,?
19,1457869781.0,41.17891175,-8.594178267,132.6,0.103,24.90,1.3,?,?
20,1457869782.0,41.178914067,-8.5941756,132.8,0.154,79.70,1.3,?,?
21,1457869783.0,41.178914567,-8.59417825,133.1,0.103,244.90,1.3,?,?
22,1457869784.0,41.17891685,-8.594178333,133.3,0.051,300.40,1.8,?,?
23,1457869785.0,41.178917533,-8.5941766,133.1,0.103,141.90,1.8,?,?
24,1457869786.0,41.178915667,-8.594172983,129.5,0.051,176.80,2.4,1.0,2.6
25,1457869787.0,41.178942717,-8.594229167,167.0,0.926,309.10,2.4,1.0,2.6
26,1457869788.0,41.178960583,-8.594233367,166.6,2.161,342.00,2.4,1.0,2.6
27,1457869789.0,41.178997933,-8.59423255,166.4,3.601,352.50,2.4,1.0,2.6
28,1457869790.0,41.179033083,-8.594232867,166.4,4.167,356.20,2.4,1.0,2.6
29,1457869791.0,41.1790533,-8.594225033,166.4,4.064,3.90,2.4,1.0,2.6
30,1457869792.0,41.179073433,-8.59421585,166.4,3.961,10.90,2.4,1.0,2.6
31,1457869793.0,41.1790771,-8.59421,166.4,3.241,14.10,2.4,1.0,2.6
32,1457869794.0,41.179058,-8.594213783,166.4,1.595,13.10,2.4,1.0,2.6
33,1457869795.0,41.179064033,-8.594205983,166.4,1.132,36.30,3.3,1.0,3.5
