,1457869844982,41.17891928,-8.59419871,181.1999969482422,14.0
0,1457869883000,41.17896796,-8.59418355,203.8000030517578,4.0
1,1457869920000,41.17901775,-8.59414588,200.8000030517578,3.0
2,1457869922000,41.17907142,-8.59411269,198.5,3.0
3,1457869924000,41.17913637,-8.59416392,195.0,4.0
4,1457869925000,41.17915381,-8.59422671,193.3999938964844,4.0
5,1457869926000,41.1791558,-8.59429683,192.5,4.0
6,1457869927000,41.17915958,-8.59438183,191.1999969482422,4.0
7,1457869928000,41.1791583,-8.59446162,190.5,4.0
8,1457869929000,41.17916191,-8.59455022,190.1999969482422,4.0
9,1457869930000,41.17916287,-8.59464553,190.10000610351565,4.0
10,1457869931000,41.17916874,-8.59473009,190.60000610351565,4.0
11,1457869932000,41.17917002,-8.59480288,191.10000610351565,4.0
12,1457869933000,41.17917049,-8.59486903,190.8000030517578,3.0
13,1457869934000,41.17917268,-8.59494646,190.3000030517578,3.0
14,1457869935000,41.17917877,-8.59502933,190.8000030517578,4.0
15,1457869936000,41.17918388,-8.59512742,190.5,3.0
16,1457869937000,41.17918534,-8.59523608,190.1999969482422,4.0
17,1457869938000,41.17919082,-8.59536204,189.8000030517578,3.0
18,1457869939000,41.17920061,-8.59549867,188.8000030517578,3.0
19,1457869940000,41.17921158,-8.59562797,189.5,3.0
20,1457869941000,41.17922577,-8.59575687,189.3000030517578,3.0
21,1457869942000,41.17923481,-8.59588049,189.10000610351565,3.0
22,1457869943000,41.17924267,-8.59599061,189.0,3.0
23,1457869944000,41.17923844,-8.59608744,188.6999969482422,3.0
24,1457869945000,41.17921032,-8.59616058,188.8999938964844,4.0
25,1457869946000,41.17915537,-8.59620012,189.0,4.0
26,1457869947000,41.17907325,-8.59621676,188.3999938964844,3.0
27,1457869948000,41.17898679,-8.59622404,188.3000030517578,4.0
28,1457869949000,41.17889175,-8.59623902,186.3000030517578,3.0
29,1457869950000,41.17879535,-8.59625285,185.1999969482422,4.0
30,1457869951000,41.1787118,-8.59626654,185.10000610351565,5.0
31,1457869952000,41.17864421,-8.59628326,184.3999938964844,5.0
32,1457869953000,41.17857921,-8.59630612,183.60000610351565,5.0
33,1457869954000,41.17852239,-8.59632098,183.60000610351565,6.0
34,1457869956000,41.17851964,-8.59640324,183.5,5.0
35,1457869957000,41.1785325,-8.59646693,182.6999969482422,5.0
36,1457869958000,41.17853833,-8.59653539,182.1999969482422,5.0
37,1457869959000,41.17855792,-8.5966318,181.8999938964844,5.0
38,1457869960000,41.17856605,-8.59673762,181.3000030517578,4.0
39,1457869961000,41.17859106,-8.59683931,181.0,4.0
