,gpstime,latitude,longitude,altitude,speed,heading,hpdop,vdop,pdop
0,1518257199.0,41.23983715,-8.542060783,-52.6,0.154,323.50,2.5,1.0,2.7
1,1518257200.0,41.23983745,-8.542061183,-52.7,0.103,324.70,2.5,1.0,2.7
2,1518257201.0,41.239837367,-8.542061267,-52.6,0.051,322.70,2.5,1.0,2.7
3,1518257202.0,41.2398374,-8.54206145,-52.6,0.103,319.40,2.5,1.0,2.7
4,1518257203.0,41.23983745,-8.542061667,-52.6,0.051,324.60,2.5,1.0,2.7
5,1518257204.0,41.2398376,-8.54206195,-52.6,0.051,316.10,2.5,1.0,2.7
6,1518257205.0,41.239837767,-8.542062167,-52.6,0.103,321.40,2.5,1.0,2.7
7,1518257206.0,41.239837867,-8.542062383,-52.6,0.051,320.60,2.5,1.0,2.7
8,1518257207.0,41.239837917,-8.542062583,-52.6,0.103,319.20,2.5,1.0,2.7
9,1518257208.0,41.239838083,-8.542062783,-52.6,0.051,316.90,2.5,1.0,2.7
10,1518257209.0,41.239838217,-8.542062983,-52.6,0.051,325.60,2.5,1.0,2.7
11,1518257210.0,41.239838367,-8.5420632,-52.6,0.051,320.90,2.5,1.0,2.7
12,1518257211.0,41.239838433,-8.542063417,-52.6,0.051,315.10,2.5,1.0,2.7
13,1518257212.0,41.239838567,-8.542063717,-52.7,0.103,320.00,2.5,1.0,2.7
14,1518257213.0,41.239838633,-8.542063817,-52.7,0.103,318.10,2.5,1.0,2.7
15,1518257214.0,41.2398388,-8.542064033,-52.7,0.103,319.20,2.5,1.0,2.7
16,1518257215.0,41.239838967,-8.5420642,-52.7,0.051,320.40,2.5,1.0,2.7
17,1518257216.0,41.239838983,-8.542064283,-52.8,0.051,314.10,2.5,1.0,2.7
18,1518257217.0,41.239839067,-8.542064433,-52.8,0.051,317.80,2.5,1.0,2.7
19,1518257218.0,41.239839267,-8.542064633,-52.8,0.051,312.30,2.5,1.0,2.7
20,1518257219.0,41.239839317,-8.542064767,-52.8,0.051,313.70,2.5,1.0,2.7
21,1518257220.0,41.239839517,-8.542065033,-52.9,0.051,318.70,2.5,1.0,2.7
22,1518257221.0,41.239839833,-8.5420654,-52.9,0.103,321.30,2.5,1.0,2.7
23,1518257222.0,41.23984,-8.542065583,-53.0,0.103,315.20,2.5,1.0,2.7
24,1518257223.0,41.239840167,-8.5420658,-53.0,0.103,318.50,2.5,1.0,2.7
25,1518257224.0,41.239840367,-8.542065983,-53.0,0.051,320.60,2.5,1.0,2.7
26,1518257225.0,41.2398405,-8.542066117,-53.1,0.051,322.70,2.5,1.0,2.7
