,gpstime,latitude,longitude,altitude,speed,heading,hpdop,vdop,pdop
0,1518261655.0,41.23907795,-8.541805883,138.6,0.051,201.00,1.0,?,?
1,1518261656.0,41.239077667,-8.541806567,138.4,0.103,250.30,1.0,?,?
2,1518261657.0,41.239077233,-8.541807933,138.4,0.051,238.50,1.0,?,?
3,1518261658.0,41.2390773,-8.541807967,138.6,0.051,253.40,1.0,?,?
4,1518261659.0,41.239077217,-8.5418067,138.4,0.051,94.90,1.0,?,?
5,1518261660.0,41.239077867,-8.541792317,139.0,0.051,108.50,1.0,?,?
6,1518261661.0,41.239077917,-8.54178155,139.8,0.051,175.20,1.0,?,?
7,1518261662.0,41.239078267,-8.541768367,140.9,0.051,65.40,1.0,?,?
8,1518261663.0,41.239078,-8.541761283,141.7,0.051,56.90,0.9,?,?
9,1518261664.0,41.23907825,-8.541757933,141.5,0.051,100.70,0.9,?,?
10,1518261665.0,41.239078717,-8.541756167,141.3,0.103,76.80,0.9,?,?
11,1518261666.0,41.239079183,-8.541749133,140.9,0.103,64.10,1.1,?,?
12,1518261667.0,41.239080217,-8.541746417,140.7,0.051,74.10,1.0,?,?
13,1518261668.0,41.239081483,-8.541741383,141.4,0.154,67.70,1.0,?,?
14,1518261669.0,41.239081217,-8.541743833,140.8,0.051,57.60,1.0,?,?
15,1518261670.0,41.239080667,-8.541746417,140.2,0.000,69.90,1.0,?,?
16,1518261671.0,41.239079717,-8.541750417,139.3,0.051,232.30,1.0,?,?
17,1518261672.0,41.239078817,-8.5417541,138.6,0.051,244.70,1.0,?,?
18,1518261673.0,41.239079533,-8.541754683,138.4,0.051,273.20,0.9,?,?
19,1518261674.0,41.23907975,-8.541755833,138.3,0.051,237.50,0.9,?,?
20,1518261675.0,41.2390803,-8.5417558,138.4,0.103,246.00,0.9,?,?
21,1518261676.0,41.23908045,-8.54175655,137.9,0.051,255.00,0.9,?,?
22,1518261677.0,41.23908205,-8.54175105,138.6,0.051,66.10,0.9,?,?
23,1518261678.0,41.239083117,-8.5417462,139.4,0.051,74.00,0.9,?,?
24,1518261679.0,41.239083783,-8.541742533,140.0,0.051,86.80,0.9,?,?
25,1518261680.0,41.2390818,-8.541741833,140.4,0.051,155.80,0.8,?,?
26,1518261681.0,41.2390798,-8.541739533,140.9,0.000,120.30,0.8,?,?
27,1518261682.0,41.2390783,-8.5417387,141.1,0.000,61.50,0.8,?,?
28,1518261683.0,41.239076967,-8.541737467,141.4,0.051,79.30,0.8,?,?
29,1518261684.0,41.239075917,-8.541736767,141.6,0.051,67.40,0.9,?,?
30,1518261685.0,41.239073383,-8.541742183,140.8,0.051,241.30,0.8,?,?
31,1518261686.0,41.2390715,-8.541745867,140.5,0.000,193.20,0.8,?,?
32,1518261687.0,41.239070217,-8.54174785,140.4,0.000,213.90,0.9,?,?
33,1518261688.0,41.23906925,-8.541749083,140.3,0.051,342.50,0.8,?,?
