,gpstime,latitude,longitude,altitude,speed,heading,hpdop,vdop,pdop
0,1518263739.0,41.23910255,-8.54165405,138.8,0.051,209.00,12.4,?,?
1,1518263740.0,41.239104483,-8.541651067,139.0,0.051,245.80,1.5,?,?
2,1518263741.0,41.23910735,-8.541645067,141.3,0.206,239.50,17.7,?,?
3,1518263742.0,41.239106,-8.5416483,140.9,0.257,242.70,17.8,?,?
4,1518263743.0,41.239107117,-8.54164715,140.2,0.051,280.90,12.8,?,?
5,1518263744.0,41.239109233,-8.541635567,139.0,0.257,74.10,12.8,?,?
6,1518263745.0,41.239111467,-8.54162535,138.3,0.412,65.80,17.7,?,?
7,1518263746.0,41.239111417,-8.5416181,137.0,0.514,72.50,56.7,?,?
8,1518263747.0,41.239109967,-8.541604517,136.3,0.669,87.30,17.9,?,?
9,1518263748.0,41.239103367,-8.541597717,135.6,0.720,110.10,21.5,?,?
10,1518263749.0,41.239094567,-8.541592933,135.1,0.772,132.10,21.5,?,?
11,1518263750.0,41.23908675,-8.541586767,134.9,0.926,141.10,21.4,?,?
12,1518263751.0,41.239081117,-8.5415789,134.8,0.977,142.40,21.4,?,?
13,1518263752.0,41.239077967,-8.54156895,134.9,0.977,136.80,19.7,?,?
14,1518263753.0,41.239074917,-8.541559167,135.0,0.926,132.80,19.7,?,?
15,1518263754.0,41.239074067,-8.541546583,135.0,0.926,125.40,19.7,?,?
16,1518263798.0,41.23907505,-8.541526967,135.1,?,?,19.7,?,?
17,1518263799.0,41.239089067,-8.54172405,142.2,0.000,85.80,3.5,?,?
18,1518263800.0,41.239091317,-8.54171845,142.2,1.080,61.90,3.5,?,?
19,1518263801.0,41.23909365,-8.5417139,142.2,0.977,252.70,3.5,?,?
20,1518263802.0,41.239093917,-8.541710933,142.2,1.595,242.00,3.5,?,?
21,1518263803.0,41.2389725,-8.542098617,142.2,2.212,71.00,21.9,?,?
22,1518263804.0,41.238937967,-8.5422015,142.2,0.360,129.10,21.9,?,?
23,1518263805.0,41.238916033,-8.542249317,142.2,10.032,242.70,21.9,?,?
24,1518263806.0,41.23891255,-8.542234667,142.2,0.875,143.40,21.9,?,?
25,1518263807.0,41.238930733,-8.542154783,142.2,5.813,75.50,22.0,?,?
26,1518263808.0,41.238910617,-8.542187717,142.2,3.190,86.20,22.0,?,?
27,1518263809.0,41.238884217,-8.5422324,142.2,1.801,138.20,22.0,?,?
28,1518263810.0,41.238843833,-8.542315467,142.2,14.713,74.80,22.0,?,?
29,1518263811.0,41.23884315,-8.54227105,142.2,10.855,237.50,22.1,?,?
30,1518263812.0,41.238787067,-8.542373617,142.2,7.768,227.20,22.1,?,?
31,1518263813.0,41.238746267,-8.542376333,142.2,3.704,117.70,22.2,?,?
32,1518263814.0,41.23869105,-8.542463017,142.2,6.842,218.90,22.2,?,?
33,1518263815.0,41.238633767,-8.542538733,142.2,4.681,196.60,22.2,?,?
34,1518263816.0,41.238797617,-8.54189695,143.1,5.916,206.40,3.2,?,?
35,1518263817.0,41.238742883,-8.541947267,143.1,5.916,203.60,3.2,?,?
36,1518263818.0,41.23868935,-8.5419958,143.3,6.276,210.30,3.2,?,?
37,1518263819.0,41.23863915,-8.542044417,143.5,5.607,212.70,3.2,?,?
38,1518263820.0,41.23861275,-8.5420549,142.8,4.013,219.40,3.2,?,?
39,1518263821.0,41.238582883,-8.54210765,143.3,2.058,222.40,3.2,?,?
40,1518263822.0,41.238578317,-8.542112,142.7,3.447,238.70,3.2,?,?
41,1518263823.0,41.23856215,-8.542075183,142.5,2.418,266.90,3.2,?,?
42,1518263824.0,41.238584067,-8.542045167,142.7,2.932,8.60,3.2,?,?
43,1518263825.0,41.238611733,-8.542010033,142.8,4.064,9.80,3.2,?,?
44,1518263826.0,41.238645417,-8.542019933,142.9,4.373,7.60,3.2,?,?
45,1518263827.0,41.238895883,-8.54207745,227.4,62.351,60.10,2.6,?,?
46,1518263828.0,41.238938483,-8.5416343,341.1,44.757,60.70,13.1,?,?
47,1518263829.0,41.239105867,-8.541230517,467.9,43.728,60.60,13.1,?,?
48,1518263830.0,41.238938067,-8.541865717,315.4,14.456,47.20,4.4,1.0,4.5
49,1518263831.0,41.238960367,-8.542189783,284.6,14.199,323.70,4.4,1.0,4.5
50,1518263832.0,41.239113367,-8.54221815,307.3,16.256,334.60,4.4,1.0,4.5
51,1518263833.0,41.2393135,-8.542229983,320.4,19.240,348.90,4.4,1.0,4.5
52,1518263834.0,41.23955425,-8.542242033,327.7,23.047,352.60,4.4,1.0,4.5
53,1518263835.0,41.2397993,-8.542272367,331.9,25.671,352.90,4.4,1.0,4.5
54,1518263836.0,41.240043317,-8.542313533,335.5,27.420,351.80,4.4,1.0,4.5
55,1518263837.0,41.240296,-8.54235645,339.5,28.500,351.50,4.4,1.0,4.5
56,1518263838.0,41.24014075,-8.542290433,336.0,22.790,349.10,10.2,?,?
57,1518263839.0,41.240214583,-8.54231615,336.4,21.195,344.30,10.2,?,?
58,1518263840.0,41.240385833,-8.542384833,337.0,20.629,341.10,19.4,1.0,19.4
59,1518263841.0,41.240518733,-8.542446317,338.0,18.623,341.80,4.4,1.0,4.5
60,1518263842.0,41.24048635,-8.542484867,339.1,15.125,338.70,4.3,?,?
61,1518263843.0,41.240192483,-8.5425175,339.8,9.363,318.80,4.3,?,?
62,1518263844.0,41.238727983,-8.5423309,324.0,11.163,209.60,2.2,?,?
63,1518263851.0,41.238612033,-8.542406883,325.9,?,?,2.6,?,?
64,1518263852.0,41.237869767,-8.542891467,337.3,14.867,206.30,23.2,?,?
65,1518263853.0,41.237741517,-8.542984233,337.9,15.639,207.80,23.2,?,?
66,1518263854.0,41.237615833,-8.543073483,339.0,15.896,208.50,23.3,?,?
67,1518263855.0,41.237475733,-8.54316185,337.8,16.154,209.10,23.3,?,?
68,1518263856.0,41.23732865,-8.5432477,334.8,15.948,208.80,23.3,?,?
69,1518263857.0,41.237194867,-8.5433355,334.2,15.845,208.20,23.3,?,?
70,1518263858.0,41.237068217,-8.543421617,334.6,15.588,207.70,23.4,?,?
71,1518263859.0,41.236942467,-8.543507167,334.5,15.485,207.70,23.4,?,?
72,1518263860.0,41.2368208,-8.54358845,333.9,15.125,207.90,23.4,?,?
73,1518263861.0,41.2367063,-8.543665433,333.4,14.199,208.00,23.5,?,?
74,1518263862.0,41.236601567,-8.543739433,333.5,12.964,209.30,23.5,?,?
75,1518263863.0,41.2365182,-8.5438162,333.9,11.061,218.50,23.5,?,?
76,1518263864.0,41.23646645,-8.543888367,332.8,9.003,234.70,23.6,?,?
77,1518263865.0,41.236436467,-8.543991867,333.7,9.003,255.30,23.6,?,?
78,1518263866.0,41.236436183,-8.544109433,331.9,10.700,271.50,23.6,?,?
79,1518263867.0,41.23647205,-8.544187017,327.8,10.803,287.60,2.6,?,?
80,1518263868.0,41.23630935,-8.544752483,123.3,10.495,280.90,1.3,?,?
81,1518263869.0,41.236321867,-8.544869033,124.2,10.958,283.80,1.3,?,?
82,1518263870.0,41.236346933,-8.5449972,124.2,11.421,286.10,1.3,?,?
83,1518263871.0,41.236380217,-8.545135433,124.0,12.089,287.60,2.0,?,?
84,1518263872.0,41.236415683,-8.545279367,124.2,12.655,288.00,2.0,?,?
85,1518263873.0,41.236451833,-8.54542675,124.5,13.118,288.00,2.0,?,?
86,1518263874.0,41.236489433,-8.545577933,124.8,13.478,288.30,2.0,?,?
87,1518263875.0,41.236529583,-8.545732,125.3,13.787,289.00,2.0,?,?
88,1518263876.0,41.23656405,-8.545886467,126.1,13.787,287.60,2.0,?,?
89,1518263877.0,41.236599383,-8.546044417,126.9,13.941,286.00,2.0,?,?
90,1518263878.0,41.236634133,-8.546204567,127.5,13.993,285.00,2.0,?,?
91,1518263879.0,41.236669717,-8.546363117,127.7,13.839,285.60,4.1,?,?
92,1518263880.0,41.23670645,-8.546521767,127.7,13.787,286.40,4.1,?,?
93,1518263881.0,41.236748667,-8.546676917,127.9,13.633,288.60,4.1,?,?
