,n,Session,gps.seconds.Unix,gps.millis,gps.gpstime,gps.lat,gps.lon,gps.alt,gps.track,gps.speed.M-S,gps.epx,gps.nsats
0,1,4604,1411812173,366,1411812176,41.1779975891113,-8.59843635559082,177.600006103516,8.0,5.0,,
1,2,4604,1411812174,417,1411812177,41.1779937744141,-8.5984468460083,173.600006103516,6.0,6.0,,
2,3,4604,1411812175,446,1411812178,41.1780166625977,-8.59846019744873,172.600006103516,4.0,6.0,,
3,4,4604,1411812176,355,1411812179,41.1780128479004,-8.59846591949463,171.300003051758,4.0,5.0,,
4,5,4604,1411812177,355,1411812180,41.1780090332031,-8.59847068786621,171.100006103516,4.0,6.0,,
5,6,4604,1411812178,357,1411812181,41.1780090332031,-8.59846687316895,171.5,4.0,6.0,,
6,7,4604,1411812179,366,1411812182,41.177978515625,-8.59844970703125,175.100006103516,5.0,6.0,,
7,8,4604,1411812180,355,1411812183,41.177978515625,-8.59844875335693,175.0,5.0,6.0,,
8,9,4604,1411812181,358,1411812184,41.1779823303223,-8.59844970703125,174.5,5.0,6.0,,
9,10,4604,1411812182,911,1411812185,41.1779823303223,-8.59845066070557,174.699996948242,5.0,6.0,,
10,11,4604,1411812183,390,1411812186,41.1779861450195,-8.5984525680542,174.300003051758,4.0,6.0,,
11,12,4604,1411812184,364,1411812187,41.177978515625,-8.59844303131104,175.100006103516,3.0,6.0,,
12,13,4604,1411812185,419,1411812188,41.1779823303223,-8.59844207763672,175.0,4.0,6.0,,
13,14,4604,1411812186,359,1411812189,41.1779823303223,-8.59844207763672,174.800003051758,4.0,5.0,,
14,15,4604,1411812187,358,1411812190,41.1779823303223,-8.5984411239624,174.800003051758,4.0,5.0,,
15,16,4604,1411812188,390,1411812191,41.1779823303223,-8.5984411239624,174.699996948242,3.0,6.0,,
16,17,4604,1411812189,364,1411812192,41.177978515625,-8.59843730926514,175.199996948242,3.0,6.0,,
17,18,4604,1411812190,884,1411812193,41.1779747009277,-8.5984354019165,175.699996948242,4.0,6.0,,
18,19,4604,1411812191,448,1411812194,41.1779708862305,-8.59843063354492,176.399993896484,4.0,6.0,,
19,20,4604,1411812192,405,1411812195,41.1779670715332,-8.59842777252197,176.899993896484,4.0,6.0,,
20,21,4604,1411812193,405,1411812196,41.1779632568359,-8.59842491149902,177.300003051758,5.0,6.0,,
21,22,4604,1411812194,947,1411812197,41.1779632568359,-8.59842395782471,177.5,5.0,6.0,,
22,23,4604,1411812195,659,1411812198,41.1779632568359,-8.59842205047607,177.800003051758,5.0,6.0,,
23,24,4604,1411812196,363,1411812199,41.1779594421387,-8.59841728210449,178.600006103516,5.0,6.0,,
24,25,4604,1411812197,361,1411812200,41.1779556274414,-8.59841156005859,179.5,5.0,6.0,,
25,26,4604,1411812198,379,1411812201,41.1779556274414,-8.59840965270996,179.800003051758,4.0,6.0,,
26,27,4604,1411812199,405,1411812202,41.1779556274414,-8.59840869903564,180.100006103516,4.0,6.0,,
27,28,4604,1411812200,416,1411812203,41.1779518127441,-8.59840679168701,180.399993896484,4.0,6.0,,
28,29,4604,1411812201,425,1411812204,41.1779518127441,-8.59840488433838,180.600006103516,3.0,6.0,,
29,30,4604,1411812202,414,1411812205,41.1779518127441,-8.59840393066406,180.800003051758,3.0,6.0,,
30,31,4604,1411812203,414,1411812206,41.1779518127441,-8.59840297698975,180.899993896484,3.0,7.0,,
31,32,4604,1411812205,19,1411812207,41.1779479980469,-8.5984001159668,181.100006103516,4.0,7.0,,
32,33,4604,1411812205,554,1411812208,41.1779479980469,-8.5984001159668,181.100006103516,4.0,7.0,,
33,34,4604,1411812206,564,1411812209,41.1779479980469,-8.59839916229248,181.100006103516,5.0,7.0,,
34,35,4604,1411812207,548,1411812210,41.1779479980469,-8.59839916229248,181.100006103516,5.0,6.0,,
35,36,4604,1411812208,553,1411812211,41.1779479980469,-8.59839916229248,181.0,5.0,7.0,,
36,37,4604,1411812209,517,1411812212,41.1779479980469,-8.59839916229248,181.0,6.0,7.0,,
37,38,4604,1411812210,439,1411812213,41.1779479980469,-8.59839916229248,181.0,6.0,6.0,,
38,39,4604,1411812211,384,1411812214,41.1779479980469,-8.59839916229248,180.899993896484,5.0,7.0,,
39,40,4604,1411812212,405,1411812215,41.1779479980469,-8.59839916229248,180.899993896484,5.0,6.0,,
40,41,4604,1411812213,940,1411812216,41.1779479980469,-8.59839916229248,180.899993896484,4.0,6.0,,
41,42,4604,1411812214,430,1411812217,41.1779479980469,-8.59839916229248,180.899993896484,4.0,6.0,,
42,43,4604,1411812215,403,1411812218,41.1779479980469,-8.59839916229248,180.899993896484,4.0,7.0,,
43,44,4604,1411812216,386,1411812219,41.1779479980469,-8.59839916229248,180.899993896484,4.0,7.0,,
44,45,4604,1411812217,360,1411812220,41.1779479980469,-8.59839916229248,181.0,4.0,6.0,,
45,46,4604,1411812218,447,1411812221,41.1779479980469,-8.59839916229248,181.0,3.0,6.0,,
46,47,4604,1411812219,404,1411812222,41.1779479980469,-8.59839916229248,180.899993896484,3.0,6.0,,
47,48,4604,1411812220,400,1411812223,41.1779479980469,-8.59839820861816,180.899993896484,3.0,7.0,,
48,49,4604,1411812221,435,1411812224,41.1779479980469,-8.59839820861816,180.899993896484,3.0,7.0,,
49,50,4604,1411812222,365,1411812225,41.1779479980469,-8.59839820861816,181.0,3.0,7.0,,
50,51,4604,1411812223,402,1411812226,41.1779479980469,-8.59839820861816,181.0,3.0,7.0,,
51,52,4604,1411812224,417,1411812227,41.1779479980469,-8.59839820861816,180.899993896484,3.0,7.0,,
52,53,4604,1411812225,405,1411812228,41.1779479980469,-8.59839820861816,180.899993896484,3.0,7.0,,
53,54,4604,1411812226,361,1411812229,41.1779479980469,-8.59839820861816,180.899993896484,3.0,7.0,,
54,55,4604,1411812227,389,1411812230,41.1779479980469,-8.59839820861816,180.899993896484,3.0,7.0,,
55,56,4604,1411812228,411,1411812231,41.1779479980469,-8.59839820861816,180.899993896484,3.0,7.0,,
56,57,4604,1411812229,932,1411812232,41.1779479980469,-8.59839820861816,180.899993896484,3.0,7.0,,
57,58,4604,1411812230,474,1411812233,41.1779479980469,-8.59839820861816,181.0,9.0,7.0,,
58,59,4604,1411812231,422,1411812234,41.1779479980469,-8.59839820861816,181.0,9.0,7.0,,
59,60,4604,1411812232,360,1411812235,41.1779479980469,-8.59839820861816,181.0,9.0,7.0,,
60,61,4604,1411812233,377,1411812236,41.1779479980469,-8.59839820861816,181.0,9.0,7.0,,
61,62,4604,1411812234,397,1411812237,41.1779479980469,-8.59839820861816,180.899993896484,9.0,7.0,,
62,63,4604,1411812235,362,1411812238,41.1779479980469,-8.59839725494385,180.899993896484,9.0,7.0,,
63,64,4604,1411812236,379,1411812239,41.1779479980469,-8.59839725494385,180.800003051758,9.0,7.0,,
64,65,4604,1411812237,430,1411812240,41.1779479980469,-8.59839725494385,180.800003051758,9.0,7.0,,
65,66,4604,1411812238,404,1411812241,41.1779479980469,-8.59839725494385,180.800003051758,9.0,7.0,,
66,67,4604,1411812239,378,1411812242,41.1779441833496,-8.5983943939209,181.100006103516,9.0,7.0,,
67,68,4604,1411812240,367,1411812243,41.1779441833496,-8.5983943939209,181.0,9.0,7.0,,
68,69,4604,1411812241,909,1411812244,41.1779441833496,-8.5983943939209,181.0,9.0,7.0,,
69,70,4604,1411812242,394,1411812245,41.1779441833496,-8.5983943939209,180.899993896484,9.0,7.0,,
70,71,4604,1411812243,435,1411812246,41.1779441833496,-8.5983943939209,180.899993896484,9.0,7.0,,
71,72,4604,1411812244,435,1411812247,41.1779441833496,-8.59839344024658,180.800003051758,9.0,6.0,,
72,73,4604,1411812245,952,1411812248,41.1779441833496,-8.59839344024658,180.800003051758,9.0,7.0,,
73,74,4604,1411812246,606,1411812249,41.1779441833496,-8.59839344024658,180.800003051758,9.0,7.0,,
74,75,4604,1411812247,553,1411812250,41.1779441833496,-8.59839344024658,180.699996948242,9.0,6.0,,
75,76,4604,1411812248,491,1411812251,41.1779441833496,-8.59839344024658,180.699996948242,9.0,7.0,,
76,77,4604,1411812249,494,1411812252,41.1779479980469,-8.59839344024658,180.699996948242,9.0,7.0,,
77,78,4604,1411812250,465,1411812253,41.1779441833496,-8.59839344024658,180.699996948242,9.0,7.0,,
78,79,4604,1411812251,441,1411812254,41.1779441833496,-8.59839344024658,180.699996948242,9.0,8.0,,
79,80,4604,1411812252,415,1411812255,41.1779479980469,-8.59839344024658,180.699996948242,9.0,8.0,,
80,81,4604,1411812253,950,1411812256,41.1779479980469,-8.59839344024658,180.699996948242,9.0,7.0,,
81,82,4604,1411812254,534,1411812257,41.1779479980469,-8.59839344024658,180.699996948242,9.0,7.0,,
82,83,4604,1411812255,597,1411812258,41.1779479980469,-8.59839344024658,180.699996948242,9.0,7.0,,
83,84,4604,1411812256,472,1411812259,41.1779441833496,-8.59839344024658,180.600006103516,9.0,8.0,,
84,85,4604,1411812257,515,1411812260,41.1779441833496,-8.59839344024658,180.600006103516,9.0,8.0,,
85,86,4604,1411812258,406,1411812261,41.1779441833496,-8.59839344024658,180.5,9.0,8.0,,
86,87,4604,1411812259,411,1411812262,41.1779441833496,-8.59839344024658,180.5,10.0,8.0,,
87,88,4604,1411812260,407,1411812263,41.1779441833496,-8.59839344024658,180.5,10.0,8.0,,
88,89,4604,1411812261,991,1411812264,41.1779441833496,-8.59839344024658,180.399993896484,10.0,8.0,,
89,90,4604,1411812262,564,1411812265,41.1779441833496,-8.59839344024658,180.399993896484,10.0,7.0,,
90,91,4604,1411812263,570,1411812266,41.1779441833496,-8.59839344024658,180.399993896484,11.0,8.0,,
91,92,4604,1411812264,525,1411812267,41.1779441833496,-8.59839344024658,180.399993896484,11.0,8.0,,
