,n,Session,location.seconds.Unix,location.millis,location.gpstime,location.lat,location.lon,location.alt,location.track,location.speed.M-S,location.acc,location.nsats
0,1,14636,1479040794,948,1479040802.0,41.22935031,-8.55434503,156.1,209.3,0.25,24.0,8.0
1,2,14636,1479040795,911,1479040802.0,41.22938266,-8.55429435,154.6,209.3,0.75,14.0,7.0
2,3,14636,1479040797,203,1479040804.0,41.22935991,-8.55436169,156.4,209.3,0.75,13.0,1.0
3,4,14636,1479040798,193,1479040805.0,41.22933782,-8.5543496,155.7,18.0,6.0,,
4,5,14636,1479040799,906,1479040807.0,41.22929273,-8.55439261,155.2,12.0,7.0,,
5,6,14636,1479040800,913,1479040808.0,41.22929024,-8.55438195,155.2,11.0,7.0,,
6,7,14636,1479040801,905,1479040809.0,41.22928884,-8.55436001,155.5,11.0,7.0,,
7,8,14636,1479040802,917,1479040810.0,41.22930239,-8.55434867,155.7,11.0,7.0,,
8,9,14636,1479040803,905,1479040811.0,41.22929799,-8.55434917,155.8,10.0,7.0,,
9,10,14636,1479040805,429,1479040812.0,41.22930601,-8.55433506,156.2,10.0,7.0,,
10,11,14636,1479040806,939,1479040814.0,41.22931673,-8.55433028,156.6,10.0,7.0,,
11,12,14636,1479040808,461,1479040815.0,41.22932015,-8.55432978,156.7,10.0,7.0,,
12,13,14636,1479040810,484,1479040817.0,41.22931737,-8.55432603,156.7,10.0,7.0,,
13,14,14636,1479040812,469,1479040819.0,41.22931778,-8.55432567,156.7,9.0,7.0,,
14,15,14636,1479040814,532,1479040821.0,41.22931965,-8.55431901,156.5,10.0,7.0,,
15,16,14636,1479040815,922,1479040823.0,41.22932034,-8.55431525,156.3,10.0,7.0,,
16,17,14636,1479040817,445,1479040824.0,41.22932032,-8.55431478,156.3,10.0,7.0,,
17,18,14636,1479040819,482,1479040826.0,41.22932031,-8.55431394,156.3,10.0,7.0,,
18,19,14636,1479040820,47,1479040827.0,41.2293195,-8.5543051,155.7,9.0,-1.0,,
19,20,14636,1479040821,56,1479040828.0,41.22931837,-8.55428978,154.8,10.0,7.0,,
20,21,14636,1479040822,517,1479040829.0,41.22931834,-8.55428841,154.8,10.0,7.0,,
21,22,14636,1479040824,474,1479040831.0,41.22924739,-8.55427804,154.6,174.5,4.0,10.0,8.0
22,23,14636,1479040826,458,1479040833.0,41.22913133,-8.55422008,148.2,175.9,5.5,11.0,8.0
23,24,14636,1479040828,470,1479040835.0,41.22901661,-8.55419505,146.5,179.2,6.0,10.0,8.0
