GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
51.819317,-2.223346,109,0,9,346.9,14 / 25,23,2019-08-16 12:49:13:803,0.0055,-0.0267,9.5931,-0.0003,0,9.8067,-0.0021,-0.0011,0.0011,-21.8,16.8,11.94,220.32,6.88,1.83
51.819317,-2.223346,109,0,9,346.9,14 / 25,123,2019-08-16 12:49:13:903,0.0147,0.0507,9.9315,0.0014,0.0028,9.8066,0.0011,-0.0192,0,-21.54,16.52,12.78,220.54,6.88,1.83
51.819317,-2.223346,109,0,9,346.9,14 / 25,224,2019-08-16 12:49:14:004,-0.0499,-0.0697,9.7426,0.0018,-0.0011,9.8066,0.0064,0.0224,-0.0021,-21.54,16.52,12.78,220.54,6.88,1.83
51.819317,-2.223346,109,0,9,346.9,14 / 25,323,2019-08-16 12:49:14:103,0.0962,0.0248,9.6743,0.0016,-0.0023,9.8067,0.0064,0.0224,-0.0021,-21.47,16.89,12.4,221.73,6.89,1.81
51.819317,-2.223346,109,0,9,346.9,14 / 25,423,2019-08-16 12:49:14:203,0.013,-0.0446,9.962,0.0031,0.0018,9.8067,0.0011,-0.017,0.0011,-21.76,16.83,12.8,221.73,6.89,1.81
51.819317,-2.223346,109,0,9,346.9,14 / 25,524,2019-08-16 12:49:14:304,0.0395,0.12,9.8683,0.0013,0.0008,9.8066,-0.0075,0.017,0.0021,-21.62,16.63,12.49,220.32,6.89,1.81
51.819317,-2.223346,109,0,9,346.9,14 / 25,623,2019-08-16 12:49:14:403,-0.0327,-0.093,9.9187,0.0012,-0.0005,9.8066,0.0053,0.0075,-0.0043,-21.62,16.63,12.49,220.32,6.89,1.81
51.819317,-2.223346,109,0,9,346.9,14 / 25,722,2019-08-16 12:49:14:502,0.0745,0.1429,9.9648,0.0048,-0.0002,9.8066,0.0011,-0.016,0,-21.76,16.83,12.42,220.33,6.91,1.79
51.819317,-2.223346,109,0,9,346.9,14 / 25,823,2019-08-16 12:49:14:603,-0.0914,-0.0597,9.906,-0.0015,-0.0012,9.8067,-0.0032,0.0128,0,-21.6,16.62,12.54,220.33,6.91,1.79
51.819317,-2.223346,109,0,9,346.9,14 / 25,924,2019-08-16 12:49:14:704,-0.0126,0.0643,9.6618,0.0008,0,9.8067,0.0021,0.0128,-0.0021,-21.6,16.62,12.54,220.33,6.91,1.79
