GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
48.865894,2.299761,95.52,2.31,48,90,0 / 7,10905,2020-01-04 11:52:51:334,0.3833,-0.8083,8.9064,-0.0059,-0.0129,9.8066,-0.0018,-0.0748,0.0064,-50.06,-107.94,83.63,157.88,-12.35,-0.13
48.865894,2.299761,95.52,2.31,48,90,06-Jul,11005,2020-01-04 11:52:51:434,0.1401,-1.6158,11.5786,-0.0333,-0.0218,9.8065,0.0469,-0.0588,0.0016,-53.62,-106.94,80.06,155.89,-12.55,-0.34
48.865894,2.299761,95.52,2.31,48,90,06-Jul,11106,2020-01-04 11:52:51:535,-0.9016,1.6236,10.4403,-0.0417,-0.0209,9.8065,0.0026,-0.0184,0.019,-48.37,-106.94,83.88,158.02,-12.67,-1.03
48.865894,2.299761,95.52,2.31,48,90,06-Jul,11205,2020-01-04 11:52:51:634,1.465,-0.6854,9.6406,-0.0159,0.0003,9.8066,-0.0168,-0.0318,0.0041,-44.56,-108.25,86.13,159.3,-12.59,-1.23
48.865894,2.299761,95.52,2.31,48,90,06-Jul,11305,2020-01-04 11:52:51:734,-0.6019,-0.4581,10.4705,0.0079,0.0156,9.8066,-0.0352,0.0182,0.0036,-47.56,-109.5,83.94,158.15,-12.5,-1.28
48.865894,2.299761,95.52,2.31,48,90,06-Jul,11406,2020-01-04 11:52:51:835,1.811,0.8528,10.7885,0.011,0.0275,9.8066,0.0344,0.1209,-0.0553,-51.94,-109.5,80.56,156.79,-12.18,-0.68
48.865894,2.299761,95.52,2.31,48,90,06-Jul,11505,2020-01-04 11:52:51:934,0.7191,-0.203,10.9684,-0.0359,-0.0133,9.8065,0.0706,-0.019,-0.0242,-52.25,-108.12,79.88,156.61,-12.25,-0.68
48.865894,2.299761,95.52,2.31,48,90,06-Jul,11606,2020-01-04 11:52:52:035,0.2641,2.7512,8.4736,-0.0125,0.009,9.8066,-0.0083,-0.1219,0.0233,-44.5,-107.37,85.44,159.74,-12.26,-0.82
48.865894,2.299761,95.52,2.31,48,90,06-Jul,11705,2020-01-04 11:52:52:134,0.2511,-0.5652,7.0779,-0.0111,-0.0065,9.8066,0.0323,-0.1567,0.0142,-41.87,-108.5,87.06,160.51,-12.29,-1.21
48.865894,2.299761,95.52,2.31,48,90,06-Jul,11805,2020-01-04 11:52:52:234,0.0679,-0.097,6.3029,0.0063,-0.001,9.8066,0.0252,0.0031,-0.0124,-45,-109,85.13,159.18,-12.35,-1.56
48.865894,2.299761,95.52,2.31,48,90,0 / 7,11906,2020-01-04 11:52:52:335,0.105,-0.372,8.6182,0.0311,0.0082,9.8065,0.0067,-0.0536,0.0117,-50.12,-108.31,81.69,157.02,-12.39,-1.47
48.865894,2.299761,95.52,2.31,48,90,0 / 7,12005,2020-01-04 11:52:52:434,0.2737,-0.2358,11.7368,0.049,0.0325,9.8064,-0.014,-0.0495,0.0309,-49.94,-106.69,80.94,157.2,-12.62,-0.89
48.865894,2.299761,95.52,2.31,48,90,0 / 7,12106,2020-01-04 11:52:52:535,0.4621,1.3495,8.3817,0.0275,0.0067,9.8065,-0.0553,-0.0334,0.0046,-44.31,-106.19,85.19,159.71,-12.69,-0.73
48.865894,2.299761,95.52,2.31,48,90,0 / 7,12206,2020-01-04 11:52:52:635,0.3079,0.4972,7.861,0.0204,0.0277,9.8065,-0.031,0.0717,-0.0167,-42.37,-107.31,85.5,160.75,-12.43,-0.62
48.865894,2.299761,95.52,2.31,48,90,0 / 7,12306,2020-01-04 11:52:52:735,0.5204,1.4278,7.8878,-0.0076,0.0131,9.8065,0.0341,-0.0024,-0.004,-47.06,-107.37,82.5,158.56,-12.25,-0.64
48.865894,2.299761,95.52,2.31,48,90,0 / 7,12406,2020-01-04 11:52:52:835,-1.0581,1.0835,10.9457,-0.0119,-0.0245,9.8066,0.0346,0.0151,0.0124,-52.44,-107.12,78.88,156.25,-12.37,-0.99
48.865894,2.299761,95.52,2.31,48,90,0 / 7,12505,2020-01-04 11:52:52:934,-1.2635,1.6907,10.6481,-0.0076,-0.0155,9.8066,0.0432,0.0231,0.0003,-52.62,-105.81,78.88,155.61,-12.46,-1.14
48.865894,2.299761,95.52,2.31,48,90,0 / 7,12606,2020-01-04 11:52:53:035,-0.1226,0.4149,9.1034,0.0135,-0.0019,9.8066,0.0032,0.0969,-0.0094,-45.69,-107.19,83.38,158.9,-12.59,-0.85
48.865894,2.299761,95.52,2.31,48,90,0 / 7,12705,2020-01-04 11:52:53:134,0.0246,0.1913,10.4767,0.0344,-0.004,9.8065,-0.0007,0.0938,-0.0178,-43.56,-108.56,84.69,160.25,-12.63,-0.56
48.865894,2.299761,95.52,2.31,48,90,0 / 7,12806,2020-01-04 11:52:53:235,-0.1976,1.2038,11.4781,-0.0474,-0.001,9.8065,-0.0173,0.011,0.0133,-46.25,-109.56,82.5,159.68,-12.56,-0.3
48.865894,2.299761,95.52,2.31,48,90,0 / 8,12906,2020-01-04 11:52:53:335,-0.3676,1.5481,10.939,-0.0239,-0.0238,9.8065,-0.004,0.017,0.0047,-51.87,-108.94,79.5,156.67,-12.45,-0.91
48.865894,2.299761,95.52,2.31,48,90,0 / 8,13005,2020-01-04 11:52:53:434,0.7871,1.12,8.4946,-0.0131,0.0041,9.8066,0.0334,-0.0028,0.0405,-52.31,-107.87,78.88,156.5,-12.33,-0.84
48.865894,2.299761,95.52,2.31,48,90,0 / 8,13106,2020-01-04 11:52:53:535,0.2444,1.6583,8.9517,-0.0087,0.0257,9.8066,-0.0211,0.0522,0.0055,-45.19,-108.06,83.5,159.47,-12.14,-0.77
48.865894,2.299761,95.52,2.31,48,90,0 / 8,13205,2020-01-04 11:52:53:634,0.5596,-1.0321,10.43,-0.0431,-0.0025,9.8065,0.0287,-0.1338,0.0557,-42.37,-108.62,85.63,160.68,-11.98,-1.05
48.865894,2.299761,95.52,2.31,48,90,0 / 8,13306,2020-01-04 11:52:53:735,-0.5128,0.172,10.6209,-0.0144,-0.0167,9.8066,0.0601,0.0342,0.0247,-45.87,-108.81,84.5,158.9,-12.09,-1.29
48.865894,2.299761,95.52,2.31,48,90,0 / 8,13405,2020-01-04 11:52:53:834,1.1903,1.0264,9.3906,0.0133,0.0016,9.8066,0.057,0.0386,-0.0099,-49.94,-108.56,80.38,157.3,-12.23,-1.13
