No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
138.0,63731.8,52.563338599999994,-1.4991286,74.7,115.588,87.53,0.49,0.1,0.0,74.95999,74.95,74.97,74.45999,0.1000061,74.97,0.02957988,0.0,0.0,5.0,3.0,2459.0,86.0,0.0,0.009979248,0.0,14.1,9.0,20.5
138.0,63731.9,52.5633305,-1.4991009,75.002,115.52,87.58,0.49,0.1,0.0,74.92999,74.89,75.08,74.59999,0.2000122,74.93999000000002,0.02957988,0.0,0.0,5.0,3.0,2452.0,86.0,0.0,0.009979248,0.0,14.1,9.0,20.5
138.0,63732.0,52.5633224,-1.4990731,75.11,115.558,87.63,0.5,0.1,0.0,74.97,74.98999,75.06999,74.72,0.2000122,75.02,0.02957988,0.0,0.0,5.0,3.0,2412.0,86.0,0.0,0.009979248,0.0,14.1,9.0,25.0
138.0,63732.1,52.5633143,-1.4990454,74.945,115.485,87.68,0.49,0.1,0.0,75.03999,75.09999,75.00999,74.84,0.3999939,75.05,0.039779900000000014,0.0,0.0,5.0,3.0,2350.0,86.0,0.0,0.009979248,0.0,14.1,9.0,26.5
138.0,63732.2,52.5633063,-1.4990176,75.222,115.471,87.73,0.5,0.1,0.0,75.11,75.19,75.12999,74.92,0.2000122,75.1,0.04997993,0.0,0.0,5.0,3.0,2323.0,86.0,0.0,0.009979248,0.0,14.1,9.0,27.0
138.0,63732.3,52.5632982,-1.4989896999999999,75.344,115.44,87.78,0.48,0.1,0.0,75.28999,75.31999,75.17,74.91,0.2000122,75.18999000000002,0.039779900000000014,0.0,0.0,5.0,3.0,2312.0,86.0,0.0,0.009979248,0.0,14.1,9.0,27.5
138.0,63732.4,52.5632901,-1.4989619,75.298,115.367,87.81,0.47,0.1,0.0,75.53,75.50999,75.31999,74.92999,0.0,75.37,0.04997993,-0.009180069,0.0,5.0,3.0,2325.0,86.0,0.0,0.009979248,0.0,14.1,9.0,28.5
138.0,63732.5,52.5632821,-1.498934,75.301,115.385,87.85,0.45,0.1,0.0,75.62999,75.53999,75.47,74.92,-0.1999817,75.54,0.04997993,-0.01938009,0.0,5.0,3.0,2318.0,86.0,0.0,0.009979248,0.0,14.1,9.0,28.5
138.0,63732.6,52.563274,-1.498906,75.564,115.418,87.89,0.46,0.1,0.0,75.7,75.64999,75.67999,75.14,-0.5,75.68999000000002,0.05915999,-0.02958012,0.0,5.0,3.0,2319.0,86.0,0.0,0.009979248,0.0,14.1,9.0,28.5
138.0,63732.7,52.563265799999996,-1.4988780000000002,75.712,115.422,87.94,0.46,0.1,0.0,75.83,75.78,75.81999,75.26999,-0.3999939,75.78,0.05915999,-0.01938009,0.0,5.0,3.0,2334.0,86.0,0.0,0.009979248,0.0,14.1,9.0,28.5
138.0,63732.8,52.5632577,-1.49885,75.78,115.485,87.99,0.46,0.1,0.0,75.89999,75.89,75.94,75.5,-0.3999939,75.87,0.05915999,-0.01938009,0.0,5.0,3.0,2337.0,86.0,0.0,0.009979248,0.0,14.1,9.0,28.5
138.0,63732.9,52.5632495,-1.4988219,76.018,115.559,88.03,0.45,0.1,0.0,76.06999,76.12,76.0,75.7,-0.3999939,76.03,0.05915999,-0.01938009,0.0,5.0,3.0,2339.0,86.0,0.0,0.009979248,0.0,14.1,9.0,28.5
138.0,63733.0,52.56324130000001,-1.4987938,76.097,115.576,88.06,0.44,0.1,0.0,76.26999,76.28999,76.09,75.8,-0.3999939,76.22,0.04997993,-0.01938009,0.0,5.0,3.0,2341.0,86.0,0.0,0.009979248,0.0,14.1,9.0,28.5
138.0,63733.1,52.563233100000005,-1.4987655999999998,76.14699999999998,115.604,88.1,0.43,0.1,0.0,76.45,76.41,76.37999,75.89,-0.5,76.34,0.05915999,-0.009180069,0.0,5.0,3.0,2341.0,86.0,0.0,0.009979248,0.0,14.1,9.0,29.0
138.0,63733.2,52.5632249,-1.4987373999999998,76.324,115.602,88.15,0.44,0.1,0.0,76.50999,76.42,76.48,75.89999,-0.6000061,76.46,0.05915999,-0.009180069,0.0,5.0,3.0,2343.0,86.0,0.0,0.009979248,0.0,14.1,9.0,29.0
138.0,63733.3,52.563216600000004,-1.4987091,76.50399999999998,115.591,88.19,0.44,0.1,0.0,76.59999,76.56999,76.70999,76.09999,-0.2999878,76.65,0.05915999,-0.02958012,0.0,5.0,3.0,2346.0,86.0,0.0,0.009979248,0.0,14.1,9.0,26.0
138.0,63733.4,52.563208300000014,-1.4986809,76.583,115.71,88.24,0.45,0.1,0.0,76.62,76.66,76.81,76.25999,-0.2999878,76.68,0.05915999,-0.01938009,0.0,5.0,3.0,2347.0,86.0,0.0,0.25,0.0,14.1,9.0,21.5
138.0,63733.5,52.5632,-1.4986525,76.831,115.77,88.29,0.45,0.1,0.0,76.78999,76.8,76.75999,76.37999,-0.2999878,76.77,0.04997993,-0.009180069,0.0,5.0,3.0,2343.0,86.0,0.0,0.009979248,0.0,14.1,9.0,21.0
138.0,63733.6,52.56319160000001,-1.4986241999999999,76.874,115.772,88.33,0.44,0.1,0.0,76.86,76.87999,76.83,76.50999,-0.2999878,76.82,0.039779900000000014,-0.01938009,0.0,5.0,3.0,2350.0,86.0,0.0,0.009979248,0.0,14.1,9.0,21.0
138.0,63733.7,52.5631833,-1.4985958,76.828,115.799,88.38,0.45,0.1,0.0,76.81999,76.8,76.89,76.45,-0.2999878,76.88,0.039779900000000014,-0.009180069,0.0,5.0,3.0,2353.0,86.0,0.0,0.009979248,0.0,14.1,9.0,21.0
138.0,63733.8,52.563174900000014,-1.4985673999999995,77.044,115.824,88.42,0.45,0.1,0.0,76.95999,76.89,77.03999,76.42,-0.1999817,76.93,0.02957988,-0.009180069,0.0,5.0,3.0,2357.0,86.0,0.0,0.009979248,0.0,14.1,9.0,22.5
138.0,63733.9,52.5631666,-1.498539,77.047,115.752,88.46,0.44,0.1,0.0,77.05,76.95999,77.03999,76.45999,-0.2999878,76.99,0.02957988,-0.01938009,0.0,5.0,3.0,2362.0,86.0,0.0,0.009979248,0.0,14.1,9.0,25.5
138.0,63734.0,52.5631581,-1.4985106,77.02600000000002,115.939,88.5,0.42,0.1,0.0,77.12999,77.12999,77.11,76.56,-0.2999878,77.08,0.02957988,-0.01938009,0.0,5.0,3.0,2379.0,86.0,0.0,0.009979248,0.0,14.1,9.0,27.5
