,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°),Unnamed: 24
11250,52.050644,-1.967039,82,25.5,12.0,231.9,,18 / 25,1125045,2019-08-16 11:48:09:414,-0.3828,0.1371,10.3347,-0.0137,0.008,9.8066,0.0224,0.0241,-0.0043,-8.16,13.91,-25.33,236.53,3.85,-1.34
11251,52.050644,-1.967039,82,25.5,12.0,231.9,,18 / 25,1125146,2019-08-16 11:48:09:515,-0.1681,-0.0166,9.6054,-0.0324,0.0083,9.8066,-0.0149,0.0294,0.0085,-7.86,13.94,-25.38,236.45,3.79,-1.16
11252,52.050526,-1.967296,81,24.76,13.0,232.1,,18 / 25,1125246,2019-08-16 11:48:09:615,0.0894,-0.1103,9.5226,-0.0014,-0.0132,9.8066,0.0213,0.006,-0.0001,-7.86,13.94,-25.38,236.45,3.79,-1.16
11253,52.050526,-1.967296,81,24.76,13.0,232.1,,18 / 25,1125345,2019-08-16 11:48:09:714,0.0387,0.0342,9.9679,-0.0126,-0.0002,9.8066,0.0213,0.006,-0.0001,-8.55,13.56,-25.36,233.91,3.72,-1.19
11254,52.050526,-1.967296,81,24.76,13.0,232.1,,18 / 25,1125445,2019-08-16 11:48:09:814,0.3886,0.1906,9.4001,-0.0217,0.0027,9.8066,0.0064,0.006,-0.0011,-8.91,14.29,-25.7,233.75,3.66,-1.08
11255,52.050526,-1.967296,81,24.76,13.0,232.1,,18 / 25,1125545,2019-08-16 11:48:09:914,-0.608,0.1967,10.1192,-0.0271,0.0137,9.8066,0.0277,-0.0132,-0.0033,-8.91,13.91,-25.33,233.75,3.66,-1.08
11256,52.050526,-1.967296,81,24.76,13.0,232.1,,18 / 25,1125646,2019-08-16 11:48:10:015,-0.327,0.1877,9.6596,-0.0358,0.0236,9.8066,-0.0117,-0.0068,-0.0033,-8.16,14.66,-25.26,238.1,3.65,-0.83
11257,52.050526,-1.967296,81,24.76,13.0,232.1,,18 / 25,1125745,2019-08-16 11:48:10:114,0.1751,0.3565,9.4959,0.0348,0.0211,9.8066,-0.0032,0.0081,0.0031,-8.16,14.66,-25.26,238.1,3.65,-0.83
11258,52.050526,-1.967296,81,24.76,13.0,232.1,,18 / 25,1125846,2019-08-16 11:48:10:215,0.3914,0.1664,9.1611,0.0068,0.0166,9.8066,-0.0437,-0.0313,0.0095,-8.53,13.91,-25.33,233.54,3.86,-0.94
11259,52.050526,-1.967296,81,24.76,13.0,232.1,,18 / 25,1125945,2019-08-16 11:48:10:314,-0.2807,-0.0223,9.3201,-0.0138,-0.0021,9.8066,-0.0011,0.0209,0.0031,-7.51,13.98,-25.46,236.05,3.96,-0.91
11260,52.050526,-1.967296,81,24.76,13.0,232.1,,18 / 25,1126045,2019-08-16 11:48:10:414,0.0297,-0.1328,9.8231,-0.0031,-0.0142,9.8066,-0.0011,0.0209,0.0031,-7.51,13.98,-25.46,236.05,3.96,-0.91
11261,52.050526,-1.967296,81,24.76,13.0,232.1,,18 / 25,1126145,2019-08-16 11:48:10:514,-0.422,0.1465,10.7082,-0.0053,-0.0035,9.8066,-0.0277,-0.0068,0.0223,-8.53,13.91,-25.26,233.52,3.88,-0.95
11262,52.05041,-1.967566,80,24.59,13.0,232.8,,18 / 24,1126245,2019-08-16 11:48:10:614,-0.0263,0.0793,9.4494,-0.0102,-0.0257,9.8066,-0.0245,-0.0356,-0.0011,-8.57,14.34,-24.92,233.55,3.85,-0.93
