,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
2869,51.80077,-2.28275,66,21.3,11,242.2,Dec-25,286923,2019-08-16 12:54:00:703,0.0243,0.0306,10.1109,-0.0028,-0.018,9.8066,0.0138,0.017,0.0234,-7.11,22.17,-34.11,245.6,4.14,1.81
2870,51.80077,-2.28275,66,21.3,11,242.2,Dec-25,287023,2019-08-16 12:54:00:803,0.2218,-0.0201,9.8622,-0.0282,-0.0138,9.8066,0.016,0.0245,0.0149,-7.11,22.17,-34.11,245.6,4.14,1.81
2871,51.80077,-2.28275,66,21.3,11,242.2,Dec-25,287123,2019-08-16 12:54:00:903,0.0197,0.2125,9.3104,-0.0375,-0.0339,9.8065,0.0064,0.0256,0.0043,-6.73,22.55,-34.05,246.87,3.87,1.92
2872,51.80077,-2.28275,66,21.3,11,242.2,Dec-25,287222,2019-08-16 12:54:01:002,0.1142,0.1475,9.3246,0.0212,0.0081,9.8066,-0.0192,0.0032,0.0138,-6.73,22.17,-34.05,245.83,3.96,1.83
2873,51.80077,-2.28275,66,21.3,11,242.2,Dec-25,287323,2019-08-16 12:54:01:103,-0.0473,-0.1291,9.6666,0.0368,0.0163,9.8066,0.0053,-0.0373,0.0117,-7.11,22.17,-34.05,245.83,3.96,1.83
2874,51.80077,-2.28275,66,21.3,11,242.2,Dec-25,287423,2019-08-16 12:54:01:203,-0.2112,0.0051,10.0653,0.0297,0.0101,9.8066,-0.0213,-0.017,0.0266,-6.73,22.55,-34.49,246.73,4.09,1.69
2875,51.80077,-2.28275,66,21.3,11,242.2,Dec-25,287523,2019-08-16 12:54:01:303,-0.0558,0.0457,9.6467,-0.0046,0.016,9.8066,0.0277,0.0,0.0043,-6.73,22.55,-34.49,246.73,4.09,1.69
2876,51.80077,-2.28275,66,21.3,11,242.2,Dec-25,287623,2019-08-16 12:54:01:403,-0.5507,0.219,9.6505,-0.0223,0.0073,9.8066,0.0277,0.0,0.0043,-7.11,21.8,-34.49,245.61,4.16,1.76
2877,51.80077,-2.28275,66,21.3,11,242.2,Dec-25,287723,2019-08-16 12:54:01:503,-0.0699,0.0841,9.758,-0.0314,0.0042,9.8066,0.0149,0.0288,0.0245,-7.11,22.17,-34.43,245.54,4.15,1.89
2878,51.800674,-2.283006,66,21.3,11,241.3,Dec-25,287823,2019-08-16 12:54:01:603,-0.1474,0.1973,9.8543,-0.0319,-0.012,9.8066,-0.0256,0.032,0.0245,-7.11,22.17,-34.43,245.54,4.15,1.89
2879,51.800674,-2.283006,66,21.3,11,241.3,Dec-25,287923,2019-08-16 12:54:01:703,-0.0318,-0.1447,9.7638,0.0092,0.0108,9.8066,-0.0149,0.0245,0.0085,-6.73,22.17,-34.86,245.43,4.01,2.03
2880,51.800674,-2.283006,66,21.3,11,241.3,Dec-25,288023,2019-08-16 12:54:01:803,-0.2664,0.2378,10.237,0.0174,0.0177,9.8066,-0.0096,-0.032,-0.0021,-6.73,22.17,-34.49,245.43,4.01,2.03
2881,51.800674,-2.283006,66,21.3,11,241.3,Dec-25,288122,2019-08-16 12:54:01:902,-0.0487,-0.3007,10.1157,0.0399,0.016,9.8066,-0.0373,0.0288,0.017,-7.11,22.17,-34.43,245.5,4.19,1.86
2882,51.800674,-2.283006,66,21.3,11,241.3,Dec-25,288223,2019-08-16 12:54:02:003,-0.0415,-0.365,10.4346,0.01,-0.0344,9.8066,-0.0117,-0.0341,0.016,-6.73,21.86,-34.43,245.81,4.03,1.72
2883,51.800674,-2.283006,66,21.3,11,241.3,Dec-25,288323,2019-08-16 12:54:02:103,-0.065,0.1086,9.4691,0.0154,-0.0005,9.8066,-0.0117,-0.0341,0.016,-6.73,21.86,-34.43,245.81,4.03,1.72
2884,51.800674,-2.283006,66,21.3,11,241.3,Dec-25,288423,2019-08-16 12:54:02:203,0.1824,-0.087,9.9193,0.0217,0.0035,9.8066,-0.0181,-0.0064,0.0107,-7.11,21.86,-34.05,245.82,4.07,1.64
2885,51.800674,-2.283006,66,21.3,11,241.3,Dec-25,288523,2019-08-16 12:54:02:303,0.7373,0.8523,9.1229,0.0642,0.1038,9.8059,0.0032,-0.0746,0.0138,-7.11,21.48,-34.43,244.75,4.14,1.53
2886,51.800674,-2.283006,66,21.3,11,241.3,Dec-25,288623,2019-08-16 12:54:02:403,1.5265,1.6109,9.0247,0.2104,0.4174,9.7955,-0.0021,-0.3771,0.0969,-7.11,21.48,-34.43,244.75,4.14,1.53
2887,51.800674,-2.283006,66,21.3,11,241.3,Dec-25,288723,2019-08-16 12:54:02:503,0.7039,1.9853,9.8371,0.1766,0.4301,9.7956,0.1928,-0.1459,0.0746,-6.04,17.8,-37.36,238.53,6.87,1.46
2888,51.800587,-2.283273,66,21.1,11,239.7,Dec-25,288823,2019-08-16 12:54:02:603,0.2426,0.9466,9.8947,0.2354,0.5333,9.7893,-0.016,0.0064,0.0213,-6.42,15.55,-38.24,238.53,6.87,1.46
2889,51.800587,-2.283273,66,21.1,11,239.7,Dec-25,288923,2019-08-16 12:54:02:703,0.4854,0.6383,9.3233,0.0215,0.036,9.8066,0.0021,-0.0192,0.0117,-6.42,15.92,-38.24,229.09,10.24,1.92
2890,51.800587,-2.283273,66,21.1,11,239.7,Dec-25,289023,2019-08-16 12:54:02:803,0.3229,-0.0432,10.6812,0.0432,0.0835,9.8062,0.0064,0.0053,0.0032,-6.42,15.55,-37.43,229.09,10.24,1.92
2891,51.800587,-2.283273,66,21.1,11,239.7,Dec-25,289123,2019-08-16 12:54:02:903,-0.2315,0.0818,9.9061,0.0625,0.092,9.806,-0.0021,0.0256,0.0075,-6.42,16.3,-36.93,228.55,10.89,2.0
2892,51.800587,-2.283273,66,21.1,11,239.7,Dec-25,289223,2019-08-16 12:54:03:003,0.0287,-0.2395,9.7935,-0.0548,-0.0738,9.8062,-0.0021,0.0256,0.0075,-6.42,16.3,-36.93,228.55,10.89,2.0
2893,51.800587,-2.283273,66,21.1,11,239.7,Dec-25,289322,2019-08-16 12:54:03:102,-0.2545,-0.2977,9.7296,-0.0019,-0.025,9.8066,-0.0309,0.0266,0.0075,-6.04,15.92,-38.24,228.88,10.36,1.95
2894,51.800587,-2.283273,66,21.1,11,239.7,Dec-25,289423,2019-08-16 12:54:03:203,0.2226,-0.0002,9.1132,0.0342,-0.0203,9.8066,0.0075,-0.0107,0.0128,-6.04,15.98,-37.36,229.61,10.4,1.72
2895,51.800587,-2.283273,66,21.1,11,239.7,Dec-25,289524,2019-08-16 12:54:03:304,0.1349,-0.41,9.9354,0.0322,0.0062,9.8066,-0.0362,-0.0309,0.0085,-6.04,15.98,-37.36,229.61,10.4,1.72
2896,51.800587,-2.283273,66,21.1,11,239.7,Dec-25,289623,2019-08-16 12:54:03:403,-0.0297,-0.5841,10.0526,0.0172,-0.0133,9.8066,-0.0138,-0.0234,0.0075,-6.73,15.61,-37.36,227.45,10.55,1.6
