,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
0,6.44293,3.410031,27.86,0.0,8,51.32,0 / 0,13,2019-12-26 21:19:01:705,0.026,-0.0043,9.8395,-0.0011,0.0026,9.8066,0.0023,-0.0008,-0.0025,-9.94,-31.19,8.13,0.07,107.87,0.12
1,6.44293,3.410031,0.0,0.0,6,51.32,0 / 0,112,2019-12-26 21:19:01:804,0.0613,-0.0118,9.819,0.0162,0.0008,9.8066,-0.0037,-0.0015,-0.0004,-10.25,-31.81,8.13,0.04,107.35,0.14
2,6.44293,3.410031,0.0,0.0,6,51.32,0 / 0,213,2019-12-26 21:19:01:905,-0.0044,0.0106,9.837,-0.0067,0.0034,9.8066,0.0057,-0.0041,0.001,-10.44,-32.0,7.44,0.06,107.36,0.2
3,6.44293,3.410031,0.0,0.0,6,51.32,0 / 0,313,2019-12-26 21:19:02:005,-0.0021,-0.0313,9.8312,-0.0059,-0.0013,9.8066,-0.0004,0.0,-0.0013,-10.37,-32.0,7.06,0.04,107.35,0.13
4,6.44293,3.410031,0.0,0.0,6,51.32,0 / 0,413,2019-12-26 21:19:02:105,0.0217,-0.0046,9.8437,0.0058,0.0014,9.8066,0.0037,-0.0006,-0.0028,-9.94,-32.12,7.44,0.04,107.35,0.05
5,6.44293,3.410031,0.0,0.0,6,51.32,0 / 0,513,2019-12-26 21:19:02:205,0.0531,-0.0058,9.834,0.0021,-0.0022,9.8066,0.0044,-0.0003,-0.0016,-9.75,-31.75,7.25,0.05,107.35,0.11
6,6.44293,3.410031,0.0,0.0,6,51.32,0 / 0,613,2019-12-26 21:19:02:305,0.0405,-0.0028,9.839,0.006,0.0037,9.8066,-0.0045,0.001,-0.0013,-9.81,-31.37,7.69,0.05,107.87,0.11
7,6.44293,3.410031,0.0,0.0,6,51.32,0 / 0,712,2019-12-26 21:19:02:404,0.0132,-0.029,9.8332,0.0004,-0.008,9.8066,0.0023,-0.0001,0.0034,-10.0,-31.25,7.94,0.02,107.88,0.15
8,6.44293,3.410031,0.0,0.0,6,51.32,0 / 0,813,2019-12-26 21:19:02:505,-0.0037,0.0075,9.8443,-0.0067,0.0059,9.8066,0.0008,-0.0022,-0.0019,-9.94,-31.81,7.13,0.08,107.35,0.13
9,6.44293,3.410031,0.0,0.0,6,51.32,0 / 0,913,2019-12-26 21:19:02:605,0.0228,-0.014,9.8391,0.0006,-0.0017,9.8066,-0.0002,-0.0005,0.0007,-10.0,-31.44,7.25,0.04,107.88,0.1
