,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
66361,52.405037,-1.508614,149.8,8.31,3.0,7.0,19 / 21,2214775,2019-09-07 11:04:07:929,-1.4071,1.9648,12.158,0.0019,-0.0039,9.8066,0.2095,0.0266,0.0072,-26.56,-27.81,-5.94,280.39,-81.81,-148.74
66362,52.405037,-1.508614,149.8,8.31,3.0,7.0,19 / 21,2214875,2019-09-07 11:04:08:029,0.8844,0.4693,8.6141,0.0927,-0.0021,9.8062,0.1682,-0.0839,0.0,-27.37,-28.06,-5.06,279.14,-80.82,-150.9
66363,52.405037,-1.508614,149.8,8.31,3.0,7.0,19 / 21,2214975,2019-09-07 11:04:08:129,1.6477,0.2149,6.9797,0.0235,0.0026,9.8066,-0.0218,-0.017,0.0023,-27.12,-28.62,-4.62,276.41,-79.8,-152.12
66364,52.405037,-1.508614,149.8,8.31,3.0,7.0,19 / 21,2215075,2019-09-07 11:04:08:229,1.4318,1.091,8.7291,-0.1059,-0.0428,9.8059,-0.3795,0.0431,0.032,-27.06,-29.06,-5.56,276.37,-80.17,-150.61
66365,52.405037,-1.508614,149.8,8.31,3.0,7.0,19 / 21,2215175,2019-09-07 11:04:08:329,-1.869,-0.7345,9.9085,-0.1335,-0.0711,9.8055,-0.34,-0.0013,0.0282,-27.0,-28.44,-7.37,286.68,-82.18,-141.05
66366,52.405037,-1.508614,149.8,8.31,3.0,7.0,21 / 21,2215275,2019-09-07 11:04:08:429,-2.357,-0.5642,10.7989,-0.0268,-0.0088,9.8066,0.0301,0.0084,-0.0056,-27.56,-27.5,-8.06,294.77,-83.08,-133.26
66367,52.405037,-1.508614,149.8,8.31,3.0,7.0,21 / 21,2215375,2019-09-07 11:04:08:529,-0.7564,0.1362,9.587,0.0541,0.0184,9.8065,0.1836,-0.0016,0.0243,-27.25,-28.94,-7.94,290.56,-82.75,-135.75
66368,52.405037,-1.508614,149.8,8.31,3.0,7.0,21 / 21,2215476,2019-09-07 11:04:08:630,0.7236,0.5312,9.9971,0.0711,0.0179,9.8063,0.1459,-0.0195,0.0112,-27.44,-28.81,-7.0,287.6,-82.0,-139.71
66369,52.405037,-1.508614,149.8,8.31,3.0,7.0,21 / 21,2215576,2019-09-07 11:04:08:730,0.8802,0.0024,10.2195,0.0295,-0.0022,9.8065,-0.0214,-0.0338,-0.0161,-28.12,-29.75,-6.62,284.2,-81.23,-142.67
66370,52.405037,-1.508614,149.8,8.31,3.0,7.0,21 / 21,2215676,2019-09-07 11:04:08:830,0.2259,0.4726,9.6237,-0.0275,-0.0115,9.8066,-0.0761,0.0138,0.0188,-28.56,-29.5,-6.56,286.0,-81.36,-142.1
