,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
12459,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 17,1277221,2019-09-04 19:42:37:394,0.1809,0.7453,10.1068,0.0175,-0.0099,9.8066,0.0627,0.0322,0.0089,-20.5,-29.12,6.81,20.49,-86.83,-90.35
12460,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1277320,2019-09-04 19:42:37:493,0.584,0.5418,9.4848,-0.0059,-0.0029,9.8066,-0.0427,0.043,0.0289,-20.5,-28.94,6.63,18.01,-86.75,-92.68
12461,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1277420,2019-09-04 19:42:37:593,-0.2318,0.7656,9.3592,-0.0333,-0.0016,9.8065,-0.0731,0.0126,0.0153,-20.69,-28.69,5.75,19.44,-86.65,-88.02
12462,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1277520,2019-09-04 19:42:37:693,-0.4841,0.8828,9.8307,-0.0165,-0.006,9.8066,-0.0011,0.0158,0.0112,-21.25,-28.0,5.38,22.36,-86.47,-82.81
12463,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1277620,2019-09-04 19:42:37:793,0.0402,0.9981,10.5272,0.0138,-0.0153,9.8065,0.0293,0.0613,0.0494,-22.25,-28.25,4.38,19.64,-86.3,-82.26
12464,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1277720,2019-09-04 19:42:37:893,-0.06,0.8434,10.0725,0.0171,-0.0223,9.8066,0.0667,0.0351,0.0443,-22.62,-29.37,5.38,15.75,-86.07,-87.87
12465,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1277821,2019-09-04 19:42:37:994,0.5504,0.357,9.5344,0.0129,-0.0203,9.8065,0.0336,0.0193,0.0241,-22.94,-29.69,5.19,11.89,-85.87,-91.48
12466,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1277920,2019-09-04 19:42:38:093,-0.3587,0.8027,9.6126,-0.017,-0.002,9.8066,-0.0382,0.0013,-0.0204,-23.19,-29.69,4.81,13.02,-85.71,-90.51
12467,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1278021,2019-09-04 19:42:38:194,-0.5784,0.7765,10.0089,-0.0016,0.0071,9.8066,-0.0275,0.0842,0.0237,-22.75,-29.0,5.0,15.17,-85.72,-88.51
12468,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1278121,2019-09-04 19:42:38:294,-0.0442,1.1681,9.4527,0.0094,0.0028,9.8066,0.0398,0.0379,-0.015,-22.56,-28.56,5.44,14.93,-85.85,-88.69
12469,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1278221,2019-09-04 19:42:38:394,-0.0454,0.7061,9.5347,0.0048,0.004,9.8066,0.013,0.0572,-0.0074,-22.19,-28.69,5.63,15.62,-85.92,-91.07
12470,52.375656,-1.288502,150.43,14.49,6,92.83,17 / 17,1278320,2019-09-04 19:42:38:493,-0.3819,0.9204,10.3391,0.0011,-0.0016,9.8066,0.0105,0.0598,0.0145,-22.69,-27.87,5.44,11.7,-85.95,-91.57
12471,52.375656,-1.288502,150.43,14.49,6,92.83,17 / 17,1278420,2019-09-04 19:42:38:593,-0.1366,0.9215,10.2632,0.0159,-0.0045,9.8065,0.0464,0.0226,-0.0203,-22.31,-27.69,5.44,10.99,-85.93,-92.8
12472,52.375656,-1.288502,150.43,14.49,6,92.83,17 / 17,1278521,2019-09-04 19:42:38:694,0.5099,1.2775,9.5995,0.0204,-0.0022,9.8066,0.0456,0.056,-0.0095,-22.12,-27.75,5.63,8.6,-85.88,-97.43
12473,52.375656,-1.288502,150.43,14.49,6,92.83,17 / 17,1278620,2019-09-04 19:42:38:793,0.4214,1.3552,10.1147,0.006,-0.0067,9.8066,0.016,0.0385,0.0292,-22.31,-27.44,5.56,6.75,-85.82,-99.1
12474,52.375656,-1.288502,150.43,14.49,6,92.83,17 / 17,1278720,2019-09-04 19:42:38:893,-0.4752,1.3731,9.7661,-0.0102,-0.0004,9.8065,-0.0118,0.0483,0.0064,-22.81,-27.31,4.94,4.54,-85.68,-98.13
12475,52.375656,-1.288502,150.43,14.49,6,92.83,17 / 17,1278821,2019-09-04 19:42:38:994,-0.6439,0.2844,9.2861,-0.0003,-0.0088,9.8066,-0.0023,0.107,0.0769,-23.5,-28.81,4.5,6.06,-85.55,-96.8
12476,52.375656,-1.288502,150.43,14.49,6,92.83,17 / 17,1278921,2019-09-04 19:42:39:094,-0.1362,0.824,9.9565,0.0083,-0.0083,9.8066,0.0182,0.0355,0.035,-22.81,-30.44,5.31,4.22,-85.38,-98.49
12477,52.375656,-1.288502,150.43,14.49,6,92.83,17 / 17,1279021,2019-09-04 19:42:39:194,0.3703,-0.0231,10.0204,-0.0046,-0.0073,9.8066,0.0125,0.0388,0.0366,-22.0,-27.75,6.69,9.82,-85.22,-98.85
12478,52.375656,-1.288502,150.43,14.49,6,92.83,17 / 17,1279121,2019-09-04 19:42:39:294,0.128,0.665,8.7788,-0.0117,0.007,9.8066,-0.0406,0.0389,-0.0111,-22.06,-26.94,4.38,3.12,-85.25,-97.51
12479,52.375656,-1.288502,150.43,14.49,6,92.83,17 / 17,1279220,2019-09-04 19:42:39:393,-0.6643,0.6868,9.567,-0.0145,0.0153,9.8065,-0.0312,0.0099,-0.0519,-22.0,-27.37,4.44,5.73,-85.39,-95.15
12480,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1279320,2019-09-04 19:42:39:493,-0.6297,1.0688,9.4429,0.005,0.0041,9.8066,0.0344,0.0238,-0.0208,-22.44,-27.5,5.25,9.38,-85.52,-94.32
12481,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1279420,2019-09-04 19:42:39:593,-0.6767,0.1635,9.9477,0.0058,0.0007,9.8066,0.024,0.022,-0.0205,-22.37,-27.31,5.31,7.63,-85.6,-95.9
12482,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1279521,2019-09-04 19:42:39:694,0.008,0.9366,9.9731,0.0118,0.0019,9.8066,0.0268,0.0495,0.0247,-22.94,-28.56,5.38,4.6,-85.68,-98.1
12483,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1279620,2019-09-04 19:42:39:793,-0.1657,0.0593,9.4853,-0.0011,0.0052,9.8066,-0.0119,0.0226,-0.0234,-24.37,-28.69,6.06,5.71,-85.63,-98.85
12484,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1279720,2019-09-04 19:42:39:893,0.1598,0.0422,10.3102,-0.0027,0.0102,9.8066,-0.006,0.0111,-0.0153,-25.25,-23.12,8.63,12.78,-85.78,-97.86
12485,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1279820,2019-09-04 19:42:39:993,-0.6983,0.8058,10.1685,0.0002,0.0095,9.8066,0.0246,0.0082,-0.0353,-27.81,-17.69,4.56,2.67,-85.89,-97.58
12486,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1279920,2019-09-04 19:42:40:093,-0.1348,0.3324,10.5621,0.013,0.0073,9.8066,0.0271,0.0133,-0.0098,-31.31,-19.94,-7.37,337.38,-86.01,-98.88
12487,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1280020,2019-09-04 19:42:40:193,0.632,-0.3519,8.382,-0.008,0.0165,9.8066,-0.029,-0.0038,-0.0652,-28.31,-41.19,-15.62,313.74,-86.02,-102.78
12488,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1280121,2019-09-04 19:42:40:294,-0.343,-0.1381,9.3536,-0.038,0.0076,9.8065,-0.0924,0.029,-0.0398,-21.5,-52.44,-7.25,327.14,-86.46,-99.85
12489,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1280220,2019-09-04 19:42:40:393,-1.1133,0.4333,10.3027,-0.0344,0.022,9.8065,-0.0194,0.0944,0.0337,-19.31,-47.31,5.56,17.3,-86.73,-92.55
12490,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1280321,2019-09-04 19:42:40:494,-0.7522,0.5737,9.6972,0.0213,0.0013,9.8066,0.058,0.0581,0.0048,-19.75,-36.75,10.06,25.93,-86.96,-92.87
12491,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1280421,2019-09-04 19:42:40:594,0.2936,0.611,9.651,0.0266,-0.0061,9.8065,0.0544,0.0153,0.0193,-21.75,-32.69,9.19,14.04,-87.02,-99.23
12492,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1280520,2019-09-04 19:42:40:693,0.3577,-0.565,9.8667,0.0074,-0.0118,9.8066,0.0187,-0.0219,-0.0047,-22.0,-30.12,8.56,8.41,-86.96,-104.41
12493,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1280621,2019-09-04 19:42:40:794,-0.3438,-0.056,9.2561,-0.0121,0.0066,9.8066,-0.0342,-0.0108,-0.0135,-22.37,-29.37,7.81,5.13,-86.88,-105.21
12494,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1280720,2019-09-04 19:42:40:893,0.002,0.4221,10.1325,-0.003,0.0182,9.8066,-0.0151,0.0314,-0.0273,-22.06,-28.69,7.13,5.91,-87.08,-102.13
12495,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1280821,2019-09-04 19:42:40:994,-0.1099,0.1519,9.9425,0.0056,0.0091,9.8066,0.0171,-0.0138,-0.04,-21.19,-29.25,5.63,3.61,-87.28,-102.57
12496,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1280921,2019-09-04 19:42:41:094,0.0294,0.296,9.9689,0.0112,0.0135,9.8066,0.0096,0.0244,-0.0131,-20.87,-29.12,5.31,357.44,-87.48,-105.8
12497,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1281020,2019-09-04 19:42:41:193,0.0997,0.2242,9.5204,0.0055,0.0054,9.8066,-0.0067,-0.0114,-0.0023,-21.25,-28.94,5.13,355.63,-87.55,-107.51
12498,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1281120,2019-09-04 19:42:41:293,-0.1339,0.1533,10.0344,-0.007,-0.0011,9.8066,-0.017,-0.0122,0.0078,-20.56,-29.56,5.19,356.34,-87.56,-106.83
12499,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 16,1281220,2019-09-04 19:42:41:393,0.0858,0.1397,9.9242,-0.0049,-0.0001,9.8066,-0.0071,-0.0314,-0.0152,-20.44,-28.81,5.81,2.48,-87.54,-104.37
12500,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 17,1281320,2019-09-04 19:42:41:493,-0.3083,-0.0521,9.3854,-0.0045,0.0005,9.8065,-0.0084,-0.0189,-0.0038,-20.56,-28.37,5.13,1.25,-87.53,-102.21
12501,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 17,1281421,2019-09-04 19:42:41:594,-0.3559,-0.0991,9.4113,-0.0097,0.0082,9.8066,-0.0251,-0.0039,-0.011,-20.94,-28.37,4.94,2.52,-87.56,-101.01
12502,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 17,1281520,2019-09-04 19:42:41:693,-0.2231,0.1515,10.0166,-0.0054,0.0138,9.8066,-0.0184,0.0011,-0.0205,-20.0,-28.5,3.88,3.9,-87.74,-97.63
12503,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 17,1281620,2019-09-04 19:42:41:793,-0.1153,-0.0102,9.8833,0.0056,0.0136,9.8066,0.0156,0.003,-0.0368,-20.94,-28.31,3.94,4.01,-87.9,-96.97
12504,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 17,1281721,2019-09-04 19:42:41:894,0.1763,0.283,9.6462,0.0055,0.0155,9.8066,0.0004,0.0114,-0.0256,-20.81,-29.31,3.75,1.66,-88.07,-99.2
12505,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 17,1281820,2019-09-04 19:42:41:993,-0.0191,-0.2574,9.8774,-0.0001,0.0152,9.8066,-0.0237,0.0263,-0.0189,-21.12,-29.25,3.94,0.32,-88.33,-100.47
12506,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 17,1281920,2019-09-04 19:42:42:093,0.0147,0.2116,9.8402,-0.0032,0.0184,9.8066,-0.0172,0.0121,-0.0253,-20.62,-29.37,3.81,3.58,-88.65,-97.32
12507,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 17,1282021,2019-09-04 19:42:42:194,-0.2602,-0.0072,10.0029,-0.0027,0.0136,9.8066,-0.0049,-0.0033,-0.0369,-20.62,-29.19,3.69,3.58,-88.65,-97.32
12508,52.375656,-1.288502,150.43,14.49,6,92.83,16 / 17,1282120,2019-09-04 19:42:42:293,0.0523,0.0416,10.39,0.0253,0.0533,9.8065,0.0194,0.018,-0.0441,-20.75,-28.75,4.13,4.11,-88.82,-96.79
12509,52.375656,-1.288502,150.43,14.49,6,92.83,14 / 16,1282221,2019-09-04 19:42:42:394,0.1,0.2137,10.1099,0.0114,0.0141,9.8065,0.0168,0.0081,-0.0325,-19.75,-29.19,4.56,348.02,-89.29,-115.8
12510,52.375656,-1.288502,150.43,14.49,6,92.83,14 / 16,1282320,2019-09-04 19:42:42:493,0.1261,0.4217,9.8634,0.0065,0.0069,9.8066,0.009,-0.0136,-0.0273,-20.19,-28.5,4.06,332.65,-89.37,-128.26
12511,52.375656,-1.288502,150.43,14.49,6,92.83,14 / 16,1282421,2019-09-04 19:42:42:594,-0.0804,-0.0566,9.4249,-0.0011,0.0086,9.8066,-0.0121,0.0043,-0.0083,-19.62,-29.0,3.88,320.77,-89.46,-140.05
12512,52.375656,-1.288502,150.43,14.49,6,92.83,14 / 16,1282521,2019-09-04 19:42:42:694,0.0919,-0.191,9.6973,-0.0086,0.0027,9.8066,-0.0277,-0.0066,0.0085,-19.06,-28.81,4.38,319.57,-89.57,-141.9
