,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE X (rad/s), GYROSCOPE Y (rad/s), GYROSCOPE Z (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Azimuth) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
1892,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2692520,2019-09-04 20:06:12:693,0.5494,-0.4825,9.8249,0.0024,-0.005,9.8066,0.0138,0.0204,-0.0054,-19.0,-25.62,16.56,36.49,-86.75,-97.35
1893,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2692621,2019-09-04 20:06:12:794,0.5608,-0.3104,9.8091,0.0014,-0.0009,9.8066,-0.0372,0.0076,0.002,-18.94,-25.5,17.19,34.98,-86.73,-98.72
1894,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2692721,2019-09-04 20:06:12:894,0.4,-0.3848,10.0061,-0.0044,-0.0001,9.8066,0.0063,-0.0024,0.0032,-19.06,-25.62,16.38,34.27,-86.8,-97.76
1895,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2692820,2019-09-04 20:06:12:993,0.4535,-0.2571,9.8739,-0.0001,0.0003,9.8066,-0.0236,-0.0007,0.0007,-19.0,-25.25,16.69,35.86,-86.78,-97.86
1896,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2692921,2019-09-04 20:06:13:094,0.5346,-0.3366,9.9162,0.0047,0.0013,9.8066,0.0127,0.0086,-0.0082,-18.75,-25.94,17.06,35.12,-86.92,-98.54
1897,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2693020,2019-09-04 20:06:13:193,0.4126,-0.2876,9.9459,-0.0038,0.0066,9.8066,-0.0059,-0.0071,-0.0002,-18.87,-25.81,16.63,34.43,-86.98,-99.16
1898,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2693120,2019-09-04 20:06:13:293,0.4731,-0.2374,9.8087,0.0049,-0.0019,9.8066,-0.0069999999999999,-0.0334,0.0023,-19.0,-25.87,16.88,33.41,-86.99,-100.14
1899,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2693221,2019-09-04 20:06:13:394,0.3157,0.4799,9.6951,0.1045,0.1287,9.8052,0.0284,-0.3451,-0.4806,-17.19,-26.81,17.5,34.94,-88.03,-102.94
1900,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2693321,2019-09-04 20:06:13:494,0.6835,-0.5313,9.8312,0.0133,-0.005,9.8066,0.0447,0.0594,0.0153,-16.69,-26.56,17.56,284.87,-89.14,149.14
1901,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2693420,2019-09-04 20:06:13:593,0.5184,-0.2761,9.8596,-0.0025,0.0017,9.8066,-0.0049,-0.1489,0.0087,-17.06,-27.25,17.63,288.36,-89.0,152.76
1902,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2693520,2019-09-04 20:06:13:693,1.3069,0.4617,9.8472,0.0083,-0.0024,9.8066,-0.0054,0.094,-0.1547,-16.06,-27.25,17.25,288.11,-89.0,152.48
1903,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2693621,2019-09-04 20:06:13:794,1.3069,0.4617,9.8472,0.0083,-0.0024,9.8066,-0.0054,0.094,-0.1547,-16.06,-27.25,17.25,288.11,-89.0,152.48
1904,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2693721,2019-09-04 20:06:13:894,0.1574,-0.5529999999999999,9.7689,0.037,-0.012,9.8065,0.07,0.0427,-0.1023,-16.31,-26.75,18.13,295.11,-88.98,157.78
1905,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2693821,2019-09-04 20:06:13:994,0.7267,-0.5922,9.8524,-0.0009,-0.0232,9.8066,-0.021,-0.0883,0.0935,-16.44,-27.0,18.75,288.68,-88.44,150.39
1906,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2693921,2019-09-04 20:06:14:094,0.3089,-0.6833,8.0695,-0.0288,-0.0109,9.8066,-0.1209,-0.0504,0.0323,-15.62,-26.44,18.63,303.0,-88.68,164.26
1907,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2694021,2019-09-04 20:06:14:194,1.3894,-0.1923,9.4445,0.0658,0.0064,9.8064,-0.11,0.0385,-0.06,-16.31,-26.75,18.5,312.92,-88.97,173.85
1908,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2694121,2019-09-04 20:06:14:294,3.2041,-1.7005,6.6261,-0.1303,-0.0375,9.8057,-0.7276,0.0723,0.374,-16.75,-26.5,18.69,299.13,-89.15,161.71
1909,52.373016,-1.255227,165.11,0.0,6,107.79,18 / 19,2694221,2019-09-04 20:06:14:394,-7.087999999999999,-0.2747,13.5883,-0.3946,-0.0286,9.7986,-0.0958,-0.2091,0.1915,-17.25,-26.37,16.69,89.7,-85.71,-49.95
