,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
14993,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 20,1975708,2019-09-04 20:39:27:821,0.6979,0.1189,9.5372,0.0174,0.0115,9.8066,-0.0419,-0.0017,0.0246,12.81,-32.44,0.13,240.95,-85.48,-19.34
14994,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 20,1975808,2019-09-04 20:39:27:921,1.4367,1.0285,9.1644,0.0058,-0.0028,9.8066,0.0146,0.0245,-0.0022,13.0,-31.87,-0.06,241.72,-85.25,-17.99
14995,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 20,1975908,2019-09-04 20:39:28:021,0.3931,-0.4035,10.1189,-0.0088,-0.0112,9.8066,0.0171,-0.0008,-0.0276,12.81,-31.56,-0.06,242.45,-85.38,-17.48
14996,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 20,1976008,2019-09-04 20:39:28:121,0.4367,-0.1344,9.7144,0.0069,0.005,9.8066,-0.0185,0.012,0.0061,12.63,-31.62,0.44,242.53,-85.38,-17.39
14997,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 20,1976108,2019-09-04 20:39:28:221,1.0068,0.1407,9.0681,0.0123,0.0082,9.8065,-0.0043,-0.0038,0.0099,13.19,-32.37,0.63,237.76,-85.17,-17.84
14998,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 20,1976208,2019-09-04 20:39:28:321,-0.5425,0.0327,9.0964,0.0013,0.012,9.8066,-0.0154,-0.0188,0.0121,13.06,-32.37,0.38,240.46,-85.12,-19.1
14999,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 20,1976307,2019-09-04 20:39:28:420,0.1269,-0.2489,9.0608,0.016,0.0062,9.8066,-0.0334,0.0296,0.0093,13.0,-32.5,0.38,239.82,-84.89,-19.33
15000,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1976407,2019-09-04 20:39:28:520,0.6774,-0.4945,9.9834,0.0092,0.0006,9.8066,-0.0008,0.0255,-0.0101,12.81,-32.87,0.0,239.48,-84.63,-18.78
15001,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1976508,2019-09-04 20:39:28:621,0.3193,-0.5703,10.131,-0.0106,-0.0061,9.8065,0.0325,0.039,-0.0108,12.75,-31.94,0.38,240.32,-84.71,-18.38
15002,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1976608,2019-09-04 20:39:28:721,0.1383,-0.8571,9.5881,-0.0032,0.0025,9.8066,0.0086,0.0264,0.0088,12.19,-32.44,0.19,239.57,-84.85,-18.57
15003,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1976707,2019-09-04 20:39:28:820,0.7547,-0.49,9.9925,0.0041,0.0081,9.8066,-0.0054,0.0366,0.0174,13.13,-32.06,0.13,239.63,-84.78,-19.29
15004,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1976807,2019-09-04 20:39:28:920,0.4051,-0.7873,9.6376,0.0039,0.0045,9.8066,-0.0083,0.0607,0.0156,12.25,-31.75,0.25,238.43,-84.72,-19.58
15005,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1976908,2019-09-04 20:39:29:021,0.1933,-0.5906,9.9599,0.0036,0.0099,9.8066,0.0032,0.0482,0.026,12.81,-32.06,-0.06,238.27,-84.6,-20.45
15006,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1977007,2019-09-04 20:39:29:120,0.8425,-1.3863,9.4444,0.0057,0.0005,9.8066,-0.0102,0.0996,0.0119,13.44,-32.44,0.25,238.46,-84.5,-20.01
15007,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1977107,2019-09-04 20:39:29:220,0.6601,-1.1815,10.4195,-0.0014,-0.0022,9.8066,0.0049,0.0742,-0.0039,13.19,-32.69,0.56,234.33,-84.47,-19.93
15008,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1977207,2019-09-04 20:39:29:320,0.8617,-1.4523,9.6252,0.0045,-0.0033,9.8065,-0.005,0.1,-0.0073,12.63,-32.31,1.5,231.36,-84.46,-19.42
15009,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1977307,2019-09-04 20:39:29:420,0.1676,-1.6525,9.4721,0.0039,0.0051,9.8066,-0.0119,0.1105,0.0217,12.69,-32.0,1.0,235.6,-84.45,-18.79
15010,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1977408,2019-09-04 20:39:29:521,0.7299,-2.0996,9.7528,0.0075,-0.0017,9.8066,-0.0141,0.1056,0.0068,12.69,-32.06,1.13,235.69,-84.28,-18.34
15011,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1977508,2019-09-04 20:39:29:621,0.4912,-1.49,10.0924,-0.0019,0.0099,9.8065,0.0102,0.1162,0.028,12.38,-32.69,1.38,233.53,-84.22,-18.98
15012,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1977607,2019-09-04 20:39:29:720,0.8591,-1.2804,9.8645,-0.0037,0.0082,9.8066,0.0093,0.1052,0.0318,12.63,-32.12,1.88,230.67,-84.2,-19.73
15013,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1977708,2019-09-04 20:39:29:821,0.8577,-1.323,10.1378,0.0001,0.0076,9.8066,-0.005,0.1164,0.0254,12.13,-32.12,1.81,228.27,-84.16,-20.85
15014,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1977808,2019-09-04 20:39:29:921,1.1218,-1.4174,9.3377,0.0075,-0.0008,9.8066,-0.0171,0.1209,0.0031,12.75,-32.31,1.69,229.41,-84.06,-20.94
15015,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1977908,2019-09-04 20:39:30:021,0.5299,-2.058,9.4015,0.005,-0.0088,9.8065,0.0117,0.14,0.0039,12.94,-32.19,2.13,230.44,-84.03,-19.67
15016,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1978008,2019-09-04 20:39:30:121,-0.1001,-1.1888,9.8213,0.0045,0.0075,9.8066,-0.0099,0.1264,0.0198,12.88,-32.5,1.94,230.55,-83.98,-19.46
15017,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1978107,2019-09-04 20:39:30:220,1.3543,-1.757,9.5927,0.0165,-0.0038,9.8066,-0.0239,0.1415,0.0255,12.75,-32.44,2.5,227.82,-83.85,-18.34
15018,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1978207,2019-09-04 20:39:30:320,1.0769,-1.6332,9.3722,0.0086,0.0007,9.8066,-0.0022,0.1308,0.0239,12.81,-32.31,2.69,227.97,-83.73,-17.96
15019,52.437206,-1.427024,151.94,19.25,4,276.35,21 / 21,1978307,2019-09-04 20:39:30:420,0.8674,-1.5162,9.9854,0.0073,-0.0005,9.8066,0.0102,0.1547,0.0033,12.88,-32.56,3.19,227.98,-83.62,-17.38
15020,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 21,1978407,2019-09-04 20:39:30:520,0.853,-1.4669,9.6054,0.0032,-0.0023,9.8066,-0.0055,0.1514,0.0159,13.25,-32.94,2.81,228.67,-83.63,-16.57
15021,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 21,1978508,2019-09-04 20:39:30:621,1.0038,-0.7469,10.0411,0.0114,-0.0035,9.8066,-0.0261,0.1784,-0.0032,13.0,-32.56,2.75,229.52,-83.55,-15.41
15022,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 21,1978608,2019-09-04 20:39:30:721,0.401,-2.1832,9.8831,0.0127,-0.0174,9.8066,0.0059,0.1645,-0.0303,12.81,-32.37,4.0,228.77,-83.51,-12.72
15023,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 21,1978708,2019-09-04 20:39:30:821,-0.204,-2.1021,8.4858,0.0001,-0.015,9.8066,0.022,0.1746,-0.0178,13.13,-32.5,4.19,229.98,-83.56,-11.4
15024,52.437206,-1.427024,151.94,19.25,4,276.35,20 / 21,1978807,2019-09-04 20:39:30:920,0.4769,-2.2327,9.5008,0.0082,-0.0073,9.8066,-0.0006,0.1642,-0.0109,13.5,-32.56,5.25,230.19,-83.69,-9.49
