,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
23020,52.414436,-1.561657,175.29,12.24,2,117.26,20 / 21,2310428,2019-09-06 18:54:37:110,-0.3748,-0.5012,9.4611,0.0336,-0.0205,9.8065,0.1687,0.0362,-0.0003,-27.06,-29.19,23.81,303.1,-85.55,174.54
23021,52.414436,-1.561657,175.29,12.24,2,117.26,20 / 21,2310529,2019-09-06 18:54:37:211,-2.1126,0.1232,9.0578,-0.0615,0.0501,9.8063,0.3258,0.0569,-0.089,-26.87,-28.5,22.94,301.94,-85.37,174.71
23022,52.414436,-1.561657,175.29,12.24,2,117.26,20 / 21,2310628,2019-09-06 18:54:37:310,0.7335,-0.2106,10.5823,-0.1105,0.0775,9.8057,0.2054,0.1066,-0.0332,-26.81,-28.81,23.5,301.7,-86.02,172.86
23023,52.414436,-1.561657,175.29,12.24,2,117.26,20 / 21,2310728,2019-09-06 18:54:37:410,2.0677,-0.8787,10.5744,0.1069,-0.073,9.8057,-0.04,0.0372,-0.0306,-26.75,-28.87,23.25,301.48,-85.42,174.33
23024,52.414436,-1.561657,175.29,12.24,2,117.26,20 / 21,2310828,2019-09-06 18:54:37:510,1.8481,-0.4251,11.119,0.0555,-0.0155,9.8065,0.132,0.0669,-0.1084,-26.5,-28.75,23.13,300.77,-85.6,172.51
23025,52.414436,-1.561657,175.29,12.24,2,117.26,20 / 21,2310929,2019-09-06 18:54:37:611,-1.3492,-1.607,9.0094,0.0043,-0.0217,9.8066,-0.0709,-0.0292,0.0819,-26.81,-29.0,23.13,299.47,-85.6,172.26
23026,52.414436,-1.561657,175.29,12.24,2,117.26,20 / 21,2311028,2019-09-06 18:54:37:710,-0.8402,0.7339,9.8489,0.0205,-0.0225,9.8065,-0.173,0.0629,-0.0217,-26.81,-28.75,23.06,299.98,-85.54,172.79
23027,52.414436,-1.561657,175.29,12.24,2,117.26,20 / 21,2311129,2019-09-06 18:54:37:811,-2.3886,1.2109,10.0309,-0.0628,0.0268,9.8064,0.1084,0.1447,0.044,-27.31,-28.81,22.44,298.47,-85.63,172.57
23028,52.414436,-1.561657,175.29,12.24,2,117.26,20 / 21,2311229,2019-09-06 18:54:37:911,0.1545,-0.789,9.2251,-0.0315,0.0086,9.8066,-0.1398,0.1169,-0.0247,-27.19,-28.75,22.56,302.04,-86.02,174.44
23029,52.414436,-1.561657,175.29,12.24,2,117.26,20 / 21,2311328,2019-09-06 18:54:38:010,1.5468,2.1681,9.5477,-0.0146,-0.0072,9.8066,-0.0523,0.0731,-0.0578,-27.06,-28.5,22.56,303.88,-86.0,176.15
