,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
4727,48.86229,2.319477,82.67,7.22,8,137.28,Dec-16,483606,2020-01-04 12:00:44:035,-0.7564,0.8377,9.3815,0.0077,0.011,9.8066,0.0216,-0.0169,-0.0056,-56.0,-112.12,76.5,157.92,-13.64,3.07
4728,48.86229,2.319477,82.67,7.22,8,137.28,Nov-17,483705,2020-01-04 12:00:44:134,-1.0983,1.7133,10.1694,0.0048,-0.0101,9.8066,0.031,0.0137,-0.0116,-57.94,-109.87,75.56,156.77,-13.75,3.03
4729,48.86229,2.319477,82.67,7.22,8,137.28,Nov-17,483806,2020-01-04 12:00:44:235,-0.5626,1.0211,9.3758,0.0122,-0.0119,9.8066,0.0219,0.0206,-0.003,-57.62,-111.81,77.19,157.24,-13.98,3.12
4730,48.86229,2.319477,82.67,7.22,8,137.28,Nov-17,483906,2020-01-04 12:00:44:335,-0.5933,1.6666,9.9905,0.0041,-0.0081,9.8066,0.0145,0.0107,0.0009,-60.12,-109.19,75.5,155.98,-14.15,3.15
4731,48.86229,2.319477,82.67,7.22,8,137.28,Nov-17,484006,2020-01-04 12:00:44:435,-0.8009,0.9393,9.7855,-0.0082,-0.0113,9.8066,-0.0204,-0.0007,-0.0056,-52.69,-109.12,77.38,158.69,-14.21,3.04
4732,48.86229,2.319477,82.67,7.22,8,137.28,Nov-17,484105,2020-01-04 12:00:44:534,-0.8382,0.8961,10.1357,-0.0094,-0.0011,9.8066,-0.0093,-0.0184,-0.0027,-61.19,-109.0,74.38,155.39,-14.15,3.0
4733,48.86229,2.319477,82.67,7.22,8,137.28,Nov-17,484205,2020-01-04 12:00:44:634,-0.507,1.9235,9.1226,0.017,0.0219,9.8066,-0.0501,0.0521,-0.0049,-49.94,-107.44,75.69,159.57,-13.98,3.14
4734,48.86229,2.319477,82.67,7.22,8,137.28,Nov-17,484306,2020-01-04 12:00:44:735,-1.3415,2.3853,9.2611,-0.0138,0.0059,9.8066,-0.0231,-0.0175,-0.0051,-57.44,-109.56,72.88,157.1,-13.79,3.23
4735,48.86229,2.319477,82.67,7.22,8,137.28,Nov-17,484406,2020-01-04 12:00:44:835,-1.5832,2.5403,9.7554,-0.0052,0.0036,9.8066,-0.0139,0.0005,0.0015,-48.56,-109.19,74.25,160.08,-13.6,3.11
4736,48.86229,2.319477,82.67,7.22,8,137.28,Nov-17,484506,2020-01-04 12:00:44:935,-0.8901,1.624,8.3357,-0.0096,-0.0103,9.8066,0.0546,-0.0852,0.0125,-52.81,-110.81,75.06,158.81,-13.59,3.08
4737,48.86229,2.319477,82.67,7.22,8,137.28,Nov-17,484605,2020-01-04 12:00:45:034,-1.2499,2.633,10.3882,0.0214,0.0101,9.8066,0.0338,-0.0288,0.0141,-57.31,-109.0,73.19,156.93,-13.64,3.26
4738,48.86229,2.319477,82.67,7.22,8,137.28,Oct-14,484706,2020-01-04 12:00:45:135,-1.2292,2.0557,10.5005,0.0005,-0.0128,9.8065,0.0402,-0.0117,-0.0095,-49.37,-110.06,76.94,160.47,-13.81,3.19
4739,48.86229,2.319477,82.67,7.22,8,137.28,Oct-14,484805,2020-01-04 12:00:45:234,-0.369,0.9916,9.8191,0.0034,-0.0057,9.8066,0.0237,0.0101,-0.0028,-59.37,-110.87,74.0,156.56,-13.92,3.2
4740,48.86229,2.319477,82.67,7.22,8,137.28,Oct-14,484906,2020-01-04 12:00:45:335,-0.9693,1.3268,9.9684,0.0039,-0.0029,9.8065,0.0108,0.0197,-0.0075,-55.56,-109.5,74.31,157.43,-14.02,3.24
4741,48.86229,2.319477,82.67,7.22,8,137.28,Oct-14,485006,2020-01-04 12:00:45:435,-0.4483,1.3104,10.0178,0.0034,-0.0021,9.8066,-0.0023,-0.0047,0.0113,-53.81,-111.5,77.25,158.72,-14.1,3.27
4742,48.86229,2.319477,82.67,7.22,8,137.28,Oct-14,485106,2020-01-04 12:00:45:535,-0.794,0.9905,10.3088,-0.0039,-0.0077,9.8066,0.0225,-0.0144,-0.0002,-61.94,-111.94,74.69,155.68,-14.13,3.19
4743,48.86229,2.319477,82.67,7.22,8,137.28,Oct-14,485206,2020-01-04 12:00:45:635,-0.8075,1.1106,10.1313,0.003,0.009,9.8066,0.0062,0.0005,0.0012,-55.06,-109.94,76.56,158.16,-14.1,3.24
4744,48.86229,2.319477,82.67,7.22,8,137.28,Oct-14,485306,2020-01-04 12:00:45:735,-0.584,1.066,9.6975,0.0072,-0.0006,9.8066,0.0064,0.0225,0.0001,-58.62,-111.87,77.0,156.98,-14.15,3.3
4745,48.86229,2.319477,82.67,7.22,8,137.28,Oct-14,485406,2020-01-04 12:00:45:835,-0.2943,1.0331,9.6396,-0.0096,-0.0142,9.8066,0.009,-0.0032,0.0018,-64.19,-110.37,74.63,154.63,-14.22,3.21
4746,48.86229,2.319477,82.67,7.22,8,137.28,Oct-14,485506,2020-01-04 12:00:45:935,-0.0612,1.3278,9.4318,0.0005,-0.0068,9.8066,0.0106,0.0113,0.0013,-55.12,-109.25,77.56,158.07,-14.28,3.2
4747,48.86229,2.319477,82.67,7.22,8,137.28,Oct-14,485606,2020-01-04 12:00:46:035,-0.7246,1.0803,10.1869,-0.0056,-0.0002,9.8066,-0.0106,0.0082,0.0045,-60.5,-110.87,76.44,156.33,-14.29,3.17
4748,48.86229,2.319477,82.67,7.22,8,137.28,Oct-16,485705,2020-01-04 12:00:46:134,-0.5964,0.6704,9.9253,-0.0088,-0.0065,9.8066,0.0157,-0.03,0.0028,-65.19,-109.31,75.0,154.02,-14.25,3.08
4749,48.86229,2.319477,82.67,7.22,8,137.28,Oct-16,485806,2020-01-04 12:00:46:235,-0.773,0.7406,9.5211,-0.0081,0.0004,9.8066,0.0066,-0.0047,0.0013,-55.56,-107.87,76.88,157.32,-14.25,2.97
4750,48.86229,2.319477,82.67,7.22,8,137.28,Oct-16,485906,2020-01-04 12:00:46:335,-0.6713,0.5729,9.7277,0.0091,0.0082,9.8066,-0.0132,0.0421,-0.0031,-59.44,-109.69,76.69,156.52,-14.2,3.03
4751,48.86229,2.319477,82.67,7.22,8,137.28,Oct-16,486005,2020-01-04 12:00:46:434,-0.6323,0.7064,9.4797,-0.0032,0.004,9.8066,-0.0091,-0.0061,-0.0082,-64.5,-108.12,74.06,154.13,-14.1,3.08
4752,48.86229,2.319477,82.67,7.22,8,137.28,Oct-16,486105,2020-01-04 12:00:46:534,-0.7177,0.726,10.1664,-0.0034,0.0081,9.8066,-0.021,0.0152,0.0037,-54.87,-106.75,75.69,157.5,-14.02,3.03
4753,48.86229,2.319477,82.67,7.22,8,137.28,Oct-16,486205,2020-01-04 12:00:46:634,-0.2449,0.5803,9.7885,-0.0065,0.001,9.8066,-0.0257,0.0034,0.0047,-54.06,-107.94,76.56,158.05,-13.9,2.95
4754,48.86229,2.319477,82.67,7.22,8,137.28,Oct-16,486305,2020-01-04 12:00:46:734,-0.2415,0.2747,9.9904,-0.0103,0.0036,9.8066,-0.0102,-0.0113,-0.0006,-62.37,-107.5,72.44,154.4,-13.72,2.86
4755,48.86229,2.319477,82.67,7.22,8,137.28,Oct-16,486406,2020-01-04 12:00:46:835,-0.7656,0.6483,10.1102,-0.005,0.0032,9.8066,-0.0064,-0.0414,0.0082,-54.31,-105.19,73.63,157.27,-13.66,2.81
4756,48.86229,2.319477,82.67,7.22,8,137.28,Oct-16,486506,2020-01-04 12:00:46:935,-0.2144,0.5485,10.1017,-0.0057,-0.0025,9.8066,0.0059,-0.0102,0.0021,-51.12,-107.62,74.69,158.94,-13.67,2.67
4757,48.86229,2.319477,82.67,7.22,8,137.28,Oct-16,486606,2020-01-04 12:00:47:035,-0.6607,0.5409,10.1745,0.0025,0.0058,9.8066,0.0112,0.0002,-0.0027,-57.81,-108.87,72.13,156.18,-13.63,2.71
4758,48.86174,2.320105,83.14,6.54,8,146.38,Oct-15,486705,2020-01-04 12:00:47:134,-0.5365,0.4146,9.8165,-0.0009,-0.0018,9.8066,0.0045,-0.0007,-0.0054,-53.75,-108.06,72.0,157.58,-13.65,2.7
4759,48.86174,2.320105,83.14,6.54,8,146.38,Oct-15,486806,2020-01-04 12:00:47:235,-0.5429,0.9147,10.0281,0.0032,0.005,9.8066,0.0006,-0.0064,0.0014,-46.0,-110.56,75.19,161.43,-13.63,2.75
4760,48.86174,2.320105,83.14,6.54,8,146.38,Oct-15,486905,2020-01-04 12:00:47:334,-0.0324,0.7877,9.6482,-0.0025,-0.0032,9.8066,0.0163,-0.0036,-0.0034,-53.25,-113.0,73.0,158.79,-13.65,2.69
4761,48.86174,2.320105,83.14,6.54,8,146.38,Oct-15,487005,2020-01-04 12:00:47:434,-0.2342,0.5088,9.8664,-0.0023,-0.0124,9.8066,0.0213,0.0149,-0.001,-55.44,-112.44,72.0,157.77,-13.76,2.58
4762,48.86174,2.320105,83.14,6.54,8,146.38,Oct-15,487106,2020-01-04 12:00:47:535,-0.352,0.3325,9.5181,0.0027,0.0001,9.8066,0.008,0.0139,-0.002,-46.69,-115.0,76.13,161.57,-13.81,2.65
4763,48.86174,2.320105,83.14,6.54,8,146.38,Oct-15,487206,2020-01-04 12:00:47:635,-0.5786,0.7941,9.4615,0.0009,0.0077,9.8066,-0.0169,0.0102,-0.0006,-53.75,-117.37,75.13,159.11,-13.74,2.7
4764,48.86174,2.320105,83.14,6.54,8,146.38,Oct-15,487306,2020-01-04 12:00:47:735,-0.2006,0.6837,10.0154,-0.0036,0.0036,9.8066,-0.0061,0.0053,-0.003,-61.0,-117.37,75.0,156.5,-13.64,2.69
4765,48.86174,2.320105,83.14,6.54,8,146.38,Oct-15,487406,2020-01-04 12:00:47:835,0.0213,0.1193,9.8105,-0.0007,0.0066,9.8065,-0.0221,0.0187,0.0044,-53.06,-115.69,78.38,159.47,-13.53,2.69
4766,48.86174,2.320105,83.14,6.54,8,146.38,Oct-15,487505,2020-01-04 12:00:47:934,-0.2012,-0.2434,9.5653,-0.0055,0.0086,9.8066,-0.0221,0.001,0.0144,-55.75,-116.81,80.31,158.6,-13.37,2.74
4767,48.86174,2.320105,83.14,6.54,8,146.38,Oct-15,487605,2020-01-04 12:00:48:034,0.4349,-0.5442,9.2601,-0.0041,-0.002,9.8066,0.0289,-0.0103,0.0108,-65.31,-116.25,78.31,155.02,-13.36,2.68
4768,48.86174,2.320105,83.14,6.54,8,146.38,Oct-16,487706,2020-01-04 12:00:48:135,0.47,-0.6148,10.0049,0.0009,-0.0111,9.8066,0.0377,-0.0003,0.0136,-59.94,-112.44,80.31,156.3,-13.52,2.62
4769,48.86174,2.320105,83.14,6.54,8,146.38,Oct-16,487805,2020-01-04 12:00:48:234,0.2181,-0.7825,10.0174,0.0051,-0.0096,9.8066,0.0335,-0.0088,0.0131,-55.69,-113.0,81.38,158.05,-13.65,2.64
