,GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
33482,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728381,2019-08-12 10:53:30:871,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33483,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728381,2019-08-12 10:53:30:871,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33484,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728381,2019-08-12 10:53:30:871,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33485,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728382,2019-08-12 10:53:30:872,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33486,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728382,2019-08-12 10:53:30:872,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33487,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728383,2019-08-12 10:53:30:873,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33488,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728383,2019-08-12 10:53:30:873,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33489,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728384,2019-08-12 10:53:30:874,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33490,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728384,2019-08-12 10:53:30:874,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33491,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728384,2019-08-12 10:53:30:874,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33492,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728384,2019-08-12 10:53:30:874,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33493,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728385,2019-08-12 10:53:30:875,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33494,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728385,2019-08-12 10:53:30:875,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33495,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728386,2019-08-12 10:53:30:876,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33496,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728386,2019-08-12 10:53:30:876,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33497,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728387,2019-08-12 10:53:30:877,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33498,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728410,2019-08-12 10:53:30:900,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33499,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728563,2019-08-12 10:53:31:053,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33500,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728611,2019-08-12 10:53:31:101,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33501,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728711,2019-08-12 10:53:31:201,-0.5954,0.1469,9.4707,-0.5862,0.1176,9.7884,0.0316,0.0078,0.0089
33502,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728811,2019-08-12 10:53:31:301,-0.6223,-0.0124,9.7975,-0.5301,0.0578,9.7921,0.0167,0.0152,0.0089
33503,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1728911,2019-08-12 10:53:31:401,-0.426,0.3516,9.9567,-0.5245,0.0685,9.7924,0.0039,-0.0125,0.0153
33504,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1729011,2019-08-12 10:53:31:501,-0.8294,0.1373,9.8622,-0.5187,0.0756,9.7926,0.0103,-0.0125,0.0143
33505,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1729110,2019-08-12 10:53:31:600,-0.4332,0.0541,9.785,-0.5175,0.0794,9.7927,0.0039,0.0035,0.0153
33506,45.86011,-0.266464,115.29,23.61,6.432,288.5,Dec-19,1729211,2019-08-12 10:53:31:701,-0.7325,0.1564,9.7083,-0.5329,0.0815,9.7918,-0.0174,0.0216,0.0153
33507,45.86071,-0.269149,121.93,24.07,6.432,285.5,Dec-18,1729311,2019-08-12 10:53:31:801,-0.4816,0.2337,9.5653,-0.539,0.0804,9.7915,-0.0366,-0.005,0.0143
33508,45.86071,-0.269149,121.93,24.07,6.432,285.5,Dec-18,1729411,2019-08-12 10:53:31:901,-0.7091,-0.2171,10.2506,-0.5231,0.0736,9.7924,-0.0099,-0.0146,0.0132
