,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
25337,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2533739,2019-11-08 10:39:31:350,4.8601,2.5232,9.0052,0.0311,0.0077,9.8066,0.0476,-0.488,0.3115,-13.69,-46.5,30.5,2.42,-83.76,-153.65
25338,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2533838,2019-11-08 10:39:31:449,0.6295,0.3441,10.1648,-0.0193,-0.0338,9.8065,0.1,-0.5922,0.3821,-13.81,-46.69,30.13,0.76,-83.64,-154.35
25339,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2533938,2019-11-08 10:39:31:549,4.5464,3.1456,9.2561,0.0542,0.0607,9.8063,0.2179,-0.6369,0.3365,-13.12,-46.5,30.5,3.07,-83.48,-154.67
25340,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2534038,2019-11-08 10:39:31:649,-1.1182,-1.9949,11.6281,0.0325,0.0033,9.8065,0.1838,-0.4468,0.2138,-13.69,-46.69,31.44,0.62,-83.59,-155.17
25341,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2534138,2019-11-08 10:39:31:749,6.6566,1.3017,10.1128,-0.0006,-0.0547,9.8064,0.0457,0.1803,-0.1539,-13.75,-46.12,30.63,0.68,-83.44,-155.13
25342,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2534238,2019-11-08 10:39:31:849,-1.3264,-1.3322,9.3328,0.0693,0.051,9.8062,-0.1376,0.3817,-0.2361,-13.75,-45.69,30.63,359.73,-83.84,-155.93
25343,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2534338,2019-11-08 10:39:31:949,-4.3557,-3.7755,11.0992,-0.0194,-0.0294,9.8066,-0.2121,0.7175,-0.4107,-13.69,-45.75,30.25,1.42,-83.69,-153.79
25344,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2534438,2019-11-08 10:39:32:049,0.0516,-1.9316,10.3721,0.0215,0.0554,9.8064,-0.2132,0.732,-0.3687,-13.81,-46.31,30.06,2.51,-83.7,-152.87
25345,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2534538,2019-11-08 10:39:32:149,-2.2978,-0.5061,10.0296,-0.0553,-0.0794,9.8061,-0.155,0.4044,-0.2135,-13.87,-45.94,31.38,3.27,-83.78,-152.93
25346,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2534639,2019-11-08 10:39:32:250,5.9379,1.9784,9.0715,-0.0294,-0.0189,9.8065,-0.0808,0.102,-0.039,-13.37,-46.25,30.56,4.7,-83.54,-153.3
25347,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2534739,2019-11-08 10:39:32:350,1.1642,-0.6412,10.1792,-0.0559,-0.0359,9.8063,0.016,-0.4739,0.2932,-13.62,-45.62,30.56,0.73,-83.52,-155.09
25348,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2534839,2019-11-08 10:39:32:450,5.7068,2.2316,8.2602,-0.0591,-0.0618,9.8062,0.0904,-0.6671,0.3382,-13.56,-45.37,30.63,3.58,-83.33,-152.69
25349,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2534938,2019-11-08 10:39:32:549,1.6293,0.5292,9.8618,0.0112,-0.0006,9.8066,0.0976,-0.6485,0.3988,-13.81,-45.25,30.44,3.77,-83.64,-151.8
25350,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2535038,2019-11-08 10:39:32:649,-5.2731,-3.0514,11.136,-0.0343,-0.0489,9.8064,0.1135,-0.5738,0.3058,-14.0,-45.0,29.56,4.7,-83.47,-151.04
25351,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2535138,2019-11-08 10:39:32:749,1.0417,0.5079,10.4198,0.0627,0.0666,9.8062,-0.0088,-0.0911,0.1108,-13.5,-45.25,30.19,6.55,-83.35,-151.11
25352,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2535240,2019-11-08 10:39:32:851,-4.9174,-3.1236,10.902,0.0343,0.0071,9.8065,0.0114,0.3497,-0.1522,-13.75,-46.19,30.63,2.74,-83.48,-153.39
25353,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2535339,2019-11-08 10:39:32:950,-0.0701,0.8388,9.229,0.0593,0.0587,9.8062,-0.0681,0.619,-0.47,-13.56,-46.44,31.0,2.95,-83.37,-153.23
25354,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2535439,2019-11-08 10:39:33:050,-4.8823,-2.017,9.7794,0.0766,0.0447,9.8062,-0.0566,0.7246,-0.4233,-14.12,-46.0,31.25,358.59,-83.57,-156.89
25355,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2535539,2019-11-08 10:39:33:150,0.8179,-2.0924,10.2865,0.0004,-0.0212,9.8066,0.1083,0.5762,-0.3858,-13.75,-46.19,31.5,358.6,-83.56,-157.56
25356,53.17912,-1.323721,189.14,26.24,4,6.89,24 / 24,2535639,2019-11-08 10:39:33:250,7.3024,3.0062,8.2499,0.0727,0.0553,9.8062,0.0404,0.4348,-0.2623,-13.56,-45.81,31.0,354.99,-83.72,-159.93
