,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
0,52.916435,-1.760474,171.15,19.03,3,3.83,23 / 23,1298612,2019-11-06 12:07:32:493,-0.7606,-0.8707,7.7494,0.0256,-0.0022,9.8066,-0.2656,0.0472,0.0216,-17.87,-38.12,-4.69,221.63,-89.36,148.02
1,52.916435,-1.760474,171.15,19.03,3,3.83,23 / 23,1298711,2019-11-06 12:07:32:592,-0.7162,1.4898,10.049,-0.0167,-0.0276,9.8065,-0.0986,-0.2712,0.186,-17.94,-37.12,-4.75,206.34,-89.66,132.17
2,52.916435,-1.760474,171.15,19.03,3,3.83,23 / 23,1298812,2019-11-06 12:07:32:693,-0.3573,-2.9156,9.4171,-0.0068,0.0014,9.8066,-0.0243,-0.0555,0.0939,-18.06,-37.87,-4.5,180.72,-89.61,103.26
3,52.916435,-1.760474,171.15,19.03,3,3.83,23 / 23,1298912,2019-11-06 12:07:32:793,-0.0104,1.8241,10.2208,0.0286,-0.0398,9.8064,0.0855,-0.3551,0.1441,-18.12,-37.75,-4.69,197.93,-89.68,123.66
4,52.916435,-1.760474,171.15,19.03,3,3.83,23 / 23,1299012,2019-11-06 12:07:32:893,1.0713,-4.2314,10.4915,0.0016,0.0385,9.8066,0.0306,-0.3015,0.2912,-17.94,-37.75,-4.44,203.76,-89.46,126.73
5,52.916435,-1.760474,171.15,19.03,3,3.83,23 / 23,1299112,2019-11-06 12:07:32:993,0.75,-0.7646,10.4878,0.0001,-0.0436,9.8065,-0.0414,-0.0406,0.0906,-17.44,-37.5,-4.56,227.73,-89.67,154.62
6,52.916435,-1.760474,171.15,19.03,3,3.83,23 / 23,1299212,2019-11-06 12:07:33:093,0.6419,-2.807,9.7623,-0.0123,0.0106,9.8066,-0.0063,-0.3392,0.1876,-18.56,-36.94,-4.69,231.98,-89.73,157.12
7,52.916435,-1.760474,171.15,19.03,3,3.83,23 / 23,1299312,2019-11-06 12:07:33:193,-0.3099,0.2926,10.0305,-0.0181,0.0063,9.8066,0.0309,0.0612,0.0157,-17.94,-36.56,-4.94,272.44,-89.82,-161.68
8,52.916435,-1.760474,171.15,19.03,3,3.83,23 / 23,1299412,2019-11-06 12:07:33:293,1.1049,0.1923,10.0016,0.0017,0.0048,9.8065,0.0572,-0.0821,-0.0086,-18.75,-37.37,-4.06,289.73,-89.59,-147.65
9,52.916435,-1.760474,171.15,19.03,3,3.83,23 / 23,1299512,2019-11-06 12:07:33:393,1.2978,-0.7932,10.2157,-0.0154,0.0094,9.8066,0.0295,-0.0852,0.0922,-18.5,-37.25,-4.37,277.4,-89.6,-159.27
