,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
647,52.559902,-1.455632,151.97,9.53,2,201.77,26 / 26,64719,2019-11-06 10:42:52:062,-3.2244,-2.3286,10.4661,-0.0231,-0.0553,9.8065,0.0107,-0.0201,0.1027,-10.5,-34.19,33.44,300.02,-87.8,139.84
648,52.559902,-1.455632,151.97,9.53,2,201.77,26 / 26,64820,2019-11-06 10:42:52:163,3.4597,-1.461,10.7641,0.0119,0.0326,9.8066,-0.2099,0.6268,-0.2427,-10.06,-34.56,33.38,315.06,-87.74,153.57
649,52.559902,-1.455632,151.97,9.53,2,201.77,26 / 26,64920,2019-11-06 10:42:52:263,3.1485,2.1943,11.231,0.0442,0.0672,9.8063,0.0118,0.1002,-0.0885,-10.56,-34.5,33.0,301.27,-87.79,141.58
650,52.559826,-1.45569,151.8,10.13,2,201.77,26 / 26,65020,2019-11-06 10:42:52:363,0.3067,2.3246,11.4624,0.0357,-0.0594,9.8064,-0.0233,-0.1259,0.2502,-10.81,-34.12,33.63,299.38,-87.62,139.3
651,52.559826,-1.45569,151.8,10.13,2,201.77,26 / 26,65120,2019-11-06 10:42:52:463,-0.5609,-4.559,11.8387,0.0229,-0.0842,9.8062,0.1957,-0.2759,0.0791,-11.12,-35.0,33.56,299.38,-87.62,139.3
652,52.559826,-1.45569,151.8,10.13,2,201.77,26 / 26,65220,2019-11-06 10:42:52:563,2.5757,0.7481,11.4129,-0.0177,0.0169,9.8066,0.0694,-0.2983,0.0825,-11.19,-34.87,33.94,307.32,-87.31,147.37
653,52.559826,-1.45569,151.8,10.13,2,201.77,26 / 26,65320,2019-11-06 10:42:52:663,2.6928,-1.0813,11.3353,0.0047,-0.0095,9.8066,0.1451,0.0101,-0.1934,-11.06,-35.0,33.81,307.12,-87.48,147.04
654,52.559826,-1.45569,151.8,10.13,2,201.77,26 / 26,65420,2019-11-06 10:42:52:763,1.6395,-0.7276,10.812,0.0015,0.0137,9.8066,0.0289,-0.0093,0.002,-11.19,-35.31,33.44,304.93,-87.52,145.44
655,52.559826,-1.45569,151.8,10.13,2,201.77,26 / 26,65520,2019-11-06 10:42:52:863,1.4067,-1.4229,10.6757,0.0055,0.0166,9.8066,-0.1709,0.0415,0.0913,-11.5,-35.19,33.75,304.93,-87.52,145.44
656,52.559826,-1.45569,151.8,10.13,2,201.77,26 / 26,65620,2019-11-06 10:42:52:963,0.7447,3.6366,8.9484,-0.0052,-0.0347,9.8066,-0.0634,0.207,-0.0851,-11.37,-35.19,34.06,302.79,-87.6,142.71
