,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
25384,53.11818,-1.330139,171.16,15.07,4,99.94,19 / 21,4011014,2019-11-06 17:13:11:476,1.8008,7.5538,8.1448,0.0627,0.0467,9.8063,-0.2216,0.0458,0.0039,-26.19,-36.31,14.38,291.48,-88.71,174.64
25385,53.11818,-1.330139,171.16,15.07,4,99.94,19 / 21,4011114,2019-11-06 17:13:11:576,-1.1032,1.5995,9.9267,-0.0002,-0.1317,9.8057,-0.112,1.1529,-0.3845,-26.5,-36.62,15.44,284.72,-88.84,166.12
25386,53.11818,-1.330139,171.16,15.07,4,99.94,19 / 21,4011214,2019-11-06 17:13:11:676,3.6636,10.5793,8.2095,-0.0408,-0.1078,9.806,-0.1324,1.2594,-0.7068,-25.62,-37.12,14.06,312.03,-88.53,-164.89
25387,53.11818,-1.330139,171.16,15.07,4,99.94,19 / 21,4011313,2019-11-06 17:13:11:775,-2.961,-2.6611,10.2312,-0.0299,-0.0884,9.8061,0.1533,0.1114,-0.2475,-26.06,-36.44,14.56,315.67,-88.35,-162.92
25388,53.11818,-1.330139,171.16,15.07,4,99.94,19 / 21,4011414,2019-11-06 17:13:11:876,-1.4028,1.0218,8.707,0.0161,-0.041,9.8065,-0.1503,0.454,-0.1366,-26.0,-36.94,14.88,310.42,-88.28,-167.93
25389,53.11818,-1.330139,171.16,15.07,4,99.94,19 / 21,4011514,2019-11-06 17:13:11:976,-4.7544,-4.7266,11.3554,-0.0105,-0.0488,9.8064,-0.0263,0.1183,-0.0221,-25.94,-36.62,15.38,311.29,-88.3,-167.1
25390,53.11818,-1.330139,171.16,15.07,4,99.94,19 / 21,4011613,2019-11-06 17:13:12:075,-4.9525,0.7183,9.1287,0.0157,-0.0592,9.8064,-0.265,0.4494,-0.1281,-26.06,-36.81,14.56,314.99,-88.15,-163.37
25391,53.11818,-1.330139,171.16,15.07,4,99.94,19 / 21,4011713,2019-11-06 17:13:12:175,-4.7145,-4.45,8.7726,0.0526,0.0459,9.8064,-0.0629,-0.4881,0.3493,-26.31,-36.69,14.63,309.75,-88.49,-168.79
25392,53.11818,-1.330139,171.16,15.07,4,99.94,19 / 21,4011814,2019-11-06 17:13:12:276,2.3368,1.2745,10.3136,-0.0276,-0.0656,9.8064,0.0655,0.2083,-0.1816,-25.81,-37.62,14.75,305.18,-88.28,-173.0
25393,53.11818,-1.330139,171.16,15.07,4,99.94,20 / 22,4011914,2019-11-06 17:13:12:376,-0.593,3.643,8.2323,-0.0011,0.0665,9.8064,0.1218,-0.3818,0.2346,-25.87,-36.75,15.25,285.83,-88.47,167.67
25394,53.11818,-1.330139,171.16,15.07,4,99.94,20 / 22,4012013,2019-11-06 17:13:12:475,-1.1216,-0.5562,10.6507,-0.0611,-0.045,9.8063,0.0645,0.3402,-0.2734,-25.87,-36.94,15.06,295.95,-88.48,177.66
25395,53.11818,-1.330139,171.16,15.07,4,99.94,20 / 22,4012113,2019-11-06 17:13:12:575,-2.0366,-0.707,11.3548,-0.0738,0.0168,9.8063,0.1812,-0.0583,-0.1089,-25.75,-36.94,14.63,288.6,-88.43,170.45
25396,53.11818,-1.330139,171.16,15.07,4,99.94,20 / 22,4012213,2019-11-06 17:13:12:675,0.2431,0.3483,9.9975,-0.0192,0.0024,9.8066,0.0243,0.0174,-0.0779,-25.5,-36.62,15.25,278.89,-88.87,159.34
25397,53.11818,-1.330139,171.16,15.07,4,99.94,20 / 22,4012314,2019-11-06 17:13:12:776,-1.0081,3.3038,9.746,-0.019,0.0342,9.8065,0.1503,-0.0656,-0.0224,-26.25,-36.56,15.06,273.98,-88.84,155.43
25398,53.11818,-1.330139,171.16,15.07,4,99.94,20 / 22,4012414,2019-11-06 17:13:12:876,-1.2554,1.3119,10.5715,0.0369,0.0251,9.8065,-0.0371,-0.2615,0.1421,-25.44,-36.94,15.13,271.05,-88.78,151.63
25399,53.11818,-1.330139,171.16,15.07,4,99.94,20 / 22,4012514,2019-11-06 17:13:12:976,1.8539,3.8577,8.892,-0.0132,-0.0251,9.8066,-0.0219,0.2196,-0.0709,-25.75,-36.44,14.19,278.86,-88.87,161.93
25400,53.11818,-1.330139,171.16,15.07,4,99.94,20 / 22,4012614,2019-11-06 17:13:13:076,-3.4414,-1.7499,10.3921,0.0067,0.0065,9.8066,0.0455,-0.351,0.2312,-25.69,-36.06,15.06,289.82,-88.85,171.14
25401,53.11818,-1.330139,171.16,15.07,4,99.94,20 / 22,4012713,2019-11-06 17:13:13:175,-0.9717,-1.1873,8.921,-0.0156,-0.0132,9.8066,0.0535,0.2807,-0.251,-26.12,-36.56,14.44,301.98,-88.74,-174.98
25402,53.11818,-1.330139,171.16,15.07,4,99.94,20 / 22,4012813,2019-11-06 17:13:13:275,-2.794,-4.2567,9.2375,0.0214,0.0625,9.8064,-0.103,-0.2406,0.1674,-26.69,-36.0,15.0,289.34,-88.79,171.62
25403,53.11818,-1.330139,171.16,15.07,4,99.94,21 / 22,4012913,2019-11-06 17:13:13:375,1.593,1.8742,8.8176,-0.0152,-0.0009,9.8066,-0.1378,0.4498,-0.2542,-25.62,-36.06,14.25,284.45,-89.08,167.24
25404,53.11818,-1.330139,171.16,15.07,4,99.94,21 / 22,4013014,2019-11-06 17:13:13:476,2.7039,4.3888,9.7386,-0.0095,0.0526,9.8065,0.0908,-0.0442,-0.0975,-25.94,-36.87,13.88,253.3,-89.31,135.82
25405,53.11818,-1.330139,171.16,15.07,4,99.94,21 / 22,4013114,2019-11-06 17:13:13:576,3.5439,5.7656,10.297,0.0016,-0.0733,9.8063,0.1172,0.5525,-0.244,-26.06,-36.87,14.06,274.44,-88.94,157.47
25406,53.11818,-1.330139,171.16,15.07,4,99.94,21 / 22,4013214,2019-11-06 17:13:13:676,0.1726,-0.0817,10.284,0.041,-0.0584,9.8064,-0.0387,0.0354,0.1991,-26.37,-36.69,15.13,295.03,-88.45,176.79
25407,53.11818,-1.330139,171.16,15.07,4,99.94,21 / 22,4013314,2019-11-06 17:13:13:776,-0.5558,-3.1679,11.4016,0.0055,-0.0937,9.8061,-0.1446,0.588,-0.1771,-26.37,-35.87,15.0,316.74,-88.37,-161.89
25408,53.11818,-1.330139,171.16,15.07,4,99.94,21 / 22,4013414,2019-11-06 17:13:13:876,-0.5885,-3.0076,10.0142,-0.0054,-0.0223,9.8066,-0.1108,0.2969,-0.0776,-27.25,-35.69,15.38,332.69,-87.91,-145.23
25409,53.11818,-1.330139,171.16,15.07,4,99.94,21 / 22,4013514,2019-11-06 17:13:13:976,-2.4013,-2.6971,9.5156,-0.0095,-0.0663,9.8063,-0.1273,0.4999,-0.2419,-27.12,-36.94,14.75,336.58,-88.09,-141.56
25410,53.11818,-1.330139,171.16,15.07,4,99.94,21 / 22,4013613,2019-11-06 17:13:14:075,2.5887,3.5602,8.8968,-0.0086,-0.0112,9.8066,-0.0847,0.4301,-0.26,-26.69,-36.56,13.94,338.04,-88.11,-138.5
