,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
16596,52.482277,-1.710555,170.21,23.62,6,350.64,28 / 28,1973608,2020-01-08 16:54:08:584,-4.6558,-0.0289,10.8994,-0.13,-0.0055,9.8057,0.3231,0.328,-0.5227,1.69,-37.81,-12.31,200.55,-86.34,-146.02
16597,52.482277,-1.710555,170.21,23.62,6,350.64,28 / 28,1973708,2020-01-08 16:54:08:684,-0.8991,-0.4862,8.4596,-0.0686,0.0721,9.8061,0.1887,0.5319,-0.3244,2.0,-37.25,-12.87,188.95,-86.45,-160.76
16598,52.482277,-1.710555,170.21,23.62,6,350.64,28 / 28,1973808,2020-01-08 16:54:08:784,-3.3887,0.7129,10.5919,-0.0537,0.0105,9.8064,0.1401,0.3676,-0.2598,2.19,-36.81,-13.44,191.63,-86.85,-157.86
16599,52.482277,-1.710555,170.21,23.62,6,350.64,28 / 28,1973908,2020-01-08 16:54:08:884,-0.2581,-0.3059,9.4415,-0.0372,-0.005,9.8065,0.1346,0.3492,-0.2654,2.06,-37.56,-13.19,192.28,-87.02,-157.16
16600,52.482277,-1.710555,170.21,23.62,6,350.64,27 / 28,1974007,2020-01-08 16:54:08:983,0.271,-0.7479,9.8861,0.0103,-0.0016,9.8066,0.1739,0.2002,-0.0644,1.94,-37.5,-13.12,192.08,-87.1,-157.48
16601,52.482277,-1.710555,170.21,23.62,6,350.64,27 / 28,1974108,2020-01-08 16:54:09:084,2.7856,0.3502,14.3446,-0.0233,-0.0621,9.8064,0.1004,-0.2666,0.1255,1.69,-36.75,-12.31,192.97,-87.24,-155.7
16602,52.482277,-1.710555,170.21,23.62,6,350.64,27 / 28,1974207,2020-01-08 16:54:09:183,5.6086,0.7199,11.1278,-0.0117,0.1111,9.806,0.2727,-0.7139,0.014,1.56,-37.12,-12.37,192.33,-87.41,-156.54
16603,52.482277,-1.710555,170.21,23.62,6,350.64,27 / 28,1974308,2020-01-08 16:54:09:284,-3.954,-0.6889,7.8911,0.0905,0.0407,9.8061,0.1874,-0.2026,0.2328,2.75,-37.37,-13.06,185.91,-86.82,-160.2
16604,52.482277,-1.710555,170.21,23.62,6,350.64,27 / 28,1974407,2020-01-08 16:54:09:383,4.6173,1.8093,10.7038,0.0108,0.032,9.8065,0.1223,-0.0373,0.0243,2.13,-37.44,-13.19,183.42,-86.93,-167.32
16605,52.482277,-1.710555,170.21,23.62,6,350.64,27 / 28,1974507,2020-01-08 16:54:09:483,-2.6543,-0.6376,8.6487,0.0371,0.0493,9.8064,-0.0516,0.4756,-0.3633,2.38,-37.06,-12.94,183.75,-86.81,-166.93
16606,52.482277,-1.710555,170.21,23.62,6,350.64,27 / 28,1974607,2020-01-08 16:54:09:583,-3.2597,-0.914,9.7069,-0.0473,-0.0217,9.8065,-0.1075,0.5655,-0.2803,3.06,-37.5,-13.12,177.92,-86.82,-169.4
16607,52.482277,-1.710555,170.21,23.62,6,350.64,27 / 28,1974707,2020-01-08 16:54:09:683,-2.9331,-0.6067,8.598,-0.0129,0.0292,9.8066,-0.1294,0.4894,-0.2929,2.88,-37.19,-12.94,172.73,-86.91,-175.34
16608,52.482277,-1.710555,170.21,23.62,6,350.64,27 / 28,1974808,2020-01-08 16:54:09:784,-2.3424,0.3572,9.6141,-0.0636,-0.0382,9.8064,-0.1274,0.4722,-0.2901,3.19,-36.69,-12.87,174.11,-87.04,-173.73
16609,52.482277,-1.710555,170.21,23.62,6,350.64,27 / 28,1974908,2020-01-08 16:54:09:884,2.1462,1.3608,10.4912,-0.0098,-0.0097,9.8065,-0.0059,0.276,-0.0998,3.44,-36.87,-13.19,168.85,-87.27,-179.61
16610,52.484184,-1.711551,169.54,25.5,4,336.66,25 / 27,1975008,2020-01-08 16:54:09:984,-3.0033,-0.2105,9.2038,0.035,0.0264,9.8065,0.053,0.2687,-0.1201,2.88,-37.37,-13.0,172.35,-87.21,-175.67
16611,52.484184,-1.711551,169.54,25.5,4,336.66,25 / 27,1975107,2020-01-08 16:54:10:083,2.1322,0.9768,9.7382,0.0505,0.0085,9.8064,0.0534,-0.0299,-0.0187,3.0,-37.62,-12.94,177.58,-87.2,-169.76
16612,52.484184,-1.711551,169.54,25.5,4,336.66,25 / 27,1975208,2020-01-08 16:54:10:184,-0.2198,-1.2883,8.9708,0.0359,0.0084,9.8065,0.0694,0.0161,0.06,2.69,-36.75,-12.81,178.75,-87.07,-168.43
16613,52.484184,-1.711551,169.54,25.5,4,336.66,25 / 27,1975308,2020-01-08 16:54:10:284,3.5616,0.1636,9.4118,0.0349,-0.0253,9.8065,0.0666,-0.0499,0.0271,2.13,-36.62,-13.06,179.08,-87.05,-172.31
16614,52.484184,-1.711551,169.54,25.5,4,336.66,25 / 27,1975408,2020-01-08 16:54:10:384,-1.2557,0.216,10.4484,0.0432,-0.0087,9.8065,-0.0378,-0.0976,0.0689,2.94,-37.0,-13.31,175.88,-87.17,-171.68
16615,52.484184,-1.711551,169.54,25.5,4,336.66,25 / 27,1975508,2020-01-08 16:54:10:484,2.8048,0.181,9.1317,0.0189,-0.0034,9.8066,-0.1123,-0.311,0.1327,2.81,-37.12,-12.5,169.56,-87.15,-177.93
16616,52.484184,-1.711551,169.54,25.5,4,336.66,25 / 27,1975608,2020-01-08 16:54:10:584,-3.4779,-0.8216,10.3913,0.0509,-0.0214,9.8064,-0.1393,-0.3951,0.2423,2.94,-36.81,-12.94,172.04,-87.23,-176.02
16617,52.484184,-1.711551,169.54,25.5,4,336.66,25 / 27,1975708,2020-01-08 16:54:10:684,-0.3764,-0.4569,10.5125,-0.0236,0.0065,9.8066,-0.0367,-0.3978,0.1998,2.94,-36.69,-12.44,164.13,-87.14,175.84
16618,52.484184,-1.711551,169.54,25.5,4,336.66,25 / 27,1975808,2020-01-08 16:54:10:784,-1.485,0.2643,10.0034,0.0103,0.0074,9.8066,-0.0342,-0.4617,0.1111,3.44,-36.75,-12.56,163.08,-87.18,173.82
16619,52.484184,-1.711551,169.54,25.5,4,336.66,25 / 27,1975908,2020-01-08 16:54:10:884,0.9982,0.1826,9.7467,-0.0454,0.0061,9.8065,-0.0478,-0.2173,0.2406,3.69,-36.94,-12.56,161.15,-87.22,175.83
16620,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1976007,2020-01-08 16:54:10:983,2.2486,0.8728,10.0149,0.0224,-0.0077,9.8066,-0.1655,-0.0263,0.0421,3.19,-37.44,-12.81,163.03,-87.13,173.73
16621,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1976108,2020-01-08 16:54:11:084,2.2452,0.6622,9.3358,-0.0467,0.0073,9.8065,-0.1022,-0.0527,0.0172,3.13,-37.19,-12.87,164.32,-87.21,175.25
16622,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1976208,2020-01-08 16:54:11:184,1.3107,1.7374,10.6539,0.0063,-0.0193,9.8066,-0.1993,0.2537,-0.0107,3.75,-37.12,-13.12,157.33,-87.23,171.55
16623,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1976308,2020-01-08 16:54:11:284,-0.7461,0.7703,9.4716,-0.0044,-0.0051,9.8066,-0.2777,0.2428,-0.0618,3.88,-37.19,-13.31,154.77,-87.27,168.73
16624,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1976407,2020-01-08 16:54:11:383,-0.1963,1.2377,10.9516,-0.0108,-0.0448,9.8065,-0.182,-0.102,-0.006,3.75,-37.25,-12.94,153.6,-87.29,167.45
16625,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1976507,2020-01-08 16:54:11:483,3.5664,-1.1742,9.6507,0.0027,-0.0078,9.8066,-0.1608,-0.1845,0.2612,3.56,-38.25,-12.44,155.33,-86.97,169.99
16626,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1976608,2020-01-08 16:54:11:584,-0.3788,1.0425,10.6639,0.017,0.0183,9.8066,-0.0569,-0.2201,-0.0145,3.69,-37.44,-12.69,153.93,-86.76,167.19
16627,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1976708,2020-01-08 16:54:11:684,0.2446,-0.4035,9.9514,0.0257,-0.0342,9.8065,-0.1018,-0.2512,0.1915,3.25,-37.25,-12.44,159.48,-86.8,170.19
16628,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1976808,2020-01-08 16:54:11:784,-2.5471,-0.4968,10.0086,0.0661,-0.0053,9.8064,0.1097,-0.2251,0.1031,3.63,-37.31,-12.69,156.49,-87.29,170.68
16629,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1976908,2020-01-08 16:54:11:884,-2.3332,1.7832,11.5521,-0.0777,0.0875,9.8059,0.2728,-0.058,-0.2313,4.25,-36.31,-12.75,148.3,-86.81,161.0
16630,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1977008,2020-01-08 16:54:11:984,-7.4076,0.7135,12.4939,0.0374,-0.054,9.8064,0.0457,0.2971,-0.2663,4.38,-36.94,-13.0,150.64,-87.49,164.42
16631,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1977107,2020-01-08 16:54:12:083,0.6264,2.4916,9.2592,-0.0545,0.0463,9.8063,0.1295,0.358,0.0811,3.63,-37.44,-12.69,156.43,-87.6,170.94
16632,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1977208,2020-01-08 16:54:12:184,2.2383,2.6516,8.6831,0.0483,0.0133,9.8065,0.2561,0.181,-0.2835,3.81,-37.25,-12.62,160.64,-87.36,175.38
16633,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1977308,2020-01-08 16:54:12:284,3.1704,-0.4328,10.7388,-0.112,-0.0973,9.8055,-0.0961,0.607,-0.4588,4.31,-37.69,-11.94,157.32,-87.04,172.34
16634,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1977408,2020-01-08 16:54:12:384,3.119,-0.149,8.851,-0.0427,-0.0208,9.8065,-0.1379,0.4795,-0.2505,4.0,-36.56,-12.81,137.31,-87.22,149.32
16635,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1977508,2020-01-08 16:54:12:484,-2.2129,-1.5712,8.5337,-0.0311,-0.042,9.8064,-0.1177,0.2684,-0.1886,4.56,-36.94,-13.0,126.47,-87.33,141.81
16636,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1977608,2020-01-08 16:54:12:584,3.2094,-0.9847,9.947,-0.0145,-0.0009,9.8066,-0.0704,-0.0913,0.0235,3.94,-36.75,-12.62,135.16,-87.38,147.26
16637,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1977708,2020-01-08 16:54:12:684,-0.0702,-0.4169,10.5275,0.0096,0.0035,9.8066,-0.0189,-0.1066,0.089,3.38,-36.69,-12.75,142.49,-87.32,150.99
16638,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1977808,2020-01-08 16:54:12:784,0.2363,-0.5931,9.4268,-0.0437,0.0034,9.8065,0.0243,-0.0936,-0.0007,3.81,-36.19,-12.5,135.17,-87.15,147.91
16639,52.484184,-1.711551,169.54,25.5,4,336.66,27 / 27,1977908,2020-01-08 16:54:12:884,1.3838,2.0285,11.6022,-0.0342,0.05,9.8065,0.1624,-0.2462,-0.1009,4.06,-36.31,-12.75,132.6,-87.29,144.45
16640,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1978009,2020-01-08 16:54:12:985,-1.4674,-1.4375,6.317,-0.0215,-0.0254,9.8065,-0.2428,0.3796,0.0153,4.31,-35.87,-12.56,126.56,-87.13,137.58
16641,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1978108,2020-01-08 16:54:13:084,-3.8658,-0.4324,8.8371,0.0488,-0.0653,9.8062,-0.249,0.478,-0.0108,4.69,-37.06,-13.56,120.75,-87.37,134.78
16642,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1978208,2020-01-08 16:54:13:184,4.5437,0.9974,10.5298,0.0768,0.0475,9.8062,-0.1174,0.1611,-0.2267,4.5,-37.12,-13.31,113.15,-87.01,126.89
16643,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1978308,2020-01-08 16:54:13:284,-3.7221,-0.5535,10.2714,0.0434,0.0101,9.8065,-0.0216,-0.0437,0.0333,4.56,-36.69,-13.19,120.82,-87.2,135.49
16644,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1978407,2020-01-08 16:54:13:383,1.9065,0.5244,9.9039,-0.0369,-0.0437,9.8065,0.1069,-0.2369,0.079,4.75,-36.75,-12.81,121.42,-86.74,135.08
16645,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1978508,2020-01-08 16:54:13:484,-0.2187,1.3485,12.9716,0.0073,-0.0048,9.8066,0.1138,-0.3048,0.0604,5.19,-36.62,-12.44,114.89,-86.31,127.98
16646,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1978607,2020-01-08 16:54:13:583,-1.9639,-1.3132,9.8615,0.0583,-0.0143,9.8064,0.0304,0.1844,-0.0171,5.63,-36.69,-12.87,114.22,-86.38,130.46
16647,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1978708,2020-01-08 16:54:13:684,1.2786,1.6732,10.7599,0.0069,-0.0216,9.8066,-0.0021,0.163,-0.2318,4.19,-37.12,-12.19,122.0,-86.48,131.71
16648,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1978808,2020-01-08 16:54:13:784,3.6733,-0.4617,8.2128,0.049,-0.0349,9.8065,0.0106,0.2814,0.0772,4.13,-36.69,-12.44,126.79,-86.79,137.71
16649,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1978908,2020-01-08 16:54:13:884,2.3436,1.988,10.7772,-0.0044,-0.0257,9.8066,-0.0111,0.2561,-0.263,4.75,-36.87,-12.5,117.63,-86.89,132.41
16650,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1979008,2020-01-08 16:54:13:984,-1.1676,-0.5717,9.8032,-0.0323,0.026,9.8065,0.0055,0.0881,-0.1483,4.5,-36.56,-12.44,113.11,-86.85,127.48
16651,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1979108,2020-01-08 16:54:14:084,-2.5216,-0.0359,10.1402,0.0194,0.0044,9.8066,-0.0342,0.1009,0.1432,5.38,-36.5,-12.56,116.03,-86.91,129.91
16652,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1979208,2020-01-08 16:54:14:184,3.3236,2.0284,10.5022,0.0396,0.0371,9.8064,0.0248,-0.4587,0.1539,4.75,-36.69,-13.25,119.85,-86.75,133.42
16653,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1979308,2020-01-08 16:54:14:284,-3.1517,-0.5466,10.3826,0.0298,-0.0064,9.8066,-0.0371,-0.4721,0.3094,5.38,-36.5,-12.87,116.87,-86.5,129.85
16654,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1979408,2020-01-08 16:54:14:384,-3.5233,-0.1563,9.3231,0.0021,-0.0058,9.8066,0.0203,-0.4494,0.2989,4.69,-37.06,-12.81,118.86,-86.89,132.68
16655,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1979508,2020-01-08 16:54:14:484,-2.779,0.1232,9.0424,0.0636,0.0253,9.8064,0.0822,-0.2457,0.2223,5.0,-36.56,-12.94,121.56,-87.06,135.96
16656,52.484184,-1.711551,169.54,25.5,4,336.66,26 / 27,1979607,2020-01-08 16:54:14:583,-2.4766,0.1725,10.7592,-0.0515,0.017,9.8064,0.0231,0.0793,-0.1166,4.69,-37.06,-12.37,121.05,-87.19,136.84
