,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
9611,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3235107,2020-01-08 17:15:10:083,0.7101,-0.4928,9.9692,-0.0064,-0.036,9.8065,-0.0453,0.0657,-0.0059,-11.87,-37.5,-10.19,225.01,-86.4,-179.21
9612,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3235207,2020-01-08 17:15:10:183,0.024,-1.4023,9.7864,0.0051,-0.021,9.8066,-0.0062,-0.0082,-0.0191,-11.75,-36.69,-10.62,224.47,-86.61,-177.66
9613,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3235308,2020-01-08 17:15:10:284,0.2033,-0.39,9.9063,0.0025,0.0248,9.8065,0.0005,0.0234,-0.0331,-11.75,-36.62,-9.56,224.75,-86.55,-179.73
9614,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3235407,2020-01-08 17:15:10:383,0.4513,-0.9703,10.4195,-0.0021,0.0014,9.8066,-0.0711,-0.0216,-0.0156,-11.56,-36.44,-10.0,222.28,-86.43,177.58
9615,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3235508,2020-01-08 17:15:10:484,-0.4862,-0.437,9.6721,-0.0101,0.0173,9.8066,-0.0205,0.1058,-0.1074,-11.44,-37.25,-10.31,218.24,-86.44,175.95
9616,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3235608,2020-01-08 17:15:10:584,-0.0007,0.189,10.5337,-0.0282,0.018,9.8066,-0.0592,0.0886,-0.0616,-10.94,-37.19,-9.94,213.51,-86.28,170.84
9617,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3235707,2020-01-08 17:15:10:683,0.0469,-1.8375,8.6592,0.0035,0.0435,9.8065,-0.1354,-0.1391,0.1011,-11.0,-37.62,-10.06,211.57,-85.77,169.45
9618,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3235807,2020-01-08 17:15:10:783,0.3401,-0.2355,9.8994,0.0148,-0.0338,9.8065,-0.1274,-0.1484,0.0838,-11.62,-37.25,-9.69,217.5,-85.98,173.04
9619,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3235908,2020-01-08 17:15:10:884,0.3782,-0.4152,9.4048,-0.0113,-0.0051,9.8066,-0.0381,-0.0928,0.075,-12.06,-37.44,-9.87,223.52,-86.16,179.55
9620,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3236008,2020-01-08 17:15:10:984,1.2527,-0.9964,10.2908,0.0103,-0.0002,9.8066,0.0072,-0.1326,0.0535,-10.69,-37.12,-9.44,224.33,-86.17,-179.45
9621,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3236108,2020-01-08 17:15:11:084,0.3425,-0.1862,8.9042,0.0016,0.0054,9.8066,-0.0592,0.0735,-0.0811,-11.87,-37.69,-9.12,228.08,-85.98,-177.51
9622,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3236208,2020-01-08 17:15:11:184,1.1756,-0.9287,11.0418,-0.0198,0.0005,9.8066,-0.1479,-0.0936,-0.0778,-11.44,-37.69,-9.56,222.56,-86.02,-178.33
9623,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3236308,2020-01-08 17:15:11:284,-0.6769,-1.8979,8.1819,-0.0549,-0.001,9.8065,-0.0867,0.2046,0.075,-11.62,-37.5,-9.94,225.73,-85.96,-177.66
9624,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3236408,2020-01-08 17:15:11:384,1.1034,0.241,10.3563,-0.0166,-0.0236,9.8065,-0.027,0.0773,0.0117,-11.19,-37.37,-9.75,216.58,-85.96,174.79
9625,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3236508,2020-01-08 17:15:11:484,0.157,-0.2027,8.9714,-0.0174,0.0132,9.8066,-0.0727,-0.1001,-0.0155,-10.75,-38.06,-9.37,216.89,-85.83,172.82
9626,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3236607,2020-01-08 17:15:11:583,-0.5302,0.4384,9.6541,0.0026,0.0004,9.8066,0.0419,-0.0094,0.0787,-10.87,-37.25,-9.12,215.42,-85.67,171.17
9627,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3236707,2020-01-08 17:15:11:683,-0.082,-0.1915,10.5094,0.0191,0.0285,9.8066,-0.022,-0.1013,-0.1251,-10.31,-37.75,-9.56,210.09,-85.47,171.12
9628,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3236808,2020-01-08 17:15:11:784,-0.0395,0.4934,8.9612,0.0112,0.0014,9.8066,0.0001,-0.0627,0.0955,-11.0,-37.5,-10.31,215.47,-85.51,174.15
9629,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3236908,2020-01-08 17:15:11:884,0.5042,-0.196,9.8196,-0.0124,-0.0162,9.8066,0.0223,0.0443,0.0104,-11.25,-38.69,-9.56,218.73,-85.74,177.94
9630,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3237008,2020-01-08 17:15:11:984,0.4032,-0.3276,8.422,0.0269,0.0153,9.8065,0.1361,0.0256,0.0085,-10.62,-37.56,-9.81,219.09,-85.77,178.12
9631,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3237108,2020-01-08 17:15:12:084,0.5355,1.0321,10.8242,0.034,0.0251,9.8065,0.1398,-0.1382,0.0867,-10.5,-38.75,-9.19,215.36,-85.72,174.48
9632,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3237208,2020-01-08 17:15:12:184,1.2409,0.2337,9.9654,-0.0147,-0.0137,9.8065,0.0313,0.0885,0.0089,-10.62,-37.56,-10.37,217.48,-85.76,176.29
9633,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3237308,2020-01-08 17:15:12:284,0.8912,-1.0096,9.1081,0.0189,-0.0237,9.8065,-0.0612,-0.1489,-0.002,-10.19,-37.75,-9.25,215.96,-85.7,175.02
9634,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3237407,2020-01-08 17:15:12:383,2.1746,-0.3077,10.6206,-0.0265,-0.0051,9.8065,-0.1083,0.015,-0.0473,-10.69,-38.44,-9.69,218.36,-85.74,177.33
9635,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3237507,2020-01-08 17:15:12:483,0.7605,-1.1554,9.3546,-0.0136,0.0027,9.8065,0.013,-0.0648,0.0539,-9.75,-38.12,-8.44,216.3,-85.32,173.13
9636,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3237607,2020-01-08 17:15:12:583,0.9704,0.4022,9.6542,0.0039,-0.0162,9.8065,-0.0327,-0.058,-0.0005,-10.56,-38.37,-9.56,212.53,-85.21,171.3
9637,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3237708,2020-01-08 17:15:12:684,0.6817,-0.3714,9.7027,0.0137,-0.0459,9.8064,-0.0345,0.0249,0.1033,-10.75,-38.12,-8.75,217.78,-85.52,174.35
9638,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3237808,2020-01-08 17:15:12:784,1.249,0.0619,9.4069,0.0019,0.0009,9.8066,0.0556,0.0019,-0.0259,-10.31,-37.87,-9.44,218.82,-85.77,178.24
9639,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3237908,2020-01-08 17:15:12:884,0.5177,0.46,10.3539,0.0129,0.0077,9.8066,0.0601,-0.0523,0.0242,-11.06,-38.0,-9.06,219.09,-85.61,175.72
9640,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3238007,2020-01-08 17:15:12:983,1.4898,1.8324,10.2284,0.0095,0.018,9.8066,-0.1666,0.1906,-0.1174,-10.94,-37.81,-9.44,218.66,-84.99,176.25
9641,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3238108,2020-01-08 17:15:13:084,0.5036,0.1487,9.7534,-0.0053,-0.0296,9.8066,-0.1166,0.0006,0.0927,-10.44,-37.69,-8.75,213.21,-85.06,172.77
9642,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3238208,2020-01-08 17:15:13:184,1.9745,0.417,10.3666,0.0054,-0.0051,9.8065,0.0627,-0.0806,0.0227,-10.5,-38.5,-9.87,212.53,-85.24,174.33
9643,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3238307,2020-01-08 17:15:13:283,1.4144,-1.2172,9.7981,0.0027,-0.0189,9.8066,-0.0449,0.0364,0.0401,-10.62,-37.69,-8.69,218.55,-85.24,175.69
9644,52.595627,-1.6515,162.13,26.6,4,29.87,22 / 22,3238408,2020-01-08 17:15:13:384,0.8616,-0.303,8.8044,0.0181,-0.0297,9.8066,0.0306,-0.0091,0.1228,-10.37,-38.69,-8.81,219.68,-85.45,-179.97
