,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
1222,52.594097,-1.602405,144.02,7.64,3,116.7,25 / 25,122210,2020-01-08 17:34:15:803,2.3773,2.0854,8.2136,-0.0109,-0.0431,9.8065,-0.1772,0.4928,-0.2116,-18.44,-34.25,15.0,344.99,-84.67,-142.75
1223,52.594097,-1.602405,144.02,7.64,3,116.7,24 / 24,122310,2020-01-08 17:34:15:903,-0.5203,-4.3369,11.5479,0.005,-0.0792,9.8063,-0.0722,0.3901,-0.1872,-18.81,-33.81,15.25,343.19,-84.88,-142.96
1224,52.594097,-1.602405,144.02,7.64,3,116.7,24 / 24,122409,2020-01-08 17:34:16:002,1.3427,0.2337,8.0169,0.0203,-0.0619,9.8064,-0.2181,0.3276,-0.1568,-19.06,-33.0,13.81,342.35,-84.52,-141.64
1225,52.594097,-1.602405,144.02,7.64,3,116.7,24 / 24,122510,2020-01-08 17:34:16:103,0.6678,-3.1942,10.9802,-0.0131,-0.0118,9.8066,-0.0192,-0.027,0.0782,-18.5,-33.94,14.88,348.79,-84.73,-139.49
1226,52.594097,-1.602405,144.02,7.64,3,116.7,24 / 24,122610,2020-01-08 17:34:16:203,1.3928,-0.4035,10.2351,-0.0118,-0.0357,9.8066,-0.0541,0.2228,-0.1697,-18.87,-34.19,14.75,350.48,-84.63,-136.52
1227,52.594097,-1.602405,144.02,7.64,3,116.7,24 / 24,122709,2020-01-08 17:34:16:302,0.3902,-2.2081,10.3128,0.0006,-0.0087,9.8066,0.0837,-0.121,0.0538,-18.81,-34.06,14.63,348.71,-84.62,-138.05
1228,52.594097,-1.602405,144.02,7.64,3,116.7,24 / 24,122810,2020-01-08 17:34:16:403,1.2584,-0.0527,9.871,0.0051,-0.0304,9.8065,0.0025,0.0791,-0.0003,-19.25,-33.75,14.63,347.83,-84.37,-138.74
1229,52.594097,-1.602405,144.02,7.64,3,116.7,24 / 24,122910,2020-01-08 17:34:16:503,1.3549,0.0193,8.9933,0.0072,0.039,9.8065,0.1497,-0.1765,0.1502,-19.12,-34.12,14.63,347.75,-84.22,-138.76
1230,52.594097,-1.602405,144.02,7.64,3,116.7,24 / 24,123010,2020-01-08 17:34:16:603,1.6651,0.788,8.9713,-0.009,-0.0322,9.8066,0.0336,0.115,-0.2052,-19.0,-33.69,14.75,346.86,-84.29,-139.55
1231,52.594097,-1.602405,144.02,7.64,3,116.7,24 / 24,123110,2020-01-08 17:34:16:703,0.3501,-0.6287,8.8324,-0.0339,0.0099,9.8066,-0.0153,0.0305,-0.1367,-18.75,-34.0,14.44,342.46,-84.47,-141.45
