,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
46303,52.026314,-0.608274,142.0,0.0,4,287.38,21 / 21,4630311,2020-01-08 11:32:56:985,-0.7682,-1.0037,9.7102,-0.0039,0.0038,9.8066,-0.0189,-0.0081,-0.0055,4.44,-34.19,10.06,95.14,-87.37,-114.97
46304,52.026314,-0.608274,142.0,0.0,4,287.38,21 / 21,4630411,2020-01-08 11:32:57:085,-0.4853,-1.1399,9.9813,-0.0027,0.0025,9.8066,-0.0316,-0.0143,0.0092,5.0,-34.19,10.13,99.19,-87.34,-115.38
46305,52.026314,-0.608274,142.0,0.0,4,287.38,21 / 21,4630510,2020-01-08 11:32:57:184,-0.9745,-0.7151,9.7375,-0.005,0.0035,9.8066,-0.0075,-0.0249,0.009,4.75,-34.06,9.75,98.08,-87.36,-116.47
46306,52.026314,-0.608274,142.0,0.0,4,287.38,21 / 21,4630611,2020-01-08 11:32:57:285,-0.3658,-0.9225,9.7959,-0.0035,-0.0007,9.8066,-0.0128,-0.0292,-0.0104,4.0,-33.94,9.56,93.13,-87.32,-117.15
46307,52.026314,-0.608274,142.0,0.0,4,287.38,21 / 21,4630711,2020-01-08 11:32:57:385,-0.9707,-0.6372,9.711,-0.0053,0.0053,9.8066,-0.018,-0.0179,0.0406,4.38,-33.87,10.0,91.96,-87.31,-118.36
46308,52.026314,-0.608274,142.0,0.0,4,287.38,21 / 21,4630811,2020-01-08 11:32:57:485,-0.6081,-1.2624,9.9521,-0.0047,0.0035,9.8066,-0.0145,0.0029,-0.0042,4.88,-34.06,10.0,96.24,-87.27,-118.59
46309,52.026314,-0.608274,142.0,0.0,4,287.38,21 / 21,4630911,2020-01-08 11:32:57:585,-0.9104,-0.6612,9.6624,-0.0033,0.0033,9.8066,-0.0248,-0.0313,0.044,4.63,-34.31,10.19,95.26,-87.25,-119.68
46310,52.026314,-0.608274,142.0,0.0,4,287.38,21 / 21,4631011,2020-01-08 11:32:57:685,-0.4689,-1.0755,9.9434,-0.0073,0.0014,9.8066,-0.0262,0.0075,0.006,4.63,-33.94,9.81,94.56,-87.21,-120.48
46311,52.026314,-0.608274,142.0,0.0,4,287.38,21 / 21,4631111,2020-01-08 11:32:57:785,-0.9687,-1.0138,9.9877,-0.0016,0.0026,9.8066,-0.0127,-0.025,0.0184,5.06,-34.37,10.0,93.66,-87.21,-121.42
46312,52.026314,-0.608274,142.0,0.0,4,287.38,21 / 21,4631211,2020-01-08 11:32:57:885,-0.4596,-1.3022,9.8105,-0.0063,-0.0035,9.8066,-0.0334,0.0132,0.0068,4.0,-34.31,9.63,88.14,-87.17,-122.62
