,1411812122840,41.1781183,-8.5980907,0.0,73.06700134277344
668,1411813858000,41.14950604,-8.60634303,193.1999969482422,21.0
669,1411813859000,41.14949535,-8.60640635,193.3000030517578,22.0
670,1411813860000,41.14948768,-8.60648276,193.10000610351565,26.0
671,1411813861000,41.14947898,-8.60656868,193.10000610351565,30.0
672,1411813862000,41.14948293,-8.60664544,193.1999969482422,31.0
673,1411813863000,41.14948282,-8.60672277,193.1999969482422,35.0
674,1411813864000,41.149497,-8.60682304,193.3999938964844,38.0
675,1411813865000,41.14973407,-8.60689014,193.60000610351565,29.0
676,1411813866000,41.14970425,-8.60699269,193.10000610351565,29.0
677,1411813867000,41.14972246,-8.60707551,193.1999969482422,28.0
678,1411813868000,41.14975137,-8.60713571,193.3000030517578,28.0
679,1411813869000,41.1497407,-8.6072286,193.1999969482422,29.0
680,1411813870000,41.14971405,-8.60733098,192.8999938964844,32.0
681,1411813873000,41.14980833,-8.60731243,193.1999969482422,37.0
682,1411813876000,41.14988097,-8.6073134,193.3000030517578,49.0
683,1411813877000,41.14986686,-8.60741312,193.1999969482422,56.0
684,1411813880000,41.14988523,-8.60732952,193.3000030517578,49.0
685,1411813881000,41.14977146,-8.60722749,193.3000030517578,39.0
686,1411813882000,41.14975603,-8.60733623,193.3000030517578,41.0
687,1411813884000,41.14979506,-8.60729358,193.3000030517578,36.0
688,1411813886000,41.14983427,-8.60726196,193.3999938964844,47.0
689,1411813888000,41.14987275,-8.60720697,193.3999938964844,63.0
690,1411813890000,41.14990156,-8.60715899,193.3000030517578,63.0
691,1411813904000,41.14986064,-8.60710716,192.6999969482422,23.0
692,1411813909000,41.14989458,-8.60706744,192.6999969482422,21.0
693,1411813915000,41.14987832,-8.60712508,192.8000030517578,15.0
694,1411813917000,41.14988332,-8.60720785,192.5,14.0
695,1411813918000,41.14990703,-8.60726816,190.8999938964844,14.0
696,1411813919000,41.1499383,-8.60733267,190.10000610351565,14.0
697,1411813920000,41.14997041,-8.60739636,188.6999969482422,14.0
698,1411813921000,41.15003172,-8.60744659,187.6999969482422,13.0
699,1411813922000,41.14998369,-8.60748629,188.60000610351565,13.0
700,1411813924000,41.1499675,-8.60759914,185.3999938964844,12.0
701,1411813925000,41.14995271,-8.60769438,185.5,13.0
702,1411813926000,41.14995143,-8.60777484,185.8999938964844,13.0
703,1411813927000,41.14994537,-8.60785836,185.60000610351565,13.0
704,1411813928000,41.14993276,-8.60794021,185.3999938964844,13.0
705,1411813929000,41.14989314,-8.60804363,185.8000030517578,13.0
706,1411813931000,41.14991404,-8.60813205,184.5,14.0
707,1411813932000,41.14987868,-8.60823284,184.6999969482422,14.0
708,1411813933000,41.14986801,-8.60831983,184.60000610351565,14.0
709,1411813934000,41.14989502,-8.60838925,184.1999969482422,15.0
710,1411813935000,41.14988879,-8.60845877,183.8999938964844,16.0
711,1411813936000,41.14988556,-8.60855309,184.5,17.0
712,1411813937000,41.14985723,-8.60865999,184.60000610351565,19.0
713,1411813938000,41.14986045,-8.60874585,184.8999938964844,20.0
714,1411813939000,41.14985489,-8.60883773,185.3000030517578,21.0
715,1411813940000,41.14984463,-8.60891223,184.6999969482422,22.0
716,1411813949000,41.14985467,-8.60900601,187.8999938964844,20.0
717,1411813951000,41.14984228,-8.60908067,189.6999969482422,17.0
718,1411813953000,41.14984293,-8.60918351,188.6999969482422,15.0
719,1411813955000,41.14986054,-8.60928255,188.6999969482422,15.0
720,1411813957000,41.1498927,-8.60935914,188.60000610351565,15.0
721,1411813960000,41.14993979,-8.60937571,187.0,15.0
722,1411813963000,41.14999763,-8.60936738,180.8000030517578,14.0
723,1411813966000,41.15005854,-8.60936398,176.39999389648438,13.0
724,1411813971000,41.15010242,-8.60935019,173.0,13.0
725,1411813976000,41.15011657,-8.60929103,168.1999969482422,14.0
726,1411813980000,41.15017786,-8.60926235,164.0,14.0
727,1411813985000,41.15022578,-8.60926539,163.89999389648438,12.0
728,1411814012000,41.15030553,-8.609429,163.5,14.0
729,1411814013000,41.15033846,-8.60950125,163.1999969482422,15.0
730,1411814014000,41.15036665,-8.60957732,163.5,15.0
731,1411814015000,41.15040258,-8.60961722,164.1999969482422,15.0
732,1411814017000,41.150465,-8.60968743,165.3000030517578,15.0
733,1411814020000,41.1505121,-8.60976311,166.3000030517578,14.0
734,1411814022000,41.15058471,-8.60969384,169.39999389648438,14.0
735,1411814023000,41.15066953,-8.60963085,168.8000030517578,14.0
736,1411814024000,41.1507234,-8.6095767,169.5,14.0
737,1411814026000,41.15077484,-8.60952201,170.8000030517578,14.0
738,1411814033000,41.15081314,-8.60955527,167.1999969482422,14.0
739,1411814040000,41.15085922,-8.60960052,163.89999389648438,16.0
740,1411814043000,41.15091405,-8.60961095,165.3000030517578,15.0
741,1411814054000,41.15095933,-8.60961785,164.5,14.0
742,1411814056000,41.15101704,-8.60963803,163.89999389648438,13.0
743,1411814057000,41.15105846,-8.60966756,163.6999969482422,13.0
744,1411814058000,41.15115678,-8.60980587,165.3000030517578,13.0
745,1411814059000,41.15119415,-8.60985547,166.39999389648438,13.0
746,1411814060000,41.1513057,-8.60980329,151.39999389648438,13.0
