,gpstime,latitude,longitude,altitude,speed,heading,hpdop,vdop,pdop
2302,1518259501.0,41.243970867,-8.554927467,101.1,7.717,81.00,0.9,?,?
2303,1518259502.0,41.243972583,-8.554838733,101.6,6.894,92.40,0.9,?,?
2304,1518259503.0,41.243953967,-8.554751767,101.9,7.871,115.00,0.9,?,?
2305,1518259504.0,41.24391495,-8.554664467,101.8,9.414,125.80,1.1,?,?
2306,1518259505.0,41.2438715,-8.55456875,101.7,10.083,122.00,0.9,?,?
2307,1518259506.0,41.243844667,-8.554461433,101.4,9.774,103.10,0.9,?,?
2308,1518259507.0,41.243839367,-8.554348333,101.1,9.672,84.60,0.9,?,?
2309,1518259508.0,41.243863783,-8.554239983,100.8,9.672,63.50,0.9,?,?
2310,1518259509.0,41.243913033,-8.5541517,100.5,9.723,42.70,0.9,?,?
2311,1518259510.0,41.243988217,-8.55409435,100.3,9.929,21.10,0.9,?,?
2312,1518259511.0,41.244071017,-8.554069283,100.6,9.826,1.30,0.8,?,?
2313,1518259512.0,41.244151383,-8.55408915,100.7,9.723,341.40,0.8,?,?
2314,1518259513.0,41.24422575,-8.55414325,100.8,9.774,322.70,0.8,?,?
2315,1518259514.0,41.24427785,-8.554228283,100.9,9.620,301.30,0.9,?,?
2316,1518259515.0,41.244305083,-8.55433565,101.2,9.723,281.10,0.7,?,?
2317,1518259516.0,41.244302633,-8.5544486,101.6,9.723,261.30,0.7,?,?
2318,1518259517.0,41.24427,-8.554555333,101.6,10.083,242.90,0.7,?,?
2319,1518259518.0,41.244210867,-8.554647117,101.7,10.443,223.60,0.7,?,?
2320,1518259519.0,41.244135467,-8.55472085,101.7,10.752,213.10,0.7,?,?
2321,1518259520.0,41.24406175,-8.554805183,101.5,11.061,222.90,0.7,?,?
2322,1518259521.0,41.244002133,-8.55491365,101.0,11.678,239.40,0.9,?,?
2323,1518259522.0,41.243960783,-8.555044833,100.5,12.347,252.50,0.9,?,?
2324,1518259523.0,41.243936533,-8.555188717,100.0,12.501,260.70,0.9,?,?
2325,1518259524.0,41.24391395,-8.555332917,99.6,12.295,258.50,0.9,?,?
2326,1518259525.0,41.243888167,-8.55547265,99.6,11.884,256.80,0.7,?,?
2327,1518259526.0,41.2438627,-8.5556085,99.9,11.575,256.60,0.7,?,?
2328,1518259527.0,41.24383715,-8.5557438,100.5,11.524,256.90,0.7,?,?
2329,1518259528.0,41.2438124,-8.555879067,101.1,11.575,257.00,0.7,?,?
2330,1518259529.0,41.24378995,-8.556014367,101.6,11.729,257.00,0.7,?,?
2331,1518259530.0,41.243766567,-8.55615115,102.2,11.781,256.90,0.7,?,?
2332,1518259531.0,41.24374155,-8.556289217,102.7,11.832,257.10,0.7,?,?
2333,1518259532.0,41.243716667,-8.556428783,103.2,11.935,257.40,0.7,?,?
2334,1518259533.0,41.243693033,-8.556568467,103.3,12.141,257.40,0.7,?,?
2335,1518259534.0,41.243669083,-8.556709483,103.3,12.192,257.10,0.7,?,?
2336,1518259535.0,41.243644883,-8.55685075,103.3,12.141,257.00,0.7,?,?
2337,1518259536.0,41.243619233,-8.556992617,103.3,12.089,257.10,0.7,?,?
2338,1518259537.0,41.2435926,-8.557134267,103.3,12.141,257.00,0.7,?,?
2339,1518259538.0,41.2435661,-8.557275933,103.1,12.244,257.00,0.8,?,?
2340,1518259539.0,41.243540017,-8.55741905,102.6,12.398,257.30,0.8,?,?
2341,1518259540.0,41.24351385,-8.557561633,102.0,12.450,257.30,0.8,?,?
2342,1518259541.0,41.243486617,-8.557702567,101.3,12.450,257.00,0.7,?,?
