GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
52.218723,-1.502687,108,0,19,121.9,007/022,57,2019-02-15 10:56:42:545,-0.8696,-0.4474,10.1795,-0.601,-0.5006,9.7754,-0.0043,0.0149,-0.0075,-14.87,0.92,-58.12,173.96,3.51,2.93
52.218723,-1.502687,108,0,19,121.9,007/022,557,2019-02-15 10:56:43:045,-0.247,-0.4778,9.2182,-0.5959,-0.5002,9.7757,0.0021,-0.0373,0.0139,-14.63,1.24,-58.18,173.94,3.51,2.93
52.218723,-1.502687,108,0,19,121.9,007/022,1057,2019-02-15 10:56:43:545,-0.228,-0.5153,9.7184,-0.6032,-0.4981,9.7754,0.0011,-0.0416,0.0128,-15.45,-0.04,-57.98,170.91,3.52,2.93
52.218723,-1.502687,108,0,19,121.9,007/022,1557,2019-02-15 10:56:44:045,-2.5631,7.7433,6.0039,-0.5974,-0.4641,9.7774,0.0128,0,-0.0021,-16.47,-0.4,-57.69,171.41,3.53,2.92
52.218723,-1.502687,108,0,19,121.9,007/022,2057,2019-02-15 10:56:44:545,-0.1994,0.4639,9.347,-0.4639,0.3271,9.7902,-0.0075,-0.0405,0.0224,-16.1,-2.69,-57.74,176.68,2.7,-1.89
52.218723,-1.502687,108,0,19,121.9,007/022,2557,2019-02-15 10:56:45:045,-0.9618,0.817,9.893,-0.4495,0.2973,9.7918,0.0202,0.0074,0.0234,-15.66,-1.3,-57.91,182.34,2.63,-1.74
52.218723,-1.502687,108,0,19,121.9,007/022,3057,2019-02-15 10:56:45:545,-0.4145,0.3345,10.0545,-0.4557,0.2268,9.7934,0.0011,0.0021,0.0011,-15.66,-1.3,-57.91,181.11,2.72,-1.35
52.218723,-1.502687,108,0,19,121.9,007/022,3557,2019-02-15 10:56:46:045,-0.2839,0.2715,10.0335,-0.4483,0.2237,9.7938,0.0021,-0.0021,0.0021,-15.09,-1.3,-58.06,181.11,2.66,-1.33
52.218723,-1.502687,108,0,19,121.9,007/022,4057,2019-02-15 10:56:46:545,-0.4122,0.2044,9.9235,-0.4461,0.2269,9.7939,0.0032,0,-0.0011,-16.01,-2.08,-57.79,177.98,2.61,-1.33
52.218723,-1.502687,108,0,19,121.9,007/022,4557,2019-02-15 10:56:47:045,0.011,0.1413,9.9939,-0.2934,0.2326,9.7995,0.0085,0.0043,0.0021,-16.11,-1,-57.79,181.08,2.51,-1.33
52.218723,-1.502687,108,0,19,121.9,007/022,5057,2019-02-15 10:56:47:545,-0.434,0.2235,9.9673,-0.2205,0.2351,9.8014,-0.0021,-0.0032,0.0011,-16.25,-1.32,-57.74,181.29,1.29,-1.37
52.218723,-1.502687,108,0,19,121.9,007/022,5557,2019-02-15 10:56:48:045,-0.0405,0.2318,10.0295,-0.1285,0.1919,9.8039,-0.0277,-0.0128,0.017,-16.55,-1.65,-57.65,177.7,1,-1.26
52.218723,-1.502687,108,0,19,121.9,007/022,6057,2019-02-15 10:56:48:545,0.3551,-0.1008,9.5657,-0.0999,0.1725,9.8046,0.0298,0.0074,0.0937,-16.64,-1.66,-57.62,176.81,0.58,-1.01
52.218723,-1.502687,108,0,19,121.9,007/022,6557,2019-02-15 10:56:49:045,-0.2408,-0.1619,9.9622,-0.0718,0.0406,9.8063,0.0096,-0.0075,0.1342,-16.75,-1.33,-57.6,179.32,0.35,-0.78
52.218723,-1.502687,108,0,19,121.9,007/022,7057,2019-02-15 10:56:49:545,-0.64,0.2541,9.9665,-0.1194,-0.0107,9.8059,0.0415,0.0053,0.2099,-15.83,-3.25,-57.78,169.61,0.7,0.06
52.218723,-1.502687,108,0,19,121.9,007/022,7558,2019-02-15 10:56:50:046,0.0844,0.0362,9.6777,-0.2042,-0.1522,9.8033,-0.0064,-0.0213,0.1907,-15.24,-4.58,-57.85,160.71,0.92,0.57
52.218723,-1.502687,108,0,19,121.9,007/022,8056,2019-02-15 10:56:50:544,-0.2216,-0.7694,9.6846,-0.2713,-0.2185,9.8005,0.0224,0.0032,0.2429,-14.21,-6.29,-57.95,154.94,1.59,1.28
52.218723,-1.502687,108,0,19,121.9,007/022,8557,2019-02-15 10:56:51:045,0.1228,-0.2612,9.7242,-0.1502,-0.3575,9.799,-0.032,-0.0128,0.2727,-14.5,-7.27,-57.77,150.47,1.59,1.82
52.218723,-1.502687,108,0,19,121.9,007/022,9058,2019-02-15 10:56:51:546,-0.9555,-0.9004,9.945,-0.2206,-0.5809,9.7869,0.0437,-0.0213,0.3452,-11.63,-9.5,-58.09,133.79,0.08,2.58
52.218723,-1.502687,108,0,19,121.9,007/022,9557,2019-02-15 10:56:52:045,-0.8312,-0.1993,9.9062,-0.2703,-0.5341,9.7884,-0.0181,0.0309,0.3089,-11.44,-11.23,-57.82,130.44,1.29,3.4
52.218723,-1.502687,108,0,19,121.9,007/022,10057,2019-02-15 10:56:52:545,-0.7149,-0.2919,10.1737,-0.3568,-0.4451,9.79,-0.032,0.0096,0.2365,-8.62,-12.31,-58.09,127.16,2.08,2.6
52.218723,-1.502687,108,0,19,121.9,007/022,10560,2019-02-15 10:56:53:048,-0.2399,-0.0815,9.7788,-0.3674,-0.3999,9.7916,0.0032,0.0053,0.1875,-7.96,-13.28,-57.97,123.45,2.15,2.34
52.218723,-1.502687,108,0,19,121.9,007/022,11056,2019-02-15 10:56:53:544,-0.794,-0.046,10.02,-0.3692,-0.3179,9.7945,-0.017,-0.0032,0.1566,-5.63,-13.89,-58.1,117.21,2.16,1.86
52.218723,-1.502687,108,0,19,121.9,007/022,11556,2019-02-15 10:56:54:044,0.141,-0.0577,10.0669,-0.2932,-0.2139,9.7999,0.0234,0.0043,0.1555,-5.04,-15.07,-57.86,112.46,1.71,1.25
52.218723,-1.502687,108,0,19,121.9,007/022,12057,2019-02-15 10:56:54:545,-0.6278,-0.1213,9.8432,-0.2595,-0.0453,9.8031,-0.0139,-0.0139,0.13,-3.07,-15.49,-57.88,106.53,1.52,0.26
52.218723,-1.502687,108,0,19,121.9,007/022,12559,2019-02-15 10:56:55:047,-0.4696,-0.0713,9.8297,-0.3149,0.0115,9.8016,0.0011,0.0043,0.0991,-2.73,-15.82,-57.81,106.64,1.81,0.15
52.218723,-1.502687,108,0,19,121.9,007/022,13058,2019-02-15 10:56:55:546,-0.0703,0.235,9.424,-0.4077,0.0761,9.7979,-0.0298,-0.0256,0.0735,-1.41,-15.33,-57.99,100.85,1.84,-0.07
52.218723,-1.502687,108,0,19,121.9,007/022,13557,2019-02-15 10:56:56:045,-0.9107,0.2804,10.4028,-0.3927,0.1276,9.798,0.0245,0.0256,0.0778,-0.73,-15.11,-58.06,102.78,2.2,-0.73
52.218723,-1.502687,108,0,19,121.9,007/022,14057,2019-02-15 10:56:56:545,-0.4362,0.6196,9.9081,-0.2808,0.1826,9.8009,-0.0362,0.0479,0.0469,-1.41,-16.06,-57.79,102.32,2.29,-0.75
