GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°),
52.185665,-1.877144,78,0,10,0,,13 / 24,45,2019-08-16 11:29:24:414,0.0306,-0.0951,9.5122,0.0004,0.0015,9.8067,-0.0064,-0.0001,0.0032,-15.4,1.4,-37.96,185.71,0.72,-0.82
52.185665,-1.877144,78,0,10,0,,13 / 24,145,2019-08-16 11:29:24:514,0.0254,-0.0279,9.9573,-0.0017,0.0009,9.8067,-0.0064,-0.0001,0.0032,-15.77,1.78,-37.09,188.74,0.71,-0.82
52.185665,-1.877144,78,0,10,0,,13 / 24,245,2019-08-16 11:29:24:614,0.0541,-0.1138,9.5434,-0.0002,-0.0007,9.8067,-0.0011,0.001,-0.0021,-16.15,1.78,-37.52,188.78,0.72,-0.82
52.185665,-1.877144,78,0,10,0,,13 / 24,345,2019-08-16 11:29:24:714,-0.0449,-0.008,10.212,0.0003,0.0005,9.8067,0.0127,-0.0044,-0.0021,-15.4,1.4,-36.71,185.64,0.72,-0.82
52.185665,-1.877144,78,0,10,0,,13 / 24,445,2019-08-16 11:29:24:814,0.0876,-0.0219,9.7098,-0.0025,0.0001,9.8067,-0.0128,-0.0182,0.0053,-15.4,1.4,-36.71,185.64,0.72,-0.82
52.185665,-1.877144,78,0,10,0,,13 / 24,545,2019-08-16 11:29:24:914,-0.0244,-0.0814,10.0086,0.0037,0.0011,9.8066,-0.0033,0.0148,0,-15.77,1.4,-37.09,185.3,0.7,-0.82
52.185665,-1.877144,78,0,10,0,,13 / 24,645,2019-08-16 11:29:25:014,-0.0005,-0.0869,9.6533,0.0024,0.0014,9.8067,0.0095,0.0106,-0.0021,-15.4,1.78,-36.71,189.26,0.72,-0.81
52.185665,-1.877144,78,0,10,0,,13 / 24,745,2019-08-16 11:29:25:114,-0.0723,-0.0738,9.7877,0.0019,0.0012,9.8066,-0.015,-0.0086,0.0021,-15.4,1.78,-36.71,189.26,0.72,-0.81
52.185665,-1.877144,78,0,10,0,,13 / 24,845,2019-08-16 11:29:25:214,0.0229,-0.0722,9.7036,0.0009,0.0015,9.8067,-0.0001,0.0106,-0.0011,-15.77,1.78,-36.71,189.26,0.72,-0.81
52.185665,-1.877144,78,0,10,0,,13 / 24,945,2019-08-16 11:29:25:314,0.074,-0.0779,9.9294,-0.0004,0.0001,9.8067,-0.0001,0.0106,-0.0011,-16.15,1.4,-36.71,185.26,0.73,-0.8
52.185665,-1.877144,78,0,10,0,,13 / 24,1045,2019-08-16 11:29:25:414,-0.1036,-0.0421,9.8457,-0.001,0.0007,9.8066,0.0095,0.018,-0.0032,-16.15,1.78,-36.71,188.68,0.72,-0.8
52.185665,-1.877144,78,0,10,0,,13 / 24,1145,2019-08-16 11:29:25:514,0.1069,-0.0489,9.4851,0.0008,-0.0028,9.8066,-0.0075,-0.0118,0.0043,-16.15,1.4,-36.34,188.68,0.72,-0.8
52.185665,-1.877144,78,0,10,0,,13 / 24,1246,2019-08-16 11:29:25:615,-0.0498,0.0234,10.0801,0.0048,-0.0002,9.8066,-0.0001,0.0138,0.0011,-16.15,1.4,-36.34,188.68,0.72,-0.8
52.185665,-1.877144,78,0,10,0,,13 / 24,1345,2019-08-16 11:29:25:714,0.0427,0.0186,9.6285,-0.0005,-0.0015,9.8067,0.0095,-0.0001,-0.0043,-16.9,1.78,-35.02,188.12,0.75,-0.8
52.185665,-1.877144,78,0,10,0,,13 / 24,1446,2019-08-16 11:29:25:815,0.0631,-0.0422,9.8665,0.0033,-0.0003,9.8066,-0.0086,-0.0203,0.0021,-16.52,1.4,-36.27,184.94,0.74,-0.81
52.185665,-1.877144,78,0,10,0,,13 / 24,1545,2019-08-16 11:29:25:914,-0.0492,-0.03,9.9371,0.0005,-0.0015,9.8066,-0.0011,0.0095,-0.0011,-16.15,1.4,-28.52,184.94,0.74,-0.81
52.185665,-1.877144,78,0,10,0,,13 / 24,1645,2019-08-16 11:29:26:014,-0.0425,0.0167,9.6912,-0.0007,-0.0009,9.8066,0.0074,-0.0139,-0.0011,-16.15,1.4,-28.52,184.94,0.74,-0.81
52.185665,-1.877144,78,0,10,0,,13 / 24,1746,2019-08-16 11:29:26:115,0.107,0.0836,9.7309,0.0028,0.0005,9.8066,0.0074,-0.0139,-0.0011,-16.52,1.09,-36.71,184.99,0.74,-0.81
52.185665,-1.877144,78,0,10,0,,13 / 24,1846,2019-08-16 11:29:26:215,-0.1442,0.1035,10.1097,0.0022,-0.0007,9.8066,-0.0075,0.0116,0.0032,-16.52,1.4,-34.21,184.87,0.75,-0.82
52.185665,-1.877144,78,0,10,0,,13 / 24,1946,2019-08-16 11:29:26:315,0.0287,0.1027,9.8475,-0.0001,-0.001,9.8067,-0.0033,0.0074,-0.0021,-16.9,1.4,-31.34,184.87,0.75,-0.82
52.185665,-1.877144,78,0,10,0,,13 / 24,2046,2019-08-16 11:29:26:415,-0.1006,0.1497,9.9382,-0.0021,-0.0007,9.8067,0.0074,-0.0097,-0.0021,-16.9,1.4,-31.34,184.87,0.75,-0.82
52.185665,-1.877144,78,0,10,0,,13 / 24,2146,2019-08-16 11:29:26:515,0.0338,0.0535,9.3846,0.001,0.0018,9.8066,-0.0043,-0.015,0.0043,-16.9,1.78,-32.21,188.04,0.74,-0.82
52.185665,-1.877144,78,0,10,0,,13 / 24,2245,2019-08-16 11:29:26:614,-0.0502,-0.011,9.6767,0.0026,0.0031,9.8066,-0.0022,0.0127,-0.0011,-16.9,1.03,-35.09,184.89,0.76,-0.81
52.185665,-1.877144,78,0,10,0,,13 / 24,2345,2019-08-16 11:29:26:714,0.0252,-0.0087,9.6376,-0.0027,-0.0006,9.8066,0.0042,-0.0097,0.0021,-16.9,1.03,-35.96,184.94,0.74,-0.81
52.185665,-1.877144,78,0,10,0,,13 / 24,2445,2019-08-16 11:29:26:814,-0.0749,0.0374,10.1071,-0.0005,0.0006,9.8067,-0.0064,0.0031,-0.0021,-16.9,1.03,-35.96,184.94,0.74,-0.81
