GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
6.44293,3.410031,27.86,0,8,51.32,0 / 0,13,2019-12-26 21:19:01:705,0.026,-0.0043,9.8395,-0.0011,0.0026,9.8066,0.0023,-0.0008,-0.0025,-9.94,-31.19,8.13,0.07,107.87,0.12
6.44293,3.410031,0,0,6,51.32,0 / 0,112,2019-12-26 21:19:01:804,0.0613,-0.0118,9.819,0.0162,0.0008,9.8066,-0.0037,-0.0015,-0.0004,-10.25,-31.81,8.13,0.04,107.35,0.14
6.44293,3.410031,0,0,6,51.32,0 / 0,213,2019-12-26 21:19:01:905,-0.0044,0.0106,9.837,-0.0067,0.0034,9.8066,0.0057,-0.0041,0.001,-10.44,-32,7.44,0.06,107.36,0.2
6.44293,3.410031,0,0,6,51.32,0 / 0,313,2019-12-26 21:19:02:005,-0.0021,-0.0313,9.8312,-0.0059,-0.0013,9.8066,-0.0004,0,-0.0013,-10.37,-32,7.06,0.04,107.35,0.13
6.44293,3.410031,0,0,6,51.32,0 / 0,413,2019-12-26 21:19:02:105,0.0217,-0.0046,9.8437,0.0058,0.0014,9.8066,0.0037,-0.0006,-0.0028,-9.94,-32.12,7.44,0.04,107.35,0.05
6.44293,3.410031,0,0,6,51.32,0 / 0,513,2019-12-26 21:19:02:205,0.0531,-0.0058,9.834,0.0021,-0.0022,9.8066,0.0044,-0.0003,-0.0016,-9.75,-31.75,7.25,0.05,107.35,0.11
6.44293,3.410031,0,0,6,51.32,0 / 0,613,2019-12-26 21:19:02:305,0.0405,-0.0028,9.839,0.006,0.0037,9.8066,-0.0045,0.001,-0.0013,-9.81,-31.37,7.69,0.05,107.87,0.11
6.44293,3.410031,0,0,6,51.32,0 / 0,712,2019-12-26 21:19:02:404,0.0132,-0.029,9.8332,0.0004,-0.008,9.8066,0.0023,-0.0001,0.0034,-10,-31.25,7.94,0.02,107.88,0.15
6.44293,3.410031,0,0,6,51.32,0 / 0,813,2019-12-26 21:19:02:505,-0.0037,0.0075,9.8443,-0.0067,0.0059,9.8066,0.0008,-0.0022,-0.0019,-9.94,-31.81,7.13,0.08,107.35,0.13
6.44293,3.410031,0,0,6,51.32,0 / 0,913,2019-12-26 21:19:02:605,0.0228,-0.014,9.8391,0.0006,-0.0017,9.8066,-0.0002,-0.0005,0.0007,-10,-31.44,7.25,0.04,107.88,0.1
6.44293,3.410031,0,0,6,51.32,0 / 4,1015,2019-12-26 21:19:02:707,0.03,0.0034,9.8395,0.0109,0.0038,9.8065,0.0064,-0.0001,0.0015,-10.06,-31.12,7.75,0.02,107.88,0.12
6.44293,3.410031,0,0,6,51.32,0 / 4,1113,2019-12-26 21:19:02:805,0.0177,-0.0081,9.8373,0.0035,0.0014,9.8066,-0.0053,0.0023,-0.0027,-9.44,-31.37,7.56,0.04,106.19,0.15
6.44293,3.410031,0,0,6,51.32,0 / 4,1213,2019-12-26 21:19:02:905,0.007,-0.0029,9.8413,0.0004,-0.0004,9.8066,0.0021,0.0012,-0.0024,-9.81,-31.56,7.56,0.04,107.35,0.12
6.44293,3.410031,0,0,6,51.32,0 / 4,1313,2019-12-26 21:19:03:005,0.0149,0.002,9.853,-0.0002,0.0015,9.8066,0.0052,-0.0031,-0.0027,-9.87,-31.75,7.81,0.02,107.36,0.14
6.44293,3.410031,0,0,6,51.32,0 / 4,1413,2019-12-26 21:19:03:105,0.0112,0.0095,9.854,-0.0013,-0.002,9.8066,-0.0062,0.0022,-0.0013,-10,-31.81,7.88,0.01,107.36,0.15
6.44293,3.410031,0,0,6,51.32,0 / 4,1513,2019-12-26 21:19:03:205,0.0081,0.0079,9.8415,0.0003,-0.0009,9.8066,0.0013,0.0005,0.0019,-10.12,-31.75,8.25,0.03,107.36,0.13
6.44293,3.410031,0,0,6,51.32,0 / 4,1612,2019-12-26 21:19:03:304,0.0158,0.0154,9.838,0.002,0.0033,9.8066,0.0024,0.0025,-0.0032,-9.75,-31.81,7.56,0.04,107.35,0.12
6.44293,3.410031,0,0,6,51.32,0 / 4,1713,2019-12-26 21:19:03:405,0.0075,0.0072,9.8617,-0.0012,-0.0008,9.8066,-0.0051,0.0009,-0.0027,-9.75,-31.81,7.25,0.01,107.36,0.15
6.44293,3.410031,0,0,6,51.32,0 / 4,1813,2019-12-26 21:19:03:505,0.0185,-0.0155,9.8503,0.0028,-0.001,9.8066,0.0055,-0.0034,0.0025,-9.44,-31.75,7.81,0.01,105.71,0.12
6.44293,3.410031,0,0,6,51.32,0 / 4,1913,2019-12-26 21:19:03:605,0.0157,-0.0007,9.8699,0.0009,0.0043,9.8066,-0.0056,0.002,-0.0044,-10.44,-31.56,7.88,0.02,107.36,0.13
6.44293,3.410031,0,0,6,51.32,0 / 4,2013,2019-12-26 21:19:03:705,0.0116,0.0091,9.8544,-0.002,-0.0004,9.8066,-0.0064,0.0013,0.0007,-10.25,-32.31,7.63,0.01,107.36,0.13
6.44293,3.410031,0,0,6,51.32,0 / 6,2113,2019-12-26 21:19:03:805,0.0326,-0.0118,9.8427,0.0032,-0.0014,9.8066,-0.0006,0.0001,0.0002,-9.94,-31.5,7.06,0.01,107.88,0.12
6.44293,3.410031,0,0,6,51.32,0 / 6,2213,2019-12-26 21:19:03:905,0.0042,-0.0081,9.8633,-0.002,0.001,9.8066,-0.001,-0.0001,0.0005,-9.37,-31.87,7.75,0.02,105.71,0.1
6.44293,3.410031,0,0,6,51.32,0 / 6,2313,2019-12-26 21:19:04:005,0.0041,-0.0115,9.8579,-0.0055,-0.0012,9.8066,0.0064,-0.0034,0.0002,-9.81,-31.5,7.44,0,107.88,0.09
6.44293,3.410031,0,0,6,51.32,0 / 6,2413,2019-12-26 21:19:04:105,0.0168,-0.0117,9.8748,0.0027,0.0015,9.8066,-0.0006,0.0023,-0.0015,-9.69,-31.56,7.38,0.01,107.36,0.1
