GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
48.901104,2.340227,102.26,17.05,24,268.02,10-Nov,21,2020-01-04 11:37:56:271,-0.6175,0.1203,9.988,0.0113,-0.0075,9.8066,0.0336,0.0273,-0.0159,-33.31,-92.19,64.44,166.02,-13.89,5.91
48.901104,2.340227,102.26,17.05,24,268.02,10-Nov,120,2020-01-04 11:37:56:370,-0.6948,-0.6966,10.9569,0.0134,0.0071,9.8066,-0.0008,0.0267,-0.0129,-32.94,-98.12,61.44,166.6,-13.93,6.1
48.901104,2.340227,102.26,17.05,24,268.02,10-Nov,221,2020-01-04 11:37:56:471,-1.1289,-0.0794,8.6188,0.0018,0.0117,9.8066,-0.0177,0.0049,-0.0177,-31.44,-98.94,68,168.29,-13.9,6.21
48.901104,2.340227,102.26,17.05,24,268.02,10-Nov,321,2020-01-04 11:37:56:571,-0.8231,-0.3878,9.1412,0.0029,0.0158,9.8066,-0.009,0.0037,-0.0104,-30.44,-96.12,69.5,168.67,-13.69,6.3
48.901104,2.340227,102.26,17.05,24,268.02,10-Nov,421,2020-01-04 11:37:56:671,-1.112,-0.5662,9.7231,-0.0028,0.0034,9.8066,-0.0169,0.0066,-0.0094,-29.87,-96.37,70,168.65,-13.65,6.28
48.901104,2.340227,102.26,17.05,24,268.02,10-Nov,520,2020-01-04 11:37:56:770,-0.8168,0.2069,10.1666,0.0007,0.0089,9.8065,-0.0299,-0.0112,0.0057,-30.25,-95.94,70.06,168.65,-13.57,6.28
48.901104,2.340227,102.26,17.05,24,268.02,10-Nov,621,2020-01-04 11:37:56:871,-1.3822,-0.3711,9.887,0.0029,-0.0054,9.8066,0.0119,-0.0033,-0.0109,-31.81,-95.12,70.44,167.54,-13.55,6.25
48.901104,2.340227,102.26,17.05,24,268.02,10-Nov,720,2020-01-04 11:37:56:970,-0.5646,-0.1013,11.1367,0.0094,0.0028,9.8066,0.0011,0.0443,-0.0069,-31.25,-93.69,70.25,167.99,-13.59,6.34
48.901104,2.340227,102.26,17.05,24,268.02,10-Nov,821,2020-01-04 11:37:57:071,-0.8218,-0.992,9.8355,0.0039,0.0019,9.8066,-0.006,0.008,-0.0074,-32.44,-93.62,69.63,167.58,-13.54,6.48
48.901104,2.340227,102.26,17.05,24,268.02,10-Nov,921,2020-01-04 11:37:57:171,-0.825,-0.3664,9.9885,0.0001,0.0001,9.8065,0.0056,-0.0252,-0.011,-32.25,-91.94,68.88,167.29,-13.51,6.51
