GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,11,2019-08-18 15:13:42:548,-0.6709,-0.1173,9.7219,-0.6844,-0.1563,9.7815,-0.0017,-0.0042,-0.0011
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,111,2019-08-18 15:13:42:648,-0.7009,-0.1532,9.856,-0.6832,-0.1521,9.7816,-0.0005,-0.005,-0.0016
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,211,2019-08-18 15:13:42:748,-0.7475,-0.1161,9.9218,-0.6829,-0.1495,9.7817,-0.001,-0.0043,-0.0016
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,311,2019-08-18 15:13:42:848,-0.6745,-0.1688,9.8165,-0.6797,-0.1469,9.782,-0.0009,-0.0058,-0.0025
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,411,2019-08-18 15:13:42:948,-0.7164,-0.0862,9.7255,-0.6795,-0.1439,9.782,-0.0002,-0.0054,-0.0016
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,511,2019-08-18 15:13:43:048,-0.6841,-0.1365,9.868,-0.6776,-0.1382,9.7822,-0.0004,-0.0048,-0.0012
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,611,2019-08-18 15:13:43:148,-1.06,-0.1939,10.3492,-0.742,-0.1279,9.7777,0.104,0.0636,-0.043
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,711,2019-08-18 15:13:43:248,-0.6781,-0.0838,9.7997,-0.6625,-0.0769,9.7839,-0.0036,-0.0037,-0.0007
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,811,2019-08-18 15:13:43:348,-0.7068,0.0144,9.7339,-0.6601,-0.0791,9.7841,-0.0047,-0.0044,-0.0003
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,911,2019-08-18 15:13:43:448,-0.6685,-0.0563,9.8703,-0.6573,-0.0827,9.7842,-0.0033,-0.0055,-0.0011
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,1011,2019-08-18 15:13:43:548,-0.6577,-0.0934,9.7961,-0.6545,-0.0823,9.7844,-0.0034,-0.0067,-0.0005
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,1111,2019-08-18 15:13:43:648,-0.7062,-0.0156,9.7638,-0.6527,-0.0819,9.7846,-0.0022,-0.0045,-0.0008
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,1211,2019-08-18 15:13:43:748,-0.6584,-0.1167,9.8997,-0.6515,-0.0797,9.7847,-0.0029,-0.0046,-0.0007
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,1311,2019-08-18 15:13:43:848,-0.7272,-0.0401,9.8841,-0.6532,-0.0787,9.7846,-0.0029,-0.0042,-0.0007
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,1411,2019-08-18 15:13:43:948,-0.6386,-0.1149,9.8147,-0.6536,-0.0764,9.7845,-0.0024,-0.0037,-0.0005
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,1511,2019-08-18 15:13:44:048,-0.6985,-0.0084,9.7644,-0.6545,-0.0757,9.7845,-0.0016,-0.0045,-0.0008
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,1611,2019-08-18 15:13:44:148,-0.6595,-0.0814,9.8865,-0.6535,-0.0741,9.7846,-0.0015,-0.0035,-0.0008
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,1711,2019-08-18 15:13:44:248,-0.7104,-0.0419,9.9045,-0.6532,-0.0713,9.7846,-0.0019,-0.0041,-0.0009
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,1811,2019-08-18 15:13:44:348,-0.6745,-0.0221,9.7255,-0.6528,-0.0701,9.7846,-0.0014,-0.0049,-0.0013
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,1911,2019-08-18 15:13:44:448,-0.6626,-0.0461,9.8392,-0.65,-0.0684,9.7848,-0.0013,-0.0053,-0.0013
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,2011,2019-08-18 15:13:44:548,-0.6889,-0.0491,9.8356,-0.65,-0.0684,9.7848,-0.0016,-0.0053,-0.0008
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,2111,2019-08-18 15:13:44:648,-0.6781,-0.0718,9.9051,-0.6476,-0.0637,9.785,-0.0022,-0.0045,-0.0004
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,2211,2019-08-18 15:13:44:748,-0.6793,-0.0419,9.9099,-0.6464,-0.0624,9.7851,-0.0012,-0.0036,-0.0018
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,2311,2019-08-18 15:13:44:848,-0.647,-0.0598,9.7219,-0.6452,-0.0616,9.7852,-0.0018,-0.0032,-0.0007
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,2411,2019-08-18 15:13:44:948,-0.6757,-0.006,9.7291,-0.6444,-0.0608,9.7853,-0.0025,-0.0038,-0.0009
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,2511,2019-08-18 15:13:45:048,-0.6685,-0.085,9.8608,-0.6431,-0.0607,9.7854,-0.0006,0.0096,-0.0017
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,2611,2019-08-18 15:13:45:148,-0.6398,-0.0479,9.8296,-0.6443,-0.0483,9.7853,-0.0043,-0.013,0.0001
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,2711,2019-08-18 15:13:45:248,-0.708,-0.0251,9.9362,-0.6628,-0.0432,9.7841,0.0334,0.047,-0.0187
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,2811,2019-08-18 15:13:45:348,-0.6039,-0.0347,9.8057,-0.6247,-0.0277,9.7867,-0.0044,-0.0035,0.0001
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,2910,2019-08-18 15:13:45:447,-0.6793,-0.0084,9.9075,-0.6237,-0.0295,9.7868,-0.0035,-0.0033,-0.0004
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,3011,2019-08-18 15:13:45:548,-0.6123,-0.0407,9.8261,-0.6232,-0.0305,9.7868,-0.0043,-0.0028,0.0002
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,3111,2019-08-18 15:13:45:648,-0.6613,0.018,9.7267,-0.623,-0.03,9.7868,-0.0034,-0.0029,-0.0001
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,3211,2019-08-18 15:13:45:748,-0.6266,-0.0299,9.8979,-0.6242,-0.0284,9.7867,-0.0035,-0.0035,-0.0003
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,3311,2019-08-18 15:13:45:848,-0.6733,-0.0227,9.9099,-0.6232,-0.0285,9.7868,-0.0038,-0.0029,-0.0006
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,3413,2019-08-18 15:13:45:950,-0.6182,-0.0203,9.7782,-0.6245,-0.0283,9.7867,-0.0026,-0.0036,-0.0004
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,3511,2019-08-18 15:13:46:048,-0.6637,0.0347,9.7686,-0.6255,-0.0275,9.7866,-0.0029,-0.0041,-0.0004
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,3611,2019-08-18 15:13:46:148,-0.6458,-0.0156,9.9039,-0.6231,-0.0261,9.7868,-0.0024,-0.004,-0.0004
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,3711,2019-08-18 15:13:46:248,-0.6781,0.0048,9.8835,-0.6227,-0.0251,9.7868,-0.0029,-0.0035,-0.0007
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,3812,2019-08-18 15:13:46:349,-0.5943,-0.0048,9.7734,-0.6219,-0.0226,9.7869,-0.0029,-0.0031,-0.0003
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,3911,2019-08-18 15:13:46:448,-0.6518,0.0527,9.7411,-0.6213,-0.0228,9.7869,-0.0027,-0.0044,-0.0008
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,4011,2019-08-18 15:13:46:548,-0.6278,0.018,9.8608,-0.6187,-0.0206,9.7871,-0.0028,-0.0043,-0.0004
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,4111,2019-08-18 15:13:46:648,-0.6661,0.0192,9.8739,-0.6171,-0.0195,9.7872,-0.0021,-0.0055,-0.0008
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,4211,2019-08-18 15:13:46:748,-0.5859,-0.0215,9.8009,-0.6123,-0.0142,9.7875,-0.0015,-0.0045,-0.0011
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,4312,2019-08-18 15:13:46:849,-0.647,-0.0012,9.7411,-0.6106,-0.0134,9.7876,-0.002,-0.0053,-0.0006
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,4411,2019-08-18 15:13:46:948,-0.5716,-0.0096,9.8584,-0.6077,-0.0162,9.7878,-0.0024,-0.0043,0
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,4512,2019-08-18 15:13:47:049,-0.6769,0.0311,9.8703,-0.6042,-0.0142,9.788,-0.0019,-0.0032,-0.0007
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,4611,2019-08-18 15:13:47:148,-0.6781,0.0311,9.8847,-0.6099,-0.0098,9.7877,-0.0017,-0.0048,-0.0007
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,4712,2019-08-18 15:13:47:249,-0.5285,0.0479,9.7051,-0.6073,-0.0082,9.7878,-0.0038,-0.0044,-0.0017
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,4811,2019-08-18 15:13:47:348,-0.6649,-0.0718,9.8811,-0.5951,-0.0032,9.7886,-0.0021,-0.0029,-0.0014
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,4911,2019-08-18 15:13:47:448,-0.7559,-0.0275,9.9194,-0.606,-0.0087,9.7879,-0.0015,-0.0028,-0.0003
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,5011,2019-08-18 15:13:47:548,-0.5237,0.0539,9.8991,-0.5974,-0.0021,9.7884,-0.0035,-0.0062,-0.0013
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,5112,2019-08-18 15:13:47:649,-0.6996,-0.0574,9.7411,-0.5985,0,9.7884,-0.0024,-0.0013,0.0005
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,5211,2019-08-18 15:13:47:748,-0.6566,0.0623,9.8225,-0.6051,-0.0049,9.788,-0.0035,-0.0063,-0.0018
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,5311,2019-08-18 15:13:47:848,-0.5991,0.006,9.8751,-0.5962,0.0001,9.7885,-0.0028,-0.0033,-0.0002
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,5411,2019-08-18 15:13:47:948,-0.6494,-0.0275,9.9075,-0.5991,-0.0028,9.7883,-0.0029,-0.0023,-0.0002
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,5511,2019-08-18 15:13:48:048,-0.5823,0.0263,9.7219,-0.6011,-0.0046,9.7882,-0.0022,-0.0047,-0.0003
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,5611,2019-08-18 15:13:48:148,-0.5823,0.012,9.8584,-0.597,-0.0015,9.7885,-0.0031,-0.0026,0
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,5711,2019-08-18 15:13:48:248,-0.6649,0.0557,9.6722,-0.595,-0.0008,9.7886,-0.0027,-0.0036,0
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,5811,2019-08-18 15:13:48:348,-0.626,0.0066,9.8596,-0.5965,-0.0017,9.7885,-0.004,-0.0035,-0.0005
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,5911,2019-08-18 15:13:48:448,-0.5961,0.0862,9.7141,-0.5943,-0.0027,9.7886,-0.004,-0.0028,0.0002
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,6011,2019-08-18 15:13:48:548,-0.6308,-0.0455,9.9284,-0.5931,-0.003,9.7887,-0.0015,-0.0024,-0.0004
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,6112,2019-08-18 15:13:48:649,-0.6057,0.0838,9.6836,-0.5983,-0.0023,9.7884,-0.0038,-0.0014,0.0011
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,6211,2019-08-18 15:13:48:748,-0.711,0.003,9.7237,-0.6004,0.0008,9.7883,-0.0038,-0.0014,0.0011
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,6311,2019-08-18 15:13:48:848,-0.7829,-0.021,9.9745,-0.6214,-0.0147,9.7869,-0.0002,-0.0043,-0.001
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,6411,2019-08-18 15:13:48:948,-0.6398,-0.0048,9.7854,-0.63,-0.0109,9.7864,-0.0016,-0.0085,-0.0002
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,6511,2019-08-18 15:13:49:048,-0.6212,0.0736,9.8225,-0.6291,-0.0067,9.7864,-0.004,-0.0084,0.0005
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,6611,2019-08-18 15:13:49:148,-0.6236,0.0246,9.8063,-0.6186,-0.0091,9.7871,-0.0011,-0.0058,-0.0017
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,6711,2019-08-18 15:13:49:248,-0.6488,-0.0449,9.9093,-0.6016,-0.0001,9.7882,-0.0034,-0.0022,-0.0015
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,6811,2019-08-18 15:13:49:348,-0.6625,-0.0114,9.8865,-0.6062,-0.0004,9.7879,-0.0041,-0.0023,-0.001
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,6911,2019-08-18 15:13:49:448,-1.4215,-0.3466,9.6441,-0.6393,-0.0159,9.7858,-0.0072,0.0125,-0.004
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,7011,2019-08-18 15:13:49:548,-1.4496,-0.398,9.832,-0.6569,-0.0243,9.7846,-0.0078,0.01,-0.0063
48.499973,-2.722982,146.25,0,10.72,166.7,Dec-21,7111,2019-08-18 15:13:49:648,-1.5544,-0.3968,9.7752,-0.6997,-0.0465,9.7815,-0.0046,0.0069,-0.0069
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 20,7212,2019-08-18 15:13:49:749,-1.5885,-0.392,9.6872,-0.7663,-0.0761,9.7764,-0.0019,0.0029,-0.0066
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 20,7311,2019-08-18 15:13:49:848,-0.8601,0.0096,9.8602,-0.891,-0.1292,9.7652,0.0141,-0.0112,-0.0084
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 20,7411,2019-08-18 15:13:49:948,-0.7272,-0.0156,9.7967,-0.8728,-0.1183,9.767,0.0094,-0.0222,-0.0063
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 20,7512,2019-08-18 15:13:50:049,-0.7332,0.0353,9.8835,-0.8534,-0.1066,9.7689,0.0061,-0.004,-0.0055
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 20,7611,2019-08-18 15:13:50:148,-0.9474,-0.0581,9.7614,-0.8511,-0.1008,9.7691,-0.0022,0.0007,-0.0065
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 20,7711,2019-08-18 15:13:50:248,-0.8852,-0.0515,9.8889,-0.8599,-0.0936,9.7684,0.0025,0.0009,-0.0051
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 20,7811,2019-08-18 15:13:50:348,-0.9343,-0.0066,9.7572,-0.863,-0.0806,9.7683,-0.0029,-0.0015,-0.0044
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 20,7911,2019-08-18 15:13:50:448,-0.7984,-0.0718,9.8159,-0.8606,-0.0788,9.7685,-0.0052,-0.0069,-0.0117
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 20,8011,2019-08-18 15:13:50:548,-0.7445,-0.0652,9.8685,-0.8435,-0.078,9.77,-0.0022,-0.0104,-0.0054
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 20,8112,2019-08-18 15:13:50:649,-0.6404,0.094,9.838,-0.7976,-0.0505,9.774,-0.0023,-0.0048,-0.0081
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,8211,2019-08-18 15:13:50:748,-0.6111,0.1443,9.7213,-0.7793,-0.0378,9.7756,-0.0066,-0.0044,-0.0066
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,8311,2019-08-18 15:13:50:848,-0.635,0.1748,9.9164,-0.7376,-0.0062,9.7789,-0.0095,-0.0073,-0.0044
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,8411,2019-08-18 15:13:50:948,-0.5255,0.1101,9.6758,-0.7268,-0.0043,9.7797,-0.0119,-0.0084,-0.0007
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,8511,2019-08-18 15:13:51:048,-0.629,-0.0066,9.8787,-0.6988,-0.0145,9.7817,-0.0071,-0.0027,-0.0018
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,8611,2019-08-18 15:13:51:148,-0.6332,0.1066,9.847,-0.6949,-0.0155,9.782,-0.0011,-0.0008,0.0027
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,8711,2019-08-18 15:13:51:248,-0.6739,0.1425,9.7536,-0.6865,0.0023,9.7826,-0.0034,0.0023,0.0082
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,8811,2019-08-18 15:13:51:348,-1.5711,-0.2807,9.8177,-0.7063,-0.0008,9.7812,-0.0067,0.0142,0.01
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,8911,2019-08-18 15:13:51:448,-0.963,-0.3244,10.102,-0.7206,-0.0084,9.7801,-0.0061,0.0112,0.016
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,9011,2019-08-18 15:13:51:548,-1.3862,-0.1646,9.6615,-0.7532,-0.0249,9.7777,-0.0079,0.0047,0.0161
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,9113,2019-08-18 15:13:51:650,-1.0672,-0.1395,9.6776,-0.7629,-0.0299,9.7769,-0.0123,0.001,0.0215
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,9211,2019-08-18 15:13:51:748,-0.8972,0.0706,9.7985,-0.7719,-0.0448,9.7761,-0.0183,-0.0098,0.0215
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,9311,2019-08-18 15:13:51:848,-0.6434,-0.0084,9.774,-0.7622,-0.0525,9.7768,-0.0129,-0.017,0.0197
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,9411,2019-08-18 15:13:51:948,-0.8373,-0.243,9.9015,-0.7386,-0.0785,9.7785,-0.0235,-0.0129,0.0171
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,9511,2019-08-18 15:13:52:048,-0.5751,-0.1143,10.0056,-0.7327,-0.09,9.7788,-0.0165,-0.0094,0.0211
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,9612,2019-08-18 15:13:52:149,-0.4949,-0.0126,9.8297,-0.7192,-0.0973,9.7798,-0.0014,-0.0098,0.0122
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,9711,2019-08-18 15:13:52:248,0.045,0.1688,10.0194,-0.6966,-0.093,9.7814,-0.0026,-0.0215,0.0228
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,9811,2019-08-18 15:13:52:348,0.3424,0.3496,10.0062,-0.6504,-0.0816,9.7847,-0.0104,-0.0144,0.0124
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,9911,2019-08-18 15:13:52:448,0.3724,0.2526,9.9308,-0.6192,-0.0802,9.7868,-0.0116,-0.0104,0.012
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,10012,2019-08-18 15:13:52:549,0.847,0.4926,9.9523,-0.5624,-0.0729,9.7902,0.0042,-0.0104,0.0126
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,10112,2019-08-18 15:13:52:649,-0.2513,0.0228,9.8356,-0.5354,-0.0612,9.7918,0.0012,-0.0054,0.0104
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,10211,2019-08-18 15:13:52:748,-0.5973,-0.0269,9.7698,-0.5283,-0.0608,9.7922,-0.0066,0.006,0.0087
48.499973,-2.722982,146.25,0,10.72,166.7,13 / 21,10311,2019-08-18 15:13:52:848,-0.6158,0.0509,9.7345,-0.5372,-0.0615,9.7917,-0.0025,0.0056,0.0079
