gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1457869762.00	41.178897650	-8.594176983	132.1	0.000	153.00	2.3	3.6	4.3
1457869763.00	41.178897417	-8.594177000	132.1	0.000	74.70	2.3	3.6	4.3
1457869764.00	41.178897267	-8.594177017	132.1	0.000	233.00	2.3	3.6	4.3
1457869765.00	41.178897200	-8.594177017	132.1	0.000	0.10	2.3	3.6	4.3
1457869766.00	41.178897083	-8.594177000	132.1	0.000	63.90	2.3	3.6	4.3
1457869767.00	41.178896983	-8.594177033	132.2	0.000	329.20	2.3	3.6	4.3
1457869768.00	41.178896867	-8.594177000	132.2	0.000	52.40	2.3	3.6	4.3
1457869769.00	41.178897000	-8.594176800	132.2	0.000	168.80	2.3	3.6	4.3
1457869770.00	41.178897133	-8.594176767	132.2	0.051	235.30	2.3	3.6	4.3
1457869771.00	41.178897217	-8.594176667	132.2	0.000	309.30	2.3	3.6	4.3
1457869772.00	41.178897267	-8.594176650	132.2	0.000	122.40	2.3	3.6	4.3
1457869773.00	41.178897133	-8.594177433	132.3	0.051	215.90	2.3	3.6	4.3
1457869774.00	41.178896917	-8.594180117	132.3	0.051	265.40	2.3	3.6	4.3
1457869775.00	41.178895750	-8.594179383	132.4	0.154	185.20	2.3	3.6	4.3
1457869776.00	41.178896283	-8.594179700	132.4	0.154	323.30	2.3	3.6	4.3
1457869777.00	41.178896467	-8.594183483	132.1	0.463	260.70	2.3	3.6	4.3
1457869778.00	41.178895133	-8.594183967	131.9	0.257	225.10	2.3	3.6	4.3
1457869779.00	41.178897917	-8.594181767	132.3	0.412	128.90	1.4	?	?
1457869780.00	41.178906900	-8.594180300	132.5	0.206	326.50	1.3	?	?
1457869781.00	41.178911750	-8.594178267	132.6	0.103	24.90	1.3	?	?
1457869782.00	41.178914067	-8.594175600	132.8	0.154	79.70	1.3	?	?
1457869783.00	41.178914567	-8.594178250	133.1	0.103	244.90	1.3	?	?
1457869784.00	41.178916850	-8.594178333	133.3	0.051	300.40	1.8	?	?
1457869785.00	41.178917533	-8.594176600	133.1	0.103	141.90	1.8	?	?
1457869786.00	41.178915667	-8.594172983	129.5	0.051	176.80	2.4	1.0	2.6
1457869787.00	41.178942717	-8.594229167	167.0	0.926	309.10	2.4	1.0	2.6
1457869788.00	41.178960583	-8.594233367	166.6	2.161	342.00	2.4	1.0	2.6
1457869789.00	41.178997933	-8.594232550	166.4	3.601	352.50	2.4	1.0	2.6
1457869790.00	41.179033083	-8.594232867	166.4	4.167	356.20	2.4	1.0	2.6
1457869791.00	41.179053300	-8.594225033	166.4	4.064	3.90	2.4	1.0	2.6
1457869792.00	41.179073433	-8.594215850	166.4	3.961	10.90	2.4	1.0	2.6
1457869793.00	41.179077100	-8.594210000	166.4	3.241	14.10	2.4	1.0	2.6
1457869794.00	41.179058000	-8.594213783	166.4	1.595	13.10	2.4	1.0	2.6
1457869795.00	41.179064033	-8.594205983	166.4	1.132	36.30	3.3	1.0	3.5
1457869796.00	41.179078233	-8.594170250	166.4	2.366	71.70	3.3	1.0	3.5
1457869797.00	41.179072350	-8.594129783	166.4	3.190	97.30	3.3	1.0	3.5
1457869798.00	41.179013583	-8.594110650	166.4	1.029	100.60	2.8	6.9	7.4
1457869799.00	41.178997433	-8.594110383	166.4	0.360	128.50	2.8	6.9	7.4
1457869800.00	41.178992467	-8.594110200	166.5	0.257	183.70	2.8	6.9	7.5
1457869801.00	41.178993083	-8.594112450	166.5	0.103	316.00	2.8	6.9	7.5
1457869802.00	41.178992800	-8.594114933	166.5	0.103	339.50	2.8	6.9	7.5
1457869803.00	41.178986467	-8.594118733	166.4	0.103	198.70	2.8	6.9	7.5
1457869804.00	41.178984283	-8.594119067	166.4	0.000	131.00	2.8	7.0	7.5
1457869805.00	41.178983217	-8.594118017	166.4	0.051	98.00	2.8	7.0	7.5
1457869806.00	41.178981950	-8.594115783	166.4	0.154	84.90	2.8	7.0	7.5
1457869807.00	41.178979350	-8.594111333	166.4	0.154	104.30	2.8	7.0	7.5
1457869808.00	41.178976383	-8.594108150	166.5	0.103	96.80	2.8	7.0	7.5
1457869809.00	41.178974283	-8.594105283	166.4	0.051	101.90	2.8	7.0	7.5
1457869810.00	41.178975233	-8.594110150	166.4	0.051	326.40	2.8	7.0	7.5
1457869811.00	41.178975700	-8.594111150	166.4	0.051	329.20	2.8	7.0	7.6
1457869812.00	41.178975633	-8.594111450	166.4	0.051	299.80	2.8	7.0	7.6
1457869813.00	41.178976667	-8.594113300	166.4	0.000	220.50	1.3	?	?
1457869814.00	41.178976717	-8.594113167	166.5	0.051	275.90	2.8	7.0	7.6
1457869815.00	41.178975967	-8.594110850	166.5	0.051	288.20	2.8	7.0	7.6
1457869816.00	41.178975233	-8.594105150	166.5	0.051	133.30	3.0	1.0	3.2
1457869817.00	41.178974683	-8.594102300	166.5	0.000	289.80	2.8	7.1	7.6
1457869818.00	41.178973700	-8.594100450	166.5	0.051	357.80	3.0	1.0	3.2
1457869819.00	41.178972683	-8.594097200	166.5	0.051	69.60	3.0	1.0	3.2
1457869820.00	41.178972050	-8.594096500	166.5	0.051	84.70	2.8	7.1	7.6
1457869821.00	41.178971583	-8.594094767	166.4	0.000	74.10	1.5	?	?
1457869822.00	41.178972233	-8.594091283	166.5	0.051	80.00	5.8	?	?
1457869823.00	41.178972550	-8.594090417	166.5	0.000	54.70	5.8	?	?
1457869824.00	41.178972733	-8.594090650	166.6	0.000	24.90	1.5	?	?
1457869825.00	41.178972867	-8.594091900	166.7	0.051	271.40	5.8	?	?
1457869826.00	41.178973117	-8.594092667	166.8	0.000	245.30	5.7	?	?
1457869827.00	41.178973417	-8.594093300	166.9	0.000	115.80	5.7	?	?
1457869828.00	41.178973717	-8.594093850	167.0	0.000	202.60	5.7	?	?
1457869829.00	41.178974150	-8.594094067	167.2	0.000	84.30	5.7	?	?
1457869830.00	41.178974583	-8.594094450	167.4	0.000	46.60	5.7	?	?
1457869831.00	41.178975133	-8.594094550	167.6	0.000	356.50	5.7	?	?
1457869832.00	41.178975567	-8.594095250	167.9	0.000	303.40	5.7	?	?
1457869833.00	41.178975100	-8.594099100	168.4	0.000	308.30	5.7	?	?
1457869834.00	41.178975017	-8.594102200	168.7	0.051	297.50	5.7	?	?
1457869835.00	41.178975567	-8.594104300	168.9	0.000	302.10	5.7	?	?
1457869836.00	41.178976100	-8.594106183	169.0	0.000	81.40	5.7	?	?
1457869837.00	41.178976717	-8.594107650	169.1	0.000	270.90	5.6	?	?
1457869838.00	41.178976783	-8.594109383	169.1	0.000	231.40	5.6	?	?
1457869839.00	41.178977150	-8.594110617	169.1	0.000	90.40	5.6	?	?
1457869840.00	41.178977600	-8.594111600	169.1	0.000	218.20	5.6	?	?
1457869841.00	41.178977867	-8.594112500	169.0	0.000	238.90	5.6	?	?
1457869842.00	41.178977850	-8.594113500	168.8	0.000	246.30	5.6	?	?
1457869843.00	41.178978083	-8.594114183	168.8	0.000	186.80	1.5	?	?
1457869844.00	41.178978267	-8.594114850	168.6	0.000	109.50	5.6	?	?
1457869845.00	41.178978467	-8.594115483	168.5	0.000	222.80	1.5	?	?
1457869846.00	41.178978617	-8.594116100	168.4	0.000	227.70	1.5	?	?
1457869847.00	41.178978667	-8.594116817	168.3	0.051	247.80	1.5	?	?
1457869848.00	41.178978533	-8.594117417	168.1	0.051	126.80	1.5	?	?
1457869849.00	41.178977783	-8.594118067	167.9	0.154	183.00	1.5	?	?
1457869850.00	41.178979283	-8.594115517	168.0	0.206	60.10	5.5	?	?
1457869851.00	41.178979833	-8.594116350	167.7	0.154	35.90	5.5	?	?
1457869852.00	41.178980450	-8.594116683	167.6	0.051	355.60	17.3	?	?
1457869853.00	41.178981067	-8.594116683	167.6	0.051	5.80	2.8	?	?
1457869854.00	41.178979433	-8.594114650	167.1	0.412	157.50	1.3	?	?
1457869855.00	41.178968050	-8.594115150	157.4	0.051	276.10	1.3	?	?
1457869856.00	41.178960117	-8.594133900	149.8	0.412	251.20	1.2	?	?
1457869857.00	41.178951117	-8.594168150	140.3	0.669	247.70	1.2	?	?
1457869858.00	41.178947133	-8.594177450	137.3	0.412	226.20	1.2	?	?
1457869859.00	41.178944967	-8.594179250	136.2	0.206	213.90	1.4	?	?
1457869860.00	41.178942983	-8.594181483	135.4	0.257	225.90	1.2	?	?
1457869861.00	41.178941850	-8.594182867	135.0	0.154	222.20	1.2	?	?
