gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1518261655.00	41.239077950	-8.541805883	138.6	0.051	201.00	1.0	?	?
1518261656.00	41.239077667	-8.541806567	138.4	0.103	250.30	1.0	?	?
1518261657.00	41.239077233	-8.541807933	138.4	0.051	238.50	1.0	?	?
1518261658.00	41.239077300	-8.541807967	138.6	0.051	253.40	1.0	?	?
1518261659.00	41.239077217	-8.541806700	138.4	0.051	94.90	1.0	?	?
1518261660.00	41.239077867	-8.541792317	139.0	0.051	108.50	1.0	?	?
1518261661.00	41.239077917	-8.541781550	139.8	0.051	175.20	1.0	?	?
1518261662.00	41.239078267	-8.541768367	140.9	0.051	65.40	1.0	?	?
1518261663.00	41.239078000	-8.541761283	141.7	0.051	56.90	0.9	?	?
1518261664.00	41.239078250	-8.541757933	141.5	0.051	100.70	0.9	?	?
1518261665.00	41.239078717	-8.541756167	141.3	0.103	76.80	0.9	?	?
1518261666.00	41.239079183	-8.541749133	140.9	0.103	64.10	1.1	?	?
1518261667.00	41.239080217	-8.541746417	140.7	0.051	74.10	1.0	?	?
1518261668.00	41.239081483	-8.541741383	141.4	0.154	67.70	1.0	?	?
1518261669.00	41.239081217	-8.541743833	140.8	0.051	57.60	1.0	?	?
1518261670.00	41.239080667	-8.541746417	140.2	0.000	69.90	1.0	?	?
1518261671.00	41.239079717	-8.541750417	139.3	0.051	232.30	1.0	?	?
1518261672.00	41.239078817	-8.541754100	138.6	0.051	244.70	1.0	?	?
1518261673.00	41.239079533	-8.541754683	138.4	0.051	273.20	0.9	?	?
1518261674.00	41.239079750	-8.541755833	138.3	0.051	237.50	0.9	?	?
1518261675.00	41.239080300	-8.541755800	138.4	0.103	246.00	0.9	?	?
1518261676.00	41.239080450	-8.541756550	137.9	0.051	255.00	0.9	?	?
1518261677.00	41.239082050	-8.541751050	138.6	0.051	66.10	0.9	?	?
1518261678.00	41.239083117	-8.541746200	139.4	0.051	74.00	0.9	?	?
1518261679.00	41.239083783	-8.541742533	140.0	0.051	86.80	0.9	?	?
1518261680.00	41.239081800	-8.541741833	140.4	0.051	155.80	0.8	?	?
1518261681.00	41.239079800	-8.541739533	140.9	0.000	120.30	0.8	?	?
1518261682.00	41.239078300	-8.541738700	141.1	0.000	61.50	0.8	?	?
1518261683.00	41.239076967	-8.541737467	141.4	0.051	79.30	0.8	?	?
1518261684.00	41.239075917	-8.541736767	141.6	0.051	67.40	0.9	?	?
1518261685.00	41.239073383	-8.541742183	140.8	0.051	241.30	0.8	?	?
1518261686.00	41.239071500	-8.541745867	140.5	0.000	193.20	0.8	?	?
1518261687.00	41.239070217	-8.541747850	140.4	0.000	213.90	0.9	?	?
1518261688.00	41.239069250	-8.541749083	140.3	0.051	342.50	0.8	?	?
1518261689.00	41.239068167	-8.541751683	139.9	0.103	260.40	0.8	?	?
1518261690.00	41.239067250	-8.541752883	139.6	0.051	200.90	0.9	?	?
1518261691.00	41.239061400	-8.541746867	139.2	0.103	242.90	0.8	?	?
1518261692.00	41.239057167	-8.541743100	138.8	0.000	179.60	0.8	?	?
1518261693.00	41.239055917	-8.541744267	138.5	0.000	341.40	0.8	?	?
1518261694.00	41.239052417	-8.541742883	138.2	0.051	267.00	0.8	?	?
1518261695.00	41.239049267	-8.541741150	137.9	0.000	332.00	0.8	?	?
1518261696.00	41.239046633	-8.541740383	137.7	0.051	266.80	0.8	?	?
1518261697.00	41.239044400	-8.541736617	137.3	0.000	160.40	0.8	?	?
