n	Session	gps.seconds.Unix	gps.millis	gps.gpstime	gps.lat	gps.lon	gps.alt	gps.track	gps.speed.M-S	gps.epx	gps.nsats
1	4606	1411812223	316	1411812223	41.1781539916992	-8.59855079650879	218			16	6
2	4606	1411812224	317	1411812224	41.1781997680664	-8.59853172302246	218			17	6
3	4606	1411812225	318	1411812225	41.1781730651855	-8.59851264953613	218			16	6
4	4606	1411812226	319	1411812226	41.178092956543	-8.59852504730225	218			14	6
5	4606	1411812232	96	1411812232	41.1781883239746	-8.59829616546631	150			77	6
6	4606	1411812233	161	1411812233	41.1782035827637	-8.5982608795166	141			23	6
7	4606	1411812234	125	1411812234	41.1781692504883	-8.59832096099854	159			12	6
8	4606	1411812235	101	1411812235	41.1781425476074	-8.59836864471436	174			10	6
9	4606	1411812236	100	1411812236	41.1781387329102	-8.59837055206299	174			8	6
10	4606	1411812237	97	1411812237	41.1781349182129	-8.59837341308594	175			6	6
11	4606	1411812238	99	1411812238	41.1781349182129	-8.59837627410889	176			5	6
12	4606	1411812239	99	1411812239	41.1781349182129	-8.5983772277832	176			4	7
13	4606	1411812240	99	1411812240	41.1781349182129	-8.59837913513184	177			4	7
14	4606	1411812241	99	1411812241	41.1781349182129	-8.59837532043457	176			4	7
15	4606	1411812242	97	1411812242	41.1781349182129	-8.59837627410889	176			4	7
16	4606	1411812243	93	1411812243	41.1781349182129	-8.59837532043457	176			4	7
17	4606	1411812244	92	1411812244	41.1781349182129	-8.59837532043457	176			4	7
18	4606	1411812245	94	1411812245	41.1781349182129	-8.59837532043457	176			4	7
19	4606	1411812246	99	1411812246	41.1781349182129	-8.59837627410889	176			4	7
20	4606	1411812247	100	1411812247	41.1781349182129	-8.59837627410889	176			4	7
21	4606	1411812248	98	1411812248	41.1781349182129	-8.59837627410889	176			4	7
22	4606	1411812249	100	1411812249	41.1781349182129	-8.59837627410889	176			4	7
23	4606	1411812250	105	1411812250	41.1781349182129	-8.59837627410889	176			4	7
24	4606	1411812251	98	1411812251	41.1781349182129	-8.5983772277832	176			4	7
25	4606	1411812252	98	1411812252	41.1781349182129	-8.59837627410889	176			3	7
26	4606	1411812253	99	1411812253	41.1781349182129	-8.5983772277832	176			3	7
27	4606	1411812254	102	1411812254	41.1781349182129	-8.5983772277832	177			3	8
28	4606	1411812255	100	1411812255	41.1781349182129	-8.5983772277832	177			3	8
29	4606	1411812256	101	1411812256	41.1781349182129	-8.5983772277832	177			3	8
30	4606	1411812257	98	1411812257	41.1781349182129	-8.5983772277832	177			3	8
31	4606	1411812258	97	1411812258	41.1781349182129	-8.5983772277832	177			3	8
32	4606	1411812259	100	1411812259	41.1781349182129	-8.5983772277832	177			3	8
33	4606	1411812260	98	1411812260	41.1781349182129	-8.5983772277832	177			3	8
34	4606	1411812261	101	1411812261	41.1781311035156	-8.5983772277832	177			3	8
35	4606	1411812262	99	1411812262	41.1781311035156	-8.59837818145752	177			3	8
36	4606	1411812263	116	1411812263	41.1781311035156	-8.59837818145752	177			3	8
