n	Session	gps.seconds.Unix	gps.millis	gps.gpstime	gps.lat	gps.lon	gps.alt	gps.track	gps.speed.M-S	gps.epx	gps.nsats
1	4607	1411812122	128	1411812121	41.1780242919922	-8.59841251373291	222.5			28	8
2	4607	1411812123	130	1411812122	41.1780776977539	-8.59830188751221	229			32	8
3	4607	1411812124	147	1411812123	41.178108215332	-8.59834003448486	233.899993896484			30	8
4	4607	1411812125	97	1411812124	41.1779251098633	-8.59814357757568	226.300003051758			15	8
5	4607	1411812125	347	1411812125	41.1779098510742	-8.59818077087402	235.199996948242			7	7
6	4607	1411812126	404	1411812126	41.1778793334961	-8.59818363189697	237.600006103516			7	7
7	4607	1411812127	394	1411812127	41.1778717041016	-8.59818553924561	236.899993896484			8	7
8	4607	1411812128	589	1411812128	41.1778678894043	-8.59815979003906	234.100006103516			7	7
9	4607	1411812129	496	1411812129	41.1778678894043	-8.59817218780518	234.800003051758			8	7
10	4607	1411812130	522	1411812130	41.1778755187988	-8.59815406799316	231.800003051758			8	7
11	4607	1411812131	384	1411812131	41.1778678894043	-8.59816837310791	233.800003051758			8	7
12	4607	1411812132	451	1411812132	41.1778678894043	-8.59817314147949	234			7	7
13	4607	1411812133	546	1411812133	41.1778602600098	-8.59818267822266	234.600006103516			7	7
14	4607	1411812134	347	1411812134	41.1778526306152	-8.5981912612915	235.100006103516			7	7
15	4607	1411812135	546	1411812135	41.1778526306152	-8.59819316864014	235.199996948242			7	7
16	4607	1411812136	425	1411812136	41.177848815918	-8.59819412231445	235.199996948242			6	7
17	4607	1411812137	471	1411812137	41.177848815918	-8.59819507598877	235.600006103516			7	7
18	4607	1411812138	496	1411812138	41.177848815918	-8.59819507598877	235.600006103516			7	7
19	4607	1411812139	493	1411812139	41.177848815918	-8.59819507598877	235.600006103516			7	7
20	4607	1411812140	531	1411812140	41.177848815918	-8.59819507598877	235.600006103516			7	7
21	4607	1411812141	444	1411812141	41.177848815918	-8.59819507598877	235.600006103516			7	7
22	4607	1411812142	614	1411812142	41.177848815918	-8.59819507598877	235.600006103516			7	7
23	4607	1411812143	359	1411812143	41.177848815918	-8.59819507598877	235.600006103516			7	7
24	4607	1411812144	553	1411812144	41.177848815918	-8.59819507598877	235.600006103516			7	7
25	4607	1411812145	499	1411812145	41.177848815918	-8.59819507598877	235.600006103516			7	7
26	4607	1411812146	426	1411812146	41.177848815918	-8.59819507598877	235.699996948242			8	7
27	4607	1411812147	513	1411812147	41.177848815918	-8.59819507598877	235.699996948242			8	7
28	4607	1411812148	376	1411812148	41.177848815918	-8.59819507598877	235.699996948242			7	7
29	4607	1411812149	511	1411812149	41.177848815918	-8.59819507598877	235.699996948242			7	7
30	4607	1411812150	365	1411812150	41.177848815918	-8.59819507598877	235.699996948242			8	7
31	4607	1411812151	481	1411812151	41.177848815918	-8.59819507598877	235.699996948242			8	7
32	4607	1411812152	358	1411812152	41.177848815918	-8.59819507598877	235.699996948242			7	7
33	4607	1411812153	455	1411812153	41.177848815918	-8.59819507598877	235.699996948242			7	7
34	4607	1411812154	513	1411812154	41.1778526306152	-8.59820556640625	236.300003051758			7	7
35	4607	1411812155	409	1411812155	41.1778526306152	-8.59820556640625	236.300003051758			7	7
36	4607	1411812156	509	1411812156	41.1778526306152	-8.59820556640625	236.300003051758			7	7
37	4607	1411812157	410	1411812157	41.1778526306152	-8.59820556640625	236.300003051758			7	7
38	4607	1411812158	551	1411812158	41.1778526306152	-8.59820556640625	236.300003051758			7	7
39	4607	1411812159	343	1411812159	41.1778526306152	-8.59820556640625	236.300003051758			7	7
