n	Session	location.seconds.Unix	location.millis	location.gpstime	location.lat	location.lon	location.alt	location.track	location.speed.M-S	location.acc	location.nsats
1	16655	1518257395	884	1518257396	41.23905363	-8.54161888	192	0	0	10	6
2	16655	1518257396	884	1518257397	41.23905087	-8.5416162	192.3	0	0	7	6
3	16655	1518257397	886	1518257398	41.23905167	-8.54161567	193.4	0	0	5	6
4	16655	1518257398	887	1518257399	41.23905405	-8.54161829	193.5	0	0	4	6
5	16655	1518257399	885	1518257400	41.23905525	-8.54161753	193.4	0	0	4	6
6	16655	1518257400	885	1518257401	41.23905447	-8.54161576	193.7	0	0	3	6
7	16655	1518257401	887	1518257402	41.23905474	-8.54161693	193.8	0	0	3	6
8	16655	1518257402	885	1518257403	41.23905589	-8.5416209	193.4	0	0	3	6
9	16655	1518257403	885	1518257404	41.23905691	-8.5416226	193.3	0	0	3	6
10	16655	1518257404	886	1518257405	41.23905682	-8.54162245	193.3	0	0	3	6
11	16655	1518257405	891	1518257406	41.23905678	-8.54162243	193.3	0	0	3	6
12	16655	1518257406	886	1518257407	41.23905671	-8.5416224	193.3	0	0	3	6
13	16655	1518257407	894	1518257408	41.23905668	-8.5416224	193.3	0	0	3	6
14	16655	1518257408	886	1518257409	41.23905665	-8.5416224	193.3	0	0	3	6
15	16655	1518257409	886	1518257410	41.23905667	-8.54162243	193.3	0	0	3	6
16	16655	1518257410	885	1518257411	41.23905669	-8.54162246	193.3	0	0	3	6
17	16655	1518257411	885	1518257412	41.23905667	-8.54162247	193.3	0	0	3	6
18	16655	1518257412	894	1518257413	41.23905667	-8.54162247	193.3	0	0	3	6
19	16655	1518257413	886	1518257414	41.23905665	-8.54162246	193.3	0	0	3	6
20	16655	1518257414	887	1518257415	41.23905667	-8.54162243	193.3	0	0	3	6
21	16655	1518257415	886	1518257416	41.23905664	-8.54162236	193.4	0	0	3	6
22	16655	1518257416	894	1518257417	41.23905662	-8.54162227	193.4	0	0	3	7
23	16655	1518257417	890	1518257418	41.23905652	-8.54162201	193.4	0	0	3	7
24	16655	1518257418	887	1518257419	41.2390568	-8.54162264	193.3	0	0	3	7
25	16655	1518257419	887	1518257420	41.23905679	-8.5416226	193.4	0	0	3	7
26	16655	1518257420	887	1518257421	41.23905691	-8.54162287	193.3	0	0	3	7
27	16655	1518257421	887	1518257422	41.23905689	-8.54162284	193.3	0	0	3	7
28	16655	1518257422	887	1518257423	41.23905707	-8.54162327	193.3	0	0	3	7
29	16655	1518257423	888	1518257424	41.23905728	-8.54162369	193.3	0	0	3	7
30	16655	1518257424	887	1518257425	41.23905729	-8.54162371	193.3	0	0	3	7
31	16655	1518257425	890	1518257426	41.23905748	-8.54162406	193.2	0	0	3	7
32	16655	1518257426	898	1518257427	41.23905752	-8.54162411	193.2	0	0	3	7
33	16655	1518257427	899	1518257428	41.23905739	-8.54162387	193.3	0	0	3	7
34	16655	1518257428	887	1518257429	41.23905752	-8.5416241	193.2	0	0	3	7
35	16655	1518257429	891	1518257430	41.23905761	-8.54162428	193.2	0	0	3	7
36	16655	1518257430	899	1518257431	41.23905763	-8.54162431	193.2	0	0	3	7
37	16655	1518257431	887	1518257432	41.23905771	-8.54162449	193.2	0	0	3	7
38	16655	1518257432	891	1518257433	41.23905775	-8.54162453	193.2	0	0	3	7
39	16655	1518257433	887	1518257434	41.23905776	-8.54162455	193.2	0	0	3	7
40	16655	1518257434	887	1518257435	41.2390578	-8.54162461	193.2	0	0	3	8
41	16655	1518257435	887	1518257436	41.23905781	-8.54162458	193.2	0	0	3	8
42	16655	1518257436	887	1518257437	41.23905788	-8.54162465	193.2	0	0	3	8
43	16655	1518257437	890	1518257438	41.2390579	-8.54162466	193.2	0	0	3	8
44	16655	1518257438	888	1518257439	41.23905793	-8.54162468	193.2	0	0	3	8
45	16655	1518257439	897	1518257440	41.23905792	-8.54162468	193.2	0	0	3	8
46	16655	1518257440	888	1518257441	41.23905792	-8.54162468	193.2	0	0	3	8
47	16655	1518257441	897	1518257442	41.23905802	-8.54162472	193.2	0	0	3	8
48	16655	1518257442	893	1518257443	41.23905806	-8.54162473	193.2	0	0	3	8
49	16655	1518257443	896	1518257444	41.23905815	-8.54162479	193.3	0	0	3	8
50	16655	1518257444	892	1518257445	41.23905815	-8.5416248	193.3	0	0	3	8
51	16655	1518257445	896	1518257446	41.23905818	-8.54162484	193.3	0	0	3	8
52	16655	1518257446	889	1518257447	41.23905821	-8.54162485	193.3	0	0	3	8
53	16655	1518257447	896	1518257448	41.2390583	-8.54162491	193.3	0	0	3	8
54	16655	1518257448	889	1518257449	41.23905833	-8.54162494	193.3	0	0	3	8
55	16655	1518257449	893	1518257450	41.23905834	-8.54162496	193.3	0	0	3	8
56	16655	1518257450	897	1518257451	41.23905837	-8.54162499	193.3	0	0	3	8
57	16655	1518257451	906	1518257452	41.23905841	-8.54162503	193.3	0	0	3	8
58	16655	1518257452	906	1518257453	41.23905841	-8.54162502	193.3	0	0	3	8
59	16655	1518257453	896	1518257454	41.23905843	-8.54162503	193.2	0	0	3	8
60	16655	1518257455	417	1518257455	41.23905845	-8.54162508	193.2	0	0	9	8
61	16655	1518257456	915	1518257457	41.23905843	-8.54162505	193.2	0	0	9	8
62	16655	1518257458	443	1518257458	41.23905844	-8.54162506	193.2	0	0	9	8
63	16655	1518257460	452	1518257460	41.23905846	-8.5416251	193.2	0	0	9	8
64	16655	1518257461	979	1518257462	41.2390585	-8.54162514	193.2	0	0	9	8
65	16655	1518257463	500	1518257463	41.23905853	-8.54162515	193.2	0	0	9	8
66	16655	1518257465	429	1518257465	41.23905854	-8.54162514	193.2	0	0	9	8
