GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
50.98616,-3.217572,0,0,87.6,0,Feb-21,139,2019-08-17 07:20:29:506,-0.2022,-0.056,9.5916,-0.0179,-0.0077,9.8066,-0.019,0.0186,0.0088,-11.64,-44.45,-38.59,104.83,0.25,2.93
50.98616,-3.217572,0,0,87.6,0,Feb-21,240,2019-08-17 07:20:29:607,-0.4632,-0.1462,10.7828,-0.0269,-0.0095,9.8066,-0.003,-0.0145,-0.0051,-11.67,-44.72,-38.26,104.57,0.27,2.81
50.98616,-3.217572,0,0,87.6,0,Feb-21,339,2019-08-17 07:20:29:706,-0.0312,-0.0881,9.317,-0.0203,-0.0113,9.8066,0.0247,0.0356,-0.0029,-11.89,-44.79,-38.11,104.62,0.3,2.68
50.98616,-3.217572,0,0,87.6,0,Feb-21,439,2019-08-17 07:20:29:806,0.0173,0.0185,10.5545,0.0243,-0.0057,9.8066,0.0129,-0.0187,-0.004,-11.89,-44.79,-38.11,104.62,0.3,2.68
50.98616,-3.217572,0,0,87.6,0,Feb-21,539,2019-08-17 07:20:29:906,0.0036,0.3252,10.4701,0.0103,0.0144,9.8066,0.0023,0.0345,0.0024,-11.89,-44.79,-38.11,104.64,0.37,2.81
50.98616,-3.217572,0,0,87.6,0,Feb-21,639,2019-08-17 07:20:30:006,0.0057,-0.249,9.1786,0.0015,0.0257,9.8066,-0.002,-0.0113,0.0088,-11.82,-44.51,-38.46,104.58,0.3,2.89
50.98616,-3.217572,0,0,87.6,0,Feb-21,739,2019-08-17 07:20:30:106,-0.2938,-0.1245,10.0262,0.0087,0.0054,9.8066,-0.002,-0.0113,0.0088,-11.78,-44.64,-38.33,104.56,0.29,2.95
50.98616,-3.217572,0,0,87.6,0,Feb-21,839,2019-08-17 07:20:30:206,0.1328,-0.1386,9.4653,-0.0047,-0.0226,9.8066,0.014,0.0377,-0.0157,-11.78,-44.64,-38.33,104.56,0.29,2.95
50.98616,-3.217572,0,0,87.6,0,Feb-21,940,2019-08-17 07:20:30:307,0.0982,0.0859,9.3812,0.0184,0.0187,9.8066,0.0374,0.01,-0.004,-11.64,-44.89,-38.08,104.71,0.5,2.93
50.98616,-3.217572,0,0,87.6,0,Feb-21,1039,2019-08-17 07:20:30:406,0.123,0.2492,10.4517,-0.001,0.027,9.8066,0.0001,0.0804,-0.0083,-11.78,-44.87,-38.05,104.63,0.42,3.06
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,1139,2019-08-17 07:20:30:506,-0.0563,-0.2409,9.3149,-0.0034,0.0065,9.8066,0.0033,0.0228,-0.004,-11.73,-44.8,-38.16,104.6,0.38,3.05
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,1240,2019-08-17 07:20:30:607,-0.0373,0.0599,9.2774,0.0024,-0.0026,9.8066,0.0023,-0.0187,-0.0008,-11.84,-44.72,-38.2,104.6,0.38,3.05
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,1340,2019-08-17 07:20:30:707,-0.0174,0.0433,10.5511,0.001,0.0134,9.8066,0.0076,0.0058,-0.0019,-11.84,-44.72,-38.2,104.6,0.38,3.05
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,1440,2019-08-17 07:20:30:807,-0.162,-0.0249,10.622,0.0068,0.0249,9.8066,-0.0094,-0.0709,0.0077,-11.86,-44.79,-38.13,104.5,0.25,3.13
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,1539,2019-08-17 07:20:30:906,0.0458,0.0797,10.3219,0.0032,-0.0016,9.8066,-0.0094,-0.0709,0.0077,-11.84,-44.72,-38.2,104.5,0.26,3.14
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,1639,2019-08-17 07:20:31:006,0.1003,-0.0321,8.5708,0.004,-0.0127,9.8066,-0.0051,0.0079,-0.0072,-11.84,-44.72,-38.2,104.5,0.26,3.14
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,1743,2019-08-17 07:20:31:110,-0.1955,-0.0946,10.7969,-0.0117,-0.0075,9.8066,-0.0115,-0.0326,0.0003,-11.73,-44.44,-38.57,104.8,0.28,3.18
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,1840,2019-08-17 07:20:31:207,0.1894,0.0115,9.1399,-0.0211,-0.0108,9.8066,-0.0147,-0.0251,0.0045,-11.73,-44.44,-38.57,104.8,0.28,3.18
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,1939,2019-08-17 07:20:31:306,-0.3139,-0.0408,10.7452,-0.0045,0.0041,9.8066,0.0194,-0.0091,0.0003,-11.97,-44.83,-38.05,104.55,0.31,3.05
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,2040,2019-08-17 07:20:31:407,-0.0079,-0.0696,8.8634,-0.0003,0.0097,9.8066,0.0109,0.009,-0.0019,-11.97,-44.7,-38.19,104.54,0.28,3.03
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,2139,2019-08-17 07:20:31:506,0.3029,-0.3124,9.0523,0.0188,0.0231,9.8066,0.0119,-0.0773,0.0045,-11.93,-44.82,-38.06,104.54,0.28,3.03
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,2239,2019-08-17 07:20:31:606,0.1656,0.2928,10.6014,0.0362,0.0151,9.8066,0.0119,-0.0773,0.0045,-11.93,-44.82,-38.06,104.54,0.28,3.03
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,2339,2019-08-17 07:20:31:706,-0.0093,-0.2492,8.6835,0.0097,-0.0136,9.8066,-0.0094,-0.0017,0.0002,-11.95,-44.51,-38.42,104.47,0.24,3.25
50.986263,-3.217158,171,1.52,20,184.4,Feb-21,2440,2019-08-17 07:20:31:807,-0.2364,0.0114,10.4564,0.0117,-0.0231,9.8066,-0.0051,0.0207,0.0002,-11.82,-44.78,-38.14,104.57,0.39,3.29
50.98627,-3.217163,169,0,11,184.4,Mar-21,2539,2019-08-17 07:20:31:906,0.0806,0.0901,9.3524,-0.0124,0.0039,9.8066,0.0173,0.0676,-0.0136,-11.92,-44.64,-38.28,104.57,0.39,3.29
50.98627,-3.217163,169,0,11,184.4,Mar-21,2639,2019-08-17 07:20:32:006,0.0806,0.0901,9.3524,-0.0124,0.0039,9.8066,0.0173,0.0676,-0.0136,-11.92,-44.64,-38.28,104.57,0.39,3.29
50.98627,-3.217163,169,0,11,184.4,Mar-21,2739,2019-08-17 07:20:32:106,0.0806,0.0901,9.3524,-0.0124,0.0039,9.8066,0.0173,0.0676,-0.0136,-11.92,-44.64,-38.28,104.57,0.39,3.29
50.98627,-3.217163,169,0,11,184.4,Mar-21,2840,2019-08-17 07:20:32:207,0.0806,0.0901,9.3524,-0.0124,0.0039,9.8066,0.0173,0.0676,-0.0136,-11.92,-44.64,-38.28,104.57,0.39,3.29
50.98627,-3.217163,169,0,11,184.4,Mar-21,2939,2019-08-17 07:20:32:306,-0.1988,0.0279,10.4594,-0.0086,0.0157,9.8066,0.0194,-0.0251,-0.0008,-11.93,-44.83,-38.05,104.5,0.29,3.26
50.98627,-3.217163,169,0,11,184.4,Mar-21,3039,2019-08-17 07:20:32:406,0.269,-0.1596,9.0453,0.0679,0.0116,9.8064,-0.0019,0.0399,-0.0125,-11.95,-44.52,-38.41,104.45,0.32,3.66
50.98627,-3.217163,169,0,11,184.4,Mar-21,3140,2019-08-17 07:20:32:507,-0.2736,0.0951,10.3936,-0.0082,-0.019,9.8066,0.0066,-0.0166,0.0002,-11.95,-44.52,-38.41,104.45,0.32,3.66
50.98627,-3.217163,169,0,11,184.4,Mar-21,3239,2019-08-17 07:20:32:606,-0.0148,-0.0071,9.1629,-0.0141,-0.0227,9.8066,0.0066,-0.0166,0.0002,-11.79,-44.67,-38.29,104.55,0.43,3.55
50.98627,-3.217163,169,0,11,184.4,Mar-21,3339,2019-08-17 07:20:32:706,0.1776,-0.2161,9.8173,0.0001,-0.0071,9.8066,-0.0019,0.0015,0.0024,-11.79,-44.53,-38.44,104.58,0.47,3.54
50.98627,-3.217163,169,0,11,184.4,Mar-21,3439,2019-08-17 07:20:32:806,0.0547,0.2469,11.0222,0.0235,-0.0089,9.8066,0.0279,0.0292,-0.0072,-11.74,-44.59,-38.39,104.61,0.56,3.66
50.98627,-3.217163,169,0,11,184.4,Mar-21,3539,2019-08-17 07:20:32:906,0.1853,-0.0268,8.4325,0.0171,-0.012,9.8066,-0.0168,-0.0326,-0.0072,-11.74,-44.59,-38.39,104.61,0.56,3.66
50.98627,-3.217163,169,0,11,184.4,Mar-21,3639,2019-08-17 07:20:33:006,0.249,-0.1701,8.5812,0.0115,-0.0004,9.8066,-0.0051,0.009,0.0088,-11.63,-44.55,-38.47,104.61,0.58,3.72
50.98627,-3.217163,169,0,11,184.4,Mar-21,3740,2019-08-17 07:20:33:107,-0.1506,-0.1058,9.1666,-0.0084,-0.0067,9.8066,-0.0051,0.009,0.0088,-11.76,-44.53,-38.45,104.64,0.6,3.67
50.98627,-3.217163,169,0,11,184.4,Mar-21,3839,2019-08-17 07:20:33:206,-0.0238,-0.1426,9.1167,-0.0044,-0.02,9.8066,0.0151,0.0164,-0.0157,-11.76,-44.53,-38.45,104.64,0.6,3.67
50.98627,-3.217163,169,0,11,184.4,Mar-21,3939,2019-08-17 07:20:33:306,0.2474,-0.1348,8.6507,0.0112,-0.0182,9.8066,0.0428,0.0484,-0.0094,-11.7,-44.7,-38.27,104.73,0.71,3.61
50.98627,-3.217163,169,0,11,184.4,Mar-21,4039,2019-08-17 07:20:33:406,-0.051,0.1946,10.7278,0.0123,0.0069,9.8066,0.0055,-0.0251,-0.0115,-11.82,-44.5,-38.48,105.1,0.87,3.83
50.98627,-3.217163,169,0,11,184.4,Mar-21,4140,2019-08-17 07:20:33:507,0.264,-0.0148,8.9399,0.0165,-0.0187,9.8066,0.0237,0.0271,-0.0147,-11.89,-44.64,-38.29,104.76,0.85,3.91
50.98627,-3.217163,169,0,11,184.4,Mar-21,4240,2019-08-17 07:20:33:607,-0.0766,0.197,10.7029,0.0235,-0.0205,9.8066,0.0013,0.0207,-0.0083,-11.89,-44.64,-38.29,104.76,0.85,3.91
50.98627,-3.217163,169,0,11,184.4,Mar-21,4339,2019-08-17 07:20:33:706,0.175,-0.0973,8.8615,0.0024,0.001,9.8066,0.0013,0.0228,-0.004,-11.83,-44.56,-38.4,104.85,1,4.01
50.98627,-3.217163,169,0,11,184.4,Mar-21,4439,2019-08-17 07:20:33:806,-0.2482,0.1372,10.8478,-0.0042,0.0028,9.8066,0.0013,0.0228,-0.004,-11.67,-44.68,-38.31,104.83,0.98,3.99
50.986267,-3.217172,171,0,12,184.4,Apr-21,4540,2019-08-17 07:20:33:907,0.075,-0.0806,8.4926,0.0057,-0.0073,9.8066,0.0098,0.0399,-0.0062,-11.54,-44.63,-38.4,104.83,0.98,3.99
50.986267,-3.217172,171,0,12,184.4,Apr-21,4639,2019-08-17 07:20:34:006,-0.2964,0.0022,10.9613,0.0256,-0.0274,9.8066,0.0183,-0.073,-0.0062,-11.65,-44.75,-38.23,104.95,1.17,4.09
50.986267,-3.217172,171,0,12,184.4,Apr-21,4739,2019-08-17 07:20:34:106,0.3054,-0.1461,8.7446,0.0115,-0.0095,9.8066,0.0109,-0.0432,-0.0062,-11.63,-44.68,-38.33,104.98,1.24,4.14
50.986267,-3.217172,171,0,12,184.4,Apr-21,4839,2019-08-17 07:20:34:206,0.3054,-0.1461,8.7446,0.0115,-0.0095,9.8066,0.0109,-0.0432,-0.0062,-11.63,-44.68,-38.33,104.98,1.24,4.14
50.986267,-3.217172,171,0,12,184.4,Apr-21,4939,2019-08-17 07:20:34:306,0.2218,0.1384,9.6371,0.0206,0.0016,9.8066,-0.0019,0.0026,-0.0072,-11.6,-44.54,-38.5,104.97,1.26,4.26
50.986267,-3.217172,171,0,12,184.4,Apr-21,5039,2019-08-17 07:20:34:406,-0.1416,-0.2864,10.0557,0.0023,-0.0418,9.8066,-0.0019,-0.0102,0.0034,-11.49,-44.38,-38.71,104.32,1.5,4.21
