GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,14,2019-08-12 16:32:40:456,-0.9299,5.3242,8.8183,-1.1933,5.4693,8.0519,0.0894,0.0588,0.1663
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,114,2019-08-12 16:32:40:556,-0.9311,5.8384,7.8343,-1.513,5.6795,7.8501,0.4143,0.7843,-0.1256
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,214,2019-08-12 16:32:40:656,-1.0921,6.3202,8.4322,-1.9724,5.5655,7.8297,-0.2206,0.9046,-0.2769
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,314,2019-08-12 16:32:40:756,-2.1192,4.7592,7.4805,-2.7617,5.2992,7.7757,-0.3229,0.4338,0.0352
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,414,2019-08-12 16:32:40:856,-3.3636,4.7,8.1874,-3.0052,5.2041,7.7496,-0.1834,0.4977,0.325
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,514,2019-08-12 16:32:40:956,-3.0171,4.4348,8.3077,-3.2192,5.1428,7.7045,-0.1823,0.4199,0.2451
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,613,2019-08-12 16:32:41:055,-4.5027,3.9895,9.3917,-3.5008,4.4439,8.0104,-0.8204,0.1877,0.0001
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,713,2019-08-12 16:32:41:155,-4.052,4.2092,11.1125,-2.8467,4.1275,8.428,-0.2238,-0.1532,0.7287
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,814,2019-08-12 16:32:41:256,-5.0396,4.5186,10.7516,-2.8487,4.4312,8.2716,0.0936,0.4061,0.9823
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,914,2019-08-12 16:32:41:356,-4.1926,4.3139,9.8167,-2.6357,4.9612,8.038,0.5921,0.3667,1.4648
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,1014,2019-08-12 16:32:41:456,-3.3379,4.9262,6.7042,-1.808,5.7665,7.7233,0.3301,0.2644,2.0369
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,1114,2019-08-12 16:32:41:556,-0.4876,6.1778,8.5561,-1.3907,6.2468,7.4306,0.5059,0.8056,1.5703
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,1214,2019-08-12 16:32:41:656,1.3661,4.5994,7.1932,-0.8849,7.4398,6.3275,1.0747,0.7757,1.1665
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,1314,2019-08-12 16:32:41:756,1.6432,4.1541,4.7511,-0.9862,8.3521,5.0439,2.45,1.0495,0.39
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,1413,2019-08-12 16:32:41:855,1.0214,6.4789,3.3218,-0.3154,8.8471,4.2189,-0.047,-0.0765,0.5828
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,1514,2019-08-12 16:32:41:956,1.4816,9.468,4.6266,-0.3124,8.7608,4.3955,-0.0694,0.3613,0.0992
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,1613,2019-08-12 16:32:42:055,-0.8922,10.8549,4.8636,-0.8381,8.7244,4.3991,-0.2217,0.4285,-0.4633
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,1713,2019-08-12 16:32:42:155,-4.0107,9.1418,2.4096,-1.3491,8.6179,4.4813,-0.4497,0.2793,-0.3877
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,1814,2019-08-12 16:32:42:256,-0.8222,7.3264,3.1183,-0.5433,7.9611,5.7006,-1.6449,-0.5516,0.5753
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,1913,2019-08-12 16:32:42:355,0.5688,4.9454,2.9489,-0.0494,6.0392,7.7263,-4.5541,-0.5164,0.5242
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,2013,2019-08-12 16:32:42:455,0.3223,1.7665,11.8392,1.7655,1.3635,9.5496,-1.7536,-1.0927,1.0281
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,2114,2019-08-12 16:32:42:556,3.3755,1.2733,9.2881,3.1822,-0.604,9.2563,-2.332,-1.7532,1.7769
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,2213,2019-08-12 16:32:42:655,6.4346,-1.3777,13.4092,3.6221,-2.6555,8.7178,-0.7714,-1.0576,0.6808
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,2313,2019-08-12 16:32:42:755,3.5807,-3.7402,7.9049,3.9787,-3.2202,8.3648,-0.6979,-0.5899,0.8107
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,2414,2019-08-12 16:32:42:856,3.6622,-3.6277,8.4825,4.3126,-3.8007,7.9452,-0.2228,-0.8488,0.0448
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,2514,2019-08-12 16:32:42:956,6.0773,-3.3853,8.7901,4.4909,-3.7549,7.8678,0.3461,-0.1212,0.0885
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,2613,2019-08-12 16:32:43:055,5.8253,-4.665,8.2083,5.2646,-4.1692,7.1464,-0.9173,-0.4206,-0.3025
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,2714,2019-08-12 16:32:43:156,5.7667,-4.6817,7.0304,4.9268,-4.4661,7.2077,-0.6404,1.6908,-0.279
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,2814,2019-08-12 16:32:43:256,-1.1119,-3.8551,4.6051,4.916,-5.4943,6.4665,-2.1434,-0.3055,0.6062
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,2914,2019-08-12 16:32:43:356,6.2006,-5.6795,4.9648,4.5288,-4.8926,7.1919,1.3464,-0.1766,0.3921
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,3014,2019-08-12 16:32:43:456,2.4465,-3.569,9.2875,3.8469,-3.8123,8.1755,2.1378,0.6522,0.3399
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,3113,2019-08-12 16:32:43:555,4.3188,-3.9258,7.4745,3.3084,-3.036,8.7182,0.9959,0.9472,0.1865
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,3214,2019-08-12 16:32:43:656,3.9351,-3.3895,8.2323,2.7661,-2.0319,9.1864,0.6433,0.2793,-0.2321
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,3314,2019-08-12 16:32:43:756,1.8132,-3.7085,9.6928,2.326,-0.7944,9.4936,2.3711,1.0154,0.5721
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,3414,2019-08-12 16:32:43:856,0.172,-3.0477,31.8397,0.4749,-0.194,9.7932,-0.0459,-1.0427,-0.0329
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,3514,2019-08-12 16:32:43:956,0.3725,-0.3752,10.5612,0.4031,-0.1798,9.7967,0.0137,0.0482,0.0022
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,3614,2019-08-12 16:32:44:056,0.3468,-0.4212,9.8466,0.4186,-0.1841,9.796,-0.0001,-0.004,-0.0063
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,3716,2019-08-12 16:32:44:158,0.2438,-0.0927,9.7149,0.4094,-0.2039,9.796,-0.0342,0.03,-0.001
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,3814,2019-08-12 16:32:44:256,0.3749,-0.4608,9.4234,0.3864,-0.2035,9.7969,0.0105,0.0173,-0.001
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,3914,2019-08-12 16:32:44:356,0.2456,0.0055,9.6544,0.3819,-0.2146,9.7969,-0.0001,-0.0019,-0.0095
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,4013,2019-08-12 16:32:44:455,0.2803,-0.0645,9.0571,0.3926,-0.2158,9.7964,-0.0363,0.0056,-0.0052
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,4113,2019-08-12 16:32:44:555,0.409,-0.6182,10.6983,0.3957,-0.2358,9.7958,-0.0182,0.0013,-0.0063
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,4214,2019-08-12 16:32:44:656,0.3785,-0.6583,9.9549,0.3794,-0.2482,9.7962,-0.0033,0.0173,-0.0052
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,4313,2019-08-12 16:32:44:755,-0.0315,-0.3381,9.2804,0.3755,-0.2641,9.7959,-0.0172,0.0066,-0.0095
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,4414,2019-08-12 16:32:44:856,0.2319,-0.6319,10.4631,0.3679,-0.2806,9.7957,0.0063,-0.0051,-0.0052
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,4513,2019-08-12 16:32:44:955,0.1588,-0.2459,10.2566,0.3668,-0.2816,9.7957,0.0084,-0.0094,-0.0052
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,4614,2019-08-12 16:32:45:056,-0.0525,-0.1699,9.2073,0.3582,-0.2854,9.796,-0.0033,0.0056,-0.0042
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,4714,2019-08-12 16:32:45:156,0.1163,-0.3045,9.4611,0.3426,-0.2944,9.7962,-0.0023,0.0087,-0.018
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,4813,2019-08-12 16:32:45:255,0.4767,0.0498,9.1696,0.3444,-0.3001,9.796,-0.0033,-0.0051,-0.0116
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,4914,2019-08-12 16:32:45:356,0.1612,-0.7211,10.2404,0.3364,-0.3002,9.7963,0.0222,-0.0104,-0.0106
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,5014,2019-08-12 16:32:45:456,0.1421,-0.3716,9.494,0.3432,-0.3164,9.7955,-0.0396,-0.0275,-0.0063
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,5113,2019-08-12 16:32:45:555,0.2205,-0.6367,9.6221,0.3573,-0.3398,9.7942,-0.0161,0.0002,0.0011
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,5214,2019-08-12 16:32:45:656,0.1804,-0.3482,9.2367,0.3507,-0.3754,9.7932,-0.0246,0.0098,-0.0031
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,5314,2019-08-12 16:32:45:756,0.2462,-0.3674,9.3983,0.3473,-0.3887,9.7928,-0.0246,-0.0008,-0.0042
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,5414,2019-08-12 16:32:45:856,0.6628,-0.2471,9.9406,0.3544,-0.3996,9.7921,-0.0129,-0.0147,-0.017
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,5513,2019-08-12 16:32:45:955,0.4467,-0.4386,9.6395,0.395,-0.4004,9.7905,-0.0055,-0.053,-0.0926
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,5613,2019-08-12 16:32:46:055,0.7047,-0.6816,10.1548,0.4763,-0.411,9.7864,-0.0161,-0.0946,-0.1693
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,5714,2019-08-12 16:32:46:156,0.3546,-0.5027,9.9292,0.5032,-0.4123,9.785,0.0095,-0.0136,-0.0159
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,5814,2019-08-12 16:32:46:256,0.5036,-0.508,9.8735,0.5046,-0.3957,9.7857,0.0276,-0.0019,0.0054
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,5913,2019-08-12 16:32:46:355,0.7137,-0.5757,9.9603,0.4828,-0.3514,9.7885,0.0425,0.0194,-0.0031
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,6013,2019-08-12 16:32:46:455,0.2929,-0.4254,9.7688,0.4966,-0.3706,9.7871,-0.0097,0.0109,0.0001
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,6114,2019-08-12 16:32:46:556,0.5359,-0.3847,9.5276,0.487,-0.3606,9.7879,0.002,0.0215,0.0011
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,6213,2019-08-12 16:32:46:655,0.6832,-0.6373,10.3661,0.484,-0.36,9.7881,0.0095,0.0162,0.0011
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,6314,2019-08-12 16:32:46:756,-0.0943,-0.453,9.591,0.4935,-0.3478,9.7881,-0.0044,-0.0147,-0.0052
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,6414,2019-08-12 16:32:46:856,0.3695,-0.359,9.017,0.498,-0.343,9.788,0.002,0.0023,-0.001
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,6513,2019-08-12 16:32:46:955,0.7017,-0.3662,9.8813,0.4834,-0.3446,9.7887,0.002,0.0237,0.0022
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,6613,2019-08-12 16:32:47:055,0.4713,-0.131,9.4078,0.465,-0.3423,9.7896,0.0095,0.0215,-0.0021
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,6714,2019-08-12 16:32:47:156,0.3115,-0.3374,10.083,0.472,-0.3427,9.7893,0.002,-0.0083,-0.0042
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,6814,2019-08-12 16:32:47:256,0.667,-0.5679,9.9567,0.4904,-0.3443,9.7883,-0.0012,-0.0285,-0.0084
47.178062,-1.502619,72.76,10.88,4.288,39.2,18 / 22,6914,2019-08-12 16:32:47:356,0.6233,-0.5565,9.8035,0.5083,-0.3463,9.7873,0.002,-0.0008,-0.0127
47.17877,-1.501679,66.96,11.75,9.648001,35.7,0 / 22,7013,2019-08-12 16:32:47:455,0.1062,-0.3386,9.7478,0.5038,-0.3551,9.7873,0.0116,0.0056,-0.0148
47.17877,-1.501679,66.96,11.75,9.648001,35.7,0 / 22,7114,2019-08-12 16:32:47:556,0.7269,-0.4554,10.0333,0.5186,-0.3965,9.7849,0.0009,0.0013,-0.0106
47.17877,-1.501679,66.96,11.75,9.648001,35.7,0 / 22,7214,2019-08-12 16:32:47:656,0.5629,-0.1788,10.1339,0.521,-0.3932,9.7849,-0.0012,-0.0136,-0.0159
47.17877,-1.501679,66.96,11.75,9.648001,35.7,0 / 22,7314,2019-08-12 16:32:47:756,0.4013,-0.1926,10.2129,0.538,-0.3885,9.7842,0.002,-0.0094,-0.0159
47.17877,-1.501679,66.96,11.75,9.648001,35.7,0 / 22,7414,2019-08-12 16:32:47:856,0.1936,-0.5817,9.3905,0.5336,-0.3906,9.7843,-0.0065,-0.0008,-0.017
