No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
138.0,61212.2,53.7402274,-1.7229367000000002,62.449,35.067,115.12,0.85,0.1,0.0,62.87,62.72,62.62999,62.39,-0.2999878,62.92,0.009180069,-0.02958012,0.0,6.0,3.0,1639.0,83.0,0.0,-0.2000122,0.0,14.2,6.0,17.0
138.0,61212.3,53.7402401,-1.7229215000000002,62.507,35.36,115.18,0.82,0.1,0.0,62.81,62.67,62.67999,62.48999,-0.2999878,62.85,0.009180069,-0.03978014,0.0,6.0,3.0,1648.0,83.0,0.0,0.02999878,0.0,14.1,6.0,17.0
138.0,61212.4,53.7402529,-1.7229065000000001,62.5,34.974000000000004,115.27,0.83,0.1,0.0,62.75999,62.64999,62.51999,62.33,-0.1000061,62.73,0.009180069,-0.02958012,0.0,6.0,3.0,1650.0,83.0,0.0,-0.2000122,0.0,14.2,6.0,17.0
138.0,61212.5,53.7402655,-1.7228912,62.179,35.781,115.34,0.81,0.1,0.0,62.64999,62.48999,62.58,62.28999,0.0,62.55,0.01937985,-0.02958012,0.0,6.0,3.0,1642.0,83.0,0.0,0.02999878,0.0,14.1,6.0,17.0
138.0,61212.6,53.7402782,-1.7228759999999999,62.36600000000001,35.328,115.43,0.81,0.1,0.0,62.56999,62.56,62.47,62.23999,0.0,62.51,0.009180069,-0.01938009,0.0,6.0,3.0,1641.0,83.0,0.0,0.02999878,0.0,14.2,6.0,17.0
138.0,61212.7,53.740290800000004,-1.7228607999999999,62.158,35.589,115.49,0.79,0.1,0.0,62.48,62.48999,62.33,62.09999000000001,0.0,62.44,0.009180069,-0.009180069,0.0,6.0,3.0,1630.0,83.0,0.0,-0.2000122,0.0,14.1,6.0,19.0
138.0,61212.8,53.7403033,-1.7228457000000001,61.787,35.462,115.57,0.78,0.1,0.0,62.37,62.34999000000001,62.25,62.00999,0.1000061,62.3,0.009180069,0.0,0.0,6.0,3.0,1631.0,83.0,0.0,0.02999878,0.0,14.1,6.0,21.5
138.0,61212.9,53.740315900000006,-1.7228306000000002,61.999,35.38,115.64,0.78,0.1,0.0,62.31999,62.28999,62.26999,62.05,0.2000122,62.25,0.009180069,-0.009180069,0.0,6.0,3.0,1616.0,83.0,0.0,0.02999878,0.0,14.1,6.0,24.0
138.0,61213.0,53.740328500000004,-1.7228154000000002,61.916,35.628,115.72,0.78,0.1,0.0,62.09999000000001,62.19,62.08,61.95999000000001,0.3999939,62.17,0.01937985,0.0,0.0,5.0,3.0,1618.0,83.0,0.0,0.02999878,0.0,14.1,6.0,24.5
138.0,61213.1,53.740341000000015,-1.7228003,61.646,35.616,115.81,0.78,0.1,0.0,62.14,62.16,62.09999000000001,61.92,0.3999939,62.13,0.02957988,0.0,0.0,5.0,3.0,1708.0,83.0,0.0,0.02999878,0.0,14.0,6.0,25.0
138.0,61213.2,53.740353600000006,-1.7227852000000001,61.92,35.365,115.87,0.77,0.1,0.0,62.23999,62.17,62.06,61.95,0.3999939,62.17,0.039779900000000014,-0.009180069,0.0,5.0,3.0,1727.0,83.0,0.0,0.02999878,0.0,14.1,6.0,25.5
138.0,61213.3,53.740366099999996,-1.7227700000000001,61.945,35.491,115.94,0.76,0.1,0.0,62.17999,62.09,61.92,61.95999000000001,0.5,62.16,0.04997993,0.0,0.0,5.0,3.0,1772.0,83.0,0.0,0.02999878,0.0,14.1,6.0,26.5
138.0,61213.4,53.740378699999994,-1.7227549000000002,61.834,35.374,116.02,0.75,0.1,0.0,62.26999,62.12999,62.14999,61.98999,0.3000183,62.13,0.039779900000000014,-0.009180069,0.0,5.0,3.0,1834.0,83.0,0.0,0.02999878,0.0,14.1,6.0,27.0
138.0,61213.5,53.740391300000006,-1.7227398,62.032,35.255,116.09,0.74,0.1,0.0,62.34999000000001,62.28,62.0,62.0,0.2000122,62.32,0.02957988,-0.01938009,0.0,5.0,3.0,1884.0,83.0,0.0,0.02999878,0.0,14.1,6.0,27.5
