No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
8.0,69945.4,52.9903925,-1.2256857999999997,49.45,272.523,86.07,0.42,0.1,0.0,50.08,50.17,49.77,49.81,2.300018,50.09,0.12954000000000002,0.0,0.0,4.0,3.0,2091.0,87.0,0.0,0.01998901,0.0,14.1,6.0,48.0
8.0,69945.5,52.9903928,-1.2257065,50.018,271.634,86.14,0.45,0.1,0.0,50.31999,50.36,50.37,50.23999,1.800018,50.32,0.13974,-0.009180069,0.0,4.0,3.0,2072.0,87.0,0.0,0.01998901,0.0,14.1,6.0,48.0
8.0,69945.6,52.990393000000005,-1.2257274,50.50100000000001,271.015,86.17,0.44,0.1,0.0,50.67,50.78,50.53,50.45,2.0,50.61,0.12954000000000002,0.0,0.0,4.0,3.0,2087.0,87.0,0.0,0.01998901,0.0,14.1,6.0,48.0
8.0,69945.7,52.9903931,-1.2257483,50.594,270.613,86.23,0.45,0.1,0.0,51.06999,51.20999000000001,50.78999,50.8,2.800018,50.95,0.11933989999999997,0.01937985,0.0,4.0,3.0,2089.0,87.0,0.0,0.01998901,0.0,14.1,6.0,47.5
8.0,69945.8,52.9903936,-1.2257692999999996,50.785,271.425,86.27,0.45,0.1,0.0,51.23999,51.42,51.08,51.05,3.100006,51.35,0.12954000000000002,0.02957988,0.0,4.0,3.0,2091.0,87.0,0.0,0.01998901,0.0,14.1,6.0,46.0
8.0,69945.9,52.990394,-1.2257905,51.192,271.32,86.34,0.47,0.1,0.0,51.5,51.61,51.28,51.25,2.600006,51.52,0.12954000000000002,0.039779900000000014,0.0,4.0,3.0,2086.0,87.0,0.0,0.01998901,0.0,14.0,6.0,45.0
8.0,69946.0,52.9903945,-1.2258119,51.725,272.014,86.38,0.48,0.1,0.0,51.78999,52.03,51.75999,51.75999,3.100006,51.77,0.12954000000000002,0.01937985,0.0,4.0,3.0,2107.0,87.0,0.0,0.01998901,0.0,14.1,6.0,45.0
8.0,69946.1,52.990394300000006,-1.2258333000000001,51.887,270.195,86.45,0.49,0.1,0.0,52.11,52.45,51.91,51.98999,3.200012,52.15,0.11933989999999997,0.02957988,0.0,4.0,3.0,2108.0,87.0,0.0,0.01998901,0.0,14.1,6.0,45.0
8.0,69946.2,52.990394,-1.2258549,52.11,269.091,86.49,0.49,0.1,0.0,52.39999,52.62,52.17,52.3,4.0,52.5,0.11933989999999997,0.05915999,0.0,4.0,3.0,2125.0,87.0,0.0,0.01998901,0.0,14.1,6.0,45.0
8.0,69946.3,52.9903942,-1.2258765999999999,52.362,270.197,86.53,0.48,0.1,0.0,52.70999000000001,52.95999000000001,52.48999,52.62999,3.899994,52.75,0.11933989999999997,0.05915999,0.0,4.0,3.0,2133.0,87.0,0.0,0.01998901,0.0,14.1,6.0,45.0
