No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
137.0,43651.1,52.916300299999996,-1.760495,70.682,1.915,126.83,0.29,0.1,0.0,70.59,70.55,70.39,70.06999,0.2000122,70.64,-0.05915999,-0.009180069,0.0,6.0,3.0,1478.0,87.0,0.0,-0.04000854,0.0,14.1,6.0,0.0
137.0,43651.2,52.9163177,-1.7604940999999998,70.09899999999999,1.86,126.86,0.3,0.1,0.0,70.28,70.19,70.26999,70.01999,-0.2999878,70.36,-0.02958012,-0.01938009,0.0,6.0,3.0,1515.0,87.0,0.0,-0.04000854,0.0,14.1,6.0,0.0
137.0,43651.3,52.916335200000006,-1.7604932,70.146,1.791,126.92,0.34,0.1,0.0,70.17,69.86,70.06,69.67999,-1.600006,70.04,-0.02958012,-0.05915999,0.0,6.0,3.0,1480.0,87.0,0.0,-0.04000854,0.0,14.1,6.0,0.0
137.0,43651.4,52.916352599999996,-1.7604922,70.027,1.883,126.98,0.36,0.1,0.0,69.94,69.56999,69.95,69.34999,-2.299988,69.78,-0.01938009,-0.08976007,0.0,6.0,3.0,1456.0,87.0,0.0,-0.04000854,0.0,14.1,6.0,0.0
137.0,43651.5,52.9163699,-1.7604910999999999,69.75399999999999,2.125,127.04,0.4,0.1,0.0,69.70999,69.37999,69.70999,69.17,-2.5,69.57,-0.02958012,-0.09996009,0.0,6.0,3.0,1388.0,87.0,0.0,-0.04000854,0.0,14.1,6.0,0.0
137.0,43651.6,52.9163872,-1.7604899,69.613,2.438,127.08,0.4,0.1,0.0,69.51999,69.12999,69.42,68.89,-2.299988,69.33,-0.02958012,-0.08976007,0.0,6.0,3.0,1327.0,87.0,0.0,-0.04000854,0.0,14.1,6.0,0.0
137.0,43651.7,52.9164045,-1.7604887,69.368,2.515,127.12,0.4,0.1,0.0,69.3,68.98,69.28999,68.75999,-2.299988,69.26,-0.02958012,-0.08976007,0.0,6.0,3.0,1255.0,87.0,0.0,-0.04000854,0.0,14.0,6.0,0.0
137.0,43651.8,52.9164217,-1.7604872,68.89699999999999,2.8280000000000003,127.17,0.4,0.1,0.0,69.09999,68.81,68.91,68.50999,-1.799988,69.08,-0.02958012,-0.06936002,0.0,6.0,3.0,1179.0,87.0,0.0,-0.04000854,0.0,14.1,6.0,4.0
137.0,43651.9,52.9164389,-1.7604857,68.929,3.016,127.21,0.4,0.1,0.0,68.94,68.62999,68.73,68.48,-1.199982,68.76,-0.02958012,-0.06936002,0.0,6.0,3.0,1196.0,87.0,0.0,-0.04000854,0.0,14.0,6.0,12.5
137.0,43652.0,52.916456000000004,-1.7604841,68.50399999999999,3.102,127.24,0.39,0.1,0.0,68.66,68.42999,68.59,68.23,-1.0,68.54,-0.02958012,-0.05915999,0.0,6.0,3.0,1304.0,87.0,0.0,-0.04000854,0.0,14.1,6.0,18.0
