No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
135.0,59392.0,53.17087320000001,-1.6725906,4.291,315.902,170.55,-0.07,0.1,0.0,4.019997,4.1100010000000005,4.079994,4.059998,0.3999939,4.09,-0.07956004,0.01937985,0.0,1.0,3.0,865.0,95.0,0.0,8.47998,1.0,14.1,5.25,0.0
135.0,59392.1,53.170873799999995,-1.6725918,3.892,314.384,170.55,-0.06,0.1,0.0,3.869995,3.949997,3.93,3.899994,0.2000122,3.93,-0.06936002,0.0,0.0,1.0,3.0,862.0,95.0,0.0,5.6300050000000015,1.0,14.1,5.25,0.0
135.0,59392.2,53.170874600000005,-1.6725929000000002,3.956,316.032,170.55,-0.06,0.1,0.0,3.879997,3.759995,3.779999,3.720001,-0.3999939,3.83,-0.05915999,0.0,0.0,1.0,3.0,853.0,95.0,0.0,3.970001,1.0,14.1,5.25,0.0
135.0,59392.3,53.1708752,-1.672594,3.802,316.217,170.53,-0.07,0.1,0.0,3.75,3.699997,3.699997,3.689995,0.0,3.74,-0.04997993,0.01937985,0.0,1.0,3.0,855.0,95.0,0.0,3.259979,1.0,14.1,5.25,0.0
135.0,59392.4,53.1708758,-1.6725951,3.553,314.631,170.53,-0.06,0.1,0.0,3.720001,3.729996,3.68,3.689995,0.0,3.72,-0.03978014,0.039779900000000014,0.0,1.0,3.0,852.0,95.0,0.0,2.779999,1.0,14.1,5.25,0.0
135.0,59392.5,53.1708764,-1.6725961,3.564,315.074,170.53,-0.05,0.1,0.0,3.709999,3.790001,3.659996,3.739998,0.3999939,3.76,-0.02958012,0.01937985,0.0,1.0,3.0,866.0,95.0,0.0,2.070007,1.0,14.1,5.25,0.0
135.0,59392.6,53.170877000000004,-1.6725973,3.73,313.369,170.52,-0.06,0.1,0.0,3.769997,3.799995,3.759995,3.75,0.1000061,3.77,-0.01938009,0.0,0.0,1.0,3.0,885.0,95.0,0.0,-0.07000732,1.0,14.0,5.25,0.0
135.0,59392.7,53.17087770000001,-1.6725983,3.701,315.105,170.52,-0.05,0.1,0.0,3.889999,3.860001,3.839996,3.779999,0.0,3.84,-0.009180069,-0.009180069,0.0,1.0,3.0,895.0,95.0,0.0,-0.3000183,1.0,14.0,5.25,0.0
135.0,59392.8,53.1708783,-1.6725994,3.812,314.907,170.51,-0.06,0.1,0.0,4.07,3.949997,4.029999,3.860001,-0.3999939,3.98,0.0,0.0,0.0,1.0,3.0,908.0,95.0,0.0,-0.07000732,0.0,14.1,5.25,0.0
135.0,59392.9,53.170879,-1.6726005000000002,3.827,316.24,170.52,-0.05,0.1,0.0,4.1199949999999985,4.089996,4.07,4.049995,0.0,4.09,0.0,0.02957988,0.0,1.0,3.0,910.0,95.0,0.0,-0.3000183,0.0,14.1,5.25,0.0
135.0,59393.0,53.1708797,-1.6726018,4.306,315.423,170.5,-0.06,0.1,0.2999878,4.1699980000000005,4.239998,4.1100010000000005,4.189995,0.5,4.18,0.0,0.01937985,0.0,1.0,3.0,922.0,95.0,0.0,-0.3000183,0.0,14.1,5.25,0.0
135.0,59393.1,53.170880499999996,-1.6726029999999998,4.183,316.285,170.5,-0.05,0.1,4.899963,4.32,4.290001,4.3699949999999985,4.25,-0.3999939,4.27,0.0,0.0,0.0,1.0,3.0,927.0,95.0,0.0,-0.3000183,0.0,14.1,5.25,0.0
135.0,59393.2,53.170881200000004,-1.6726041999999999,4.23,315.612,170.5,-0.04,0.1,6.799988000000001,4.549995,4.379997,4.6199949999999985,4.3699949999999985,-0.8999939,4.42,0.009180069,0.009180069,0.0,1.0,3.0,924.0,95.0,0.0,-0.07000732,0.0,14.1,5.25,0.0
135.0,59393.3,53.170882,-1.6726055,4.496,315.515,170.49,-0.05,0.1,6.599976,4.689995,4.589996,4.689995,4.6100010000000005,-0.2999878,4.6,0.009180069,0.04997993,0.0,1.0,3.0,928.0,95.0,0.0,-0.07000732,0.0,14.1,5.25,0.5
135.0,59393.4,53.170882799999994,-1.672607,4.745,314.906,170.47,-0.06,0.1,6.399963,4.8600010000000005,4.829994,4.659996,4.8699949999999985,0.0,4.81,0.01937985,0.039779900000000014,0.0,1.0,3.0,938.0,95.0,0.0,-0.3000183,0.0,14.1,5.25,5.0
135.0,59393.5,53.1708836,-1.6726085,4.788,312.88,170.49,-0.04,0.1,5.599976,5.009995,4.979996,4.949997,4.939995,-0.1000061,4.95,0.009180069,0.0,0.0,1.0,3.0,989.0,95.0,0.0,-0.3000183,0.0,14.1,5.25,10.0
135.0,59393.6,53.1708846,-1.6726099,5.206,315.9770000000001,170.48,-0.05,0.1,4.299988,5.329994,5.220001,5.290001,5.159996,-1.0,5.2,0.02957988,0.0,0.0,1.0,3.0,1123.0,95.0,0.0,-0.3000183,0.0,14.0,5.25,12.5
135.0,59393.7,53.170885399999996,-1.6726115,5.166,314.15,170.46,-0.06,0.1,3.200012,5.729996,5.68,5.68,5.599998,-0.5,5.59,0.05915999,0.02957988,0.0,1.0,3.0,1319.0,95.0,0.0,-0.07000732,0.0,14.1,5.25,13.0
135.0,59393.8,53.1708864,-1.6726131,5.562,315.039,170.47,-0.05,0.1,0.2999878,6.449997,6.389999,6.019997,6.079994,-0.1999817,6.22,0.11933989999999997,0.01937985,0.0,1.0,3.0,1450.0,95.0,0.0,-0.07000732,0.0,14.1,5.25,13.0
135.0,59393.9,53.170887500000006,-1.6726151,6.394,314.616,170.45,-0.07,0.1,0.0,7.0999979999999985,7.009995,6.959999000000002,6.899994,-0.5,6.89,0.1897199,0.0,0.0,1.0,3.0,1518.0,95.0,0.0,-0.07000732,0.0,14.1,5.25,13.0
135.0,59394.0,53.17088879999999,-1.6726171,6.952000000000001,314.82,170.45,-0.05,0.1,0.0,7.93,7.989998,7.82,8.019997,-0.1000061,7.78,0.2295001,0.02957988,0.0,1.0,3.0,1502.0,95.0,0.0,-0.2900085,0.0,14.1,5.25,13.0
135.0,59394.1,53.170890099999994,-1.6726195,7.794,313.765,170.44,-0.06,0.1,0.0,8.970001,9.07,8.869995,8.849998,0.6000061,8.94,0.2600999,0.0,0.0,1.0,3.0,1470.0,95.0,0.0,-0.05999756,0.0,14.1,5.25,13.0
135.0,59394.2,53.1708918,-1.672622,8.986,316.861,170.44,-0.06,0.1,0.0,9.979996,9.959999,9.809998,9.790001,-0.5,9.86,0.26928,-0.009180069,0.0,1.0,3.0,1450.0,95.0,0.0,-0.2900085,0.0,14.1,5.25,13.0
135.0,59394.3,53.1708936,-1.6726251,9.997,315.069,170.43,-0.06,0.1,0.0,10.6,10.59,10.81,10.72,0.2000122,10.52,0.2600999,0.01937985,0.0,2.0,3.0,1424.0,95.0,0.0,-0.05999756,0.0,14.1,5.25,9.5
135.0,59394.4,53.1708956,-1.6726281,11.002,316.976,170.42,-0.06,0.1,0.0,10.98,11.23,11.25,11.41,1.300018,11.02,0.16014,0.05915999,0.0,2.0,3.0,1477.0,95.0,0.0,-0.05999756,0.0,14.0,5.25,9.0
135.0,59394.5,53.1708977,-1.6726314,11.545,316.838,170.42,-0.06,0.1,0.0,11.49,11.64999,11.73,11.66,0.8999939,11.43,0.07956004,0.06936002,0.0,2.0,3.0,1593.0,95.0,0.0,-0.2900085,0.0,14.1,5.25,9.0
135.0,59394.6,53.1708997,-1.6726348999999998,11.57,315.496,170.4,-0.07,0.1,0.0,11.93999,11.84,11.92,11.86,0.3000183,11.79,0.05915999,0.06936002,0.0,2.0,3.0,1727.0,95.0,0.0,-0.05999756,0.0,14.1,5.25,9.0
135.0,59394.7,53.170901699999995,-1.6726385000000001,11.912,313.654,170.39,-0.07,0.1,0.0,12.09,12.2,11.89999,12.07999,0.8000183000000001,12.08,0.039779900000000014,0.05915999,0.0,2.0,3.0,1821.0,95.0,0.0,-0.2900085,0.0,14.1,5.25,9.5
135.0,59394.8,53.1709038,-1.6726421,12.01,313.233,170.38,-0.07,0.1,0.0,12.06,12.29,12.09,12.07999,1.399994,12.17,0.02957988,0.01937985,0.0,2.0,3.0,1906.0,95.0,0.0,-0.2900085,0.0,14.1,5.25,11.5
135.0,59394.9,53.1709059,-1.6726459,12.355,313.451,170.37,-0.07,0.1,0.0,12.36,12.32,12.2,12.42,1.100006,12.32,0.009180069,0.0,0.0,2.0,3.0,1967.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,12.5
135.0,59395.0,53.1709081,-1.6726495,12.38,314.459,170.38,-0.06,0.1,0.0,12.56,12.64,12.61,12.8,1.300018,12.47,0.01937985,-0.009180069,0.0,2.0,3.0,2008.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,12.5
135.0,59395.1,53.170910299999996,-1.6726531999999998,12.474,315.093,170.37,-0.06,0.1,0.0,13.00999,13.11,12.89999,12.72,1.0,12.96,0.039779900000000014,0.01937985,0.0,2.0,3.0,2048.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,12.5
135.0,59395.2,53.1709125,-1.6726568,12.575,315.456,170.35,-0.07,0.1,0.0,13.27,13.32,13.23,13.14999,0.6000061,13.22,0.07956004,0.05915999,0.0,2.0,3.0,2079.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,12.5
135.0,59395.3,53.170914700000004,-1.6726609000000001,13.23,313.96,170.35,-0.07,0.1,0.0,13.68999,13.86,13.56,13.73,1.300018,13.7,0.08976007,0.039779900000000014,0.0,2.0,3.0,2096.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,12.5
136.0,59395.4,53.17091710000001,-1.6726649,13.698,314.381,170.33,-0.08,0.1,0.0,13.98,14.05,14.04,14.06,1.399994,13.9,0.09995985,0.01937985,0.0,2.0,3.0,2135.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,13.0
136.0,59395.5,53.1709195,-1.6726692,14.126,313.754,170.32,-0.08,0.1,0.0,14.42,14.36,14.18,14.3,0.6000061,14.31,0.07956004,0.01937985,0.0,2.0,3.0,2022.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,14.5
135.0,59395.6,53.170922000000004,-1.6726735,14.425,313.526,170.31,-0.08,0.1,0.0,14.72,14.7,14.68999,14.71,0.6000061,14.68,0.07956004,0.01937985,0.0,2.0,3.0,1832.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,14.5
135.0,59395.7,53.17092460000001,-1.6726781,15.066,313.759,170.29,-0.09,0.1,0.0,15.09,15.25,15.12,15.13,0.1000061,15.15,0.07956004,0.0,0.0,2.0,3.0,1624.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.0
135.0,59395.8,53.1709271,-1.6726827,15.044,312.856,170.3,-0.08,0.1,0.0,15.71,15.53,15.57,15.57999,-0.3999939,15.57,0.07956004,-0.03978014,0.0,2.0,3.0,1500.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.0
135.0,59395.9,53.170929900000004,-1.6726872,15.696,315.442,170.27,-0.09,0.1,2.700012,15.98,16.04,16.1,16.18,-0.3999939,15.96,0.11933989999999997,0.0,0.0,2.0,3.0,1605.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
136.0,59396.0,53.1709327,-1.672692,15.883,314.19,170.27,-0.08,0.1,9.0,16.78,16.74,16.64999,16.45,-0.8999939,16.56,0.10913989999999997,0.01937985,0.0,2.0,3.0,1746.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,16.5
136.0,59396.1,53.170935500000006,-1.6726968999999998,16.42,313.9840000000001,170.24,-0.11,0.1,14.39996,17.3,17.11,17.07,16.88,-1.600006,17.12,0.11933989999999997,-0.01938009,0.0,2.0,3.0,1841.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,16.5
136.0,59396.2,53.170938500000005,-1.6727019,16.895,314.482,170.24,-0.1,0.1,17.89996,18.18,17.61,17.62,17.32999,-3.0,17.61,0.13974,-0.009180069,0.0,2.0,3.0,1920.0,94.0,0.0,-0.2900085,0.0,14.0,5.25,16.5
136.0,59396.3,53.170941500000005,-1.6727071,17.42,314.138,170.22,-0.1,0.1,17.59998,18.24,18.2,18.12,18.1,-2.399994,17.97,0.13974,-0.05915999,0.0,2.0,3.0,1976.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
136.0,59396.4,53.1709448,-1.6727123,18.119,316.223,170.21,-0.11,0.1,16.29999,19.00999,18.62,19.5,18.61,-2.799988,18.71,0.1693199,-0.04997993,0.0,2.0,3.0,1990.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
136.0,59396.5,53.17094820000001,-1.6727176,18.691,316.916,170.19,-0.11,0.1,13.59998,19.63,19.13,19.36,19.03,-4.399994,19.33,0.16014,0.01937985,0.0,2.0,3.0,2003.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,16.5
136.0,59396.6,53.17095160000001,-1.6727234,19.4,315.015,170.18,-0.11,0.1,7.5,19.95,19.75,20.09,19.61,-2.600006,19.74,0.13974,0.02957988,0.0,2.0,3.0,2043.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
136.0,59396.7,53.1709552,-1.6727292,20.056,315.88,170.18,-0.1,0.1,0.0,20.55,20.38,20.43,20.27,-1.699982,20.24,0.13974,-0.009180069,0.0,2.0,3.0,2062.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,16.5
136.0,59396.8,53.170958899999995,-1.6727348999999998,20.149,317.398,170.16,-0.1,0.1,0.0,20.99,21.17,20.43999,20.79,-0.8999939,20.82,0.12954000000000002,0.02957988,0.0,2.0,3.0,2100.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
135.0,59396.9,53.170962700000004,-1.6727409999999998,21.197,316.225,170.15,-0.11,0.1,0.0,21.50999,21.41,21.46,21.28,0.0,21.32,0.11933989999999997,0.08976007,0.0,2.0,3.0,2124.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
135.0,59397.0,53.170966600000014,-1.6727470999999998,21.37,316.701,170.15,-0.1,0.1,0.0,21.93999,22.06,21.77,22.00999,1.200012,21.82,0.10913989999999997,0.05915999,0.0,2.0,3.0,2156.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
135.0,59397.1,53.170970499999996,-1.6727534000000002,21.697,316.0370000000001,170.13,-0.11,0.1,0.0,22.48,22.48,22.25,22.28,0.6000061,22.31,0.10913989999999997,0.01937985,0.0,2.0,3.0,2175.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
135.0,59397.2,53.1709746,-1.6727598000000001,22.5,316.397,170.12,-0.1,0.1,0.0,22.85,22.78,22.89,22.86,0.6000061,22.74,0.10913989999999997,0.01937985,0.0,2.0,3.0,2210.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
135.0,59397.3,53.1709787,-1.6727663,22.637,316.3040000000001,170.11,-0.1,0.1,0.0,23.5,23.46999,23.38,23.25,0.8000183000000001,23.24,0.10913989999999997,0.039779900000000014,0.0,2.0,3.0,2229.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
135.0,59397.4,53.1709829,-1.672773,23.407,316.652,170.1,-0.11,0.1,0.0,23.64,23.88,23.36,23.48,1.399994,23.67,0.10913989999999997,0.04997993,0.0,2.0,3.0,2243.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
135.0,59397.5,53.170987,-1.6727798999999999,23.476,315.276,170.08,-0.12,0.1,0.0,24.18,24.1,24.05,24.14,0.8000183000000001,23.99,0.09995985,0.05915999,0.0,2.0,3.0,2266.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,16.5
135.0,59397.6,53.1709915,-1.6727869,24.469,316.678,170.07,-0.11,0.1,0.0,24.5,24.46999,24.42,24.64,1.100006,24.5,0.08976007,0.05915999,0.0,2.0,3.0,2296.0,94.0,0.0,-0.05999756,0.0,14.1,5.25,16.5
135.0,59397.7,53.170995700000006,-1.6727942,24.422,314.584,170.06,-0.11,0.1,0.0,25.00999,25.23,24.96999,25.02,1.700012,24.92,0.08976007,0.039779900000000014,0.0,3.0,3.0,2323.0,94.0,0.0,-0.05999756,0.0,14.2,5.25,16.5
135.0,59397.8,53.1710002,-1.6728011999999999,24.714,316.164,170.04,-0.12,0.1,0.0,25.25,25.46,25.13,25.13,1.399994,25.09,0.07956004,0.01937985,0.0,3.0,3.0,2380.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,7.5
136.0,59397.9,53.171004700000005,-1.6728086,25.294,315.665,170.04,-0.11,0.1,0.0,25.46,25.59,25.52,25.37,1.200012,25.57,0.07956004,0.04997993,0.0,3.0,3.0,2321.0,94.0,0.0,-0.2900085,0.0,14.1,5.25,6.5
136.0,59398.0,53.1710092,-1.6728162,25.693,315.233,170.02,-0.12,0.1,0.0,25.89,25.92,25.68999,25.82,0.8000183000000001,25.85,0.07956004,0.06936002,0.0,3.0,3.0,2187.0,94.0,0.0,-0.05001831,0.0,14.2,5.25,6.5
