No of GPS Satellites Available, Time Since Start of Day (seconds), Latitude (degrees), Longitude (degrees), Velocity (km/hr), Heading (degrees), Height (km), Vertical velocity (km/hr), Sample period (seconds), Steering Angle (degrees), Wheel Speed Front Left (rad/sec), Wheel Speed Front Right (rad/sec), Wheel Speed Rear Left (rad/sec), Wheel Speed Rear Right (rad/sec), Yaw Rate (deg/sec), Indicated Vehicle Speed (km/hr), Indicated Longitudinal Acceleration (g), Indicated Lateral Acceleration (g), Handbrake (0 or 1), Gear Requested (Number fof gear employed 1-5), Gear (Number fof gear employed 1-5), Engine Speed (rev/min), Coolant Temperature (degrees), Clutch Position (0 or 1), Brake Pressure (psi), Brake Position (0 or 1), Battery Voltage (volts), Air Temperature (degrees), Accelerator Pedal Position (0 or 1)
138.0,63853.1,52.5552759,-1.4716621,72.65899999999998,116.762,91.11,-0.3,0.1,0.0,72.45999,72.47,72.61,72.28,0.0,72.43,-0.01938009,-0.009180069,0.0,6.0,3.0,2088.0,87.0,0.0,30.63,1.0,14.1,9.0,0.0
138.0,63853.2,52.555267700000016,-1.4716356,72.59,116.775,91.08,-0.3,0.1,0.0,70.12999,70.58,71.14999,70.37999,0.1000061,70.83,-0.18972020000000006,0.0,0.0,6.0,3.0,1946.0,87.0,0.0,52.23999,1.0,14.1,9.0,0.0
138.0,63853.3,52.5552596,-1.4716092999999997,71.942,116.813,91.05,-0.3,0.1,0.0,67.91,68.44,68.34,66.83,0.5,68.53,-0.5304,-0.009180069,0.0,6.0,3.0,1811.0,87.0,0.0,66.25998,1.0,14.2,9.0,0.0
138.0,63853.4,52.55525179999999,-1.471584,69.43,116.821,91.02,-0.29,0.1,0.0,65.86,65.81,65.8,63.11,-1.5,66.82,-0.6997199000000001,-0.06936002,0.0,6.0,3.0,1702.0,87.0,0.0,66.72998,1.0,14.1,9.0,0.0
138.0,63853.5,52.5552444,-1.4715597,66.78,116.839,90.99,-0.3,0.1,0.0,63.62,63.76999,63.64,62.45,-1.299988,64.16,-0.74052,0.0,0.0,6.0,3.0,1569.0,87.0,0.0,55.09,1.0,14.1,9.0,0.0
138.0,63853.6,52.555237000000005,-1.4715363000000001,64.292,117.357,90.96,-0.29,0.1,0.0,61.17,62.22,61.7,61.06999,1.700012,62.38,-0.6905401,0.09995985,0.0,6.0,3.0,1501.0,87.0,0.0,43.92999,1.0,14.1,9.0,0.0
138.0,63853.7,52.55523,-1.4715138,62.039,117.227,90.93,-0.29,0.1,0.0,60.03,60.7,60.25,60.08,3.300018,60.59,-0.5701799,0.07956004,0.0,6.0,3.0,1456.0,87.0,0.0,27.78,1.0,14.1,9.0,0.0
138.0,63853.8,52.555223299999994,-1.4714917,60.538,116.643,90.9,-0.29,0.1,0.0,59.78,59.62999,59.73,59.58,0.8000183000000001,59.94,-0.34986,0.02957988,0.0,6.0,3.0,1467.0,87.0,0.0,6.639983999999999,1.0,14.1,9.0,0.0
138.0,63853.9,52.555216699999995,-1.4714698000000002,59.573,116.316,90.86,-0.29,0.1,0.0,59.5,59.45999000000001,59.45,59.23999,-0.2999878,59.46,-0.16014,0.0,0.0,5.0,3.0,1474.0,87.0,0.0,0.9400024,1.0,14.0,9.0,0.0
138.0,63854.0,52.5552101,-1.4714480000000003,59.472,116.264,90.83,-0.29,0.1,0.0,59.28999,59.25999,59.34,59.09,0.1000061,59.27,-0.06936002,0.0,0.0,5.0,3.0,1462.0,87.0,0.0,-0.2400208,1.0,14.2,9.0,0.0
138.0,63854.1,52.5552035,-1.4714262,59.364,116.51,90.81,-0.29,0.1,0.0,59.12,59.14999,59.2,58.98,0.3999939,59.18,-0.03978014,0.0,0.0,5.0,3.0,1390.0,87.0,0.0,-0.2400208,0.0,14.1,9.0,0.0
138.0,63854.2,52.555196900000006,-1.4714044000000004,59.346,116.307,90.77,-0.3,0.1,0.0,59.09999000000001,59.17999,59.17999,58.91,0.3000183,59.16,-0.02958012,0.009180069,0.0,5.0,3.0,1326.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,0.0
138.0,63854.3,52.5551904,-1.4713827,59.256,116.267,90.74,-0.3,0.1,0.0,59.19,59.17,59.17999,58.8,0.0,59.18,-0.02958012,0.009180069,0.0,5.0,3.0,1377.0,87.0,0.0,-0.7200012,0.0,14.1,9.0,0.0
138.0,63854.4,52.555183899999996,-1.4713610000000001,59.051,116.217,90.71,-0.3,0.1,0.0,59.09999000000001,59.03999,59.14999,58.8,-0.1999817,59.17,-0.02958012,0.009180069,0.0,5.0,3.0,1359.0,87.0,0.0,-0.2400208,0.0,14.1,9.0,0.0
138.0,63854.5,52.555177400000005,-1.4713392000000003,59.051,116.021,90.68,-0.29,0.1,0.0,58.97,58.95,59.12,58.89,0.0,59.0,-0.02958012,0.0,0.0,5.0,3.0,1369.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,0.0
138.0,63854.6,52.5551709,-1.4713175,59.12600000000001,116.23,90.67,-0.27,0.1,0.0,58.92999,58.92999,59.16,58.89,0.1000061,58.97,-0.01938009,-0.009180069,0.0,5.0,3.0,1381.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,9.5
138.0,63854.7,52.555164399999995,-1.4712958,59.076,116.22,90.65,-0.26,0.1,0.0,58.95999000000001,58.95999000000001,59.09999000000001,58.86,0.0,58.95,-0.02958012,-0.009180069,0.0,5.0,3.0,1433.0,87.0,0.0,-0.01000977,0.0,14.0,9.0,20.5
138.0,63854.8,52.555157900000005,-1.4712740999999996,58.92100000000001,116.254,90.62,-0.26,0.1,0.0,58.92,58.89999,59.0,58.73999,0.0,58.89,-0.01938009,0.0,0.0,5.0,3.0,1616.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,27.0
138.0,63854.9,52.5551514,-1.4712524999999999,58.856,116.284,90.6,-0.25,0.1,0.0,58.75999,58.76999,58.92999,58.64999,0.0,58.77,-0.01938009,0.0,0.0,5.0,3.0,1846.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,32.0
138.0,63855.0,52.55514490000001,-1.4712308,58.864,116.098,90.58,-0.23,0.1,0.0,58.81,58.78999,58.84999000000001,58.58,0.0,58.74,-0.009180069,0.0,0.0,5.0,3.0,1952.0,87.0,0.0,-0.01000977,0.0,14.0,9.0,34.0
138.0,63855.1,52.555138400000004,-1.4712090999999996,58.997,116.063,90.57,-0.22,0.1,0.0,58.8,58.84999000000001,58.92,58.56999,0.0,58.86,0.0,0.0,0.0,4.0,3.0,2132.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,35.0
138.0,63855.2,52.555132,-1.4711874999999999,58.824,116.14,90.55,-0.22,0.1,0.0,59.16,59.14999,58.89999,58.62999,-0.1000061,59.12,0.01937985,0.0,0.0,4.0,3.0,2359.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,36.0
138.0,63855.3,52.5551255,-1.4711658,58.96100000000001,115.94,90.53,-0.22,0.1,0.0,59.48,59.47,59.33,58.92,-0.3999939,59.37,0.04997993,-0.01938009,0.0,4.0,3.0,2410.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,36.5
138.0,63855.4,52.555119,-1.4711438999999997,59.29600000000001,116.045,90.51,-0.21,0.1,0.0,59.73999,59.67,59.58,59.28,-0.6000061,59.67,0.06936002,-0.01938009,0.0,4.0,3.0,2417.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,38.5
138.0,63855.5,52.5551124,-1.471122,59.598,116.16,90.5,-0.2,0.1,0.0,60.09,60.03999,60.08,59.72,-0.6999816999999999,59.95,0.07956004,-0.02958012,0.0,4.0,3.0,2450.0,87.0,0.0,-0.01000977,0.0,14.0,9.0,41.5
138.0,63855.6,52.5551058,-1.4710998999999996,60.005,116.21,90.48,-0.19,0.1,0.0,60.45,60.47,60.34999000000001,60.11,-0.6999816999999999,60.43,0.08976007,-0.01938009,0.0,4.0,3.0,2509.0,87.0,0.0,0.2299805,0.0,14.1,9.0,44.0
138.0,63855.7,52.5550991,-1.4710778,60.307,116.348,90.46,-0.19,0.1,0.0,60.81999,60.91,60.87,60.53999,-0.5,60.77,0.10913989999999997,-0.01938009,0.0,4.0,3.0,2561.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,45.0
138.0,63855.8,52.555092400000014,-1.4710555000000005,60.649,116.337,90.44,-0.19,0.1,0.0,61.28999,61.3,61.26999,60.89999,-0.6999816999999999,61.28,0.11933989999999997,-0.01938009,0.0,4.0,3.0,2602.0,87.0,0.0,-0.01000977,0.0,14.0,9.0,45.5
138.0,63855.9,52.5550856,-1.4710330000000005,61.182,116.372,90.43,-0.18,0.1,0.0,61.78,61.73999,61.64,61.28999,-0.6000061,61.61,0.10913989999999997,-0.009180069,0.0,4.0,3.0,2631.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,47.5
138.0,63856.0,52.555078699999996,-1.4710103999999997,61.57100000000001,116.409,90.42,-0.16,0.1,0.0,62.14999,62.14999,62.11,61.67,-0.6000061,62.0,0.11933989999999997,-0.01938009,0.0,4.0,3.0,2650.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,49.0
138.0,63856.1,52.5550718,-1.4709876000000004,62.021,116.411,90.4,-0.17,0.1,0.0,62.66,62.62,62.48999,62.08,-0.6000061,62.51,0.11933989999999997,-0.01938009,0.0,4.0,3.0,2626.0,87.0,0.0,-0.01000977,0.0,14.0,9.0,50.0
138.0,63856.2,52.5550648,-1.4709648,62.44600000000001,116.627,90.39,-0.16,0.1,0.0,63.01999,62.98,62.91,62.50999,-0.6000061,62.99,0.11933989999999997,-0.01938009,0.0,4.0,3.0,2636.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,51.0
138.0,63856.3,52.5550578,-1.4709417,62.892,116.639,90.38,-0.15,0.1,0.0,63.33,63.31999,63.28,62.89999,-0.5,63.27,0.11933989999999997,-0.01938009,0.0,4.0,3.0,2650.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,51.5
138.0,63856.4,52.5550507,-1.4709185,63.364,116.555,90.37,-0.15,0.1,0.0,63.7,63.70999000000001,63.64999,63.17,-0.6000061,63.72,0.10913989999999997,-0.01938009,0.0,4.0,3.0,2653.0,87.0,0.0,-0.01000977,0.0,14.1,9.0,52.0
