gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1518257199.00	41.239837150	-8.542060783	-52.6	0.154	323.50	2.5	1.0	2.7
1518257200.00	41.239837450	-8.542061183	-52.7	0.103	324.70	2.5	1.0	2.7
1518257201.00	41.239837367	-8.542061267	-52.6	0.051	322.70	2.5	1.0	2.7
1518257202.00	41.239837400	-8.542061450	-52.6	0.103	319.40	2.5	1.0	2.7
1518257203.00	41.239837450	-8.542061667	-52.6	0.051	324.60	2.5	1.0	2.7
1518257204.00	41.239837600	-8.542061950	-52.6	0.051	316.10	2.5	1.0	2.7
1518257205.00	41.239837767	-8.542062167	-52.6	0.103	321.40	2.5	1.0	2.7
1518257206.00	41.239837867	-8.542062383	-52.6	0.051	320.60	2.5	1.0	2.7
1518257207.00	41.239837917	-8.542062583	-52.6	0.103	319.20	2.5	1.0	2.7
1518257208.00	41.239838083	-8.542062783	-52.6	0.051	316.90	2.5	1.0	2.7
1518257209.00	41.239838217	-8.542062983	-52.6	0.051	325.60	2.5	1.0	2.7
1518257210.00	41.239838367	-8.542063200	-52.6	0.051	320.90	2.5	1.0	2.7
1518257211.00	41.239838433	-8.542063417	-52.6	0.051	315.10	2.5	1.0	2.7
1518257212.00	41.239838567	-8.542063717	-52.7	0.103	320.00	2.5	1.0	2.7
1518257213.00	41.239838633	-8.542063817	-52.7	0.103	318.10	2.5	1.0	2.7
1518257214.00	41.239838800	-8.542064033	-52.7	0.103	319.20	2.5	1.0	2.7
1518257215.00	41.239838967	-8.542064200	-52.7	0.051	320.40	2.5	1.0	2.7
1518257216.00	41.239838983	-8.542064283	-52.8	0.051	314.10	2.5	1.0	2.7
1518257217.00	41.239839067	-8.542064433	-52.8	0.051	317.80	2.5	1.0	2.7
1518257218.00	41.239839267	-8.542064633	-52.8	0.051	312.30	2.5	1.0	2.7
1518257219.00	41.239839317	-8.542064767	-52.8	0.051	313.70	2.5	1.0	2.7
1518257220.00	41.239839517	-8.542065033	-52.9	0.051	318.70	2.5	1.0	2.7
1518257221.00	41.239839833	-8.542065400	-52.9	0.103	321.30	2.5	1.0	2.7
1518257222.00	41.239840000	-8.542065583	-53.0	0.103	315.20	2.5	1.0	2.7
1518257223.00	41.239840167	-8.542065800	-53.0	0.103	318.50	2.5	1.0	2.7
1518257224.00	41.239840367	-8.542065983	-53.0	0.051	320.60	2.5	1.0	2.7
1518257225.00	41.239840500	-8.542066117	-53.1	0.051	322.70	2.5	1.0	2.7
1518257226.00	41.239840667	-8.542066367	-53.1	0.103	317.40	2.5	1.0	2.7
1518257227.00	41.239840767	-8.542066533	-53.1	0.103	324.00	2.5	1.0	2.7
1518257228.00	41.239840900	-8.542066700	-53.2	0.103	326.00	2.5	1.0	2.7
1518257229.00	41.239841083	-8.542066967	-53.2	0.103	319.50	2.5	1.0	2.7
1518257230.00	41.239841333	-8.542067250	-53.3	0.103	325.30	2.5	1.0	2.7
1518257231.00	41.239841683	-8.542067617	-53.4	0.154	323.00	2.5	1.0	2.7
1518257232.00	41.239841933	-8.542067900	-53.4	0.103	321.90	2.5	1.0	2.7
1518257233.00	41.239842267	-8.542068150	-53.5	0.051	322.40	2.5	1.0	2.7
