gpstime	latitude	longitude	altitude	speed	heading	hpdop	vdop	pdop
1518263739.00	41.239102550	-8.541654050	138.8	0.051	209.00	12.4	?	?
1518263740.00	41.239104483	-8.541651067	139.0	0.051	245.80	1.5	?	?
1518263741.00	41.239107350	-8.541645067	141.3	0.206	239.50	17.7	?	?
1518263742.00	41.239106000	-8.541648300	140.9	0.257	242.70	17.8	?	?
1518263743.00	41.239107117	-8.541647150	140.2	0.051	280.90	12.8	?	?
1518263744.00	41.239109233	-8.541635567	139.0	0.257	74.10	12.8	?	?
1518263745.00	41.239111467	-8.541625350	138.3	0.412	65.80	17.7	?	?
1518263746.00	41.239111417	-8.541618100	137.0	0.514	72.50	56.7	?	?
1518263747.00	41.239109967	-8.541604517	136.3	0.669	87.30	17.9	?	?
1518263748.00	41.239103367	-8.541597717	135.6	0.720	110.10	21.5	?	?
1518263749.00	41.239094567	-8.541592933	135.1	0.772	132.10	21.5	?	?
1518263750.00	41.239086750	-8.541586767	134.9	0.926	141.10	21.4	?	?
1518263751.00	41.239081117	-8.541578900	134.8	0.977	142.40	21.4	?	?
1518263752.00	41.239077967	-8.541568950	134.9	0.977	136.80	19.7	?	?
1518263753.00	41.239074917	-8.541559167	135.0	0.926	132.80	19.7	?	?
1518263754.00	41.239074067	-8.541546583	135.0	0.926	125.40	19.7	?	?
1518263798.00	41.239075050	-8.541526967	135.1	?	?	19.7	?	?
1518263799.00	41.239089067	-8.541724050	142.2	0.000	85.80	3.5	?	?
1518263800.00	41.239091317	-8.541718450	142.2	1.080	61.90	3.5	?	?
1518263801.00	41.239093650	-8.541713900	142.2	0.977	252.70	3.5	?	?
1518263802.00	41.239093917	-8.541710933	142.2	1.595	242.00	3.5	?	?
1518263803.00	41.238972500	-8.542098617	142.2	2.212	71.00	21.9	?	?
1518263804.00	41.238937967	-8.542201500	142.2	0.360	129.10	21.9	?	?
1518263805.00	41.238916033	-8.542249317	142.2	10.032	242.70	21.9	?	?
1518263806.00	41.238912550	-8.542234667	142.2	0.875	143.40	21.9	?	?
1518263807.00	41.238930733	-8.542154783	142.2	5.813	75.50	22.0	?	?
1518263808.00	41.238910617	-8.542187717	142.2	3.190	86.20	22.0	?	?
1518263809.00	41.238884217	-8.542232400	142.2	1.801	138.20	22.0	?	?
1518263810.00	41.238843833	-8.542315467	142.2	14.713	74.80	22.0	?	?
1518263811.00	41.238843150	-8.542271050	142.2	10.855	237.50	22.1	?	?
1518263812.00	41.238787067	-8.542373617	142.2	7.768	227.20	22.1	?	?
1518263813.00	41.238746267	-8.542376333	142.2	3.704	117.70	22.2	?	?
1518263814.00	41.238691050	-8.542463017	142.2	6.842	218.90	22.2	?	?
1518263815.00	41.238633767	-8.542538733	142.2	4.681	196.60	22.2	?	?
1518263816.00	41.238797617	-8.541896950	143.1	5.916	206.40	3.2	?	?
1518263817.00	41.238742883	-8.541947267	143.1	5.916	203.60	3.2	?	?
1518263818.00	41.238689350	-8.541995800	143.3	6.276	210.30	3.2	?	?
1518263819.00	41.238639150	-8.542044417	143.5	5.607	212.70	3.2	?	?
1518263820.00	41.238612750	-8.542054900	142.8	4.013	219.40	3.2	?	?
