n	Session	gps.seconds.Unix	gps.millis	gps.gpstime	gps.lat	gps.lon	gps.alt	gps.track	gps.speed.M-S	gps.acc	gps.nsats
1	14634	1478956841	572	1478956847	41.23705733	-8.54400231	188.1	205.5	19.75	47	10
2	14634	1478956843	121	1478956848	41.23687282	-8.54408916	185.3	205.4	19.75	43	10
3	14634	1478956845	78	1478956850	41.23652295	-8.54429916	182.5	205.5	18.75	39	10
4	14634	1478956847	101	1478956852	41.23623134	-8.54445287	182.2	202.7	15.75	38	10
5	14634	1478956848	557	1478956854	41.23597506	-8.54456642	182.9	196.5	14.5	36	10
6	14634	1478956850	83	1478956855	41.2358568	-8.54461508	184.4	196.3	14.5	35	10
7	14634	1478956852	82	1478956857	41.23559681	-8.54470208	181.1	194.4	13.75	36	10
8	14634	1478956854	86	1478956859	41.23533146	-8.54475588	183.5	191.6	14.5	39	10
9	14634	1478956855	581	1478956861	41.23502442	-8.54477134	183.3	188.5	15.75	41	10
10	14634	1478956857	103	1478956862	41.23486783	-8.54478404	182	187.3	16.25	37	10
11	14634	1478956859	58	1478956864	41.23451049	-8.54476312	180.4	186.5	17.75	28	9
12	14634	1478956861	70	1478956866	41.23420131	-8.54485419	178.5	190	17.5	26	10
13	14634	1478956863	155	1478956868	41.23389671	-8.54494427	177.8	192.3	17.5	28	9
14	14634	1478956864	552	1478956870	41.2336285	-8.54511274	180.2	195.4	17	28	9
15	14634	1478956866	135	1478956871	41.233499	-8.54515902	178.9	195.8	16.5	27	9
16	14634	1478956867	539	1478956873	41.23323884	-8.54522121	178.4	194	15	24	9
17	14634	1478956868	538	1478956874	41.23313974	-8.54525878	177.5	0	0	24	9
18	14634	1478956869	548	1478956875	41.23305706	-8.5452956	177.7	0	0	25	9
19	14634	1478956870	547	1478956876	41.23299154	-8.54529308	178.2	0	0	25	9
20	14634	1478956871	538	1478956877	41.23293643	-8.54527933	178.7	0	0	27	9
21	14634	1478956872	534	1478956878	41.23297111	-8.54529811	177.8	0	0	28	9
22	14634	1478956873	543	1478956879	41.2329585	-8.54527957	177.9	0	0	29	9
23	14634	1478956874	550	1478956880	41.23293084	-8.54523316	178.1	0	0	32	9
24	14634	1478956875	603	1478956881	41.23293189	-8.54524836	178.3	0	0	34	9
25	14634	1478956876	541	1478956882	41.2329133	-8.54524171	178.8	0	0	35	9
26	14634	1478956877	542	1478956883	41.23296929	-8.54527959	178.6	143.7	1.5	34	9
