n	Session	gps.seconds.Unix	gps.millis	gps.gpstime	gps.lat	gps.lon	gps.alt	gps.track	gps.speed.M-S	gps.epx	gps.nsats
1	4604	1411812173	366	1411812176	41.1779975891113	-8.59843635559082	177.600006103516			8	5
2	4604	1411812174	417	1411812177	41.1779937744141	-8.5984468460083	173.600006103516			6	6
3	4604	1411812175	446	1411812178	41.1780166625977	-8.59846019744873	172.600006103516			4	6
4	4604	1411812176	355	1411812179	41.1780128479004	-8.59846591949463	171.300003051758			4	5
5	4604	1411812177	355	1411812180	41.1780090332031	-8.59847068786621	171.100006103516			4	6
6	4604	1411812178	357	1411812181	41.1780090332031	-8.59846687316895	171.5			4	6
7	4604	1411812179	366	1411812182	41.177978515625	-8.59844970703125	175.100006103516			5	6
8	4604	1411812180	355	1411812183	41.177978515625	-8.59844875335693	175			5	6
9	4604	1411812181	358	1411812184	41.1779823303223	-8.59844970703125	174.5			5	6
10	4604	1411812182	911	1411812185	41.1779823303223	-8.59845066070557	174.699996948242			5	6
11	4604	1411812183	390	1411812186	41.1779861450195	-8.5984525680542	174.300003051758			4	6
12	4604	1411812184	364	1411812187	41.177978515625	-8.59844303131104	175.100006103516			3	6
13	4604	1411812185	419	1411812188	41.1779823303223	-8.59844207763672	175			4	6
14	4604	1411812186	359	1411812189	41.1779823303223	-8.59844207763672	174.800003051758			4	5
15	4604	1411812187	358	1411812190	41.1779823303223	-8.5984411239624	174.800003051758			4	5
16	4604	1411812188	390	1411812191	41.1779823303223	-8.5984411239624	174.699996948242			3	6
17	4604	1411812189	364	1411812192	41.177978515625	-8.59843730926514	175.199996948242			3	6
18	4604	1411812190	884	1411812193	41.1779747009277	-8.5984354019165	175.699996948242			4	6
19	4604	1411812191	448	1411812194	41.1779708862305	-8.59843063354492	176.399993896484			4	6
20	4604	1411812192	405	1411812195	41.1779670715332	-8.59842777252197	176.899993896484			4	6
21	4604	1411812193	405	1411812196	41.1779632568359	-8.59842491149902	177.300003051758			5	6
22	4604	1411812194	947	1411812197	41.1779632568359	-8.59842395782471	177.5			5	6
23	4604	1411812195	659	1411812198	41.1779632568359	-8.59842205047607	177.800003051758			5	6
24	4604	1411812196	363	1411812199	41.1779594421387	-8.59841728210449	178.600006103516			5	6
25	4604	1411812197	361	1411812200	41.1779556274414	-8.59841156005859	179.5			5	6
26	4604	1411812198	379	1411812201	41.1779556274414	-8.59840965270996	179.800003051758			4	6
27	4604	1411812199	405	1411812202	41.1779556274414	-8.59840869903564	180.100006103516			4	6
28	4604	1411812200	416	1411812203	41.1779518127441	-8.59840679168701	180.399993896484			4	6
29	4604	1411812201	425	1411812204	41.1779518127441	-8.59840488433838	180.600006103516			3	6
30	4604	1411812202	414	1411812205	41.1779518127441	-8.59840393066406	180.800003051758			3	6
31	4604	1411812203	414	1411812206	41.1779518127441	-8.59840297698975	180.899993896484			3	7
32	4604	1411812205	19	1411812207	41.1779479980469	-8.5984001159668	181.100006103516			4	7
33	4604	1411812205	554	1411812208	41.1779479980469	-8.5984001159668	181.100006103516			4	7
34	4604	1411812206	564	1411812209	41.1779479980469	-8.59839916229248	181.100006103516			5	7
35	4604	1411812207	548	1411812210	41.1779479980469	-8.59839916229248	181.100006103516			5	6
36	4604	1411812208	553	1411812211	41.1779479980469	-8.59839916229248	181			5	7
37	4604	1411812209	517	1411812212	41.1779479980469	-8.59839916229248	181			6	7
38	4604	1411812210	439	1411812213	41.1779479980469	-8.59839916229248	181			6	6
39	4604	1411812211	384	1411812214	41.1779479980469	-8.59839916229248	180.899993896484			5	7
40	4604	1411812212	405	1411812215	41.1779479980469	-8.59839916229248	180.899993896484			5	6
41	4604	1411812213	940	1411812216	41.1779479980469	-8.59839916229248	180.899993896484			4	6
42	4604	1411812214	430	1411812217	41.1779479980469	-8.59839916229248	180.899993896484			4	6
43	4604	1411812215	403	1411812218	41.1779479980469	-8.59839916229248	180.899993896484			4	7
44	4604	1411812216	386	1411812219	41.1779479980469	-8.59839916229248	180.899993896484			4	7
45	4604	1411812217	360	1411812220	41.1779479980469	-8.59839916229248	181			4	6
46	4604	1411812218	447	1411812221	41.1779479980469	-8.59839916229248	181			3	6
47	4604	1411812219	404	1411812222	41.1779479980469	-8.59839916229248	180.899993896484			3	6
48	4604	1411812220	400	1411812223	41.1779479980469	-8.59839820861816	180.899993896484			3	7
49	4604	1411812221	435	1411812224	41.1779479980469	-8.59839820861816	180.899993896484			3	7
50	4604	1411812222	365	1411812225	41.1779479980469	-8.59839820861816	181			3	7
51	4604	1411812223	402	1411812226	41.1779479980469	-8.59839820861816	181			3	7
52	4604	1411812224	417	1411812227	41.1779479980469	-8.59839820861816	180.899993896484			3	7
53	4604	1411812225	405	1411812228	41.1779479980469	-8.59839820861816	180.899993896484			3	7
54	4604	1411812226	361	1411812229	41.1779479980469	-8.59839820861816	180.899993896484			3	7
55	4604	1411812227	389	1411812230	41.1779479980469	-8.59839820861816	180.899993896484			3	7
56	4604	1411812228	411	1411812231	41.1779479980469	-8.59839820861816	180.899993896484			3	7
57	4604	1411812229	932	1411812232	41.1779479980469	-8.59839820861816	180.899993896484			3	7
58	4604	1411812230	474	1411812233	41.1779479980469	-8.59839820861816	181			9	7
59	4604	1411812231	422	1411812234	41.1779479980469	-8.59839820861816	181			9	7
60	4604	1411812232	360	1411812235	41.1779479980469	-8.59839820861816	181			9	7
61	4604	1411812233	377	1411812236	41.1779479980469	-8.59839820861816	181			9	7
62	4604	1411812234	397	1411812237	41.1779479980469	-8.59839820861816	180.899993896484			9	7
63	4604	1411812235	362	1411812238	41.1779479980469	-8.59839725494385	180.899993896484			9	7
64	4604	1411812236	379	1411812239	41.1779479980469	-8.59839725494385	180.800003051758			9	7
