,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°),Unnamed: 24
26900,51.921593,-2.146505,70,23.78,13.0,203.7,,16 / 24,2690045,2019-08-16 12:14:14:414,-0.0417,-0.3962,9.8856,0.0119,-0.0037,9.8066,-0.016,-0.0245,0.0042,-26.54,13.69,2.91,206.07,3.89,0.76
26901,51.921593,-2.146505,70,23.78,13.0,203.7,,16 / 24,2690145,2019-08-16 12:14:14:514,-0.0222,-0.089,10.0051,0.0192,0.0026,9.8066,0.0309,-0.0351,0.0032,-26.54,13.69,2.91,206.07,3.89,0.76
26902,51.92141,-2.146655,70,23.62,13.0,204.0,,16 / 24,2690245,2019-08-16 12:14:14:614,0.0345,-0.0058,9.3196,-0.0049,0.0121,9.8066,0.0309,-0.0351,0.0032,-26.45,13.68,3.64,208.69,4.0,0.72
26903,51.92141,-2.146655,70,23.62,13.0,204.0,,16 / 24,2690346,2019-08-16 12:14:14:715,-0.3746,0.2154,10.1381,-0.007,-0.0038,9.8066,-0.0032,-0.0011,0.0064,-26.35,14.27,1.41,208.69,4.0,0.72
26904,51.92141,-2.146655,70,23.62,13.0,204.0,,16 / 24,2690445,2019-08-16 12:14:14:814,-0.7658,0.0789,10.9032,-0.0157,-0.0022,9.8066,-0.017,-0.033,0.0138,-26.77,13.46,1.4,205.83,3.91,0.75
26905,51.92141,-2.146655,70,23.62,13.0,204.0,,16 / 24,2690546,2019-08-16 12:14:14:915,0.0884,-0.2064,9.9219,-0.0113,0.0029,9.8066,0.0202,0.0234,0.0191,-26.77,13.46,1.4,205.83,3.91,0.75
26906,51.92141,-2.146655,70,23.62,13.0,204.0,,16 / 24,2690645,2019-08-16 12:14:15:014,0.2684,-0.228,9.7112,-0.0009,-0.0072,9.8066,-0.0096,0.0213,-0.0096,-26.53,13.68,3.02,207.69,3.86,0.8
26907,51.92141,-2.146655,70,23.62,13.0,204.0,,16 / 24,2690745,2019-08-16 12:14:15:114,0.1877,-0.5061,9.7523,-0.002,-0.0382,9.8066,-0.049,-0.016,0.001,-26.63,13.74,1.43,207.69,3.86,0.8
26908,51.92141,-2.146655,70,23.62,13.0,204.0,,16 / 24,2690845,2019-08-16 12:14:15:214,0.0855,-0.29,10.4405,-0.0146,-0.0775,9.8063,0.0202,0.0341,-0.0032,-26.82,13.25,2.25,205.88,3.57,0.44
26909,51.92141,-2.146655,70,23.62,13.0,204.0,,16 / 24,2690946,2019-08-16 12:14:15:315,0.5612,-0.2436,9.2856,0.0015,-0.0153,9.8066,0.0202,0.0341,-0.0032,-26.35,14.27,1.41,205.88,3.57,0.44
26910,51.92141,-2.146655,70,23.62,13.0,204.0,,16 / 24,2691045,2019-08-16 12:14:15:414,0.178,-0.382,9.8831,0.0023,-0.0153,9.8066,-0.0181,0.0,-0.0064,-26.35,14.27,1.41,205.88,3.57,0.44
26911,51.92141,-2.146655,70,23.62,13.0,204.0,,16 / 24,2691145,2019-08-16 12:14:15:514,0.113,-0.1421,9.2865,0.0043,-0.0235,9.8066,-0.0202,-0.0202,0.0085,-26.86,13.34,0.71,205.81,3.53,0.3
26912,51.92125,-2.146785,70,23.06,13.0,204.4,,16 / 24,2691245,2019-08-16 12:14:15:614,0.3977,-0.0574,9.5,0.0048,-0.0105,9.8066,0.0384,-0.0138,-0.015,-26.86,13.34,0.82,205.81,3.53,0.23
26913,51.92125,-2.146785,70,23.06,13.0,204.4,,16 / 24,2691345,2019-08-16 12:14:15:714,-0.1898,0.3319,9.3053,0.0004,0.0172,9.8066,0.0128,-0.0043,-0.0032,-26.86,13.34,0.82,205.81,3.53,0.23
26914,51.92125,-2.146785,70,23.06,13.0,204.4,,16 / 24,2691445,2019-08-16 12:14:15:814,0.0136,-0.0635,9.4736,0.0109,0.0111,9.8066,-0.0192,-0.0181,0.0106,-26.24,14.21,3.1,208.55,3.58,0.32
26915,51.92125,-2.146785,70,23.06,13.0,204.4,,16 / 24,2691545,2019-08-16 12:14:15:914,0.1955,-0.2601,10.3449,-0.0054,-0.0046,9.8066,0.0277,0.0384,0.0127,-26.19,14.3,3.1,208.55,3.67,0.35
26916,51.92125,-2.146785,70,23.06,13.0,204.4,,16 / 24,2691646,2019-08-16 12:14:16:015,0.1155,-0.0162,10.6533,-0.0249,-0.0078,9.8066,0.0277,0.0384,0.0127,-26.19,14.3,3.1,208.55,3.67,0.35
26917,51.92125,-2.146785,70,23.06,13.0,204.4,,16 / 24,2691745,2019-08-16 12:14:16:114,0.1511,-0.3349,9.1372,-0.0329,-0.0072,9.8066,-0.0096,0.0458,0.0106,-26.73,13.27,3.02,205.94,3.52,0.38
