,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
48735,51.45321,-2.781361,90,17.05,11,268.7,Dec-21,4873524,2019-08-16 14:10:27:304,-0.1946,0.4164,9.8411,0.0132,-0.0058,9.8066,-0.0074,-0.0122,0.0016,8.02,28.87,1.38,285.49,6.3,0.37
48736,51.45321,-2.781361,90,17.05,11,268.7,Dec-21,4873623,2019-08-16 14:10:27:403,0.0272,-0.0476,9.0033,0.0035,-0.0045,9.8066,-0.0074,-0.0122,0.0016,8.14,28.82,1.86,285.7,6.25,0.31
48737,51.45321,-2.781361,90,17.05,11,268.7,Dec-21,4873723,2019-08-16 14:10:27:503,-0.2426,-0.2812,10.1589,0.0169,-0.0249,9.8066,-0.0266,-0.0016,0.0005,8.14,28.84,1.4,285.5,6.21,0.29
48738,51.45321,-2.78161,90,17.18,11,269.1,Dec-21,4873823,2019-08-16 14:10:27:603,-0.0965,0.7464,9.8807,0.0187,-0.0354,9.8066,-0.0181,0.025,-0.0101,8.14,28.84,1.4,285.5,6.21,0.29
48739,51.45321,-2.78161,90,17.18,11,269.1,Dec-21,4873922,2019-08-16 14:10:27:702,0.3941,0.0468,9.5695,-0.0046,0.0081,9.8066,-0.0543,0.0378,0.0005,7.17,29.13,-0.22,283.48,5.99,0.24
48740,51.45321,-2.78161,90,17.18,11,269.1,Dec-21,4874023,2019-08-16 14:10:27:803,0.2945,0.2542,9.4768,0.0253,0.0171,9.8066,0.0245,0.0623,-0.0229,9.0,28.62,-0.15,287.14,6.05,0.08
48741,51.45321,-2.78161,90,17.18,11,269.1,Dec-21,4874123,2019-08-16 14:10:27:903,0.0873,0.7622,9.3147,0.0122,0.0337,9.8066,-0.0138,0.0879,-0.0133,9.0,28.62,-0.15,287.14,6.05,0.08
48742,51.45321,-2.78161,90,17.18,11,269.1,Dec-21,4874224,2019-08-16 14:10:28:004,0.518,0.1308,9.9002,-0.0044,0.056,9.8065,-0.017,-0.0325,-0.0048,9.14,28.57,-0.15,287.15,6.22,-0.05
48743,51.45321,-2.78161,90,17.18,11,269.1,Dec-21,4874323,2019-08-16 14:10:28:103,-0.0209,0.712,9.4986,0.0023,0.0947,9.8062,-0.017,-0.0325,-0.0048,9.14,28.57,-0.15,287.15,6.74,-0.23
48744,51.45321,-2.78161,90,17.18,11,269.1,Dec-21,4874424,2019-08-16 14:10:28:204,0.0021,0.8617,9.6008,-0.0232,0.1056,9.8061,-0.0042,-0.074,-0.0123,9.13,28.57,-0.69,287.15,6.74,-0.23
