,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
1914,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432282,2019-12-26 21:26:13:974,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
1915,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432282,2019-12-26 21:26:13:974,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
1916,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432283,2019-12-26 21:26:13:975,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
1917,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432283,2019-12-26 21:26:13:975,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
1918,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432283,2019-12-26 21:26:13:975,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
1919,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432284,2019-12-26 21:26:13:976,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
1920,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432284,2019-12-26 21:26:13:976,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
1921,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432284,2019-12-26 21:26:13:976,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
1922,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432285,2019-12-26 21:26:13:977,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
1923,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432285,2019-12-26 21:26:13:977,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
1924,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432285,2019-12-26 21:26:13:977,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
1925,6.44293,3.410031,0.0,0.0,6,51.32,16 / 17,432286,2019-12-26 21:26:13:978,0.0714,-0.0217,9.86,0.0025,-0.0027,9.8066,-0.0027,-0.0002,-0.0012,-9.19,-30.81,7.5,0.04,106.19,0.16
