,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
4100,52.413723,-1.515082,145.07,14.54,3.0,6.82,20 / 22,414227,2019-09-07 09:20:19:506,0.8581,1.5489,9.8711,-0.0154,-0.0032,9.8065,0.0293,-0.0547,0.1031,-14.75,-35.5,-2.37,249.55,-80.09,-170.95
4101,52.413723,-1.515082,145.07,14.54,3.0,6.82,20 / 22,414327,2019-09-07 09:20:19:606,-0.7006,-0.6462,9.6352,-0.0136,-0.0267,9.8065,0.0508,0.0252,0.0249,-14.69,-37.62,-3.62,243.21,-80.22,-170.16
4102,52.413723,-1.515082,145.07,14.54,3.0,6.82,20 / 22,414427,2019-09-07 09:20:19:706,-2.2486,-1.2526,10.4453,-0.0107,-0.0032,9.8066,0.0244,-0.0186,0.1548,-14.75,-38.25,-1.19,252.06,-80.28,-170.08
4103,52.413723,-1.515082,145.07,14.54,3.0,6.82,20 / 22,414527,2019-09-07 09:20:19:806,0.4588,-0.5905,10.0499,-0.0337,-0.0162,9.8065,0.0973,-0.0039,0.1452,-14.37,-35.12,-0.5,256.19,-80.44,-169.88
4104,52.413723,-1.515082,145.07,14.54,3.0,6.82,20 / 22,414627,2019-09-07 09:20:19:906,-0.7614,-1.1798,10.0304,-0.0032,-0.0077,9.8066,0.0502,0.052,0.0058,-15.75,-34.81,-3.0,250.3,-80.27,-169.07
4105,52.413723,-1.515082,145.07,14.54,3.0,6.82,20 / 22,414727,2019-09-07 09:20:20:006,1.1264,-0.7398,9.6634,-0.0115,-0.0275,9.8066,0.1607,-0.0062,-0.002,-15.19,-37.19,-3.56,244.95,-80.3,-168.84
4106,52.413723,-1.515082,145.07,14.54,3.0,6.82,20 / 22,414828,2019-09-07 09:20:20:107,-0.7878,0.0031,10.1877,-0.0038,0.0047,9.8066,0.0002,-0.0722,-0.0131,-14.94,-35.94,-1.87,251.56,-80.23,-168.26
4107,52.413723,-1.515082,145.07,14.54,3.0,6.82,20 / 22,414927,2019-09-07 09:20:20:206,0.5918,-0.3911,9.8323,0.0123,-0.0113,9.8066,0.0425,0.0284,-0.0709,-16.06,-36.75,-3.75,247.53,-80.18,-167.75
4108,52.413723,-1.515082,145.07,14.54,3.0,6.82,20 / 22,415029,2019-09-07 09:20:20:308,-0.0611,0.1011,9.7614,-0.0102,-0.0127,9.8066,0.072,0.0048,-0.008,-16.69,-38.69,-2.69,250.91,-80.13,-167.57
4109,52.413723,-1.515082,145.07,14.54,3.0,6.82,19 / 22,415129,2019-09-07 09:20:20:408,-0.5597,-0.904,9.5903,0.0121,0.0058,9.8066,-0.0659,0.0448,0.0175,-16.56,-37.69,-0.81,257.47,-80.15,-167.13
4110,52.413723,-1.515082,145.07,14.54,3.0,6.82,19 / 22,415227,2019-09-07 09:20:20:506,-0.1896,-0.8972,9.0382,-0.0106,-0.0044,9.8066,0.0744,0.0206,0.0428,-16.62,-34.81,-2.81,253.71,-80.28,-167.06
