,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
37725,52.4034,-1.514892,139.44,0.0,3,123.78,26 / 27,3586110,2019-09-08 13:06:45:349,-0.0485,0.1339,9.8058,-0.0002,0.0004,9.8066,0.0053,-0.0199,-0.0051,-22.94,-33.94,21.19,327.71,-82.13,-159.85
37726,52.4034,-1.514892,139.44,0.0,3,123.78,26 / 27,3586210,2019-09-08 13:06:45:449,0.1379,-0.2136,9.7517,0.002,0.0015,9.8066,0.0175,-0.0179,0.0108,-23.0,-33.69,21.38,327.75,-82.14,-159.82
37727,52.4034,-1.514892,139.44,0.0,3,123.78,26 / 27,3586310,2019-09-08 13:06:45:549,-0.0978,0.0345,9.9316,0.0025,-0.0023,9.8066,0.004,-0.0043,0.0118,-23.0,-33.75,21.5,329.29,-82.14,-159.91
37728,52.4034,-1.514892,139.44,0.0,3,123.78,26 / 27,3586410,2019-09-08 13:06:45:649,-0.1448,0.233,9.8576,-0.0033,0.0025,9.8066,0.0154,0.0074,0.0251,-23.69,-34.37,21.44,326.4,-82.15,-159.9
37729,52.4034,-1.514892,139.44,0.0,3,123.78,26 / 27,3586510,2019-09-08 13:06:45:749,-0.0305,0.112,9.9211,-0.0035,0.0019,9.8066,0.0096,0.0121,0.0107,-23.31,-33.87,21.56,329.42,-82.17,-159.82
37730,52.4034,-1.514892,139.44,0.0,3,123.78,26 / 27,3586610,2019-09-08 13:06:45:849,0.1777,-0.2079,9.7116,0.003,-0.0035,9.8066,-0.0325,0.0113,0.0192,-23.37,-33.19,21.5,329.56,-82.18,-159.83
37731,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3586710,2019-09-08 13:06:45:949,-0.0487,0.0518,9.9475,0.003,-0.0029,9.8066,-0.0347,0.0189,0.0071,-23.62,-33.37,21.94,328.29,-82.16,-159.8
37732,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3586810,2019-09-08 13:06:46:049,-0.1269,0.1527,10.0713,-0.0022,0.0008,9.8066,-0.0146,0.0011,0.0014,-23.37,-33.44,21.44,328.03,-82.16,-159.73
37733,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3586910,2019-09-08 13:06:46:149,-0.0035,0.1543,9.9616,-0.003,0.0022,9.8066,-0.002,-0.0084,-0.0057,-23.37,-33.44,21.5,329.82,-82.18,-159.6
37734,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3587010,2019-09-08 13:06:46:249,0.2245,-0.3916,9.6411,0.0011,-0.0023,9.8066,-0.0522,-0.0018,-0.0211,-24.12,-33.75,21.63,328.38,-82.16,-159.59
37735,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3587110,2019-09-08 13:06:46:349,0.274,-0.3313,9.5948,0.0018,0.0002,9.8066,-0.0404,-0.0208,-0.0176,-23.37,-34.0,21.81,329.63,-82.17,-159.63
37736,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3587210,2019-09-08 13:06:46:449,-0.0729,-0.0077,10.0843,-0.0007,0.0014,9.8066,-0.0088,-0.028,-0.0296,-23.56,-33.62,21.88,328.44,-82.17,-159.55
37737,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3587310,2019-09-08 13:06:46:549,-0.2153,0.2945,10.1071,-0.0002,0.0007,9.8066,-0.004,-0.0308,-0.0243,-24.19,-33.62,21.63,328.42,-82.19,-159.58
37738,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3587410,2019-09-08 13:06:46:649,-0.3122,0.3179,9.8957,-0.0013,0.0017,9.8066,-0.0092,-0.0318,-0.0227,-23.69,-33.75,21.19,326.72,-82.19,-159.64
37739,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3587510,2019-09-08 13:06:46:749,0.2115,-0.2339,9.5946,-0.0019,-0.0001,9.8066,0.0044,-0.0334,-0.0212,-23.37,-33.56,21.81,329.67,-82.2,-159.62
37740,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3587610,2019-09-08 13:06:46:849,0.1298,-0.149,9.9491,0.0025,-0.0004,9.8066,0.0321,-0.0322,-0.0082,-23.69,-33.37,21.94,328.41,-82.2,-159.72
37741,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3587710,2019-09-08 13:06:46:949,0.0798,0.0526,9.7849,0.0021,-0.0008,9.8066,0.039,-0.0348,-0.0137,-23.62,-33.44,22.0,328.37,-82.2,-159.75
37742,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3587810,2019-09-08 13:06:47:049,0.0735,0.0375,9.6429,-0.0024,0.002,9.8066,0.0439,-0.0235,-0.0009,-23.44,-33.37,22.19,329.39,-82.19,-159.98
37743,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3587910,2019-09-08 13:06:47:149,0.3335,-0.4221,9.6414,-0.0053,0.0032,9.8066,0.0508,-0.0166,0.002,-23.69,-33.25,21.44,326.59,-82.2,-159.9
37744,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3588010,2019-09-08 13:06:47:249,-0.1729,0.1106,10.1394,0.0043,-0.0035,9.8066,0.0415,-0.0307,0.0035,-23.62,-33.81,21.75,328.02,-82.2,-159.94
37745,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3588110,2019-09-08 13:06:47:349,-0.2544,0.2936,10.1154,0.0015,-0.0018,9.8066,0.0543,-0.0213,0.0172,-23.87,-33.94,21.63,327.88,-82.19,-160.05
37746,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3588210,2019-09-08 13:06:47:449,-0.3448,0.326,9.921,-0.0054,0.0027,9.8066,0.0716,-0.0041,0.0145,-23.81,-33.75,21.31,326.33,-82.21,-160.0
37747,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3588311,2019-09-08 13:06:47:550,0.2285,-0.3451,9.5766,-0.0047,0.0041,9.8066,0.0669,-0.0091,0.0313,-23.5,-33.44,21.69,329.3,-82.21,-160.07
37748,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3588410,2019-09-08 13:06:47:649,0.2119,-0.329,9.6205,0.0056,-0.0029,9.8066,0.0291,0.0047,0.0282,-23.62,-33.44,21.38,326.46,-82.2,-160.02
37749,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3588510,2019-09-08 13:06:47:749,-0.1836,0.0546,9.9717,0.0041,-0.0053,9.8065,0.0101,0.0109,0.0312,-23.56,-33.44,21.81,327.88,-82.15,-160.15
37750,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3588610,2019-09-08 13:06:47:849,-0.223,0.3272,9.8443,-0.004,0.0022,9.8066,0.0246,0.0095,0.0253,-24.0,-33.75,21.25,326.18,-82.14,-160.09
37751,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3588710,2019-09-08 13:06:47:949,-0.0245,-0.0402,9.8299,-0.0029,0.0018,9.8066,0.0137,0.0079,0.008,-24.12,-33.75,21.31,326.33,-82.15,-159.97
37752,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3588810,2019-09-08 13:06:48:049,0.0715,-0.1182,9.8688,0.0014,-0.0019,9.8066,-0.0296,-0.0059,0.0027,-23.44,-33.62,21.81,329.21,-82.14,-159.98
37753,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3588910,2019-09-08 13:06:48:149,-0.2095,0.2683,9.9281,0.0018,-0.0021,9.8066,-0.0288,-0.0135,-0.014,-24.5,-33.87,21.44,326.35,-82.14,-159.94
37754,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3589010,2019-09-08 13:06:48:249,0.0077,0.0356,9.8895,-0.0012,0.0017,9.8066,0.0163,-0.0307,-0.0055,-23.81,-33.87,21.5,328.06,-82.15,-159.87
37755,52.4034,-1.514892,139.44,0.0,3,123.78,27 / 27,3589110,2019-09-08 13:06:48:349,0.0872,-0.0453,9.8738,0.0003,-0.0003,9.8066,0.0127,-0.0231,-0.0093,-24.0,-33.37,21.75,328.24,-82.16,-159.84
