,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
20128,52.366074,-1.233027,169.6,0.0,3,338.44,15 / 16,2044121,2019-09-04 19:55:24:294,-1.099,0.5754,9.0054,-0.0064,0.0085,9.8065,-0.0154,0.0249,0.0579,11.56,-31.31,5.13,100.82,-88.02,-151.2
20129,52.366074,-1.233027,169.6,0.0,3,338.44,15 / 16,2044221,2019-09-04 19:55:24:394,-1.2613,0.3295,10.0249,0.0013,0.0047,9.8066,-0.025,-0.0514,-0.0353,11.25,-31.81,5.5,96.55,-88.0,-149.93
20130,52.36612,-1.233741,171.53,10.39,3,270.39,16 / 18,2044321,2019-09-04 19:55:24:494,-0.6787,-0.0064,10.1925,0.0049,0.0245,9.8066,-0.0099,-0.0073,0.011,11.25,-31.5,5.19,101.59,-88.02,-148.94
20131,52.36612,-1.233741,171.53,10.39,3,270.39,16 / 18,2044420,2019-09-04 19:55:24:593,-1.2321,-0.014,9.4474,-0.0049,0.007,9.8066,0.0091,0.0039,0.0234,11.06,-31.25,4.56,107.29,-87.97,-143.23
20132,52.36612,-1.233741,171.53,10.39,3,270.39,16 / 18,2044521,2019-09-04 19:55:24:694,-0.3128,0.4605,9.7786,-0.002,-0.004,9.8065,0.0016,-0.0039,-0.0007,10.44,-32.62,5.31,107.49,-87.88,-141.91
20133,52.36612,-1.233741,171.53,10.39,3,270.39,16 / 18,2044621,2019-09-04 19:55:24:794,-0.6077,0.3384,10.0686,-0.0108,0.0102,9.8066,-0.0008,-0.0005,0.0245,11.06,-31.87,5.38,109.63,-87.8,-141.41
20134,52.36612,-1.233741,171.53,10.39,3,270.39,16 / 18,2044721,2019-09-04 19:55:24:894,-0.5143,-0.3262,9.9041,-0.0073,0.0063,9.8066,0.0034,0.0225,0.0278,10.94,-31.62,4.94,112.17,-87.61,-139.25
20135,52.36612,-1.233741,171.53,10.39,3,270.39,16 / 18,2044820,2019-09-04 19:55:24:993,-0.993,0.7431,10.3937,-0.0028,0.0187,9.8066,-0.0058,0.0067,0.0373,10.94,-31.81,5.06,116.64,-87.44,-134.97
20136,52.36612,-1.233741,171.53,10.39,3,270.39,16 / 18,2044920,2019-09-04 19:55:25:093,-1.1356,0.8789,9.7664,-0.0056,0.0065,9.8066,-0.0025,0.0111,0.0333,10.06,-32.25,4.94,117.33,-87.3,-132.95
20137,52.36612,-1.233741,171.53,10.39,3,270.39,16 / 18,2045020,2019-09-04 19:55:25:193,-1.0917,1.6464,9.1225,-0.0013,-0.0084,9.8066,0.0006,-0.089,-0.1051,10.63,-31.75,4.75,118.11,-87.26,-133.82
