,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE X (rad/s), GYROSCOPE Y (rad/s), GYROSCOPE Z (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Azimuth) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
4467,52.378616,-1.253966,149.91,8.04,4,200.31,16 / 18,242408,2019-09-04 20:10:34:521,0.0579999999999999,1.4499,9.326,-0.0055,-0.0177,9.8066,0.0434,0.0057,0.0183,1.25,-31.0,20.38,231.9,-88.43,50.94
4468,52.378616,-1.253966,149.91,8.04,4,200.31,16 / 18,242507,2019-09-04 20:10:34:620,-0.9806,1.3605,9.471,-0.0123,-0.0062,9.8066,-0.0047,0.0064,0.0143,1.81,-31.06,20.63,236.62,-88.74,52.73
4469,52.378616,-1.253966,149.91,8.04,4,200.31,16 / 18,242607,2019-09-04 20:10:34:720,-0.3151,1.5742,9.7085,0.0013,0.016,9.8066,-0.0563,0.0104,-0.011,0.88,-31.75,21.06,229.26,-88.68,48.05
4470,52.378616,-1.253966,149.91,8.04,4,200.31,16 / 18,242708,2019-09-04 20:10:34:821,-0.402,1.7153,9.7579,-0.0056,0.0227,9.8066,-0.0475,0.0012,0.0039,1.56,-31.5,21.0,223.85,-88.5,39.93
4471,52.378616,-1.253966,149.91,8.04,4,200.31,16 / 18,242808,2019-09-04 20:10:34:921,-0.9824,2.4442,10.2213,-0.0059,0.0067,9.8066,0.0006,0.0016,0.0098,0.94,-31.5,20.31,212.76,-88.35,31.27
4472,52.378616,-1.253966,149.91,8.04,4,200.31,16 / 18,242907,2019-09-04 20:10:35:020,-0.493,1.9041,9.8256,0.0028,-0.0184,9.8066,0.0552,0.0044,-0.0058,1.31,-30.87,20.5,217.15,-88.5,35.75
4473,52.378616,-1.253966,149.91,8.04,4,200.31,16 / 18,243007,2019-09-04 20:10:35:120,-0.2141,1.8943,9.4649,-0.0034,-0.018,9.8065,0.0336,0.0103,0.0132,1.5,-31.06,21.0,225.16,-88.69,41.07
4474,52.378616,-1.253966,149.91,8.04,4,200.31,16 / 18,243107,2019-09-04 20:10:35:220,-0.1103,1.3892,9.1491,-0.002,-0.0018,9.8066,-0.0109,0.0061,0.0164,0.69,-30.62,20.31,225.4,-88.77,43.88
4475,52.378616,-1.253966,149.91,8.04,4,200.31,16 / 18,243208,2019-09-04 20:10:35:321,-0.3438,1.1353,9.0455,-0.0053,0.0219,9.8066,-0.0817,0.0024,0.0204,0.56,-30.87,21.38,217.76,-88.7,36.19
4476,52.378616,-1.253966,149.91,8.04,4,200.31,16 / 18,243307,2019-09-04 20:10:35:420,-0.5177,1.6434,9.4012,-0.013,0.044,9.8065,-0.1082,0.0062,0.0319,0.63,-31.87,20.13,204.05,-88.38,22.24
4477,52.378616,-1.253966,149.91,8.04,4,200.31,17 / 18,243408,2019-09-04 20:10:35:521,-0.5938,2.1047,10.2817,-0.0108,0.0354,9.8065,-0.0779,0.0045,0.0196,0.44,-31.56,19.63,189.39,-87.76,9.96
4478,52.378616,-1.253966,149.91,8.04,4,200.31,17 / 18,243507,2019-09-04 20:10:35:620,-0.2668,3.0261,10.4846,-0.0065,0.0036,9.8066,0.0178,0.0009,0.0134,1.44,-32.31,19.75,188.18,-87.52,5.87
4479,52.378616,-1.253966,149.91,8.04,4,200.31,17 / 18,243607,2019-09-04 20:10:35:720,-0.9919,2.582,10.0585,-0.0097,-0.0254,9.8066,0.0928,-0.0148,0.0145,1.0,-31.31,19.63,186.68,-87.74,4.22
4480,52.378616,-1.253966,149.91,8.04,4,200.31,17 / 18,243708,2019-09-04 20:10:35:821,-0.9771,1.3904,9.0217,-0.0073,-0.04,9.8065,0.0842,-0.0227,0.0143,0.13,-30.87,20.31,183.53,-88.21,3.69
4481,52.378616,-1.253966,149.91,8.04,4,200.31,17 / 18,243808,2019-09-04 20:10:35:921,-1.1547,2.6477,9.92,-0.0094,-0.0165,9.8066,0.0291,-0.0201,0.0059,0.94,-31.19,20.94,181.75,-88.73,-0.92
4482,52.378616,-1.253966,149.91,8.04,4,200.31,17 / 18,243908,2019-09-04 20:10:36:021,-0.7296,1.0578,9.6131,0.0173,-0.0054,9.8065,-0.0123,-0.0047,-0.0363,0.13,-30.81,21.19,179.89,-88.8,-0.11
4483,52.378616,-1.253966,149.91,8.04,4,200.31,17 / 18,244008,2019-09-04 20:10:36:121,-1.8877,2.7483,12.0936,-0.0001,0.0011,9.8066,0.0489,-0.0322,-0.0036,0.19,-30.87,20.69,187.61,-88.78,7.85
4484,52.378616,-1.253966,149.91,8.04,4,200.31,17 / 18,244108,2019-09-04 20:10:36:221,-0.4973,1.2525,9.5779,0.0054,-0.0648,9.8064,0.185,-0.0264,-0.0081,1.0,-30.69,22.38,216.85,-89.48,34.68
4485,52.378616,-1.253966,149.91,8.04,4,200.31,17 / 18,244208,2019-09-04 20:10:36:321,-1.1462,-0.1639999999999999,7.9721,-0.0034,-0.0692,9.8064,0.1504,-0.0512,-0.0052,1.19,-31.5,22.5,326.71,-89.48,144.61
4486,52.378616,-1.253966,149.91,8.04,4,200.31,17 / 18,244308,2019-09-04 20:10:36:421,-1.3179,0.125,7.49,0.0226,-0.0015,9.8065,-0.0284,-0.0706,-0.0651,1.19,-30.62,22.69,339.0,-89.04,156.98
4487,52.378616,-1.253966,149.91,8.04,4,200.31,16 / 18,244407,2019-09-04 20:10:36:520,-1.7295,1.2718,7.9984,0.0409,0.0388,9.8064,-0.0707,-0.0339,-0.0644,2.0,-30.75,22.56,306.17,-88.97,122.32
