,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
21583,52.421963,-1.449195,125.69,12.24,3,232.55,21 / 21,2634708,2019-09-04 20:50:26:821,-0.0086,0.2483,10.1858,0.002,0.003,9.8066,-0.0066,0.0053,-0.0029,10.5,-30.12,14.19,314.99,-89.59,97.33
21584,52.421963,-1.449195,125.69,12.24,3,232.55,21 / 21,2634808,2019-09-04 20:50:26:921,-0.608,-0.2675,9.3143,-0.0015,-0.0048,9.8066,0.0023,0.0043,-0.0048,10.75,-30.0,14.94,318.94,-89.56,103.15
21585,52.421963,-1.449195,125.69,12.24,3,232.55,21 / 21,2634907,2019-09-04 20:50:27:020,-0.7365,-0.2217,10.0167,0.0009,0.0004,9.8066,-0.0084,0.0028,0.0028,10.88,-30.94,15.13,323.04,-89.52,107.27
21586,52.421963,-1.449195,125.69,12.24,3,232.55,21 / 21,2635007,2019-09-04 20:50:27:120,-0.1797,-0.397,10.3168,0.0038,-0.0042,9.8066,0.013,0.0076,-0.0009,10.31,-30.5,14.31,319.21,-89.49,104.26
21587,52.421963,-1.449195,125.69,12.24,3,232.55,21 / 21,2635108,2019-09-04 20:50:27:221,-0.0506,-0.2606,9.7401,-0.0015,-0.0094,9.8065,0.0184,-0.0079,-0.0023,10.69,-31.25,14.88,326.19,-89.44,110.46
21588,52.421963,-1.449195,125.69,12.24,3,232.55,21 / 21,2635207,2019-09-04 20:50:27:320,0.1838,-0.8713,10.0664,-0.0014,0.0014,9.8066,-0.0066,-0.0056,0.0111,10.88,-31.69,14.75,332.54,-89.4,116.76
21589,52.421963,-1.449195,125.69,12.24,3,232.55,21 / 21,2635308,2019-09-04 20:50:27:421,-0.4892,-0.4481,10.1725,-0.0095,0.0049,9.8066,-0.0033,-0.0047,0.0191,10.69,-31.94,14.88,336.26,-89.45,120.38
21590,52.421963,-1.449195,125.69,12.24,3,232.55,20 / 20,2635407,2019-09-04 20:50:27:520,-0.5104,-0.4126,9.9568,-0.0031,0.004,9.8066,-0.0078,-0.0097,0.0009,10.56,-31.31,14.94,339.83,-89.51,123.86
21591,52.421963,-1.449195,125.69,12.24,3,232.55,20 / 20,2635508,2019-09-04 20:50:27:621,-0.5003,-0.2571,9.8887,-0.0009,0.0008,9.8066,-0.0028,0.0106,0.009,10.75,-31.19,14.38,342.16,-89.55,124.24
21592,52.421963,-1.449195,125.69,12.24,3,232.55,20 / 20,2635608,2019-09-04 20:50:27:721,-0.0017,-0.1792,9.5661,0.0022,-0.0005,9.8066,-0.006,0.0069,-0.0067,10.94,-31.37,14.69,339.77,-89.55,123.77
21593,52.421963,-1.449195,125.69,12.24,3,232.55,20 / 20,2635708,2019-09-04 20:50:27:821,-0.3009,-0.6211,9.7106,0.0008,-0.0017,9.8066,-0.0052,-0.0086,0.0039,10.94,-31.62,13.81,338.75,-89.52,120.9
21594,52.421963,-1.449195,125.69,12.24,3,232.55,20 / 20,2635807,2019-09-04 20:50:27:920,-0.4084,0.003,9.8003,0.0066,0.0037,9.8066,-0.026,0.0031,-0.0049,11.38,-31.75,14.94,325.07,-89.56,109.25
21595,52.421963,-1.449195,125.69,12.24,3,232.55,20 / 20,2635907,2019-09-04 20:50:28:020,0.4627,0.1879,9.8231,0.0047,0.0032,9.8066,-0.0105,0.0052,-0.0096,11.44,-31.44,14.63,316.22,-89.56,100.48
21596,52.421963,-1.449195,125.69,12.24,3,232.55,20 / 20,2636008,2019-09-04 20:50:28:121,-0.1016,0.0828,9.6205,0.005,0.002,9.8065,-0.0082,-0.0007,-0.0134,10.75,-32.0,14.94,310.93,-89.53,95.29
21597,52.421963,-1.449195,125.69,12.24,3,232.55,20 / 20,2636108,2019-09-04 20:50:28:221,0.45,1.0328,10.0839,0.0056,0.0049,9.8066,-0.0133,-0.0053,-0.0159,11.25,-31.81,14.38,300.97,-89.49,83.6
21598,52.421963,-1.449195,125.69,12.24,3,232.55,20 / 20,2636208,2019-09-04 20:50:28:321,0.2924,0.5727,10.111,0.0014,-0.005,9.8066,0.0031,0.0138,-0.0134,11.25,-31.25,15.63,295.88,-89.42,82.2
21599,52.421963,-1.449195,125.69,12.24,3,232.55,20 / 20,2636307,2019-09-04 20:50:28:420,0.46,0.3837,9.6356,0.0017,-0.0043,9.8066,-0.0023,-0.0024,0.0011,12.81,-30.75,14.56,308.07,-89.34,87.96
21600,52.421257,-1.450562,126.44,15.92,3,229.15,21 / 21,2636407,2019-09-04 20:50:28:520,0.5587,1.034,9.3546,0.0025,0.0156,9.8065,-0.0204,-0.0126,0.0247,12.38,-30.31,13.19,307.67,-89.35,85.83
21601,52.421257,-1.450562,126.44,15.92,3,229.15,21 / 21,2636508,2019-09-04 20:50:28:621,0.5512,0.72,9.8116,0.0009,0.0028,9.8066,-0.0132,0.0058,0.0032,10.25,-30.56,13.44,287.34,-89.42,70.82
21602,52.421257,-1.450562,126.44,15.92,3,229.15,21 / 21,2636608,2019-09-04 20:50:28:721,0.5641,0.4672,9.8275,0.0061,-0.0053,9.8066,0.0044,-0.0109,-0.0196,10.38,-31.37,14.5,283.82,-89.35,71.2
21603,52.421257,-1.450562,126.44,15.92,3,229.15,21 / 21,2636708,2019-09-04 20:50:28:821,0.6505,0.9951,9.6698,0.0045,-0.0078,9.8066,0.015,0.0021,-0.0265,10.56,-31.69,14.38,293.72,-89.27,76.76
21604,52.421257,-1.450562,126.44,15.92,3,229.15,21 / 21,2636808,2019-09-04 20:50:28:921,0.3126,0.3249,9.7773,0.0011,-0.0052,9.8066,0.0091,-0.0034,-0.01,11.0,-31.94,14.25,302.3,-89.2,85.37
21605,52.421257,-1.450562,126.44,15.92,3,229.15,21 / 21,2636908,2019-09-04 20:50:29:021,0.3522,0.6034,9.8176,0.0018,0.0069,9.8066,-0.0224,0.0083,0.0112,11.19,-32.19,14.06,301.26,-89.17,84.38
21606,52.421257,-1.450562,126.44,15.92,3,229.15,21 / 21,2637007,2019-09-04 20:50:29:120,0.3108,0.9416,9.7581,0.0089,0.0057,9.8066,-0.0095,-0.0055,-0.0041,11.13,-32.19,14.19,293.44,-89.17,76.66
21607,52.421257,-1.450562,126.44,15.92,3,229.15,21 / 21,2637107,2019-09-04 20:50:29:220,0.8525,1.2548,9.8024,0.0048,0.0019,9.8066,0.0059,0.0047,-0.0085,11.38,-31.81,14.69,285.79,-89.1,71.02
21608,52.421257,-1.450562,126.44,15.92,3,229.15,21 / 21,2637207,2019-09-04 20:50:29:320,0.3026,0.6459,9.6242,-0.0005,-0.0042,9.8066,0.0061,0.0097,-0.0012,11.56,-31.62,14.44,294.52,-89.06,75.41
21609,52.421257,-1.450562,126.44,15.92,3,229.15,21 / 21,2637307,2019-09-04 20:50:29:420,0.298,0.2372,10.0227,0.0023,0.0022,9.8066,-0.0047,0.0032,-0.0005,11.38,-32.0,14.31,290.84,-89.05,74.29
