,GPS LATITUDE (degrees), GPS LONGITUDE (degrees), GPS ALTITUDE (m), GPS SPEED (Kmh), GPS ACCURACY (m), GPS ORIENTATION (Â°),GPS SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS), ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s), MAGNETIC FIELD X (Î¼T), MAGNETIC FIELD Y (Î¼T), MAGNETIC FIELD Z (Î¼T), ORIENTATION (Yaw) (Â°), ORIENTATION (Pitch) (Â°), ORIENTATION (Roll ) (Â°)
3503,48.877895,2.279826,87.54,10.92,32,206.61,16 / 19,350321,2020-01-04 11:43:46:571,0.2315,0.2475,9.6775,-0.007,0.0055,9.8066,-0.0072,-0.0229,-0.0057,-33.44,-113.25,74.63,165.14,-10.64,-0.1
3504,48.877895,2.279826,87.54,10.92,32,206.61,18 / 21,350420,2020-01-04 11:43:46:670,0.7715,-1.8325,9.0752,0.0052,-0.0039,9.8066,0.0323,-0.0005,-0.0022,-33.31,-113.37,75.5,165.13,-10.6,-0.14
3505,48.877895,2.279826,87.54,10.92,32,206.61,18 / 21,350521,2020-01-04 11:43:46:771,0.5915,-1.8673,10.5224,0.0097,-0.016,9.8065,0.0536,0.006,-0.0092,-33.5,-113.62,75.25,165.26,-10.76,-0.12
3506,48.877895,2.279826,87.54,10.92,32,206.61,18 / 21,350621,2020-01-04 11:43:46:871,0.2414,-0.1442,9.8746,0.0011,-0.0102,9.8066,0.014,0.0059,0.0011,-33.25,-112.81,75.88,165.2,-11.01,-0.11
3507,48.877895,2.279826,87.54,10.92,32,206.61,18 / 21,350721,2020-01-04 11:43:46:971,0.3416,-0.6568,9.9013,-0.0029,0.0064,9.8066,-0.0126,-0.0103,-0.0015,-33.25,-113.19,75.56,165.18,-11.05,-0.14
3508,48.877895,2.279826,87.54,10.92,32,206.61,18 / 21,350821,2020-01-04 11:43:47:071,0.546,-1.0149,10.0915,-0.0006,0.0087,9.8065,-0.0165,-0.001,-0.0041,-33.44,-113.25,76.0,165.16,-10.9,-0.15
3509,48.877895,2.279826,87.54,10.92,32,206.61,18 / 21,350921,2020-01-04 11:43:47:171,0.3528,-0.4992,9.7697,-0.0037,0.0052,9.8066,-0.0104,-0.0026,-0.0033,-33.25,-113.56,75.56,165.26,-10.8,-0.15
3510,48.877895,2.279826,87.54,10.92,32,206.61,18 / 21,351020,2020-01-04 11:43:47:270,0.3742,-0.7672,9.897,-0.0002,0.003,9.8066,0.0072,0.0012,-0.0035,-33.5,-113.0,75.19,165.12,-10.73,-0.17
3511,48.877895,2.279826,87.54,10.92,32,206.61,18 / 21,351121,2020-01-04 11:43:47:371,0.4514,-0.9069,9.8632,0.0006,0.0006,9.8066,0.0055,0.0008,-0.0074,-33.31,-113.19,75.0,165.12,-10.71,-0.15
3512,48.877895,2.279826,87.54,10.92,32,206.61,18 / 21,351221,2020-01-04 11:43:47:471,0.406,-0.6918,9.8684,-0.0019,0.0039,9.8066,-0.0002,0.0035,-0.0032,-33.31,-113.37,75.31,165.11,-10.66,-0.16
3513,48.877895,2.279826,87.54,10.92,32,206.61,18 / 21,351321,2020-01-04 11:43:47:571,0.3965,-0.7563,9.7857,0.0001,0.0012,9.8066,0.0055,0.0045,-0.0033,-33.12,-113.31,76.06,165.13,-10.61,-0.15
3514,48.877895,2.279826,87.54,10.92,32,206.61,18 / 21,351420,2020-01-04 11:43:47:670,0.4316,-0.8684,9.8346,-0.0004,0.0026,9.8066,-0.0044,0.0,-0.0022,-33.12,-112.69,75.88,165.13,-10.59,-0.15
3515,48.877895,2.279826,87.54,10.92,32,206.61,16 / 21,351521,2020-01-04 11:43:47:771,0.3836,-0.7294,9.88,-0.0031,0.0051,9.8066,-0.0023,-0.003,0.0001,-33.5,-113.31,75.69,165.13,-10.51,-0.13
