,GPS LATITUDE (degrees),GPS LONGITUDE (degrees), GPS ALTITUDE (m),GPS SPEED (Kmh),GPS ACCURACY (m),GPS ORIENTATION (Â°), SATELLITES IN RANGE, TIME SINCE START (ms), DATE (YYYY-MO-DD HH-MI-SS_SSS),ACCELEROMETER X (m/s²) , ACCELEROMETER Y (m/s²), ACCELEROMETER Z (m/s²), GRAVITY X (m/s²), GRAVITY Y (m/s²), GRAVITY Z (m/s²), GYROSCOPE Yaw (rad/s), GYROSCOPE Pitch (rad/s), GYROSCOPE Roll (rad/s)
45598,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2004101,2019-08-12 13:53:09:537,-1.7553,-0.0891,9.7861,-1.6906,-0.2128,9.6575,0.0229,-0.0083,0.0043
45599,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2004201,2019-08-12 13:53:09:637,-1.6775,-0.0364,9.4509,-1.6979,-0.2115,9.6562,0.0037,0.0163,0.0043
45600,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2004300,2019-08-12 13:53:09:736,-1.6141,-0.2339,9.7478,-1.7058,-0.2051,9.655,0.0037,0.0067,0.0065
45601,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2004401,2019-08-12 13:53:09:837,-1.6763,-0.1992,9.3959,-1.7049,-0.1917,9.6554,0.0154,-0.0008,0.0075
45602,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2004501,2019-08-12 13:53:09:937,-1.4944,-0.1058,9.664,-1.699,-0.1829,9.6566,0.0197,0.0024,0.0075
45603,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2004603,2019-08-12 13:53:10:039,-1.5865,-0.2973,10.0004,-1.6958,-0.1786,9.6573,0.0069,0.0045,0.0001
45604,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2004729,2019-08-12 13:53:10:165,-1.5865,-0.2973,10.0004,-1.6999,-0.1843,9.6564,-0.0027,0.0163,-0.0031
45605,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2004800,2019-08-12 13:53:10:236,-1.5865,-0.2973,10.0004,-1.6999,-0.1843,9.6564,-0.0027,0.0163,-0.0031
45606,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2004901,2019-08-12 13:53:10:337,-1.5865,-0.2973,10.0004,-1.6999,-0.1843,9.6564,-0.0027,0.0163,-0.0031
45607,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2005001,2019-08-12 13:53:10:437,-2.0726,0.0103,10.1213,-1.7466,-0.2033,9.6477,-0.0123,0.0056,-0.0127
45608,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2005100,2019-08-12 13:53:10:536,-2.2832,-0.6553,10.2207,-1.7449,-0.2008,9.6481,0.0144,-0.0146,0.0001
45609,47.173088,-1.492196,60.19,7.77,13.936001,271.4,0 / 22,2005202,2019-08-12 13:53:10:638,-1.9325,-0.3249,9.6102,-1.7031,-0.1997,9.6556,0.0112,-0.0445,-0.0042
